date, min_price, max_price
1402/02/27, 74030, 81100
1402/02/25, 77000, 81000
1402/02/24, 79000, 82650
1402/02/23, 77430, 85400
1402/02/20, 75790, 83190
1402/02/19, 74240, 82040
1402/02/18, 74990, 82870
1402/02/17, 75150, 79770
1402/02/13, 77570, 77570
1402/02/12, 73880, 73880
1402/02/11, 70370, 70370
1402/02/10, 62980, 69600
1402/02/09, 64000, 66430
1402/02/06, 63530, 63530
1402/02/05, 61550, 61550
1402/02/04, 58620, 58620
1402/01/30, 55830, 55830
1402/01/29, 51350, 53480
1402/01/28, 50940, 50940
1402/01/27, 48520, 48520
1402/01/21, 46220, 46860
1402/01/20, 42500, 45430
1402/01/19, 42030, 43660
1402/01/16, 41000, 41860
1402/01/15, 37830, 41810
1402/01/14, 37630, 40230
1402/01/09, 37490, 38340
1402/01/08, 35120, 36670
1402/01/07, 33120, 35240
1402/01/06, 32800, 34500
1402/01/05, 31650, 33520
1401/12/28, 31380, 32470
1401/12/27, 30880, 32290
1401/12/24, 30200, 31400
1401/12/23, 29890, 31490
1401/12/22, 30000, 31850
1401/12/21, 29210, 31400
1401/12/20, 29350, 30850
1401/12/16, 30030, 32000
1401/12/15, 30110, 31540
1401/12/14, 28890, 30330
1401/12/13, 28770, 29980
1401/12/10, 29150, 30590
1401/12/09, 28000, 29400
1401/12/08, 27420, 29360
1401/12/07, 28020, 30130
1401/12/06, 28040, 28950
1401/12/03, 27430, 28490
1401/12/02, 27870, 30300
1401/12/01, 27340, 29440
1401/11/30, 27840, 29280
1401/11/26, 29020, 30790
1401/11/25, 29700, 31830
1401/11/24, 29860, 31310
1401/11/23, 28710, 30960
1401/11/19, 29540, 31370
1401/11/18, 30900, 32490
1401/11/17, 31630, 31630
1401/11/16, 33220, 34180
1401/11/12, 33010, 35960
1401/11/11, 32770, 34310
1401/11/10, 31440, 32720
1401/11/09, 29630, 32730
1401/11/08, 30110, 31320
1401/11/05, 28970, 30370
1401/11/04, 27820, 29130
1401/11/03, 26460, 28180
1401/11/02, 26550, 27500
1401/11/01, 27330, 29320
1401/10/28, 28170, 29370
1401/10/27, 26830, 28170
1401/10/26, 26500, 26880
1401/10/24, 25080, 26000
1401/10/21, 25520, 26800
1401/10/20, 25900, 27440
1401/10/19, 25600, 27080
1401/10/18, 25500, 26930
1401/10/17, 25050, 26000
1401/10/14, 25000, 26000
1401/10/13, 25510, 26990
1401/10/12, 25860, 26390
1401/10/11, 25500, 27000
1401/10/10, 25310, 27450
1401/10/07, 26180, 27170
1401/10/05, 24850, 26530
1401/10/04, 25060, 25990
1401/10/03, 24750, 25700
1401/09/30, 24490, 25550
1401/09/29, 24350, 26000
1401/09/28, 24900, 26490
1401/09/27, 24900, 26200
1401/09/26, 23980, 25290
1401/09/23, 23770, 24860
1401/09/22, 23560, 24590
1401/09/21, 23320, 24000
1401/09/20, 22980, 23460
1401/09/19, 22900, 23600
1401/09/16, 23050, 23700
1401/09/15, 22760, 23390
1401/09/14, 22470, 23550
1401/09/13, 22940, 24000
1401/09/12, 22950, 23680
1401/09/09, 23200, 24100
1401/09/08, 22900, 23900
1401/09/07, 22650, 23350
1401/09/06, 22900, 23250
1401/09/05, 22960, 23600
1401/09/02, 22650, 24000
1401/09/01, 23320, 24600
1401/08/30, 24110, 25800
1401/08/29, 24000, 25900
1401/08/28, 23560, 25450
1401/08/25, 24520, 25500
1401/08/24, 23100, 24510
1401/08/23, 22850, 24200
1401/08/22, 23300, 23980
1401/08/21, 23600, 24300
1401/08/18, 22950, 24190
1401/08/17, 22660, 23670
1401/08/16, 21830, 22870
1401/08/15, 21500, 22560
1401/08/14, 21530, 22480
1401/08/11, 22050, 23950
1401/08/10, 22800, 23220
1401/08/09, 20400, 22260
1401/08/08, 20680, 21590
1401/08/07, 21580, 22680
1401/08/04, 22270, 23570
1401/08/03, 22970, 24800
1401/08/02, 23230, 25200
1401/08/01, 24120, 25180
1401/07/30, 25300, 26210
1401/07/27, 26210, 27750
1401/07/26, 26610, 27740
1401/07/25, 25250, 27660
1401/07/24, 25630, 25630
1401/07/23, 25790, 25790
1401/07/20, 25710, 28240
1401/07/19, 27880, 27880
1401/07/18, 27560, 27560
1401/07/17, 26850, 26850
1401/07/16, 25600, 26290
1401/07/12, 23070, 25200
1401/07/09, 23390, 25350
1401/07/06, 24210, 25140
1401/07/04, 23800, 25120
1401/07/02, 24680, 26000
1401/06/30, 25040, 26600
1401/06/29, 25630, 26680
1401/06/28, 26950, 27610
1401/06/27, 28160, 29990
1401/06/23, 29220, 30130
1401/06/22, 28250, 30260
1401/06/21, 28700, 28700
1401/06/20, 29050, 29050
1401/06/19, 30520, 31490
1401/06/16, 32100, 32750
1401/06/15, 32580, 36000
1401/06/14, 34620, 34620
1401/06/13, 32150, 33120
1401/06/12, 30430, 31690
1401/06/09, 28540, 30420
1401/06/08, 28250, 29690
1401/06/07, 28000, 29200
1401/06/06, 27750, 29300
1401/06/05, 27450, 29670
1401/06/02, 27800, 29150
1401/06/01, 27160, 28500
1401/05/31, 27700, 28800
1401/05/30, 26600, 27840
1401/05/29, 25000, 26950
1401/05/26, 25250, 25990
1401/05/25, 24050, 25040
1401/05/24, 23400, 24610
1401/05/23, 24190, 25800
1401/05/22, 24810, 26300
1401/05/19, 24320, 26480
1401/05/18, 23910, 25660
1401/05/15, 23540, 24710
1401/05/12, 22800, 23900
1401/05/11, 22400, 24180
1401/05/10, 23200, 24920
1401/05/09, 23520, 25690
1401/05/08, 23470, 25000
1401/05/05, 23560, 25900
1401/05/04, 24580, 26180
1401/05/03, 25800, 27270
1401/05/02, 26990, 28160
1401/05/01, 27840, 29990
1401/04/29, 28000, 29970
1401/04/28, 28470, 29800
1401/04/26, 28700, 30740
1401/04/25, 27520, 30150
1401/04/22, 28470, 30760
1401/04/21, 29430, 31200
1401/04/20, 29250, 31170
1401/04/18, 28820, 29730
1401/04/15, 26750, 28450
1401/04/14, 26800, 27850
1401/04/13, 27160, 29250
1401/04/12, 26500, 28430
1401/04/11, 26790, 28500
1401/04/08, 27600, 29620
1401/04/07, 28510, 29620
1401/04/06, 28500, 30380
1401/04/05, 28630, 29950
1401/04/04, 28300, 29930
1401/04/01, 29560, 31150
1401/03/31, 30830, 32370
1401/03/30, 31010, 34250
1401/03/29, 31590, 33010
1401/03/28, 30150, 32320
1401/03/25, 30300, 31910
1401/03/24, 31500, 33760
1401/03/23, 33010, 35900
1401/03/11, 33750, 35360
1401/03/10, 31010, 34180
1401/03/09, 32230, 34300
1401/03/08, 33590, 36330
1401/03/07, 34400, 35660
1401/03/04, 32350, 35150
1401/03/03, 32410, 34500
1401/03/02, 33210, 34600
1401/03/01, 34450, 36180
1401/02/31, 34600, 36980
1401/02/28, 35090, 36900
1401/02/27, 36080, 37900
