date, min_price, max_price
1402/03/03, 93350, 96450
1402/03/02, 92200, 95150
1402/03/01, 92150, 94500
1402/02/31, 92600, 94500
1402/02/30, 93000, 94900
1402/02/27, 93050, 95700
1402/02/25, 93450, 95900
1402/02/24, 91800, 95750
1402/02/23, 91950, 94950
1402/02/20, 92100, 99450
1402/02/19, 87350, 96350
1402/02/18, 91600, 93000
1402/02/17, 94900, 101450
1402/02/16, 98900, 103200
1402/02/13, 100500, 103950
1402/02/12, 101900, 105500
1402/02/11, 102700, 107000
1402/02/10, 103850, 107500
1402/02/09, 101850, 104300
1402/02/06, 98100, 100800
1402/02/05, 98650, 102600
1402/02/04, 99100, 103800
1402/01/30, 102800, 106550
1402/01/26, 112350, 115300
1402/01/22, 111300, 116500
1402/01/21, 111300, 118000
1402/01/20, 115700, 119600
1402/01/19, 110200, 115200
1402/01/16, 106600, 112500
1402/01/15, 107850, 112350
1402/01/14, 100500, 107700
1402/01/09, 98000, 102950
1402/01/08, 96450, 98750
1402/01/07, 92900, 98600
1402/01/06, 93000, 97750
1402/01/05, 96750, 100000
1401/12/28, 94100, 98500
1401/12/27, 91650, 94100
1401/12/24, 87750, 91200
1401/12/23, 87250, 87950
1401/12/22, 87050, 88300
1401/12/21, 84600, 88050
1401/12/20, 87750, 89000
1401/12/16, 87600, 88900
1401/12/15, 86400, 88150
1401/12/14, 87250, 88450
1401/12/13, 87050, 89100
1401/12/10, 87700, 90100
1401/12/09, 88100, 90350
1401/12/08, 86500, 90350
1401/12/07, 87200, 91550
1401/12/06, 85250, 87250
1401/12/03, 81400, 84800
1401/12/02, 81200, 84000
1401/12/01, 76450, 80550
1401/11/30, 76100, 77700
1401/11/26, 76150, 78050
1401/11/25, 76700, 79150
1401/11/24, 76150, 80100
1401/11/23, 76600, 79000
1401/11/19, 79000, 82250
1401/11/18, 75750, 80250
1401/11/17, 75600, 77050
1401/11/16, 76300, 78050
1401/11/12, 77150, 78700
1401/11/11, 75200, 78350
1401/11/10, 74500, 76650
1401/11/09, 74700, 76500
1401/11/08, 76550, 77550
1401/11/05, 76600, 78400
1401/11/04, 77400, 78100
1401/11/03, 77150, 79050
1401/11/02, 76300, 78000
1401/11/01, 76250, 79500
1401/10/28, 78900, 80150
1401/10/27, 79450, 81000
1401/10/26, 79050, 80950
1401/10/24, 77100, 80600
1401/10/21, 77100, 81050
1401/10/20, 79700, 80450
1401/10/19, 79200, 80700
1401/10/18, 77000, 79150
1401/10/17, 74550, 77250
1401/10/14, 74000, 75700
1401/10/13, 74450, 76000
1401/10/12, 74250, 76250
1401/10/11, 72750, 76500
1401/10/10, 76000, 78900
1401/10/07, 77200, 81050
1401/10/05, 76650, 77900
1401/10/04, 77400, 78700
1401/10/03, 75350, 78550
1401/09/30, 74400, 76300
1401/09/29, 74050, 76500
1401/09/28, 75000, 76200
1401/09/27, 75000, 76200
1401/09/26, 74900, 76200
1401/09/23, 74400, 75450
1401/09/22, 72450, 74550
1401/09/21, 70900, 72500
1401/09/20, 70050, 73000
1401/09/19, 70650, 72450
1401/09/16, 72100, 73500
1401/09/15, 73450, 74050
1401/09/14, 73450, 74900
1401/09/13, 73850, 74300
1401/09/12, 73550, 74950
1401/09/09, 73450, 74800
1401/09/08, 73750, 75000
1401/09/07, 72000, 75100
1401/09/06, 71250, 73900
1401/09/05, 72500, 74000
1401/09/02, 73500, 74200
1401/09/01, 73900, 74450
1401/08/30, 73450, 74700
1401/08/29, 72850, 74800
1401/08/28, 72200, 74150
1401/08/25, 73100, 74600
1401/08/24, 73300, 74300
1401/08/23, 72500, 74800
1401/08/22, 73300, 76000
1401/08/21, 72600, 75550
1401/08/18, 71000, 75050
1401/08/17, 71450, 74900
1401/08/16, 69750, 73850
1401/08/15, 69850, 71150
1401/08/14, 67000, 70150
1401/08/11, 66500, 68200
1401/08/10, 66400, 68500
1401/08/09, 65250, 68500
1401/08/08, 64950, 66400
1401/08/07, 64550, 65250
1401/08/04, 62900, 65600
1401/08/03, 64100, 65750
1401/08/02, 63900, 66000
1401/08/01, 63900, 66000
1401/07/30, 63350, 66000
1401/07/27, 63850, 64250
1401/07/26, 63750, 64150
1401/07/25, 63000, 63950
1401/07/24, 63450, 64850
1401/07/23, 64500, 65550
1401/07/20, 64300, 65400
1401/07/19, 64000, 65400
1401/07/18, 63500, 64850
1401/07/17, 63900, 65450
1401/07/16, 64650, 65500
1401/07/12, 64550, 65900
1401/07/11, 64550, 66100
1401/07/10, 63550, 66700
1401/07/09, 65450, 67750
1401/07/06, 66750, 69400
1401/07/04, 64650, 67600
1401/07/02, 64700, 68150
1401/06/30, 67000, 68300
1401/06/29, 66650, 68000
1401/06/28, 67050, 68350
1401/06/27, 67650, 68350
1401/06/23, 68100, 68700
1401/06/22, 68000, 68600
1401/06/21, 67550, 69200
1401/06/20, 67500, 68450
1401/06/19, 67750, 69000
1401/06/16, 67950, 70500
1401/06/15, 68500, 69250
1401/06/14, 68700, 70600
1401/06/13, 68800, 70000
1401/06/12, 68650, 70100
1401/06/09, 69500, 70500
1401/06/08, 69900, 71100
1401/06/07, 69950, 71100
1401/06/06, 70550, 71700
1401/06/05, 71000, 72100
1401/06/02, 70050, 72100
1401/06/01, 68400, 70650
1401/05/31, 67650, 69200
1401/05/30, 67700, 69750
1401/05/29, 69000, 71600
1401/05/26, 70700, 72400
1401/05/25, 71000, 72500
1401/05/24, 71900, 72850
1401/05/23, 72000, 72700
1401/05/22, 71650, 72750
1401/05/19, 71500, 71950
1401/05/18, 71550, 72200
1401/05/15, 71500, 72300
1401/05/12, 71200, 72000
1401/05/11, 70650, 72050
1401/05/10, 70450, 72050
1401/05/09, 68750, 71900
1401/05/08, 70450, 71950
1401/05/05, 69800, 71350
1401/05/04, 68150, 70400
1401/05/03, 67500, 71600
1401/05/02, 70200, 72150
1401/05/01, 71650, 74100
1401/04/29, 71800, 74000
1401/04/28, 71500, 73800
1401/04/26, 72250, 73050
1401/04/25, 73300, 75300
1401/04/22, 72000, 74600
1401/04/21, 70100, 72900
1401/04/20, 71700, 74500
1401/04/18, 74300, 75950
1401/04/15, 75100, 76300
1401/04/14, 75700, 76700
1401/04/13, 76100, 77000
1401/04/12, 75450, 76950
1401/04/11, 76200, 77600
1401/04/08, 76700, 78600
1401/04/07, 77600, 78800
1401/04/06, 76500, 78100
1401/04/05, 76500, 78100
1401/04/04, 76950, 78550
1401/04/01, 77950, 79500
1401/03/31, 78950, 81400
1401/03/30, 78600, 81200
1401/03/29, 77650, 79350
1401/03/28, 77900, 80550
1401/03/25, 80950, 83000
1401/03/24, 81650, 83400
1401/03/23, 81400, 83850
1401/03/22, 77550, 80900
1401/03/21, 76850, 79000
1401/03/18, 77950, 78700
1401/03/17, 76400, 79200
1401/03/16, 76400, 78150
1401/03/11, 80000, 81750
1401/03/10, 81250, 82500
1401/03/09, 79050, 82300
1401/03/08, 78300, 80100
1401/03/07, 78500, 79550
1401/03/04, 78950, 80800
1401/03/03, 78200, 79500
1401/03/02, 77600, 80900
1401/03/01, 79650, 80150
1401/02/31, 79050, 81000
1401/02/28, 79900, 81150
1401/02/27, 80050, 82000
1401/02/26, 80100, 82900
1401/02/25, 78650, 81200
1401/02/24, 80750, 83000
1401/02/21, 80800, 83350
1401/02/20, 80250, 83750
1401/02/19, 81700, 85750
1401/02/18, 84900, 87250
1401/02/17, 82500, 85400
1401/02/12, 80650, 83750
1401/02/11, 83000, 85800
1401/02/06, 84900, 88850
1401/02/05, 86500, 89800
1401/01/28, 97750, 100000
1401/01/27, 96300, 98400
1401/01/24, 90100, 95750
1401/01/23, 90150, 92750
1401/01/22, 91100, 92800
1401/01/21, 90200, 91700
1401/01/20, 86200, 92400
1401/01/17, 88200, 91000
1401/01/16, 87050, 91500
1401/01/15, 87500, 93200
1401/01/14, 88250, 91050
1401/01/10, 85350, 86800
1401/01/09, 80200, 83600
1401/01/07, 78300, 81000
1401/01/06, 76700, 78350
1400/12/28, 75500, 77450
1400/12/25, 75300, 76100
1400/12/24, 75000, 76250
1400/12/23, 74500, 76200
1400/12/22, 74900, 76600
1400/12/21, 74800, 77400
1400/12/18, 74500, 77800
1400/12/17, 72150, 76050
1400/12/16, 71500, 74400
1400/12/15, 70350, 71300
1400/12/14, 70000, 71250
1400/12/11, 70050, 71050
1400/12/09, 70150, 71000
1400/12/08, 70300, 70950
1400/12/07, 70350, 71800
1400/12/04, 70100, 70850
1400/12/03, 69550, 70500
1400/12/02, 69200, 70650
1400/12/01, 69600, 70800
1400/11/30, 70850, 72000
1400/11/27, 70500, 71950
1400/11/25, 70100, 71750
1400/11/24, 69800, 70950
1400/11/23, 70550, 71650
1400/11/20, 70050, 72100
1400/11/19, 71200, 72900
1400/11/18, 69700, 73000
1400/11/17, 71400, 73450
1400/11/16, 72950, 76500
1400/11/13, 74850, 76750
1400/11/12, 76000, 77250
1400/11/11, 75850, 77500
1400/11/10, 75900, 78250
1400/11/09, 72500, 74800
1400/11/06, 67800, 73900
1400/10/22, 105550, 107950
1400/10/21, 104700, 107200
1400/10/20, 101500, 106700
1400/10/19, 104400, 109000
1400/10/18, 108650, 111200
1400/10/15, 107700, 110091
1400/10/14, 108022, 109000
1400/10/13, 109154, 112303
1400/10/12, 111000, 113123
1400/10/11, 110800, 113549
1400/10/08, 113000, 115400
1400/10/07, 112009, 114751
1400/10/06, 113737, 115500
1400/10/05, 108800, 115000
1400/10/04, 110140, 115200
1400/10/01, 106600, 110488
1400/09/30, 104601, 106490
1400/09/29, 103820, 105990
1400/09/28, 104000, 105977
1400/09/27, 105587, 107332
1400/09/24, 104577, 108090
1400/09/23, 100270, 108840
1400/09/22, 102500, 105856
1400/09/21, 104900, 106760
1400/09/20, 106800, 108890
1400/09/17, 108879, 110300
1400/09/16, 108500, 110307
1400/09/15, 109134, 111100
1400/09/14, 109915, 112392
1400/09/13, 108673, 113301
1400/09/10, 108000, 112834
1400/09/09, 111861, 113501
1400/09/08, 112860, 114500
1400/09/07, 111807, 115172
1400/09/06, 111730, 115981
1400/09/03, 114186, 117500
1400/09/02, 114890, 118439
1400/09/01, 116390, 118443
1400/08/30, 113316, 115899
1400/08/29, 111169, 117517
1400/08/26, 116450, 118800
1400/08/25, 115000, 118514
1400/08/24, 115471, 119799
1400/08/23, 119000, 122000
1400/08/22, 114938, 121100
1400/08/19, 118850, 124120
1400/08/18, 118239, 123800
1400/08/17, 116014, 119700
1400/08/16, 114744, 120954
1400/08/15, 114630, 119318
1400/08/12, 111630, 116000
1400/08/11, 108001, 113550
1400/08/10, 105420, 109500
1400/08/09, 103700, 109999
1400/08/08, 107000, 111271
1400/08/05, 106447, 110920
1400/08/04, 104362, 108500
1400/08/03, 102600, 106199
1400/08/01, 105280, 109000
1400/07/28, 109020, 112330
1400/07/27, 108980, 111917
1400/07/26, 107020, 112890
1400/07/25, 107910, 112490
1400/07/24, 107000, 110876
1400/07/21, 104000, 109000
1400/07/20, 107492, 112300
1400/07/19, 111725, 115000
1400/07/18, 109000, 115000
1400/07/17, 112000, 116700
1400/07/14, 114972, 118300
1400/07/12, 114000, 117147
1400/07/11, 115435, 119624
1400/07/10, 114500, 117823
1400/07/07, 105580, 113118
1400/07/06, 104950, 109121
1400/07/04, 102550, 107900
1400/07/03, 103400, 105072
1400/06/31, 96560, 103990
1400/06/30, 98434, 103605
1400/06/29, 102527, 105940
1400/06/28, 100900, 108000
1400/06/27, 104200, 109795
1400/06/24, 108000, 112283
1400/06/23, 108010, 111799
1400/06/22, 106000, 111000
1400/06/21, 108100, 114000
1400/06/20, 112718, 116300
1400/06/17, 112200, 114980
1400/06/16, 112700, 116129
1400/06/15, 114510, 118700
1400/06/14, 114528, 119400
1400/06/13, 115611, 119937
1400/06/10, 110547, 114528
1400/06/09, 104515, 114000
1400/06/08, 109720, 112596
1400/06/07, 112306, 118222
1400/06/06, 116500, 119950
1400/06/03, 116000, 121900
1400/06/02, 118180, 123200
1400/06/01, 118200, 123900
1400/05/31, 117949, 123924
1400/05/24, 114400, 121300
1400/05/23, 112110, 122500
1400/05/20, 115130, 118983
1400/05/19, 109000, 114324
1400/05/18, 107111, 110007
1400/05/17, 105010, 110000
1400/05/16, 105000, 112500
1400/05/13, 105560, 108421
1400/05/12, 101233, 104750
1400/05/11, 99558, 106380
1400/05/10, 101116, 103995
1400/05/09, 96340, 99816
1400/05/06, 91950, 95308
1400/05/05, 89660, 91700
1400/05/04, 90000, 91922
1400/04/28, 87880, 90850
1400/04/27, 87500, 88511
1400/04/26, 88807, 90970
1400/04/23, 89500, 90990
1400/04/22, 89451, 90439
1400/04/21, 89700, 91180
1400/04/20, 89500, 91200
1400/04/19, 89360, 92000
1400/04/16, 90810, 93049
1400/04/15, 90752, 93400
1400/04/14, 90600, 92490
1400/04/13, 89050, 93420
1400/04/12, 90260, 94800
1400/04/09, 90000, 91920
1400/04/08, 85508, 89783
1400/04/07, 84680, 86991
1400/04/06, 85000, 87450
1400/04/05, 84500, 87600
1400/04/02, 82667, 85300
1400/04/01, 82710, 83570
1400/03/31, 81120, 84220
1400/03/30, 82300, 84200
1400/03/29, 82300, 84500
1400/03/26, 82200, 84895
1400/03/25, 82240, 84640
1400/03/24, 83641, 85790
1400/03/23, 83330, 85300
1400/03/22, 83200, 84970
1400/03/19, 83060, 85290
1400/03/18, 82802, 84750
1400/03/17, 83200, 85999
1400/03/12, 83737, 85520
1400/03/11, 82521, 84220
1400/03/10, 81000, 86049
1400/03/09, 82600, 84381
1400/03/08, 77500, 80753
1400/03/05, 76400, 78480
1400/03/04, 74000, 77500
1400/03/03, 73001, 75000
1400/03/02, 72900, 75300
1400/03/01, 76468, 79000
1400/02/29, 78800, 81900
1400/02/26, 89540, 93510
1400/02/25, 89200, 92500
1400/02/22, 89031, 92200
1400/02/21, 88903, 90580
1400/02/20, 84100, 89206
1400/02/19, 84000, 85499
1400/02/18, 84460, 87700
1400/02/15, 83700, 88000
1400/02/13, 84528, 86210
1400/02/12, 85000, 87700
1400/02/11, 86050, 89000
1400/02/08, 87000, 88850
1400/02/07, 86120, 87900
1400/02/06, 80500, 86700
