date, min_price, max_price
1402/03/03, 365000, 370000
1402/03/02, 363371, 367640
1402/03/01, 362000, 365620
1402/02/31, 354000, 364105
1402/02/30, 352100, 357843
1402/02/27, 347111, 356700
1402/02/25, 343578, 351880
1402/02/24, 339600, 354999
1402/02/23, 334000, 343100
1402/02/20, 339000, 351429
1402/02/19, 342500, 351300
1402/02/18, 341321, 352620
1402/02/17, 351201, 361999
1402/02/16, 360401, 372000
1402/02/13, 361000, 367995
1402/02/12, 358730, 363900
1402/02/11, 357000, 363999
1402/02/10, 358020, 364999
1402/02/09, 346311, 361590
1402/02/06, 337000, 346400
1402/02/05, 335000, 345980
1402/02/04, 334000, 339490
1402/01/30, 336362, 342990
1402/01/29, 336598, 346000
1402/01/28, 326000, 336000
1402/01/27, 327116, 334000
1402/01/26, 312611, 332520
1402/01/22, 308210, 318000
1402/01/21, 308500, 322990
1402/01/20, 308101, 317720
1402/01/19, 304480, 317000
1402/01/16, 300001, 305999
1402/01/15, 301320, 308000
1402/01/14, 295718, 305000
1402/01/09, 293625, 319000
1402/01/08, 290000, 296900
1402/01/07, 285200, 292489
1402/01/06, 290800, 290800
1402/01/05, 286545, 293980
1401/12/28, 283610, 291298
1401/12/27, 277000, 290000
1401/12/24, 268997, 276450
1401/12/23, 262505, 269500
1401/12/22, 264607, 268000
1401/12/21, 262231, 266300
1401/12/20, 265215, 270200
1401/12/16, 260731, 269979
1401/12/15, 258110, 263149
1401/12/14, 258042, 264995
1401/12/13, 256182, 261304
1401/12/10, 254500, 277020
1401/12/09, 260000, 268499
1401/12/08, 257060, 268000
1401/12/07, 262229, 279000
1401/12/06, 260000, 275999
1401/12/03, 249450, 257040
1401/12/02, 252000, 260000
1401/12/01, 242700, 264160
1401/11/30, 237509, 242690
1401/11/26, 237555, 241832
1401/11/25, 239000, 242353
1401/11/24, 238800, 243000
1401/11/23, 238700, 241999
1401/11/19, 241000, 245310
1401/11/18, 240000, 245600
1401/11/17, 237000, 240000
1401/11/16, 237680, 244038
1401/11/12, 241534, 245500
1401/11/11, 240552, 246830
1401/11/10, 237350, 245000
1401/11/09, 239700, 248653
1401/11/08, 248400, 254011
1401/11/05, 247859, 256000
1401/11/04, 251552, 256045
1401/11/03, 252000, 257956
1401/11/02, 249480, 254999
1401/11/01, 248000, 254998
1401/10/28, 245100, 256400
1401/10/27, 247001, 250600
1401/10/26, 241000, 247490
1401/10/24, 234700, 241850
1401/10/21, 235544, 240800
1401/10/20, 237800, 240998
1401/10/19, 233151, 237989
1401/10/18, 234200, 236490
1401/10/17, 231223, 234450
1401/10/14, 226398, 230923
1401/10/13, 225889, 232900
1401/10/12, 223500, 231360
1401/10/11, 222900, 226999
1401/10/10, 220500, 231623
1401/10/07, 229600, 238000
1401/10/05, 224600, 228630
1401/10/04, 225000, 229107
1401/10/03, 218990, 225499
1401/09/30, 215100, 218570
1401/09/29, 215306, 216500
1401/09/28, 215386, 219000
1401/09/27, 215999, 220000
1401/09/26, 213507, 215900
1401/09/23, 213251, 215000
1401/09/22, 208998, 214000
1401/09/21, 206002, 208400
1401/09/20, 204880, 206916
1401/09/19, 202400, 205000
1401/09/16, 205001, 207890
1401/09/15, 204791, 207000
1401/09/14, 204886, 207559
1401/09/13, 204990, 207900
1401/09/12, 206002, 207999
1401/09/09, 206002, 207598
1401/09/08, 206900, 207995
1401/09/07, 205038, 207011
1401/09/06, 202542, 206299
1401/09/05, 204000, 206352
1401/09/02, 203990, 205937
1401/09/01, 202664, 204600
1401/08/30, 202113, 204800
1401/08/29, 202091, 204000
1401/08/28, 197801, 201085
1401/08/25, 200812, 203440
1401/08/24, 201590, 203898
1401/08/23, 199700, 201897
1401/08/22, 201101, 203870
1401/08/21, 201451, 205425
1401/08/18, 197400, 205500
1401/08/17, 198000, 205010
1401/08/16, 190260, 200500
1401/08/15, 188200, 191600
1401/08/14, 181600, 190444
1401/08/11, 179500, 182299
1401/08/10, 179762, 182694
1401/08/09, 179250, 182498
1401/08/08, 176500, 181000
1401/08/07, 176201, 182200
1401/08/04, 177300, 184600
1401/08/03, 181800, 187500
1401/08/02, 185010, 188890
1401/08/01, 188200, 190000
1401/07/30, 189000, 190200
1401/07/27, 188311, 190000
1401/07/26, 188000, 190500
1401/07/25, 186500, 187700
1401/07/24, 186003, 188500
1401/07/23, 174730, 213558
1401/07/20, 189000, 207590
1401/07/19, 188010, 189500
1401/07/18, 184700, 186990
1401/07/17, 184000, 190500
1401/07/16, 186600, 191000
1401/07/12, 185800, 187399
1401/07/11, 186500, 188010
1401/07/10, 187010, 187895
1401/07/09, 188001, 192501
1401/07/06, 192000, 194500
1401/07/04, 189010, 192300
1401/07/02, 189500, 195200
1401/06/30, 193300, 195500
1401/06/29, 195001, 196400
1401/06/28, 194670, 196225
1401/06/27, 196000, 198869
1401/06/23, 198801, 200799
1401/06/22, 198002, 200999
1401/06/21, 197818, 200000
1401/06/20, 198001, 199000
1401/06/19, 198712, 202030
1401/06/16, 199431, 201895
1401/06/15, 199306, 201900
1401/06/14, 199289, 200999
1401/06/13, 198000, 200000
1401/06/12, 196502, 201499
1401/06/09, 199370, 201005
1401/06/08, 199601, 201400
1401/06/07, 199591, 200988
1401/06/06, 199200, 202050
1401/06/05, 199025, 201999
1401/06/02, 196500, 201989
1401/06/01, 193242, 197890
1401/05/31, 193500, 195690
1401/05/30, 192732, 195699
1401/05/29, 193146, 196900
1401/05/26, 194000, 197200
1401/05/25, 194028, 197000
1401/05/24, 192600, 196990
1401/05/23, 192501, 197320
1401/05/22, 192900, 197400
1401/05/19, 191031, 194430
1401/05/18, 190800, 194000
1401/05/15, 191999, 194970
1401/05/12, 186710, 189980
1401/05/11, 186000, 188799
1401/05/10, 185707, 186940
1401/05/09, 184800, 189150
1401/05/08, 188058, 191200
1401/05/05, 190005, 192499
1401/05/04, 190001, 193000
1401/05/03, 190800, 196347
1401/05/02, 193005, 201000
1401/05/01, 197504, 200000
1401/04/29, 195112, 196998
1401/04/28, 194000, 196987
1401/04/26, 193010, 198990
1401/04/25, 196000, 201550
1401/04/22, 197502, 199920
1401/04/21, 194350, 198000
1401/04/20, 194546, 197000
1401/04/18, 197001, 201138
1401/04/15, 199103, 200900
1401/04/14, 199300, 201992
1401/04/13, 200030, 201750
1401/04/12, 197420, 200000
1401/04/11, 196701, 200400
1401/04/08, 198192, 201955
1401/04/07, 199201, 202899
1401/04/06, 197000, 199900
1401/04/05, 196566, 202000
1401/04/04, 198900, 203149
1401/04/01, 200820, 205220
1401/03/31, 203030, 205000
1401/03/30, 202700, 207000
1401/03/29, 202502, 205000
1401/03/28, 203000, 206201
1401/03/25, 205812, 208870
1401/03/24, 207820, 211417
1401/03/23, 206710, 212466
1401/03/22, 199001, 207500
1401/03/21, 200101, 203987
1401/03/18, 200200, 204000
1401/03/17, 199000, 201190
1401/03/16, 199000, 208069
1401/03/11, 204500, 208520
1401/03/10, 203001, 208099
1401/03/09, 203500, 207250
1401/03/08, 201404, 206899
1401/03/07, 207801, 213000
1401/03/04, 207510, 213000
1401/03/03, 208440, 212988
1401/03/02, 210700, 217250
1401/03/01, 211400, 216100
1401/02/31, 211000, 214150
1401/02/28, 214000, 217000
1401/02/27, 216300, 221000
1401/02/26, 216000, 219511
1401/02/25, 214220, 219400
1401/02/24, 211500, 216000
1401/02/21, 205979, 211000
1401/02/20, 201001, 205000
1401/02/19, 201700, 206500
1401/02/18, 200000, 206551
1401/02/17, 198000, 200999
1401/02/12, 196990, 198450
1401/02/11, 196300, 198000
1401/02/10, 196200, 197950
1401/02/07, 196400, 198000
1401/02/06, 197000, 198349
1401/02/05, 195710, 199490
1401/02/04, 196110, 199750
1401/01/31, 195501, 198999
1401/01/30, 194000, 196900
1401/01/29, 191799, 195950
1401/01/28, 188200, 191200
1401/01/27, 186850, 190000
1401/01/24, 183150, 189000
1401/01/23, 182900, 187600
1401/01/22, 187256, 189999
1401/01/21, 185990, 187998
1401/01/20, 181000, 185990
1401/01/17, 182600, 185899
1401/01/16, 182000, 185190
1401/01/15, 182430, 187100
1401/01/14, 181200, 186200
1401/01/10, 177300, 181000
1401/01/09, 176300, 179000
1401/01/08, 0, 0
1401/01/07, 173000, 174900
1401/01/06, 172500, 175440
1400/12/28, 170870, 173000
1400/12/25, 167002, 170470
