date, min_price, max_price
1402/03/03, 24541, 25057
1402/03/02, 24190, 24999
1402/03/01, 23801, 24632
1402/02/31, 23910, 24190
1402/02/30, 23780, 24390
1402/02/27, 24200, 24400
1402/02/25, 23961, 24154
1402/02/24, 23430, 24194
1402/02/23, 23230, 23980
1402/02/20, 23961, 24408
1402/02/19, 23500, 24420
1402/02/18, 24020, 24390
1402/02/17, 24020, 24740
1402/02/16, 24411, 24745
1402/02/13, 24290, 24559
1402/02/12, 24102, 24400
1402/02/11, 24000, 24400
1402/02/10, 23891, 24258
1402/02/09, 24031, 24330
1402/02/06, 23811, 25650
1402/02/05, 23620, 24170
1402/02/04, 23515, 23817
1402/01/30, 23300, 23600
1402/01/29, 22950, 23640
1402/01/28, 22580, 25180
1402/01/27, 22360, 24500
1402/01/26, 21930, 22690
1402/01/22, 21951, 22306
1402/01/21, 21571, 22328
1402/01/20, 21491, 22149
1402/01/19, 21300, 21789
1402/01/16, 20790, 21765
1402/01/15, 20770, 21250
1402/01/14, 20600, 21171
1402/01/09, 20320, 20800
1402/01/08, 20330, 20700
1402/01/07, 19880, 20394
1402/01/05, 19940, 20301
1401/12/28, 19700, 20243
1401/12/27, 19371, 19925
1401/12/24, 18720, 19381
1401/12/23, 18530, 18800
1401/12/22, 17100, 18880
1401/12/21, 18500, 18700
1401/12/20, 18680, 19052
1401/12/16, 18560, 19490
1401/12/15, 18510, 18561
1401/12/14, 18288, 18620
1401/12/13, 18205, 18311
1401/12/10, 18440, 18680
1401/12/09, 18280, 18500
1401/12/08, 18120, 18420
1401/12/07, 18180, 18540
1401/12/06, 18042, 18632
1401/12/03, 17610, 19200
1401/12/02, 17096, 19342
1401/12/01, 16695, 18400
1401/11/30, 16720, 16990
1401/11/26, 16710, 16830
1401/11/25, 16860, 17064
1401/11/24, 16801, 16988
1401/11/23, 16825, 17095
1401/11/19, 16740, 17060
1401/11/18, 16820, 16960
1401/11/17, 16525, 16820
1401/11/16, 16650, 16950
1401/11/12, 16769, 16779
1401/11/11, 16500, 16600
1401/11/10, 16240, 16500
1401/11/09, 16280, 16605
1401/11/08, 16339, 16449
