date, min_price, max_price
1402/03/03, 10022, 10024
1402/03/02, 10014, 10015
1402/03/01, 10007, 10008
1402/02/31, 10194, 10195
1402/02/30, 10186, 10187
1402/02/27, 10170, 10172
1402/02/25, 10159, 10161
1402/02/24, 10149, 10150
1402/02/23, 10141, 10142
1402/02/20, 10126, 10128
1402/02/19, 10118, 10119
1402/02/18, 10111, 10113
1402/02/17, 10103, 10104
1402/02/16, 10096, 10097
1402/02/13, 10081, 10083
1402/02/12, 10073, 10074
1402/02/11, 10066, 10067
1402/02/10, 10057, 10059
1402/02/09, 10051, 10052
1402/02/06, 10036, 10038
1402/02/05, 10028, 10029
1402/02/04, 10020, 10021
1402/01/30, 10215, 10219
1402/01/29, 10199, 10200
1402/01/28, 10192, 10193
1402/01/27, 10186, 10187
1402/01/26, 10179, 10180
1402/01/22, 10161, 10164
1402/01/21, 10151, 10152
1402/01/20, 10144, 10145
1402/01/19, 10137, 10138
1402/01/16, 10122, 10124
1402/01/15, 10114, 10115
1402/01/14, 10107, 10108
1402/01/09, 10089, 10092
1402/01/08, 10070, 10071
1402/01/07, 10063, 10065
1402/01/06, 10052, 10053
1402/01/05, 10039, 10049
1401/12/28, 10006, 10012
1401/12/27, 10160, 10168
1401/12/24, 10152, 10154
1401/12/23, 10144, 10159
1401/12/22, 10137, 10138
1401/12/21, 10130, 10131
1401/12/20, 10123, 10124
1401/12/16, 10104, 10106
1401/12/15, 10093, 10094
1401/12/14, 10086, 10087
1401/12/13, 10079, 10080
1401/12/10, 10065, 10067
1401/12/09, 10057, 10058
1401/12/08, 10050, 10051
1401/12/07, 10043, 10044
1401/12/06, 10036, 10037
1401/12/03, 10021, 10023
1401/12/02, 10013, 10014
1401/12/01, 10006, 10007
1401/11/30, 10188, 10189
1401/11/26, 10168, 10170
1401/11/25, 10158, 10159
1401/11/24, 10151, 10152
1401/11/23, 10144, 10145
1401/11/19, 10125, 10127
1401/11/18, 10114, 10115
1401/11/17, 10107, 10108
1401/11/16, 10100, 10101
1401/11/12, 10081, 10083
1401/11/11, 10071, 10072
1401/11/10, 10064, 10065
1401/11/09, 10055, 10058
1401/11/08, 10050, 10051
1401/11/05, 10035, 10037
1401/11/04, 10027, 10028
1401/11/03, 10020, 10021
1401/11/02, 10013, 10014
1401/11/01, 10006, 10007
1401/10/28, 10175, 10177
1401/10/27, 10167, 10168
1401/10/26, 10160, 10161
1401/10/24, 10145, 10146
1401/10/21, 10130, 10132
1401/10/20, 10122, 10123
1401/10/19, 10115, 10116
1401/10/18, 10108, 10109
1401/10/17, 10101, 10102
1401/10/14, 10086, 10088
1401/10/13, 10079, 10080
1401/10/12, 10072, 10073
1401/10/11, 10065, 10066
1401/10/10, 10058, 10059
1401/10/07, 10042, 10044
1401/10/05, 10033, 10035
1401/10/04, 10024, 10025
1401/10/03, 10017, 10018
1401/09/30, 10184, 10185
1401/09/29, 10176, 10177
1401/09/28, 10166, 10167
1401/09/27, 10160, 10161
1401/09/26, 10152, 10153
1401/09/23, 10138, 10140
1401/09/22, 10130, 10131
1401/09/21, 10122, 10123
1401/09/20, 10116, 10117
1401/09/19, 10110, 10111
1401/09/16, 10096, 10097
1401/09/15, 10086, 10087
1401/09/14, 10080, 10081
1401/09/13, 10074, 10075
1401/09/12, 10068, 10069
1401/09/09, 10054, 10056
1401/09/08, 10046, 10047
1401/09/07, 10040, 10041
1401/09/06, 10034, 10035
1401/09/05, 10028, 10029
1401/09/02, 10014, 10016
1401/09/01, 10006, 10007
1401/08/30, 10177, 10178
1401/08/29, 10170, 10171
1401/08/28, 10164, 10165
1401/08/25, 10150, 10152
1401/08/24, 10142, 10143
1401/08/23, 10132, 10133
1401/08/22, 10126, 10127
1401/08/21, 10120, 10121
1401/08/18, 10106, 10108
1401/08/17, 10098, 10099
1401/08/16, 10086, 10094
1401/08/15, 10086, 10087
1401/08/14, 10080, 10082
1401/08/11, 10066, 10068
1401/08/10, 10058, 10059
1401/08/09, 10052, 10053
1401/08/08, 10046, 10047
1401/08/07, 10040, 10041
1401/08/04, 10026, 10028
1401/08/03, 10018, 10019
1401/08/02, 10012, 10013
1401/08/01, 10006, 10007
1401/07/30, 10176, 10177
1401/07/27, 10157, 10162
1401/07/26, 10153, 10154
1401/07/25, 10147, 10148
1401/07/24, 10140, 10141
1401/07/23, 10131, 10132
1401/07/20, 10117, 10118
1401/07/19, 10109, 10110
1401/07/18, 10101, 10104
1401/07/17, 10095, 10096
1401/07/16, 10088, 10089
1401/07/12, 10070, 10072
1401/07/11, 10061, 10062
1401/07/10, 10055, 10056
1401/07/09, 10048, 10049
1401/07/06, 10034, 10036
1401/07/04, 10022, 10024
1401/07/02, 10011, 10013
1401/06/30, 10173, 10175
1401/06/29, 10165, 10166
1401/06/28, 10159, 10160
1401/06/27, 10153, 10154
1401/06/23, 10135, 10137
1401/06/22, 10126, 10127
1401/06/21, 10120, 10121
1401/06/20, 10114, 10115
1401/06/19, 10108, 10109
1401/06/16, 10094, 10095
1401/06/15, 10086, 10087
1401/06/14, 10080, 10081
1401/06/13, 10074, 10075
1401/06/12, 10068, 10069
1401/06/09, 10054, 10055
1401/06/08, 10046, 10047
1401/06/07, 10040, 10041
1401/06/06, 10034, 10035
1401/06/05, 10028, 10029
1401/06/02, 10013, 10016
1401/06/01, 10006, 10007
1401/05/31, 10177, 10178
1401/05/30, 10171, 10172
1401/05/29, 10164, 10165
1401/05/26, 10150, 10151
1401/05/25, 10142, 10143
1401/05/24, 10136, 10137
1401/05/23, 10130, 10131
1401/05/22, 10123, 10124
1401/05/19, 10109, 10111
1401/05/18, 10101, 10102
1401/05/15, 10086, 10088
1401/05/12, 10070, 10072
1401/05/11, 10063, 10064
1401/05/10, 10057, 10058
1401/05/09, 10051, 10052
1401/05/08, 10044, 10045
1401/05/05, 10028, 10030
1401/05/04, 10023, 10024
1401/05/03, 10017, 10018
1401/05/02, 10011, 10012
1401/05/01, 10006, 10007
1401/04/29, 10225, 10227
1401/04/28, 10219, 10220
1401/04/26, 10209, 10211
1401/04/25, 10203, 10204
1401/04/22, 10191, 10212
1401/04/21, 10183, 10184
1401/04/20, 10175, 10176
1401/04/18, 10162, 10163
1401/04/15, 10146, 10148
1401/04/14, 10137, 10138
1401/04/13, 10131, 10133
1401/04/12, 10125, 10127
1401/03/23, 10000, 10000
1401/03/22, 10000, 10000
1401/03/21, 10000, 10000
