date, min_price, max_price
1402/03/03, 11879, 11880
1402/03/02, 11871, 11872
1402/03/01, 11862, 11863
1402/02/31, 11853, 11854
1402/02/30, 11845, 11846
1402/02/27, 11829, 11830
1402/02/25, 11820, 11821
1402/02/24, 11804, 11805
1402/02/23, 11795, 11796
1402/02/20, 11779, 11780
1402/02/19, 11771, 11772
1402/02/18, 11763, 11764
1402/02/17, 11754, 11755
1402/02/16, 11746, 11747
1402/02/13, 11730, 11731
1402/02/12, 11721, 11722
1402/02/11, 11713, 11714
1402/02/10, 11705, 11706
1402/02/09, 11697, 11698
1402/02/06, 11680, 11687
1402/02/05, 11672, 11673
1402/02/04, 11664, 11665
1402/01/30, 11640, 11641
1402/01/29, 11623, 11624
1402/01/28, 11615, 11616
1402/01/27, 11607, 11608
1402/01/26, 11599, 11600
1402/01/22, 11583, 11584
1402/01/21, 11567, 11568
1402/01/20, 11558, 11559
1402/01/19, 11550, 11551
1402/01/16, 11534, 11535
1402/01/15, 11526, 11527
1402/01/14, 11518, 11519
1402/01/09, 11502, 11503
1402/01/08, 11478, 11479
1402/01/07, 11470, 11471
1402/01/06, 11462, 11462
1402/01/05, 11454, 11455
1401/12/28, 11429, 11446
1401/12/27, 11406, 11407
1401/12/24, 11390, 11391
1401/12/23, 11382, 11383
1401/12/22, 11374, 11375
1401/12/21, 11366, 11367
1401/12/20, 11358, 11359
1401/12/16, 11342, 11343
1401/12/15, 11326, 11327
1401/12/14, 11318, 11319
1401/12/13, 11310, 11311
1401/12/10, 11294, 11295
1401/12/09, 11287, 11288
1401/12/08, 11279, 11280
1401/12/07, 11271, 11272
1401/12/06, 11263, 11264
1401/12/03, 11247, 11248
1401/12/02, 11239, 11240
1401/12/01, 11231, 11232
1401/11/30, 11223, 11224
1401/11/26, 11208, 11213
1401/11/25, 11193, 11194
1401/11/24, 11185, 11186
1401/11/23, 11177, 11178
1401/11/19, 11162, 11166
1401/11/18, 11146, 11147
1401/11/17, 11139, 11140
1401/11/16, 11131, 11132
1401/11/12, 11116, 11120
1401/11/11, 11101, 11102
1401/11/10, 11093, 11094
