date, min_price, max_price
1402/03/03, 48219, 48222
1402/03/02, 48180, 48182
1402/03/01, 48147, 48148
1402/02/31, 48108, 48109
1402/02/30, 48074, 48075
1402/02/27, 47998, 48001
1402/02/25, 47945, 47947
1402/02/24, 47897, 47899
1402/02/23, 47858, 47860
1402/02/20, 47787, 47792
1402/02/19, 47749, 47750
1402/02/18, 47715, 47720
1402/02/17, 47677, 47678
1402/02/16, 47644, 47645
1402/02/13, 47572, 47576
1402/02/12, 47535, 47536
1402/02/11, 47501, 47502
1402/02/10, 47463, 47464
1402/02/09, 47429, 47431
1402/02/06, 47359, 47362
1402/02/05, 47321, 47322
1402/02/04, 47288, 47289
1402/01/30, 47198, 47202
1402/01/29, 47113, 47115
1402/01/28, 47081, 47082
1402/01/27, 47050, 47051
1402/01/26, 47019, 47020
1402/01/22, 46934, 46937
1402/01/21, 46883, 46884
1402/01/20, 46850, 46851
1402/01/19, 46818, 46820
1402/01/16, 46748, 46752
1402/01/15, 46714, 46716
1402/01/14, 46682, 46684
1402/01/09, 46598, 46602
1402/01/08, 46509, 46510
1402/01/07, 46479, 46480
1402/01/06, 46448, 46448
1402/01/05, 46417, 46418
1401/12/28, 46302, 46382
1401/12/27, 46295, 46296
1401/12/24, 46141, 46145
1401/12/23, 46103, 46105
1401/12/22, 46073, 46075
1401/12/21, 46043, 46045
1401/12/20, 46013, 46014
1401/12/16, 45921, 45924
1401/12/15, 45875, 45876
1401/12/14, 45844, 45845
1401/12/13, 45812, 45814
1401/12/10, 45744, 45747
1401/12/09, 45707, 45708
1401/12/08, 45675, 45676
1401/12/07, 45643, 45644
1401/12/06, 45611, 45612
1401/12/03, 45543, 45546
1401/12/02, 45506, 45508
1401/12/01, 45475, 45476
1401/11/30, 45440, 45445
1401/11/26, 45352, 45355
1401/11/25, 45309, 45310
1401/11/24, 45277, 45278
1401/11/23, 45246, 45247
1401/11/19, 45155, 45158
1401/11/18, 45113, 45114
1401/11/17, 45081, 45082
1401/11/16, 45050, 45051
1401/11/12, 44964, 44967
1401/11/11, 44919, 44920
1401/11/10, 44888, 44889
1401/11/09, 44856, 44857
1401/11/08, 44824, 44826
1401/11/05, 44758, 44761
1401/11/04, 44722, 44723
1401/11/03, 44691, 44692
1401/11/02, 44660, 44661
1401/11/01, 44628, 44629
1401/10/28, 44559, 44565
1401/10/27, 44527, 44528
1401/10/26, 44496, 44498
1401/10/24, 44433, 44435
1401/10/21, 44365, 44368
1401/10/20, 44332, 44333
1401/10/19, 44301, 44302
1401/10/18, 44270, 44272
1401/10/17, 44239, 44240
1401/10/14, 44171, 44174
1401/10/13, 44140, 44142
1401/10/12, 44109, 44110
1401/10/11, 44079, 44080
1401/10/10, 44048, 44049
1401/10/07, 43980, 43983
1401/10/05, 43934, 43936
1401/10/04, 43895, 43896
1401/10/03, 43864, 43865
1401/09/30, 43798, 43802
1401/09/29, 43763, 43764
1401/09/28, 43737, 43738
1401/09/27, 43711, 43730
1401/09/26, 43685, 43686
1401/09/23, 43624, 43627
1401/09/22, 43589, 43590
1401/09/21, 43563, 43564
1401/09/20, 43537, 43538
1401/09/19, 43510, 43511
1401/09/16, 43450, 43452
1401/09/15, 43415, 43416
1401/09/14, 43389, 43390
1401/09/13, 43363, 43364
1401/09/12, 43337, 43338
1401/09/09, 43276, 43279
1401/09/08, 43242, 43243
1401/09/07, 43216, 43217
1401/09/06, 43190, 43191
1401/09/05, 43164, 43165
1401/09/02, 43104, 43107
1401/09/01, 43069, 43070
1401/08/30, 43043, 43044
1401/08/29, 43016, 43018
1401/08/28, 42992, 42993
1401/08/25, 42932, 42934
1401/08/24, 42897, 42898
1401/08/23, 42872, 42873
1401/08/22, 42846, 42848
1401/08/21, 42820, 42821
1401/08/18, 42760, 42764
1401/08/17, 42726, 42727
1401/08/16, 42700, 42701
1401/08/15, 42675, 42676
1401/08/14, 42649, 42650
1401/08/11, 42590, 42593
1401/08/10, 42556, 42558
1401/08/09, 42530, 42531
1401/08/08, 42505, 42506
1401/08/07, 42479, 42480
1401/08/04, 42419, 42423
1401/08/03, 42386, 42387
1401/08/02, 42360, 42361
1401/08/01, 42335, 42336
1401/07/30, 42310, 42311
1401/07/27, 42250, 42253
1401/07/26, 42217, 42218
1401/07/25, 42191, 42192
1401/07/24, 42166, 42167
1401/07/23, 42141, 42142
1401/07/20, 42082, 42085
1401/07/19, 42048, 42049
1401/07/18, 42023, 42024
1401/07/17, 41998, 41999
1401/07/16, 41973, 41974
1401/07/12, 41889, 41893
1401/07/11, 41851, 41852
1401/07/10, 41826, 41827
1401/07/09, 41801, 41802
1401/07/06, 41743, 41745
1401/07/04, 41688, 41690
1401/07/02, 41643, 41645
1401/06/30, 41583, 41588
1401/06/29, 41551, 41552
1401/06/28, 41526, 41527
1401/06/27, 41501, 41502
1401/06/23, 41418, 41422
1401/06/22, 41381, 41382
1401/06/21, 41356, 41357
1401/06/20, 41332, 41333
1401/06/19, 41307, 41308
1401/06/16, 41249, 41253
1401/06/15, 41216, 41217
1401/06/14, 41191, 41192
1401/06/13, 41167, 41168
1401/06/12, 41142, 41143
1401/06/09, 41084, 41087
1401/06/08, 41052, 41053
1401/06/07, 41027, 41028
1401/06/06, 41002, 41003
1401/06/05, 40978, 40979
1401/06/02, 40921, 40924
1401/06/01, 40888, 40889
1401/05/31, 40863, 40864
1401/05/30, 40839, 40840
1401/05/29, 40814, 40815
1401/05/26, 40757, 40760
1401/05/25, 40724, 40726
1401/05/24, 40700, 40701
1401/05/23, 40672, 40678
1401/05/22, 40647, 40648
1401/05/19, 40591, 40593
1401/05/18, 40557, 40559
1401/05/15, 40501, 40504
1401/05/12, 40469, 40472
1401/05/11, 40437, 40438
1401/05/10, 40412, 40413
1401/05/09, 40388, 40389
1401/05/08, 40364, 40365
1401/05/05, 40308, 40311
1401/05/04, 40275, 40276
1401/05/03, 40251, 40252
1401/05/02, 40227, 40228
1401/05/01, 40203, 40204
1401/04/29, 40147, 40150
1401/04/28, 40115, 40116
1401/04/26, 40075, 40077
1401/04/25, 40047, 40049
1401/04/22, 39991, 39993
1401/04/21, 39959, 39961
1401/04/20, 39935, 39937
1401/04/18, 39895, 39897
1401/04/15, 39835, 39837
