date, min_price, max_price
1402/03/03, 19810, 20990
1402/03/02, 20320, 21050
1402/03/01, 20000, 20420
1402/02/31, 19480, 20100
1402/02/30, 19400, 20420
1402/02/27, 19500, 20240
1402/02/25, 19020, 19970
1402/02/24, 18900, 19960
1402/02/23, 18370, 19780
1402/02/20, 19000, 20730
1402/02/19, 19000, 20700
1402/02/18, 19070, 20590
1402/02/17, 20430, 22330
1402/02/16, 21820, 22500
1402/02/13, 21570, 21970
1402/02/12, 21150, 21730
1402/02/11, 20770, 21490
1402/02/10, 20600, 21180
1402/02/09, 20410, 20820
1402/02/06, 19950, 20480
1402/02/05, 19900, 20470
1402/02/04, 19400, 19850
1402/01/30, 19410, 19970
1402/01/29, 19290, 19990
1402/01/28, 18970, 19460
1402/01/27, 18940, 19530
1402/01/26, 18200, 19220
1402/01/22, 17840, 18370
1402/01/21, 17920, 18960
1402/01/20, 18530, 19280
1402/01/19, 18200, 19160
1402/01/16, 17050, 18000
1402/01/15, 17110, 17960
1402/01/14, 16800, 17880
1402/01/09, 17130, 17590
1402/01/08, 16910, 17600
1402/01/07, 16820, 17400
1402/01/06, 16890, 17720
1402/01/05, 17120, 17990
1401/12/28, 16850, 17670
1401/12/27, 16260, 17010
1401/12/24, 15400, 16090
1401/12/23, 15020, 15450
1401/12/22, 15010, 15300
1401/12/21, 14920, 15320
1401/12/20, 15240, 16110
1401/12/16, 15140, 15870
1401/12/15, 14950, 15180
1401/12/14, 15070, 15450
1401/12/13, 14860, 15120
1401/12/10, 14870, 15540
1401/12/09, 15240, 15680
1401/12/08, 15150, 16200
1401/12/07, 15200, 16880
1401/12/06, 14950, 15800
1401/12/03, 14070, 14500
1401/12/02, 14120, 14500
1401/12/01, 13260, 13920
1401/11/30, 13050, 13290
1401/11/26, 12980, 13110
1401/11/25, 13100, 13250
1401/11/24, 13100, 13340
1401/11/23, 13070, 13300
1401/11/19, 13190, 13330
1401/11/18, 13000, 13340
1401/11/17, 12750, 13020
1401/11/16, 12840, 13270
1401/11/12, 13030, 13190
1401/11/11, 13010, 13250
1401/11/10, 12580, 13090
1401/11/09, 12730, 13310
1401/11/08, 13350, 13690
1401/11/05, 13010, 13950
1401/11/04, 13790, 13990
1401/11/03, 13840, 14150
1401/11/02, 13750, 13970
1401/11/01, 13740, 14080
1401/10/28, 13720, 14080
1401/10/27, 13750, 14070
1401/10/26, 13480, 14410
1401/10/24, 13170, 13620
1401/10/21, 13260, 13680
1401/10/20, 13470, 13890
1401/10/19, 13320, 13630
1401/10/18, 13180, 13850
1401/10/17, 12920, 13310
1401/10/14, 12780, 13000
1401/10/13, 12870, 13380
1401/10/12, 12720, 13420
1401/10/11, 12540, 13420
1401/10/10, 12830, 13090
1401/10/07, 12800, 13630
1401/10/05, 12400, 12620
1401/10/04, 12430, 12650
1401/10/03, 12150, 12540
1401/09/30, 11940, 12100
1401/09/29, 11860, 12070
1401/09/28, 11910, 12320
1401/09/27, 11900, 12310
1401/09/26, 11740, 11950
1401/09/23, 11800, 12090
1401/09/22, 11410, 11860
1401/09/21, 11150, 11400
1401/09/20, 11020, 11190
1401/09/19, 11020, 11140
1401/09/16, 11110, 11200
1401/09/15, 11150, 11200
1401/09/14, 11120, 11210
1401/09/13, 11130, 11200
1401/09/12, 11070, 11190
1401/09/09, 10990, 11200
1401/09/08, 11040, 11140
1401/09/07, 11000, 11150
1401/09/06, 10980, 11060
1401/09/05, 11000, 11190
1401/09/02, 11040, 11150
1401/09/01, 10990, 11140
1401/08/30, 10910, 11070
1401/08/29, 10890, 11210
1401/08/28, 10860, 11070
1401/08/25, 10960, 11190
1401/08/24, 10950, 11250
1401/08/23, 10950, 11110
1401/08/22, 10990, 11080
1401/08/21, 11000, 11300
1401/08/18, 10730, 11190
1401/08/17, 10790, 11380
1401/08/16, 10530, 10970
1401/08/15, 10410, 10570
1401/08/14, 10100, 10480
1401/08/11, 9930, 10040
1401/08/10, 10000, 10100
1401/08/09, 9920, 10080
1401/08/08, 9580, 9990
1401/08/07, 9530, 9840
1401/08/04, 9830, 10040
1401/08/03, 9910, 10030
1401/08/02, 10030, 10210
1401/08/01, 10100, 10140
1401/07/30, 10110, 10230
1401/07/27, 10100, 10160
1401/07/26, 10140, 10200
1401/07/25, 10050, 10120
1401/07/24, 10120, 10170
1401/07/23, 10150, 10240
1401/07/20, 10200, 10290
1401/07/19, 10130, 10350
1401/07/18, 10060, 10110
1401/07/17, 10070, 10140
1401/07/16, 10120, 10270
1401/07/12, 10120, 10190
1401/07/11, 10140, 10220
1401/07/10, 10080, 10490
1401/07/09, 10250, 10440
1401/07/06, 10400, 10540
1401/07/04, 10180, 10350
1401/07/02, 10270, 10420
1401/06/30, 10450, 10500
1401/06/29, 10480, 10530
1401/06/28, 10530, 10600
1401/06/27, 10560, 10660
1401/06/23, 10620, 10700
1401/06/22, 10610, 10710
