date, min_price, max_price
1402/03/03, 10084, 10099
1402/03/02, 10078, 10095
1402/03/01, 10075, 10090
1402/02/31, 10069, 10082
1402/02/30, 10065, 10079
1402/02/27, 10048, 10066
1402/02/25, 10039, 10056
1402/02/24, 10034, 10047
1402/02/23, 10029, 10044
1402/02/20, 10016, 10031
1402/02/19, 10010, 10027
1402/02/18, 10005, 10023
1402/02/17, 10002, 10019
1402/02/16, 10000, 10006
1402/02/13, 10130, 10148
1402/02/12, 10124, 10136
1402/02/11, 10120, 10136
1402/02/10, 10114, 10130
1402/02/09, 10109, 10127
1402/02/06, 10094, 10111
1402/02/05, 10089, 10105
1402/02/04, 10068, 10081
1402/01/30, 10063, 10081
1402/01/29, 10058, 10077
1402/01/28, 10053, 10072
1402/01/27, 10048, 10067
1402/01/26, 10043, 10061
1402/01/22, 10025, 10042
1402/01/21, 10025, 10037
1402/01/20, 10015, 10032
1402/01/19, 10011, 10028
1402/01/16, 10001, 10014
1402/01/15, 10139, 10153
1402/01/14, 10134, 10152
1402/01/09, 10103, 10121
1402/01/08, 10101, 10113
1402/01/07, 10089, 10110
1402/01/06, 10088, 10106
1402/01/05, 10082, 10098
1401/12/28, 10060, 10072
1401/12/27, 10048, 10067
1401/12/24, 10034, 10048
1401/12/23, 10030, 10040
1401/12/22, 10029, 10047
1401/12/21, 10022, 10028
1401/12/20, 10007, 10029
1401/12/16, 10000, 10005
1401/12/15, 10136, 10154
1401/12/14, 10132, 10140
1401/12/13, 10126, 10132
1401/12/10, 10111, 10115
1401/12/09, 10105, 10119
1401/12/08, 10101, 10114
1401/12/07, 10096, 10105
1401/12/06, 10091, 10105
1401/12/03, 10076, 10098
1401/12/02, 10054, 10072
1401/12/01, 10070, 10084
1401/11/30, 10065, 10082
1401/11/26, 10045, 10087
1401/11/25, 10040, 10041
1401/11/24, 10034, 10035
1401/11/23, 10031, 10048
1401/11/19, 10017, 10033
1401/11/18, 10010, 10022
1401/11/17, 10001, 10018
1401/11/16, 10000, 10002
1401/11/12, 10125, 10144
1401/11/11, 10120, 10132
1401/11/10, 10115, 10125
1401/11/09, 10109, 10118
1401/11/08, 10104, 10110
1401/11/05, 10090, 10108
1401/11/04, 10084, 10099
1401/11/03, 10079, 10085
1401/11/02, 10074, 10076
1401/11/01, 10069, 10081
1401/10/28, 10054, 10059
1401/10/27, 10049, 10065
1401/10/26, 10043, 10061
1401/10/24, 10034, 10051
1401/10/21, 10043, 10046
1401/10/20, 10017, 10026
1401/10/19, 10012, 10020
1401/10/18, 10008, 10023
1401/10/17, 10000, 10010
1401/10/14, 10137, 10161
1401/10/13, 10130, 10147
1401/10/12, 10126, 10142
1401/10/11, 10121, 10134
1401/10/10, 10115, 10129
1401/10/07, 10099, 10126
1401/10/05, 10091, 10106
1401/10/04, 10084, 10097
1401/10/03, 10081, 10096
1401/09/30, 10065, 10085
1401/09/29, 10060, 10075
1401/09/28, 10055, 10069
1401/09/27, 10052, 10068
1401/09/26, 10046, 10058
1401/09/23, 10031, 10046
1401/09/22, 10023, 10036
1401/09/21, 10019, 10020
1401/09/20, 10015, 10024
1401/09/19, 10012, 10021
1401/09/16, 9997, 10002
1401/09/15, 10141, 10152
1401/09/14, 10142, 10149
1401/09/13, 10132, 10138
1401/09/12, 10126, 10137
1401/09/09, 10113, 10123
1401/09/08, 10106, 10119
1401/09/07, 10102, 10115
1401/09/06, 10097, 10111
1401/09/05, 10087, 10096
1401/09/02, 10077, 10089
1401/09/01, 10074, 10085
1401/08/30, 10069, 10082
1401/08/29, 10061, 10074
1401/08/28, 10058, 10071
1401/08/25, 10044, 10056
1401/08/24, 10038, 10045
1401/08/23, 10033, 10040
1401/08/22, 10027, 10029
1401/08/21, 10022, 10023
1401/08/18, 10008, 10012
1401/08/17, 10001, 10011
1401/08/16, 10000, 10003
1401/08/15, 10153, 10156
1401/08/14, 10133, 10143
1401/08/11, 10125, 10135
1401/08/10, 10118, 10126
1401/08/09, 10113, 10120
1401/08/08, 10105, 10116
1401/08/07, 9722, 10108
1401/08/04, 10086, 10097
1401/08/03, 10081, 10091
1401/08/02, 10077, 10089
1401/08/01, 10074, 10086
1401/07/30, 10067, 10074
1401/07/27, 10052, 10059
1401/07/26, 10047, 10060
1401/07/25, 10048, 10054
1401/07/24, 10040, 10044
1401/07/23, 10037, 10042
1401/07/20, 10014, 10025
1401/07/19, 10011, 10016
1401/07/18, 10006, 10012
1401/07/17, 10002, 10010
1401/07/16, 10000, 10005
1401/07/12, 10135, 10139
1401/07/11, 10121, 10132
1401/07/10, 10120, 10128
1401/07/09, 10117, 10130
1401/07/06, 10101, 10114
1401/07/04, 10091, 10102
1401/07/02, 10080, 10090
1401/06/30, 10067, 10074
1401/06/29, 10061, 10068
1401/06/28, 10050, 10062
1401/06/27, 10050, 10060
1401/06/23, 10031, 10040
1401/06/22, 10026, 10030
1401/06/21, 10021, 10032
1401/06/20, 10016, 10025
1401/06/19, 10011, 10017
1401/06/16, 9996, 10006
1401/06/15, 10141, 10151
1401/06/14, 10140, 10152
1401/06/13, 10135, 10146
1401/06/12, 10130, 10142
1401/06/09, 10114, 10116
1401/06/08, 10110, 10116
1401/06/07, 10106, 10117
1401/06/06, 10100, 10112
1401/06/05, 10095, 10107
1401/06/02, 10081, 10092
1401/06/01, 10076, 10085
1401/05/31, 10075, 10081
1401/05/30, 10066, 10070
1401/05/29, 10063, 10073
1401/05/26, 10047, 10057
1401/05/25, 10040, 10052
1401/05/24, 10036, 10047
1401/05/23, 10031, 10038
1401/05/22, 10027, 10038
1401/05/19, 10013, 10022
1401/05/18, 10006, 10018
1401/05/15, 10145, 10155
1401/05/12, 10130, 10141
1401/05/11, 10125, 10136
1401/05/10, 10121, 10129
1401/05/09, 10116, 10127
1401/05/08, 10111, 10122
1401/05/05, 10093, 10101
1401/05/04, 10091, 10103
1401/05/03, 10085, 10096
1401/05/02, 10080, 10091
1401/05/01, 10075, 10086
1401/04/29, 10062, 10072
1401/04/28, 10056, 10067
1401/04/26, 10046, 10057
1401/04/25, 10041, 10049
1401/04/22, 10027, 10037
1401/04/21, 10025, 10033
1401/04/20, 10017, 10027
1401/04/18, 10008, 10018
1401/04/15, 10145, 10157
1401/04/14, 10140, 10153
1401/04/13, 10147, 10151
1401/04/12, 10142, 10150
1401/04/11, 10136, 10144
1401/04/08, 10121, 10133
1401/04/07, 10115, 10125
1401/04/06, 10109, 10112
1401/04/05, 10104, 10116
1401/04/04, 10100, 10111
1401/04/01, 10082, 10096
1401/03/31, 10077, 10083
1401/03/30, 10072, 10076
1401/03/29, 10066, 10069
1401/03/28, 10060, 10066
1401/03/25, 10044, 10053
1401/03/24, 10039, 10044
1401/03/23, 10033, 10036
1401/03/22, 10028, 10039
1401/03/21, 10023, 10031
1401/03/18, 10007, 10018
1401/03/17, 10003, 10013
1401/03/16, 10000, 10006
1401/03/11, 10138, 10146
1401/03/10, 10133, 10145
1401/03/09, 10128, 10135
1401/03/08, 10122, 10135
1401/03/07, 10118, 10130
1401/03/04, 10101, 10114
1401/03/03, 10098, 10109
1401/03/02, 10092, 10103
1401/03/01, 10086, 10096
1401/02/31, 10080, 10092
1401/02/28, 10062, 10070
1401/02/27, 10056, 10062
1401/02/26, 10051, 10059
1401/02/25, 10045, 10058
1401/02/24, 10039, 10053
1401/02/21, 10023, 10037
1401/02/20, 10018, 10020
1401/02/19, 10012, 10019
1401/02/18, 10007, 10015
1401/02/17, 10001, 10013
1401/02/12, 10145, 10155
1401/02/11, 10141, 10151
1401/02/10, 10133, 10146
1401/02/07, 10116, 10126
1401/02/06, 10111, 10120
1401/02/05, 10105, 10114
1401/02/04, 10099, 10110
1401/01/31, 10078, 10090
1401/01/30, 10073, 10079
1401/01/29, 10067, 10071
1401/01/28, 10063, 10071
1401/01/27, 10057, 10062
1401/01/24, 10039, 10048
1401/01/23, 10034, 10041
1401/01/22, 10028, 10036
1401/01/21, 10023, 10035
1401/01/20, 10018, 10024
1401/01/17, 10007, 10015
1401/01/16, 10001, 10012
1401/01/15, 10145, 10161
1401/01/14, 10138, 10152
1401/01/10, 10130, 10139
1401/01/09, 10122, 10134
1401/01/08, 10115, 10128
1401/01/07, 10108, 10119
1401/01/06, 10101, 10119
1400/12/28, 10096, 10115
1400/12/25, 10066, 10070
1400/12/24, 10042, 10046
1400/12/23, 10035, 10041
1400/12/22, 10025, 10033
1400/12/21, 10023, 10028
1400/12/18, 10007, 10014
1400/12/17, 10003, 10008
1400/12/16, 10001, 10004
1400/12/15, 10157, 10163
1400/12/14, 10150, 10156
1400/12/11, 10133, 10143
1400/12/09, 10123, 10132
1400/12/08, 10118, 10126
1400/12/07, 10111, 10121
1400/12/04, 10095, 10104
1400/12/03, 10091, 10105
1400/12/02, 10083, 10095
1400/12/01, 10080, 10090
1400/11/30, 10072, 10090
