date, min_price, max_price
1401/09/27, 130400, 130400
1401/09/23, 127000, 127000
1401/09/21, 140940, 140950
1401/09/20, 156600, 156600
1401/08/30, 174000, 174000
1401/08/28, 169999, 170000
1401/08/25, 155700, 155700
1401/08/24, 173000, 173000
1401/08/23, 167000, 167899
1401/08/22, 142600, 167899
1401/08/16, 158400, 158401
1401/08/15, 144001, 144001
1401/08/10, 160001, 160001
1401/08/03, 160000, 185900
1401/08/01, 162000, 179998
1401/07/30, 169000, 179500
1401/07/26, 166600, 169000
1401/07/25, 152100, 168900
1401/07/18, 169000, 169000
1401/07/17, 150521, 167243
1401/07/12, 161731, 169999
1401/07/10, 157900, 161731
1401/07/04, 141088, 159900
1401/07/02, 153910, 160000
1401/06/30, 166000, 178999
1401/06/29, 152642, 170000
1401/06/28, 169602, 169602
1401/06/27, 154184, 154184
1401/06/23, 134000, 143255
1401/06/22, 125000, 137137
1401/06/21, 124670, 124670
1401/06/15, 113318, 113356
1401/06/14, 103051, 103051
1401/06/06, 93683, 93683
1401/05/19, 85167, 85167
1401/05/12, 85000, 85250
1401/05/10, 77500, 77500
1401/05/09, 75000, 80000
1401/04/21, 80864, 80864
1401/04/12, 86010, 93000
1401/04/07, 95289, 95310
1401/04/05, 105876, 105876
1401/03/30, 114300, 126998
1401/03/11, 126998, 127000
1401/03/07, 127089, 127089
1401/02/28, 141210, 141210
1401/02/27, 141210, 141210
1400/12/25, 145800, 170000
1400/12/24, 162000, 162000
1400/09/29, 180000, 180000
1399/12/05, 200000, 200000
1399/06/26, 200000, 200000
1399/06/25, 200000, 200000
1399/06/24, 200000, 200000
1399/06/23, 200000, 200000
1399/06/22, 200000, 200000
1399/06/19, 200000, 200000
1399/06/18, 200000, 200000
1399/06/17, 200000, 200000
1399/06/16, 200000, 200000
1399/06/15, 200000, 200000
