date, min_price, max_price
1402/03/03, 451001, 458001
1402/03/02, 448099, 453498
1402/03/01, 448129, 453000
1402/02/31, 437001, 451196
1402/02/30, 434008, 451001
1402/02/27, 441003, 450988
1402/02/25, 435000, 452990
1402/02/24, 435020, 454990
1402/02/23, 412750, 439980
1402/02/20, 431000, 467009
1402/02/19, 425001, 462800
1402/02/18, 424067, 457500
1402/02/17, 459101, 502899
1402/02/16, 493100, 502100
1402/02/13, 491001, 498000
1402/02/12, 491820, 499899
1402/02/11, 480244, 499433
1402/02/10, 488030, 496001
1402/02/09, 465999, 490889
1402/02/06, 458000, 467950
1402/02/05, 458000, 467100
1402/02/04, 451001, 457773
1402/01/30, 450000, 458590
1402/01/29, 449553, 460001
1402/01/28, 441200, 451789
1402/01/27, 441703, 455001
1402/01/26, 438000, 451000
1402/01/22, 418100, 436090
1402/01/21, 418647, 439001
1402/01/20, 430016, 438000
1402/01/19, 416620, 438500
1402/01/16, 404001, 418020
1402/01/15, 406000, 416501
1402/01/14, 397000, 413700
1402/01/09, 400007, 413986
1402/01/08, 400100, 406799
1402/01/07, 387886, 402500
1402/01/06, 400200, 400200
1402/01/05, 392001, 408000
1401/12/28, 390250, 411553
1401/12/27, 376010, 405234
1401/12/24, 360000, 377999
1401/12/23, 352599, 364001
1401/12/22, 350000, 361420
1401/12/21, 348000, 357999
1401/12/20, 356002, 367001
1401/12/16, 351800, 372200
1401/12/15, 340020, 355900
1401/12/14, 352100, 360600
1401/12/13, 347501, 355997
1401/12/10, 349000, 366800
1401/12/09, 361002, 370999
1401/12/08, 355005, 387000
1401/12/07, 370616, 407677
1401/12/06, 355005, 371111
1401/12/03, 330789, 345000
1401/12/02, 335000, 351001
1401/12/01, 311500, 336391
1401/11/30, 300500, 312000
1401/11/26, 298510, 302719
1401/11/25, 300400, 306001
1401/11/24, 301502, 307950
1401/11/23, 302012, 310000
1401/11/19, 306400, 311800
1401/11/18, 301001, 309496
1401/11/17, 293100, 302394
1401/11/16, 297501, 305900
1401/11/12, 302005, 308800
1401/11/11, 301505, 308372
1401/11/10, 294501, 303998
1401/11/09, 293002, 307990
1401/11/08, 305002, 314950
1401/11/05, 302001, 317002
1401/11/04, 317100, 322875
1401/11/03, 317005, 325500
1401/11/02, 314001, 322500
