date, min_price, max_price
1402/03/03, 11338, 11341
1402/03/02, 11330, 11331
1402/03/01, 11320, 11339
1402/02/31, 11310, 11339
1402/02/30, 11300, 11302
1402/02/27, 11276, 11300
1402/02/25, 11250, 11273
1402/02/24, 11240, 11259
1402/02/23, 11235, 11237
1402/02/20, 11220, 11230
1402/02/19, 11210, 11215
1402/02/18, 11205, 11207
1402/02/17, 11199, 11206
1402/02/16, 11190, 11202
1402/02/13, 11180, 11197
1402/02/12, 11061, 11179
1402/02/11, 11150, 11182
1402/02/10, 11140, 11142
1402/02/09, 11098, 11100
1402/02/06, 11080, 11090
1402/02/05, 11041, 11078
1402/02/04, 11040, 11258
1402/01/30, 11001, 11040
1402/01/29, 10980, 11000
1402/01/28, 10960, 10989
1402/01/27, 10901, 10950
1402/01/26, 10855, 10938
1402/01/22, 10810, 10820
1402/01/21, 10800, 10803
1402/01/20, 10778, 10830
1402/01/19, 10770, 10800
1402/01/16, 10740, 10740
1402/01/15, 10720, 10731
1402/01/14, 10720, 10721
1402/01/09, 10687, 10688
1402/01/08, 10680, 10681
1402/01/07, 10660, 10673
1402/01/05, 10660, 10766
1401/12/28, 10626, 10627
1401/12/27, 10600, 10706
1401/12/24, 10490, 10564
1401/12/23, 10490, 10557
1401/12/22, 10490, 10595
1401/12/21, 10544, 10544
1401/12/20, 10538, 10547
1401/12/16, 10510, 10515
1401/12/15, 10491, 10510
1401/12/14, 10491, 10492
1401/12/13, 10474, 10510
1401/12/10, 10465, 10500
1401/09/21, 10000, 10000
1401/09/20, 10000, 10000
1401/09/19, 10000, 10000
