date, min_price, max_price
1402/03/03, 4281, 4479
1402/03/02, 4230, 4473
1402/03/01, 4250, 4400
1402/02/31, 4200, 4421
1402/02/30, 4248, 4500
1402/02/27, 4329, 4455
1402/02/25, 4041, 4302
1402/02/24, 3900, 4109
1402/02/23, 3907, 4082
1402/02/20, 4034, 4450
1402/02/19, 4199, 4400
1402/02/18, 4420, 4420
1402/02/17, 4633, 4890
1402/02/16, 4811, 5001
1402/02/13, 4850, 5040
1402/02/12, 4899, 5112
1402/02/11, 4751, 5000
1402/02/10, 4741, 4909
1402/02/09, 4560, 4676
1402/02/06, 4178, 4511
1402/02/05, 4220, 4348
1402/02/04, 4113, 4295
1402/01/30, 4171, 4361
1402/01/29, 4201, 4411
1402/01/28, 4086, 4218
1402/01/27, 3880, 4086
1402/01/26, 3860, 3947
1402/01/22, 3623, 3860
1402/01/21, 3648, 3846
1402/01/20, 3460, 3686
1402/01/19, 3401, 3574
1402/01/16, 3314, 3493
1402/01/15, 3332, 3480
1402/01/14, 3304, 3440
1402/01/09, 3332, 3489
1402/01/08, 3250, 3395
1402/01/07, 3112, 3350
1402/01/06, 3157, 3323
1402/01/05, 3262, 3410
1401/12/28, 3200, 3301
1401/12/27, 3190, 3200
1401/12/24, 2962, 3087
1401/12/23, 2914, 3022
1401/12/15, 3660, 3770
1401/12/14, 3650, 3746
1401/12/13, 3542, 3720
1401/12/10, 3506, 3681
1401/12/09, 3541, 3670
1401/12/08, 3545, 3662
1401/12/07, 3630, 3823
1401/12/06, 3640, 3840
1401/12/03, 3580, 3729
1401/12/02, 3640, 3780
1401/12/01, 3638, 3773
1401/11/30, 3600, 3800
1401/11/26, 3490, 3759
1401/11/25, 3490, 3649
1401/11/24, 3560, 3800
1401/11/12, 4301, 4465
1401/11/11, 4125, 4294
1401/11/10, 4077, 4363
1401/11/09, 4278, 4537
1401/11/08, 4503, 4503
1401/11/05, 4730, 4950
1401/11/04, 4970, 5200
1401/11/03, 4960, 5470
1401/11/02, 5120, 5510
1401/11/01, 5350, 5670
1401/10/28, 5550, 5740
1401/10/27, 5480, 5950
1401/10/26, 5630, 5820
1401/10/24, 5070, 5600
1401/10/21, 5124, 5355
1401/10/20, 4882, 5116
1401/10/19, 4718, 4994
1401/10/18, 4692, 4937
1401/10/17, 4731, 5100
1401/10/14, 4880, 5041
1401/10/12, 4506, 4910
1401/10/11, 4400, 4862
1401/10/10, 4370, 4727
1401/10/07, 4400, 4516
1401/10/05, 4110, 4312
1401/10/04, 3960, 4110
1401/10/03, 3711, 3920
1401/09/30, 3667, 3800
1401/09/29, 3644, 3761
1401/09/28, 3446, 3687
1401/09/27, 3350, 3516
1401/09/26, 3223, 3408
1401/09/23, 3276, 3360
1401/09/22, 3195, 3318
1401/09/21, 3190, 3278
1401/09/20, 3111, 3250
1401/09/19, 3107, 3220
1401/09/16, 3151, 3230
1401/09/15, 3141, 3219
1401/09/14, 3156, 3214
1401/09/13, 3156, 3239
1401/09/12, 3174, 3272
1401/09/09, 3153, 3250
1401/09/08, 3165, 3250
1401/09/07, 3141, 3215
1401/09/06, 3142, 3200
1401/09/05, 3132, 3261
1401/09/02, 3108, 3310
1401/09/01, 3100, 3200
1401/08/30, 3127, 3198
1401/08/29, 3102, 3203
1401/08/28, 3061, 3138
1401/08/25, 3023, 3121
1401/08/24, 3035, 3087
1401/08/23, 3030, 3110
1401/08/22, 3034, 3111
1401/08/21, 3038, 3130
1401/08/18, 2995, 3100
1401/08/17, 3029, 3185
1401/08/16, 2962, 3110
1401/08/15, 2929, 3012
1401/08/14, 2826, 2966
1401/08/11, 2774, 2918
1401/08/10, 2886, 2980
1401/08/09, 2812, 2933
1401/08/08, 2747, 2914
1401/08/07, 2873, 3040
1401/08/04, 2847, 3099
1401/08/03, 2873, 3030
1401/08/02, 2900, 3039
1401/08/01, 2730, 2915
1401/07/30, 2751, 2814
1401/07/27, 2700, 2768
1401/07/26, 2676, 2773
1401/07/25, 2623, 2747
1401/07/24, 2571, 2684
1401/07/23, 2666, 2749
1401/07/20, 2651, 2690
1401/07/19, 2565, 2660
1401/07/18, 2500, 2600
1401/07/17, 2530, 2662
1401/07/16, 2609, 2680
1401/07/12, 2573, 2667
1401/07/11, 2638, 2701
1401/07/10, 2702, 2779
1401/07/09, 2751, 2870
1401/07/06, 2845, 2906
1401/07/04, 2783, 2893
1401/07/02, 2786, 2912
1401/06/30, 2901, 3024
