date, min_price, max_price
1402/03/01, 3177, 3477
1402/02/31, 3151, 3339
1402/02/30, 3218, 3465
1402/02/27, 3160, 3320
1402/02/25, 2888, 3242
1402/02/24, 2951, 3086
1402/02/23, 2843, 3060
1402/02/20, 2976, 3367
1402/02/19, 3092, 3311
1402/02/18, 3324, 3324
1402/02/17, 3408, 3750
1402/02/16, 3570, 3771
1402/02/13, 3657, 3860
1402/02/12, 3680, 3950
1402/02/11, 3710, 3910
1402/02/10, 3790, 3949
1402/02/09, 3678, 3955
1402/02/06, 3671, 3970
1402/02/05, 3600, 3910
1402/02/04, 3673, 3980
1402/01/30, 3748, 4111
1402/01/29, 3760, 3966
1402/01/28, 3601, 3718
1402/01/27, 3300, 3580
1402/01/26, 3252, 3560
1402/01/22, 3100, 3459
1402/01/21, 3000, 3348
1402/01/20, 2901, 3162
1402/01/19, 2813, 2961
1402/01/16, 2571, 2813
1402/01/15, 2559, 2699
1402/01/14, 2410, 2549
1402/01/09, 2283, 2463
1402/01/08, 2280, 2349
1402/01/07, 2270, 2349
1402/01/06, 2280, 2359
1402/01/05, 2308, 2395
1401/12/28, 2313, 2400
1401/12/27, 2273, 2407
1401/12/24, 2265, 2416
1401/12/23, 2202, 2293
1401/12/22, 2175, 2288
1401/12/21, 2170, 2340
1401/12/20, 2240, 2380
1401/12/16, 2242, 2320
1401/12/15, 2276, 2370
1401/12/14, 2300, 2440
1401/12/13, 2290, 2450
1401/12/10, 2361, 2450
1401/12/09, 2250, 2440
1401/12/08, 2231, 2396
1401/12/07, 2281, 2448
1401/12/06, 2280, 2420
1401/12/03, 2240, 2340
1401/12/02, 2250, 2427
1401/12/01, 2190, 2331
1401/11/30, 2100, 2210
1401/11/26, 2100, 2222
1401/11/25, 2155, 2250
1401/11/24, 2215, 2339
1401/11/23, 2250, 2379
1401/11/19, 2180, 2280
1401/11/18, 2120, 2250
1401/11/17, 2045, 2165
1401/11/16, 2092, 2222
1401/11/12, 2052, 2159
1401/11/11, 1980, 2021
1401/11/10, 1850, 1940
1401/11/09, 1844, 2000
1401/11/08, 1920, 2023
1401/11/05, 1956, 2040
1401/11/04, 2020, 2100
1401/11/03, 2010, 2147
1401/11/02, 2057, 2159
1401/11/01, 2052, 2193
1401/10/28, 2075, 2151
1401/10/27, 2078, 2220
1401/10/26, 2170, 2259
1401/10/24, 2010, 2220
1401/10/21, 1991, 2126
1401/10/20, 2010, 2108
1401/10/19, 1845, 2006
1401/10/18, 1830, 1911
1401/10/17, 1787, 1849
1401/10/14, 1780, 1878
1401/10/13, 1793, 1890
1401/10/12, 1776, 1853
1401/10/11, 1732, 1866
1401/10/10, 1823, 1910
1401/10/07, 1780, 1943
1401/10/05, 1845, 1877
1401/10/04, 1836, 1924
1401/10/03, 1795, 1900
1401/09/30, 1770, 1847
1401/09/29, 1781, 1853
1401/09/28, 1802, 1890
1401/09/27, 1779, 1891
1401/09/26, 1707, 1810
1401/09/23, 1740, 1790
1401/09/22, 1720, 1779
1401/09/21, 1693, 1750
1401/09/20, 1646, 1716
1401/09/19, 1647, 1713
1401/09/16, 1631, 1706
1401/09/15, 1644, 1697
1401/09/14, 1659, 1695
1401/09/13, 1651, 1710
1401/09/12, 1680, 1724
1401/09/09, 1674, 1739
1401/09/08, 1681, 1750
1401/09/07, 1670, 1717
1401/09/06, 1640, 1670
1401/09/05, 1651, 1710
1401/09/02, 1655, 1715
1401/09/01, 1653, 1717
1401/08/30, 1670, 1749
1401/08/29, 1667, 1754
1401/08/28, 1642, 1717
1401/08/25, 1661, 1695
1401/08/24, 1654, 1700
1401/08/23, 1651, 1700
1401/08/22, 1670, 1733
1401/08/21, 1690, 1798
1401/08/18, 1671, 1780
1401/08/17, 1692, 1825
1401/08/16, 1610, 1723
1401/08/15, 1580, 1645
1401/08/14, 1570, 1645
1401/08/11, 1502, 1618
1401/08/10, 1586, 1623
1401/08/09, 1580, 1640
1401/08/08, 1491, 1620
1401/08/07, 1491, 1640
1401/08/04, 1550, 1624
1401/08/03, 1552, 1627
1401/08/02, 1566, 1645
1401/08/01, 1615, 1669
1401/07/30, 1600, 1667
1401/07/27, 1517, 1650
1401/07/26, 1516, 1600
1401/07/25, 1528, 1602
1401/07/24, 1583, 1700
1401/07/23, 1580, 1632
