date, min_price, max_price
1402/03/01, 201620, 209999
1402/02/31, 199220, 204900
1402/02/30, 198130, 206000
1402/02/27, 195886, 208000
1402/02/25, 195359, 206963
1402/02/24, 189002, 206838
1402/02/23, 189783, 200602
1402/02/20, 198455, 213320
1402/02/19, 207000, 220000
1402/02/18, 202209, 220000
1402/02/17, 217554, 240990
1402/02/16, 234998, 239941
1402/02/13, 228101, 239000
1402/02/12, 220100, 230995
1402/02/11, 215662, 224653
1402/02/10, 212100, 229800
1402/02/09, 207100, 214999
1402/02/06, 206006, 216000
1402/02/05, 211501, 229480
1402/02/04, 200008, 210657
1402/01/30, 198606, 206489
1402/01/29, 200999, 218850
1402/01/28, 195003, 207490
1402/01/27, 192223, 214950
1402/01/26, 186000, 197540
1402/01/22, 181000, 189200
1402/01/21, 181000, 190500
1402/01/20, 179001, 189499
1402/01/19, 175440, 189000
1402/01/16, 169580, 178074
1402/01/15, 166041, 178000
1402/01/14, 165002, 169900
1402/01/09, 164000, 169999
1402/01/08, 162549, 167000
1402/01/07, 155601, 163265
1402/01/05, 158501, 162999
1401/12/28, 156210, 163996
1401/12/27, 155000, 164000
1401/12/24, 149000, 163006
1401/12/23, 147200, 149024
1401/12/22, 146501, 150000
1401/12/21, 146102, 149993
1401/12/20, 140001, 149986
1401/12/16, 143820, 151991
1401/12/15, 143000, 164500
1401/12/14, 146578, 155900
1401/12/13, 147066, 153890
1401/12/10, 144001, 170000
1401/12/09, 147002, 164000
1401/12/08, 140004, 154498
1401/12/07, 147000, 162148
1401/12/06, 142900, 151013
1401/12/03, 136601, 139499
1401/12/02, 137002, 144990
1401/12/01, 130970, 138000
1401/11/30, 126051, 130990
1401/11/26, 126000, 127300
1401/11/25, 127000, 133100
1401/11/24, 127500, 129000
1401/11/23, 127000, 130489
1401/11/19, 126001, 133997
1401/11/18, 129002, 132000
1401/11/17, 129001, 132000
1401/11/16, 129000, 148800
1401/11/12, 128044, 144900
1401/11/11, 130278, 135300
1401/11/10, 127000, 145000
1401/11/09, 128000, 139780
1401/11/08, 135300, 156000
1401/11/05, 134000, 149500
1401/11/04, 138000, 142000
1401/11/03, 138630, 142968
1401/11/02, 138003, 142900
1401/11/01, 139000, 141981
1401/10/28, 139030, 141990
1401/10/27, 139000, 143650
