date, min_price, max_price
1402/03/03, 6290, 6510
1402/03/02, 6350, 6510
1402/03/01, 6330, 6580
1402/02/31, 6220, 6470
1402/02/30, 6210, 6560
1402/02/27, 6200, 6550
1402/02/25, 6020, 6400
1402/02/24, 6050, 6550
1402/02/23, 6270, 6270
1402/02/20, 6470, 7040
1402/02/19, 6730, 7120
1402/02/18, 6890, 6920
1402/02/17, 7160, 7900
1402/02/16, 7100, 7640
1402/02/13, 7100, 7680
1402/02/12, 7140, 7670
1402/02/11, 7120, 7620
1402/02/10, 6920, 7390
1402/02/09, 6840, 7060
1402/01/29, 6790, 7080
1402/01/28, 6340, 6860
1402/01/27, 6320, 6730
1402/01/26, 6230, 6510
1402/01/22, 6010, 6440
1402/01/21, 6090, 6490
1402/01/20, 6010, 6350
1402/01/19, 5710, 6140
1402/01/16, 5600, 5950
1402/01/15, 5650, 6090
1402/01/14, 5630, 5890
1402/01/09, 5500, 5740
1402/01/08, 5362, 5720
1402/01/07, 5280, 5492
1402/01/06, 5042, 5272
1402/01/05, 5025, 5160
1401/12/28, 4953, 5147
1401/12/27, 4820, 5019
1401/12/24, 4740, 4899
1401/12/23, 4685, 4890
1401/12/22, 4763, 4915
1401/12/21, 4784, 5030
1401/12/20, 4940, 5100
1401/12/16, 4880, 5050
1401/12/15, 4900, 5080
1401/12/14, 4900, 5060
1401/12/13, 4900, 5070
1401/12/10, 4960, 5130
1401/12/09, 5050, 5240
1401/12/08, 5050, 5350
1401/12/07, 5050, 5480
1401/12/06, 5040, 5290
1401/12/03, 4960, 5151
1401/12/02, 4990, 5220
1401/12/01, 4950, 5160
1401/11/30, 4900, 5036
1401/11/26, 4800, 5060
1401/11/25, 4930, 5080
1401/11/24, 4970, 5100
1401/11/23, 4950, 5220
1401/11/19, 5040, 5216
1401/11/18, 5028, 5216
1401/11/17, 4770, 5100
1401/11/16, 4880, 5090
1401/11/12, 4900, 5060
1401/11/11, 4870, 5140
1401/11/10, 4720, 5140
1401/11/09, 4910, 5160
1401/11/08, 5020, 5500
1401/11/05, 5250, 5570
1401/11/04, 5430, 5680
1401/11/03, 5400, 5830
1401/11/02, 5190, 5600
1401/11/01, 5250, 5490
1401/10/28, 5390, 5650
1401/10/27, 5440, 5750
1401/10/26, 5430, 5570
1401/10/24, 5100, 5450
1401/10/21, 5170, 5400
1401/10/20, 5186, 5499
1401/10/19, 5117, 5360
1401/10/18, 5080, 5114
1401/10/17, 4767, 4939
1401/10/14, 4614, 4790
1401/10/13, 4750, 4933
1401/10/12, 4800, 4980
1401/10/11, 4716, 4946
1401/10/10, 4777, 4996
1401/10/07, 4881, 5090
1401/10/05, 4835, 4928
1401/10/04, 4815, 4993
1401/10/03, 4852, 5056
1401/09/30, 4810, 4999
1401/09/29, 4926, 5340
1401/09/28, 5070, 5196
1401/09/27, 4900, 4949
1401/09/26, 4570, 4938
1401/09/23, 4700, 4878
1401/09/22, 4740, 4950
1401/09/21, 4698, 4799
1401/09/20, 4681, 4790
1401/09/19, 4680, 4820
1401/09/16, 4715, 4819
1401/09/15, 4715, 4814
1401/09/14, 4705, 4821
1401/09/13, 4720, 4819
1401/09/12, 4726, 4846
1401/09/09, 4729, 4824
1401/09/08, 4711, 4838
1401/09/07, 4726, 4849
1401/09/06, 4733, 4850
1401/09/05, 4702, 4960
1401/09/02, 4750, 4868
1401/09/01, 4710, 4846
1401/08/30, 4700, 4920
1401/08/29, 4752, 4899
1401/08/28, 4665, 4765
1401/08/25, 4710, 4880
1401/08/24, 4720, 4900
1401/08/23, 4820, 5000
1401/08/22, 4910, 5070
1401/08/21, 4900, 5140
1401/08/18, 4900, 5100
1401/08/17, 4960, 5250
1401/08/16, 4900, 5240
1401/08/15, 4900, 4990
1401/08/14, 4880, 5090
1401/08/11, 4880, 5000
