date, min_price, max_price
1402/03/03, 33250, 34600
1402/03/02, 34250, 35000
1402/03/01, 33200, 35050
1402/02/31, 32550, 34250
1402/02/30, 32450, 35200
1402/02/27, 31650, 34200
1402/02/25, 30550, 32350
1402/02/24, 28700, 30250
1402/02/23, 27500, 30100
1402/02/20, 28350, 31900
1402/02/19, 29600, 31700
1402/02/18, 31700, 32550
1402/02/17, 33900, 36500
1402/02/16, 35150, 36850
1402/02/13, 35800, 37100
1402/02/12, 34050, 35800
1402/02/11, 33000, 34150
1402/02/10, 33500, 34500
1402/02/09, 32850, 35600
1402/02/06, 33600, 35750
1402/02/05, 31450, 33900
1402/02/04, 31350, 32300
1402/01/30, 30250, 31700
1402/01/29, 30350, 32800
1402/01/28, 30750, 32800
1402/01/27, 31350, 34450
1402/01/26, 31700, 32600
1402/01/22, 28800, 31250
1402/01/21, 28050, 30950
1402/01/20, 27800, 29450
1402/01/19, 26150, 27800
1402/01/16, 25400, 26300
1402/01/15, 25250, 26600
1402/01/14, 24200, 25550
1402/01/09, 24700, 25450
1402/01/08, 25000, 26100
1402/01/07, 25000, 26000
1402/01/06, 24700, 26450
1402/01/05, 25600, 26950
1401/12/28, 24800, 25350
1401/12/27, 24750, 24750
1401/12/21, 25550, 26600
1401/12/20, 26050, 27100
1401/12/16, 26250, 27950
1401/12/15, 26550, 27350
1401/12/14, 25050, 26000
1401/12/13, 23600, 24950
1401/12/10, 23500, 25400
1401/12/09, 22700, 24200
1401/12/08, 21800, 23100
1401/12/07, 22500, 24200
1401/12/06, 23150, 23500
1401/12/03, 21980, 21980
1401/12/02, 20600, 20600
1401/12/01, 20020, 20020
1401/11/30, 17500, 19000
