date, min_price, max_price
1402/03/03, 63010, 66500
1402/03/02, 62600, 65060
1402/03/01, 59400, 62790
1402/02/31, 58400, 60980
1402/02/30, 58230, 62700
1402/02/27, 57500, 62350
1402/02/25, 57200, 62640
1402/02/24, 57000, 59540
1402/02/23, 55240, 58760
1402/02/20, 58020, 64100
1402/02/19, 61590, 65990
1402/02/18, 66220, 66220
1402/02/17, 70680, 75800
1402/02/16, 74670, 78200
1402/02/13, 74620, 79990
1402/02/12, 73000, 76150
1402/02/11, 69890, 71310
1402/02/10, 64450, 66930
1402/02/09, 61500, 64200
1402/02/06, 61350, 64520
1402/02/05, 62600, 66500
1402/02/04, 62450, 64900
1402/01/30, 62400, 65490
1402/01/29, 63200, 66990
1402/01/28, 61000, 64900
1402/01/27, 61260, 65980
1402/01/26, 61000, 63740
1402/01/22, 57000, 60980
1402/01/21, 57330, 63980
1402/01/20, 60450, 62900
1402/01/19, 59900, 65430
1402/01/16, 58920, 63890
1402/01/15, 58800, 61370
1402/01/14, 55660, 58450
1402/01/09, 52850, 56480
1402/01/08, 54030, 57740
1402/01/07, 53320, 57340
1402/01/06, 53280, 58880
1402/01/05, 50910, 56260
1401/12/28, 51080, 55700
1401/12/27, 53180, 56030
1401/12/24, 51200, 52960
1401/12/23, 47420, 50160
1401/12/22, 44900, 48130
1401/12/21, 45440, 48130
1401/12/20, 44990, 44990
1401/12/16, 41140, 42190
1401/12/15, 37300, 40100
1401/12/14, 36960, 38290
1401/12/13, 36390, 37800
1401/12/10, 37100, 39730
1401/12/09, 37580, 40520
1401/12/08, 37200, 39500
1401/12/07, 36600, 39500
1401/12/06, 36500, 37330
1401/12/03, 33950, 35970
1401/12/02, 35150, 37700
1401/12/01, 33650, 35960
1401/11/30, 32870, 34200
1401/11/26, 32750, 33690
1401/11/25, 33000, 34400
1401/11/24, 33820, 34850
1401/11/23, 33070, 34500
1401/11/19, 33760, 35580
1401/11/18, 34200, 35740
1401/11/17, 32960, 34700
1401/11/16, 34050, 36400
1401/11/12, 36000, 37780
1401/11/11, 36040, 38260
1401/11/10, 35450, 38500
1401/11/09, 36210, 40180
1401/11/08, 36150, 41000
1401/11/05, 37940, 41200
1401/11/04, 39980, 42100
1401/11/03, 39800, 43550
1401/11/02, 40600, 44200
1401/11/01, 42880, 46100
1401/10/28, 44900, 47700
1401/10/27, 44900, 46730
1401/10/26, 42810, 43720
1401/10/24, 37310, 41980
1401/10/21, 38000, 40990
1401/10/20, 38470, 40250
1401/10/19, 38350, 39850
1401/10/18, 37020, 38720
1401/10/17, 36500, 37500
1401/10/14, 35500, 37900
1401/10/13, 35730, 37450
1401/10/12, 35920, 37250
1401/10/11, 35150, 37200
1401/10/10, 36600, 38000
1401/10/07, 38200, 38890
1401/10/05, 36900, 38290
1401/10/04, 37310, 38900
1401/10/03, 35640, 37420
1401/09/30, 35150, 36490
1401/09/29, 34630, 35890
1401/09/28, 35060, 36830
1401/09/27, 35640, 36950
1401/09/26, 34400, 36210
1401/09/23, 34220, 35990
1401/09/22, 34000, 35320
1401/09/21, 32310, 33830
1401/09/20, 31920, 32480
1401/09/19, 31640, 32840
1401/09/16, 32530, 33930
1401/09/15, 32250, 34080
1401/09/14, 32190, 33200
1401/09/13, 32580, 33340
1401/09/12, 32680, 33780
1401/09/09, 33220, 34240
1401/09/08, 33770, 34300
1401/09/07, 33520, 34320
1401/09/06, 32250, 33880
1401/09/05, 32350, 33150
1401/09/02, 32270, 33440
1401/09/01, 31860, 32790
1401/08/30, 32200, 33150
1401/08/29, 32240, 33550
1401/08/28, 31210, 33000
1401/08/25, 31770, 33400
1401/08/24, 32110, 33090
1401/08/23, 32400, 33980
1401/08/22, 33000, 34910
1401/08/21, 32100, 34160
1401/08/18, 31720, 33330
1401/08/17, 31760, 33180
1401/08/16, 30670, 31710
1401/08/15, 29100, 30960
1401/08/14, 28350, 30010
1401/08/11, 28300, 29200
1401/08/10, 28700, 29840
1401/08/09, 28610, 29480
1401/08/08, 27930, 29150
1401/08/07, 28390, 30200
1401/08/04, 28880, 30700
1401/08/03, 29950, 31350
1401/08/02, 30600, 32000
1401/08/01, 31460, 33000
1401/07/30, 30500, 32470
1401/07/27, 30520, 31290
1401/07/26, 30300, 31050
1401/07/25, 29600, 31030
1401/07/24, 29990, 31570
1401/07/23, 31200, 32300
1401/07/20, 31540, 32380
1401/07/19, 31670, 32670
1401/07/18, 31380, 32800
1401/07/17, 32110, 33100
1401/07/16, 33000, 34480
1401/07/12, 33000, 33920
1401/07/11, 32530, 33890
1401/07/10, 32000, 34100
1401/07/09, 33190, 34000
1401/07/06, 33810, 35140
1401/07/04, 31500, 33720
1401/07/02, 31980, 34000
1401/06/30, 33010, 34850
1401/06/29, 34190, 35920
1401/06/28, 35620, 37500
1401/06/27, 35500, 38040
1401/06/23, 35010, 36610
1401/06/22, 33300, 35430
1401/06/21, 33130, 34490
1401/06/20, 33450, 35150
1401/06/19, 34100, 35550
1401/06/16, 35150, 36490
1401/06/15, 35350, 36600
1401/06/14, 36000, 37490
1401/06/13, 36630, 37950
1401/06/12, 37320, 39620
1401/06/09, 39030, 40010
1401/06/08, 39110, 40100
1401/06/07, 38140, 39860
1401/06/06, 38000, 39950
1401/06/05, 38500, 40990
1401/06/02, 38360, 41350
1401/06/01, 39240, 39760
1401/05/31, 37200, 38040
1401/05/30, 34160, 36350
1401/05/29, 34110, 35400
1401/05/26, 35210, 36900
1401/05/25, 35630, 37490
1401/05/24, 35350, 37580
1401/05/23, 35810, 37300
1401/05/22, 34790, 36610
1401/05/19, 34250, 35940
1401/05/18, 33930, 36550
1401/05/15, 34860, 36280
1401/05/12, 33810, 35990
1401/05/11, 34370, 35980
1401/05/10, 35430, 37400
1401/05/09, 36290, 38880
1401/05/08, 37950, 39940
1401/05/05, 38820, 41100
1401/05/04, 40010, 41950
1401/05/03, 40510, 42250
1401/05/02, 42260, 44200
1401/05/01, 43800, 45340
1401/04/29, 43200, 44380
1401/04/28, 42620, 44950
1401/04/26, 43430, 45300
1401/04/25, 46000, 46000
1401/04/15, 45100, 46450
1401/04/14, 46180, 48230
1401/04/13, 47600, 49300
1401/04/12, 47500, 49770
1401/04/11, 47580, 48900
1401/04/08, 44950, 48610
1401/04/07, 45790, 47000
1401/04/06, 45550, 47500
1401/04/05, 46810, 49890
1401/04/04, 48010, 50680
1401/04/01, 47950, 49100
1401/03/31, 48150, 50340
1401/03/30, 49600, 50300
1401/03/29, 49110, 50370
1401/03/28, 49440, 51680
1401/03/25, 50550, 52150
1401/03/24, 51010, 53730
1401/03/23, 51230, 53000
1401/03/22, 49100, 51890
1401/03/21, 50000, 51100
1401/03/18, 51300, 52650
1401/03/17, 51250, 53030
1401/03/16, 52320, 55490
1401/03/11, 54550, 56290
1401/03/10, 54000, 56540
1401/03/09, 55020, 57510
1401/03/08, 53850, 57900
1401/03/07, 56300, 59850
1401/03/04, 58000, 60800
1401/03/03, 58900, 61600
1401/03/02, 60160, 63990
1401/03/01, 62540, 64580
1401/02/31, 61070, 63970
1401/02/28, 61500, 64200
1401/02/27, 62910, 66990
1401/02/26, 65050, 66120
1401/02/25, 60550, 64080
1401/02/24, 59500, 62550
1401/02/21, 61000, 62350
1401/02/20, 58900, 62670
1401/02/19, 60000, 63200
1401/02/18, 62460, 65000
1401/02/17, 63770, 66000
1401/02/12, 61600, 64990
1401/02/11, 61800, 64740
1401/02/10, 62200, 65110
1401/02/07, 60100, 63740
1401/02/06, 60220, 62510
