date, min_price, max_price
1402/04/14, 22130, 22800
1402/04/13, 22070, 23170
1402/04/12, 21310, 22670
1402/04/11, 20400, 21470
1402/04/10, 20230, 20950
1402/04/07, 20150, 21130
1402/04/06, 20440, 21590
1402/04/05, 21190, 22160
1402/04/04, 21200, 22350
1402/04/03, 20210, 21590
1402/03/31, 20350, 21000
1402/03/30, 19830, 20940
1402/03/29, 19840, 20570
1402/03/28, 19900, 20550
1402/03/27, 20270, 21400
1402/03/24, 20680, 21390
1402/03/23, 19600, 20840
1402/03/22, 18810, 20060
1402/03/21, 19650, 21180
1402/03/20, 20130, 21500
1402/03/17, 22080, 22620
1402/03/16, 22270, 22800
1402/03/13, 21390, 22480
1402/03/10, 21460, 22480
1402/03/09, 22380, 22980
1402/03/08, 22420, 22970
1402/03/07, 21880, 23380
1402/03/06, 23200, 24400
1402/03/03, 24270, 25550
1402/03/02, 23980, 24820
1402/03/01, 23980, 24850
1402/02/31, 23270, 24610
1402/02/30, 23300, 24980
1402/02/27, 23750, 24890
1402/02/25, 23640, 25100
1402/02/24, 23700, 24890
1402/02/23, 22090, 24190
1402/02/20, 23550, 26780
1402/02/19, 24600, 26800
1402/02/18, 24780, 26400
1402/02/17, 26500, 29780
1402/02/16, 28800, 29770
1402/02/13, 28240, 29570
1402/02/12, 28260, 29590
1402/02/11, 27550, 28870
1402/02/10, 27620, 29000
1402/02/09, 26400, 27430
1402/02/06, 24210, 25350
1402/02/05, 24200, 25230
1402/02/04, 23350, 24040
1402/01/30, 23630, 24430
1402/01/29, 23850, 24810
1402/01/28, 23140, 24150
1402/01/27, 23330, 24340
1402/01/26, 23210, 24060
1402/01/22, 21830, 22790
1402/01/21, 21640, 23700
1402/01/20, 22870, 23680
1402/01/19, 21970, 24000
1402/01/16, 21450, 22260
1402/01/15, 21620, 23100
1402/01/14, 21110, 22780
1402/01/09, 21830, 22820
1402/01/08, 21350, 22370
1402/01/07, 20550, 21760
1402/01/06, 20600, 22190
1402/01/05, 20750, 22450
1401/12/28, 20900, 22630
1401/12/27, 21300, 22140
1401/12/24, 19380, 20790
1401/12/23, 18220, 19170
1401/12/22, 18130, 18890
1401/12/21, 17610, 18200
1401/12/20, 18060, 19570
1401/12/16, 17390, 18950
1401/12/15, 16830, 17470
1401/12/14, 17320, 18270
1401/12/13, 17020, 17760
1401/12/10, 17170, 18840
1401/12/09, 18260, 19560
1401/12/08, 17500, 19780
1401/12/07, 17650, 18670
1401/12/06, 16980, 16980
1401/12/03, 14900, 16270
1401/12/02, 14600, 15430
1401/12/01, 13610, 14100
1401/11/30, 12470, 13130
1401/11/26, 12110, 12350
