date, min_price, max_price
1402/03/03, 17582, 17883
1402/03/02, 17659, 18059
1402/03/01, 17491, 17786
1402/02/31, 16701, 17590
1402/02/30, 16950, 17799
1402/02/27, 17118, 17449
1402/02/25, 16806, 17240
1402/02/24, 16722, 17213
1402/02/23, 16451, 17055
1402/02/20, 16925, 17767
1402/02/19, 17351, 17810
1402/02/18, 16872, 18190
1402/02/17, 17990, 19081
1402/02/16, 18901, 19100
1402/02/13, 18705, 19193
1402/02/12, 18506, 18928
1402/02/11, 18400, 18757
1402/02/10, 18244, 18700
1402/02/09, 17831, 18335
1402/02/06, 17345, 17900
1402/02/05, 17233, 17802
1402/02/04, 17030, 17373
1402/01/30, 16965, 17326
1402/01/29, 16720, 17204
1402/01/28, 16390, 16835
1402/01/27, 16450, 16762
1402/01/26, 15980, 17062
1402/01/22, 15303, 15958
1402/01/21, 15194, 16080
1402/01/20, 15718, 15994
1402/01/19, 15238, 15703
1402/01/16, 14624, 15088
1402/01/15, 14587, 14962
1402/01/14, 14577, 14861
1402/01/09, 14638, 14923
1402/01/08, 14439, 14787
1402/01/07, 13987, 14549
1402/01/05, 14030, 15000
1401/12/28, 13690, 13888
1401/12/27, 13100, 13585
1401/12/24, 12482, 12990
1401/12/23, 12130, 12360
1401/12/22, 12298, 12471
1401/12/21, 12460, 12483
1401/12/20, 12647, 12704
1401/12/16, 12388, 12620
1401/12/15, 12208, 12382
1401/12/14, 12260, 12382
1401/12/13, 12129, 12129
1401/12/10, 12407, 12560
1401/12/09, 12442, 12682
1401/12/08, 12264, 12668
1401/12/07, 12288, 13000
1401/12/06, 11775, 12356
1401/12/03, 11253, 11550
1401/12/02, 11094, 11550
1401/12/01, 10623, 11110
1401/11/26, 10258, 10259
1401/11/25, 10397, 10397
1401/11/24, 10507, 10613
1401/11/23, 10427, 10533
1401/11/18, 10498, 10578
1401/11/17, 10079, 10381
1401/11/16, 10507, 10613
1401/11/11, 10398, 10498
1401/11/10, 10228, 10499
1401/11/09, 10206, 10314
1401/11/08, 10705, 10855
1401/11/05, 11365, 11479
1401/11/04, 11393, 11507
1401/11/03, 11483, 11597
1401/11/02, 11164, 11165
1401/11/01, 11243, 11357
1401/10/28, 11344, 11457
1401/10/27, 11243, 11357
1401/10/24, 10814, 10900
1401/10/21, 10925, 10925
1401/10/20, 10925, 10925
1401/10/19, 10921, 10921
1401/10/18, 10682, 10940
1401/10/14, 10586, 10586
1401/10/13, 10557, 10589
1401/10/12, 10559, 10569
1401/10/11, 10385, 10555
1401/10/07, 10749, 10943
1401/10/05, 10530, 10636
1401/10/04, 10518, 10624
1401/10/03, 10454, 10574
1401/09/30, 10291, 10395
1401/09/29, 10227, 10328
1401/09/28, 10265, 10369
1401/09/27, 10172, 10394
1401/09/26, 10076, 10178
1401/09/21, 9835, 9835
1401/09/16, 9854, 9854
1401/09/15, 9856, 9856
1401/09/08, 9801, 9801
1401/09/06, 9801, 9801
1401/09/05, 9830, 9830
1401/09/01, 9862, 9862
1401/08/29, 9829, 9829
1401/08/25, 9798, 9798
1401/08/24, 9721, 9798
1401/08/21, 9903, 9904
1401/08/18, 9672, 9798
1401/08/17, 9783, 9899
1401/08/16, 9625, 9775
1401/08/15, 9480, 9480
1401/08/14, 9421, 9421
1401/08/11, 9198, 9198
1401/08/10, 9285, 9285
1401/08/09, 9225, 9234
1401/08/07, 9103, 9103
1401/08/02, 9344, 9394
1401/08/01, 9367, 9461
1401/07/30, 9421, 9504
1401/07/27, 9504, 9504
1401/07/24, 9431, 9441
1401/07/23, 9483, 9483
1401/07/19, 9469, 9479
1401/07/17, 9430, 9430
1401/07/16, 9446, 9455
1401/07/12, 9400, 9457
1401/07/11, 9400, 9400
1401/07/09, 9290, 9590
1401/07/06, 9410, 9700
1401/07/04, 9410, 9439
1401/07/02, 9550, 9550
1401/06/30, 9623, 9718
1401/06/27, 9783, 9784
1401/06/23, 9824, 9824
1401/06/22, 9749, 9749
1401/06/20, 9821, 9821
1401/06/19, 9925, 9998
1401/06/15, 10060, 10061
1401/06/14, 9981, 10101
1401/06/13, 10528, 10558
1401/06/12, 10424, 10528
1401/06/09, 10264, 10368
1401/06/08, 10280, 10384
1401/06/07, 10186, 10186
1401/06/06, 10222, 10222
1401/06/05, 10262, 10288
1401/06/02, 10220, 10270
1401/06/01, 9936, 10166
1401/05/30, 10010, 10010
1401/05/29, 10142, 10192
1401/05/26, 10041, 10171
1401/05/25, 10061, 10173
1401/05/24, 10028, 10139
1401/05/23, 10037, 10149
1401/05/22, 9889, 10120
1401/05/19, 9804, 9854
1401/05/18, 9791, 9922
1401/05/15, 9660, 9790
1401/05/12, 9544, 9609
1401/05/11, 9487, 9538
1401/05/10, 9532, 9561
1401/05/09, 9596, 9596
1401/05/08, 9652, 9707
1401/05/05, 9640, 9715
1401/05/04, 9678, 9738
1401/05/03, 9915, 9915
1401/05/02, 10159, 10184
1401/05/01, 10166, 10219
1401/04/29, 10028, 10100
1401/04/28, 9938, 9968
1401/04/26, 10048, 10048
1401/04/25, 10000, 10135
1401/04/22, 10087, 10198
1401/04/21, 10032, 10160
1401/04/20, 10307, 10329
1401/04/18, 10469, 10491
1401/04/14, 10671, 10671
1401/04/13, 10712, 10759
1401/04/12, 10636, 10687
1401/04/11, 10868, 10868
1401/04/08, 10836, 10861
1401/04/07, 10811, 10841
1401/04/06, 10655, 10737
1401/04/05, 10864, 10886
1401/04/04, 10908, 10930
1401/04/01, 10882, 10904
1401/03/31, 10936, 10961
1401/03/30, 10947, 10994
1401/03/29, 10881, 10990
