date, min_price, max_price
1402/03/03, 18400, 19150
1402/03/02, 18530, 19300
1402/03/01, 18960, 19940
1402/02/31, 19360, 20200
1402/02/30, 19150, 20100
1402/02/27, 18990, 19660
1402/02/25, 19420, 19420
1402/02/16, 20600, 21470
1402/02/13, 20700, 21750
1402/02/12, 21010, 21890
1402/02/11, 20840, 21980
1402/02/10, 21500, 22790
1402/02/09, 22000, 22180
1402/02/06, 21130, 21130
1402/02/05, 19030, 20160
1402/02/04, 18800, 19410
1402/01/30, 19040, 19910
1402/01/29, 19010, 20130
1402/01/28, 19520, 20270
1402/01/27, 19000, 19470
1402/01/26, 17980, 18690
1402/01/22, 17360, 18100
1402/01/21, 17250, 18510
1402/01/20, 17820, 18600
1402/01/19, 17380, 18000
1402/01/16, 16910, 17490
1402/01/15, 16860, 17300
1402/01/14, 16440, 17230
1402/01/09, 16830, 17280
1402/01/08, 16860, 17470
1402/01/07, 16860, 17470
1402/01/06, 16470, 16890
1402/01/05, 16150, 16600
1401/12/28, 16000, 16290
1401/12/27, 15680, 16200
1401/12/24, 15430, 15850
1401/12/23, 15230, 15650
1401/12/22, 15120, 15670
1401/12/21, 15110, 15730
1401/12/20, 15520, 16060
1401/12/16, 15430, 15870
1401/12/15, 15320, 15860
1401/12/14, 15520, 15990
1401/12/13, 15400, 16070
1401/12/10, 15680, 16280
1401/12/09, 15500, 16280
1401/12/08, 15510, 16330
1401/12/07, 15520, 16730
1401/12/06, 15460, 16200
1401/12/03, 14990, 15450
1401/12/02, 15240, 15770
1401/12/01, 14980, 15740
1401/11/30, 14850, 15020
1401/11/26, 14810, 15080
1401/11/25, 14800, 15050
1401/11/24, 14910, 15290
1401/11/23, 14800, 15110
1401/11/19, 14890, 15280
1401/11/18, 14870, 15370
1401/11/17, 14590, 15250
1401/11/16, 14990, 15360
1401/11/12, 14980, 15360
1401/11/11, 14890, 15500
1401/11/10, 14740, 15510
1401/11/09, 15410, 16000
1401/11/08, 15900, 16590
1401/11/05, 16170, 16890
1401/11/04, 16750, 17090
1401/11/03, 16630, 17440
1401/11/02, 16930, 17470
1401/11/01, 17200, 17780
1401/10/28, 17400, 17690
1401/10/27, 17400, 17980
1401/10/26, 17240, 17690
1401/10/24, 17010, 17460
1401/10/21, 17390, 17770
1401/10/20, 17400, 18250
1401/10/19, 17490, 18030
1401/10/18, 16870, 17900
1401/10/17, 16800, 17190
1401/10/14, 16630, 16880
1401/10/13, 16830, 17430
1401/10/12, 16790, 17600
1401/10/11, 16840, 17400
1401/10/10, 16800, 17680
1401/10/07, 17220, 17830
1401/10/05, 16820, 17490
1401/10/04, 16900, 17250
1401/10/03, 16410, 16940
1401/09/30, 16500, 17000
1401/09/29, 16500, 17350
1401/09/28, 16220, 17080
1401/09/27, 16050, 16390
1401/09/26, 15990, 16230
1401/09/23, 16220, 16480
1401/09/22, 16020, 16490
1401/09/21, 15930, 16330
1401/09/20, 15840, 16450
1401/09/19, 15680, 16220
1401/09/16, 15910, 16350
1401/09/15, 16170, 16440
1401/09/14, 16150, 16600
1401/09/13, 16210, 16550
1401/09/12, 16250, 16610
1401/09/09, 16070, 16680
1401/09/08, 16410, 16750
1401/09/07, 16350, 16770
1401/09/06, 16430, 16770
1401/09/05, 16500, 16770
1401/09/02, 16500, 16780
1401/09/01, 16500, 16770
1401/08/30, 16550, 16790
1401/08/29, 16400, 16790
1401/08/28, 16210, 16800
1401/08/25, 16490, 16800
1401/08/24, 16480, 16810
1401/08/23, 16370, 16820
1401/08/22, 16550, 16820
1401/08/21, 16560, 16990
1401/08/18, 16660, 17000
1401/08/17, 16720, 17300
1401/08/16, 16480, 17190
1401/08/15, 16710, 17100
1401/08/14, 16660, 17200
1401/08/11, 16390, 16930
1401/08/10, 16390, 16940
1401/08/09, 16700, 16930
1401/08/08, 16340, 17000
1401/08/07, 15820, 16950
1401/08/04, 15900, 16150
