date, min_price, max_price
1402/03/03, 11201, 11210
1402/03/02, 11194, 11195
1402/03/01, 11187, 11189
1402/02/31, 11180, 11182
1402/02/30, 11173, 11175
1402/02/27, 11152, 11155
1402/02/25, 11137, 11139
1402/02/24, 11130, 11132
1402/02/23, 11124, 11127
1402/02/20, 11103, 11106
1402/02/19, 11096, 12130
1402/02/18, 11089, 11092
1402/02/17, 11081, 11085
1402/02/16, 11075, 11078
1402/02/13, 11055, 11059
1402/02/12, 11049, 11051
1402/02/11, 11042, 11044
1402/02/10, 11035, 11037
1402/02/09, 11028, 11030
1402/02/06, 11008, 11010
1402/02/05, 11001, 11004
1402/02/04, 10994, 10996
1402/01/30, 10973, 10978
1402/01/29, 10960, 10963
1402/01/28, 10951, 12035
1402/01/27, 10934, 10941
1402/01/26, 10933, 10935
1402/01/22, 10911, 10913
1402/01/21, 10899, 10903
1402/01/20, 10892, 10894
1402/01/19, 10885, 10887
1402/01/16, 10865, 10868
1402/01/15, 10858, 10859
1402/01/14, 10851, 10853
1402/01/09, 10830, 10833
1402/01/08, 10817, 10819
1402/01/07, 10809, 10811
1402/01/06, 10797, 10797
1402/01/05, 10787, 10790
1401/12/28, 10752, 10761
1401/12/27, 10744, 10746
1401/12/24, 10724, 10726
1401/12/23, 10717, 10719
1401/12/22, 10711, 10713
1401/12/21, 10704, 10706
1401/12/20, 10697, 10699
1401/12/16, 10671, 10690
1401/12/15, 10664, 10666
1401/12/14, 10657, 10659
1401/12/13, 10650, 10656
1401/12/10, 10630, 10635
1401/12/09, 10624, 10626
1401/12/08, 10618, 10621
1401/12/07, 10611, 10614
1401/12/06, 10604, 10606
1401/12/03, 10585, 10588
1401/12/02, 10578, 10582
1401/12/01, 10571, 10574
1401/11/30, 10565, 10566
1401/11/26, 10539, 10544
1401/11/25, 10532, 10534
1401/11/24, 10526, 10528
1401/11/23, 10519, 10521
1401/11/19, 10493, 10497
1401/11/18, 10486, 10488
1401/11/17, 10480, 10482
1401/11/16, 10474, 10476
1401/11/12, 9405, 10450
1401/11/11, 10441, 10443
1401/11/10, 10434, 10437
1401/11/09, 10427, 10432
1401/11/08, 10421, 10424
1401/11/05, 10401, 10404
1401/11/04, 10394, 10397
1401/11/03, 10390, 10393
1401/11/02, 10383, 10385
1401/11/01, 10376, 10378
1401/10/28, 10357, 10359
1401/10/27, 10350, 10353
1401/10/26, 10344, 10346
1401/10/24, 10331, 10339
1401/10/21, 10311, 10315
1401/10/20, 10306, 10309
1401/10/19, 10298, 10302
1401/10/18, 10290, 10299
1401/10/17, 10285, 10287
1401/10/14, 10267, 10271
1401/10/13, 10260, 10264
1401/10/12, 10254, 10258
1401/10/11, 10248, 10249
1401/10/10, 10241, 10243
1401/10/07, 10222, 10228
1401/10/05, 10210, 10215
1401/10/04, 10203, 10206
1401/10/03, 10200, 10203
1401/09/30, 10174, 10175
1401/09/29, 10167, 10170
1401/09/28, 10163, 10165
1401/09/27, 10155, 10165
1401/09/02, 10000, 10000
1401/09/01, 10000, 10000
1401/08/30, 10000, 10000
