date, min_price, max_price
1402/03/03, 36700, 37540
1402/03/02, 34150, 36590
1402/03/01, 34350, 35890
1402/02/31, 34050, 35800
1402/02/30, 34040, 36900
1402/02/27, 35010, 36000
1402/02/25, 35650, 39000
1402/02/24, 35830, 38880
1402/02/23, 36790, 36790
1402/02/20, 37500, 41420
1402/02/19, 39100, 42430
1402/02/18, 40380, 40380
1402/02/17, 41000, 45300
1402/02/16, 41970, 44960
1402/02/13, 41860, 45240
1402/02/12, 41880, 43910
1402/02/09, 43600, 43710
1402/02/06, 38080, 41880
1402/02/05, 38060, 39930
1402/02/04, 35130, 38200
1402/01/30, 35240, 36630
1402/01/29, 32330, 35030
1402/01/28, 33200, 33990
1402/01/27, 34750, 36000
1402/01/26, 35570, 36930
1402/01/22, 34020, 35330
1402/01/21, 32510, 33740
1402/01/20, 30660, 32190
1402/01/19, 30660, 30660
1402/01/16, 29200, 29200
1402/01/15, 27810, 27810
1401/12/23, 51600, 55100
1401/12/22, 53010, 55500
1401/12/21, 54250, 56650
1401/12/20, 56790, 59700
1401/12/16, 58000, 60920
1401/12/15, 56040, 58300
1401/12/14, 55570, 55570
1401/12/13, 52620, 53880
1401/12/10, 50720, 54430
1401/12/09, 52620, 54470
1401/12/08, 52620, 55230
1401/12/07, 53000, 56550
1401/12/06, 54930, 54940
1401/12/03, 50240, 52540
1401/12/02, 48500, 50240
1401/12/01, 45010, 48860
1401/11/30, 46030, 48860
1401/11/26, 47250, 49990
1401/11/25, 49000, 49980
1401/11/23, 48140, 51760
1401/11/19, 49700, 52340
1401/11/18, 50150, 53000
1401/11/17, 51670, 53280
1401/11/16, 52170, 57590
1401/11/12, 51010, 55180
1401/11/11, 50100, 53240
1401/11/10, 50150, 55000
1401/11/09, 52100, 55390
1401/11/08, 54660, 57500
1401/11/05, 57530, 57530
1401/11/04, 59580, 64890
1401/11/03, 61800, 67360
1401/11/02, 64990, 67500
1401/11/01, 67540, 73000
1401/10/28, 69450, 71190
1401/10/20, 70650, 75250
1401/10/19, 73420, 76850
1401/10/18, 73740, 79680
1401/10/17, 75050, 80500
1401/10/14, 74210, 79000
1401/10/13, 73910, 77670
1401/10/12, 71010, 75880
1401/10/11, 69550, 75530
1401/10/10, 69450, 73620
1401/10/07, 70000, 74200
1401/10/05, 70000, 74610
1401/10/04, 69780, 73000
1401/10/03, 68500, 73120
1401/09/30, 68020, 71990
1401/09/29, 67260, 70000
1401/09/28, 67750, 69760
1401/09/27, 67190, 70800
1401/09/26, 67950, 70340
1401/09/23, 66500, 70490
1401/09/22, 67910, 70000
1401/09/21, 66300, 70000
1401/09/20, 66000, 69350
1401/09/19, 67000, 68950
1401/09/16, 68400, 71100
1401/09/15, 68490, 71750
1401/09/14, 69550, 72990
1401/09/13, 69730, 72450
1401/09/12, 68120, 73950
1401/09/09, 69760, 73540
1401/09/08, 71100, 74490
1401/09/07, 72100, 76460
1401/09/06, 70590, 74290
1401/09/05, 70190, 74800
1401/09/02, 69700, 74400
1401/09/01, 67000, 71800
1401/08/30, 64860, 69720
1401/08/29, 64160, 67380
1401/08/28, 64600, 68000
1401/08/25, 65010, 66890
1401/08/24, 65040, 67290
1401/08/23, 64190, 70440
1401/08/22, 67090, 67090
1401/08/21, 63900, 63900
1401/08/18, 56370, 61000
1401/08/17, 57400, 60750
1401/08/16, 57590, 60760
