date, min_price, max_price
1402/04/14, 3170, 3214
1402/04/13, 3004, 3004
1402/04/07, 2878, 2967
1402/04/06, 2904, 3050
1402/04/05, 2980, 3076
1402/04/04, 2927, 3030
1402/04/03, 2911, 3044
1402/03/31, 2940, 3100
1402/03/30, 2881, 3100
1402/03/29, 2800, 3000
1402/03/28, 2851, 2995
1402/03/27, 2922, 3049
1402/03/24, 2940, 3058
1402/03/23, 2850, 2968
1402/03/22, 2843, 3115
1402/03/21, 2911, 3125
1402/03/20, 2977, 3072
1402/03/17, 3130, 3288
1402/03/16, 3021, 3195
1402/03/13, 2911, 3089
1402/03/10, 2920, 3090
1402/03/09, 3002, 3149
1402/03/08, 2892, 3060
1402/03/07, 2862, 3040
1402/03/06, 3000, 3179
1402/03/03, 3060, 3240
1402/03/02, 3153, 3299
1402/03/01, 3101, 3260
1402/02/31, 3080, 3270
1402/02/30, 3119, 3419
1402/02/27, 3100, 3288
1402/02/25, 2903, 3170
1402/02/24, 2860, 3033
1402/02/23, 2822, 3000
1402/02/20, 2978, 3300
1402/02/19, 3192, 3289
1402/02/18, 3369, 3369
1402/02/17, 3601, 3830
1402/02/16, 3780, 3970
1402/02/13, 3850, 4028
1402/02/12, 3680, 3875
1402/02/11, 3502, 3730
1402/02/10, 3527, 3688
1402/02/09, 3475, 3652
1402/02/06, 3501, 3670
1402/02/05, 3597, 3820
1402/02/04, 3580, 3798
1402/01/30, 3581, 3799
1402/01/29, 3386, 3623
1402/01/28, 3270, 3478
1402/01/27, 3291, 3490
1402/01/26, 3351, 3520
1402/01/22, 3246, 3395
1402/01/21, 3318, 3640
1402/01/20, 3480, 3694
1402/01/19, 3320, 3471
1402/01/16, 3110, 3315
1402/01/15, 3115, 3278
1402/01/14, 2830, 3122
1402/01/09, 2825, 2936
1402/01/08, 2634, 2800
1402/01/07, 2525, 2679
1402/01/06, 2545, 2710
1402/01/05, 2573, 2740
1401/12/28, 2610, 2742
1401/12/27, 2500, 2565
1401/12/24, 2262, 2416
1401/12/23, 2221, 2303
1401/12/22, 2190, 2270
1401/12/21, 2200, 2300
1401/12/20, 2281, 2388
1401/12/16, 2308, 2399
1401/12/14, 2296, 2400
1401/12/13, 2275, 2430
1401/12/10, 2193, 2367
1401/12/09, 2136, 2280
1401/12/08, 2100, 2220
