date, min_price, max_price
1402/03/02, 179620, 183000
1402/03/01, 178800, 181500
1402/02/31, 177160, 180750
1402/02/30, 174100, 180790
1402/02/27, 179350, 180000
1402/02/25, 175000, 180000
1402/02/24, 175200, 181000
1402/02/23, 171900, 181000
1402/02/20, 177000, 187030
1402/02/19, 178170, 185960
1402/02/18, 178550, 190000
1402/02/17, 176280, 196730
1402/02/16, 194000, 201120
1402/02/13, 193370, 197920
1402/02/12, 191560, 195890
1402/02/11, 191450, 193500
1402/02/10, 191000, 194600
1402/02/09, 186770, 188990
1402/02/06, 181150, 186000
1402/02/05, 180130, 189090
1402/02/04, 178070, 182350
1402/01/30, 179800, 183600
1402/01/29, 175560, 183990
1402/01/28, 175380, 180000
1402/01/27, 172710, 177180
1402/01/26, 170020, 177130
1402/01/22, 168450, 169400
1402/01/21, 162820, 171310
1402/01/20, 171060, 173650
1402/01/19, 163650, 172000
1402/01/16, 159410, 162900
1402/01/15, 160160, 164000
1402/01/14, 158400, 161200
1402/01/09, 158250, 163650
1402/01/08, 156850, 159670
1402/01/07, 152650, 156770
1402/01/06, 151010, 159980
1402/01/05, 151110, 155000
1401/12/28, 147190, 151180
1401/12/27, 144670, 147610
1401/12/24, 140000, 142430
1401/12/23, 138250, 138800
1401/12/22, 138350, 141000
1401/12/21, 138440, 138450
1401/12/20, 141370, 145370
1401/12/16, 138020, 142900
1401/12/15, 137740, 141480
1401/12/14, 137960, 139970
1401/12/13, 137550, 138330
1401/12/10, 140550, 142300
1401/12/09, 140160, 143600
1401/12/08, 139850, 143640
1401/12/07, 140770, 147300
1401/12/06, 131900, 140420
1401/12/03, 128280, 132680
1401/12/02, 128680, 133700
1401/12/01, 123300, 128690
1401/11/30, 120520, 122500
1401/11/26, 119190, 122300
1401/11/25, 119940, 123180
1401/11/24, 119820, 123020
1401/11/23, 119440, 123550
1401/11/19, 121080, 121090
1401/11/18, 119360, 120530
1401/11/17, 117570, 120470
1401/11/16, 117720, 120300
1401/11/12, 119630, 120200
1401/11/11, 119270, 122400
1401/11/10, 116650, 121830
1401/11/09, 117380, 118770
1401/11/08, 123550, 126860
1401/11/05, 122900, 126220
1401/11/04, 125630, 126360
1401/11/03, 126940, 130000
1401/11/02, 125800, 128400
1401/11/01, 127020, 130500
1401/10/28, 128630, 130450
1401/10/27, 128630, 130840
1401/10/26, 126030, 129370
1401/10/24, 125670, 127990
1401/10/21, 126960, 126970
1401/10/20, 128200, 128820
1401/10/19, 124640, 127950
1401/10/18, 126000, 127950
1401/10/17, 122400, 123800
1401/10/14, 119300, 122450
1401/10/13, 119820, 120000
1401/10/12, 117340, 122000
1401/10/11, 115210, 118200
1401/10/10, 116570, 120780
1401/10/07, 117470, 123400
1401/10/05, 114560, 117610
1401/10/04, 116200, 117000
1401/10/03, 111970, 117320
1401/09/30, 111170, 114140
1401/09/29, 111310, 113990
1401/09/28, 112310, 112320
1401/09/27, 112160, 114000
1401/09/26, 110090, 110090
1401/09/23, 110900, 111440
1401/09/22, 107000, 109440
1401/09/21, 105330, 107000
1401/09/20, 103660, 104900
1401/09/19, 104920, 105430
1401/09/16, 105430, 105430
1401/09/15, 105450, 105450
1401/09/14, 105690, 107970
1401/09/13, 105290, 106900
1401/09/12, 105180, 105210
1401/09/09, 105700, 108500
1401/09/08, 105210, 107320
1401/09/07, 105310, 105310
1401/09/06, 104700, 106970
1401/09/05, 104760, 107410
1401/09/02, 104960, 105230
1401/09/01, 104750, 105150
1401/08/30, 104320, 105600
1401/08/29, 104280, 104500
1401/08/28, 102840, 106190
1401/08/25, 104390, 105220
1401/08/24, 104440, 105990
1401/08/23, 103560, 104700
1401/08/22, 105750, 107000
1401/08/21, 106900, 107050
1401/08/18, 104400, 107160
1401/08/17, 103870, 108580
1401/08/16, 101110, 106330
1401/08/15, 99550, 101490
1401/08/14, 97990, 101310
1401/08/11, 95530, 96250
1401/08/10, 95700, 96000
1401/08/09, 94330, 96730
1401/08/08, 92650, 94100
1401/08/07, 93000, 93530
1401/08/03, 94000, 94730
1401/08/02, 95060, 96340
1401/08/01, 96530, 96540
1401/07/30, 96490, 96500
1401/07/27, 96780, 99000
1401/07/26, 97220, 99000
1401/07/25, 96550, 99100
1401/07/24, 99420, 100310
