date, min_price, max_price
1402/03/03, 16110, 16630
1402/03/02, 16250, 16700
1402/03/01, 16020, 16760
1402/02/31, 15270, 16170
1402/02/30, 15530, 16090
1402/02/27, 15290, 16250
1402/02/25, 15350, 16180
1402/02/24, 15440, 16990
1402/02/23, 15370, 15900
1402/02/20, 15770, 16580
1402/02/19, 15700, 16880
1402/02/18, 15420, 16890
1402/02/17, 16080, 17220
1402/02/16, 16810, 17490
1402/02/13, 16730, 17400
1402/02/12, 16590, 17300
1402/02/11, 16330, 17000
1402/02/10, 16300, 17460
1402/02/09, 14990, 16470
1402/02/06, 14850, 15190
1402/02/05, 14650, 15290
1402/02/04, 14610, 14940
1402/01/30, 14660, 15290
1402/01/29, 14470, 15400
1402/01/28, 14200, 15150
1402/01/27, 14200, 14790
1402/01/26, 14010, 14530
1402/01/22, 13650, 14190
1402/01/21, 13580, 14290
1402/01/20, 13760, 14310
1402/01/19, 13300, 14350
1402/01/16, 12970, 13390
1402/01/15, 12550, 13280
1402/01/14, 12730, 13100
1402/01/09, 12800, 13050
1402/01/08, 12700, 13120
1402/01/07, 12250, 12990
1402/01/06, 12300, 12700
1402/01/05, 12070, 12690
1401/12/28, 11640, 12300
1401/12/27, 11400, 11900
1401/12/24, 11160, 11500
1401/12/23, 11000, 11290
1401/12/22, 10900, 11490
1401/12/21, 10860, 11110
1401/12/20, 11000, 11380
1401/12/16, 11000, 11500
1401/12/15, 11000, 11390
1401/12/14, 10900, 11290
1401/12/13, 10860, 11280
1401/12/10, 10870, 11590
1401/12/09, 11190, 11500
1401/12/08, 10900, 11600
1401/12/07, 11310, 12000
1401/12/06, 10900, 11600
1401/12/03, 10600, 10740
1401/12/02, 10600, 10970
1401/12/01, 10500, 10830
1401/11/30, 10350, 10670
1401/11/26, 10300, 10560
1401/11/25, 10420, 10650
1401/11/24, 10480, 10600
1401/11/23, 10200, 10700
1401/11/19, 10440, 10840
1401/11/18, 10430, 10770
1401/11/17, 10200, 10460
1401/11/16, 10200, 10500
1401/11/12, 10400, 10550
1401/11/11, 9630, 10500
1401/11/10, 9520, 10280
1401/11/09, 10000, 10700
1401/11/08, 10350, 10550
1401/11/05, 10100, 10760
1401/11/04, 10690, 10850
1401/11/03, 10720, 11000
1401/11/02, 10650, 10990
1401/11/01, 10530, 11000
1401/10/28, 10860, 11200
1401/10/27, 10820, 11480
1401/10/26, 10590, 11140
1401/10/24, 10290, 10820
1401/10/21, 10350, 10650
1401/10/20, 10450, 10900
1401/10/19, 10410, 10750
1401/10/18, 10260, 10500
1401/10/17, 10210, 10400
1401/10/14, 10220, 10460
1401/10/13, 10260, 10450
1401/10/12, 10230, 10400
1401/10/11, 10100, 10350
1401/10/10, 10270, 10700
1401/10/07, 10460, 10840
1401/10/05, 10400, 10600
1401/10/04, 10200, 11000
1401/10/03, 9830, 10650
1401/09/30, 9200, 10130
1401/09/29, 9120, 9300
1401/09/28, 9200, 9630
1401/09/27, 8520, 9280
1401/09/26, 8050, 8820
1401/09/23, 8800, 9000
1401/09/22, 8590, 8940
1401/09/21, 8530, 8690
1401/09/20, 8360, 8620
1401/09/19, 8210, 8760
1401/09/16, 8500, 8790
1401/09/15, 8620, 8800
1401/09/14, 8500, 8810
1401/09/13, 8780, 8900
1401/09/12, 8720, 8890
1401/09/09, 8730, 8950
1401/09/08, 8650, 8950
1401/09/07, 8730, 8810
1401/09/06, 8660, 8760
1401/09/05, 8770, 8870
1401/09/02, 8630, 8870
1401/09/01, 8230, 8900
1401/08/30, 8820, 9090
1401/08/29, 8900, 9070
1401/08/28, 8970, 8990
1401/08/25, 8990, 9030
1401/08/24, 8990, 9140
1401/08/23, 8980, 9140
1401/08/22, 8970, 9190
1401/08/21, 9150, 9310
1401/08/18, 9170, 9350
1401/08/17, 9240, 9460
1401/08/16, 9240, 9490
1401/08/15, 9230, 9400
1401/08/14, 9120, 9500
1401/08/11, 9100, 9280
1401/08/10, 9080, 9300
1401/08/09, 9080, 9160
1401/08/08, 9010, 9140
1401/08/07, 8950, 9300
1401/08/04, 9000, 9270
1401/08/03, 9260, 9280
1401/08/02, 9270, 9320
1401/08/01, 9300, 9420
1401/07/30, 9240, 9450
1401/07/27, 9280, 9340
1401/07/26, 9240, 9660
1401/07/25, 9150, 9500
1401/07/24, 9160, 9640
1401/07/23, 9510, 10030
1401/07/20, 10020, 10030
1401/04/26, 10000, 10000
1401/04/25, 10000, 10000
1401/04/22, 10000, 10000
1401/04/21, 10000, 10000
1401/04/20, 10000, 10000
