date, min_price, max_price
1402/02/27, 19870, 21690
1402/02/25, 19540, 21180
1402/02/24, 19310, 20520
1402/02/23, 18880, 20510
1402/02/20, 19600, 22400
1402/02/19, 20800, 21970
1402/02/18, 22360, 22360
1402/02/17, 23450, 26190
1402/02/16, 23620, 25300
1402/02/13, 23080, 24430
1402/02/12, 23360, 24500
1402/02/11, 23300, 24290
1402/02/10, 22840, 24610
1402/02/09, 23000, 24170
1402/02/06, 20500, 22800
1402/02/05, 20770, 21970
1402/02/04, 20500, 21600
1402/01/30, 21030, 22000
1402/01/29, 21100, 22750
1402/01/28, 20550, 22980
1402/01/27, 20840, 22060
1402/01/26, 20530, 20620
1402/01/20, 18280, 19520
1402/01/19, 17500, 18320
1402/01/16, 16350, 17180
1402/01/15, 15220, 16250
1402/01/14, 14600, 15700
1402/01/09, 15210, 15950
1402/01/08, 14550, 15040
1402/01/07, 13060, 14450
1402/01/06, 13130, 13740
1402/01/05, 12850, 12850
1401/12/24, 11720, 12200
1401/12/23, 11590, 12000
1401/12/22, 11510, 12000
1401/12/21, 11350, 11900
1401/12/16, 11640, 12200
1401/12/15, 11420, 11980
1401/12/14, 11750, 12280
1401/12/13, 11770, 12120
1401/12/10, 12080, 12680
1401/12/09, 12120, 12890
1401/12/08, 12240, 12770
1401/12/07, 12020, 13090
1401/12/06, 11840, 12320
1401/12/03, 11310, 11870
1401/12/02, 11580, 12150
1401/12/01, 11070, 11830
1401/11/30, 10990, 11380
1401/11/26, 11100, 11440
1401/11/25, 10940, 11430
1401/11/24, 11050, 11420
1401/11/23, 11000, 11620
1401/11/19, 11360, 11880
1401/11/18, 11610, 12120
1401/11/17, 11430, 12210
1401/11/16, 11350, 12190
1401/11/12, 11200, 11600
1401/11/11, 11170, 11650
1401/11/10, 10560, 11460
1401/11/09, 11130, 11830
1401/11/08, 11760, 12300
1401/11/05, 11840, 12810
1401/11/04, 12450, 12940
1401/11/03, 12530, 13400
1401/11/02, 12700, 13400
1401/11/01, 12950, 13930
1401/10/28, 13600, 13960
1401/10/27, 13610, 14340
1401/10/26, 13290, 13820
1401/10/24, 12410, 13270
1401/10/21, 12830, 13330
1401/10/20, 13210, 13820
1401/10/19, 13330, 13830
1401/10/18, 13060, 13840
1401/10/17, 12800, 13300
1401/10/14, 12520, 12930
1401/10/13, 12770, 13370
1401/10/12, 12150, 12950
1401/10/11, 11790, 12600
1401/10/10, 11910, 12770
1401/10/07, 12300, 12770
1401/10/05, 12030, 12640
1401/10/04, 12240, 12570
1401/10/03, 11940, 12450
1401/09/30, 11760, 12130
1401/09/29, 11870, 12240
1401/09/28, 11700, 12150
1401/09/27, 11600, 12100
1401/09/26, 11420, 11770
1401/09/23, 11230, 11540
1401/09/22, 11110, 11460
1401/09/21, 10750, 11290
1401/09/20, 10400, 10780
1401/09/19, 10360, 11000
1401/09/16, 10800, 11130
1401/09/15, 10910, 11170
1401/09/14, 10980, 11290
1401/09/13, 11050, 11290
1401/09/12, 11160, 11400
1401/09/09, 11000, 11360
1401/09/08, 11070, 11280
1401/09/07, 10880, 11300
1401/09/06, 11030, 11390
1401/09/05, 11240, 11480
1401/09/02, 11180, 11440
1401/09/01, 11170, 11420
1401/08/30, 11130, 11460
1401/08/29, 11250, 11540
1401/08/28, 11000, 11590
1401/08/25, 11100, 11660
1401/08/24, 11180, 11540
1401/08/23, 11010, 11690
1401/08/22, 11510, 12000
1401/08/21, 11500, 11970
1401/08/18, 11180, 11670
1401/08/17, 11190, 12120
1401/08/16, 10990, 11600
1401/08/15, 10570, 11060
1401/08/14, 10390, 11090
1401/08/11, 10130, 10620
1401/08/10, 10310, 10790
1401/08/09, 10320, 10590
1401/08/08, 10080, 10400
1401/08/07, 9850, 10280
1401/08/04, 9520, 10300
1401/08/03, 10090, 10450
1401/08/02, 10120, 10580
1401/08/01, 10350, 10750
1401/07/30, 9900, 10670
1401/07/27, 9980, 10320
1401/07/26, 10050, 10370
1401/07/25, 9670, 10150
1401/07/24, 9500, 10080
1401/07/23, 9910, 10280
1401/07/20, 10200, 10570
1401/07/19, 9560, 10170
1401/07/18, 9370, 9700
1401/07/17, 9370, 10000
1401/07/16, 9870, 10330
1401/07/12, 10010, 10390
1401/07/11, 9720, 10480
1401/07/10, 10090, 10700
1401/07/09, 10610, 11550
1401/07/06, 11100, 11670
1401/07/04, 10990, 11750
1401/07/02, 11390, 12260
1401/06/30, 12070, 12540
1401/06/29, 12020, 12600
1401/06/28, 12400, 12970
1401/06/27, 12720, 13140
1401/06/23, 12760, 13160
1401/06/22, 12800, 13200
1401/06/21, 12670, 13250
1401/06/20, 13010, 13690
1401/06/19, 13400, 13940
1401/06/16, 13810, 14300
1401/06/15, 13830, 14080
1401/06/14, 13950, 14260
1401/06/13, 13930, 14300
1401/06/12, 13530, 14550
1401/06/09, 13750, 14150
1401/06/08, 13830, 14380
1401/06/07, 13880, 14280
1401/06/06, 13780, 14230
1401/06/05, 13940, 14590
1401/06/02, 13790, 14190
1401/06/01, 13610, 14090
1401/05/31, 13690, 14190
1401/05/30, 13790, 14160
1401/05/29, 13700, 14450
1401/05/26, 13300, 14180
1401/05/25, 13370, 13920
1401/05/24, 13340, 13850
1401/05/23, 13510, 14130
1401/05/22, 13840, 14470
1401/05/19, 13800, 14320
1401/05/18, 14010, 14650
1401/05/15, 13900, 14600
1401/05/12, 13690, 14070
1401/05/11, 13420, 14140
1401/05/10, 13940, 14630
1401/05/09, 14150, 14790
1401/05/08, 14670, 15850
1401/05/05, 15390, 15920
1401/05/04, 15500, 16050
1401/05/03, 15110, 15900
1401/05/02, 15100, 16100
1401/05/01, 15770, 16280
1401/04/29, 15790, 16380
1401/04/28, 16140, 17010
1401/04/26, 16510, 17980
1401/04/25, 16550, 17410
1401/04/22, 15700, 16510
1401/04/21, 14800, 15850
1401/04/20, 14900, 16150
1401/04/18, 15520, 16220
1401/04/14, 15880, 16390
1401/04/13, 15370, 16200
1401/04/12, 15090, 15790
1401/04/11, 15660, 16890
1401/04/08, 16110, 16840
1401/03/30, 17700, 19100
1401/03/24, 18010, 18780
1401/03/23, 16860, 18040
1401/03/22, 16520, 17430
1401/03/21, 16850, 17500
1401/03/18, 16200, 17250
1401/03/17, 15720, 16700
1401/03/16, 16230, 17470
1401/03/11, 17040, 17550
1401/03/10, 16550, 17320
1401/03/09, 16890, 17840
1401/03/08, 16830, 18100
1401/03/07, 16910, 17720
1401/03/03, 17560, 18300
1401/03/02, 16920, 17850
1401/03/01, 16630, 17290
1401/02/31, 16500, 17490
1401/02/28, 16920, 17550
1401/02/27, 17130, 17880
1401/02/26, 17710, 18470
1401/02/25, 17580, 18920
1401/02/24, 17750, 18210
1401/02/21, 16570, 17510
1401/02/20, 16250, 16850
1401/02/19, 16500, 17450
1401/02/18, 17260, 17700
1401/02/17, 17500, 18000
1401/02/12, 17450, 17940
1401/02/11, 17520, 18170
1401/02/10, 17200, 18380
1401/02/07, 17500, 18090
1401/02/06, 17560, 18150
1401/02/05, 17420, 17890
1401/02/04, 17630, 18350
1401/01/31, 17770, 18430
1401/01/30, 17400, 18700
1401/01/29, 17600, 18250
1401/01/28, 17230, 17910
1401/01/27, 17330, 18170
1401/01/24, 17150, 18200
1401/01/23, 17820, 18780
1401/01/22, 18360, 19320
1401/01/21, 19100, 19700
1401/01/20, 18600, 19190
1401/01/17, 17700, 18680
1401/01/16, 17750, 18500
1401/01/15, 17710, 18920
1401/01/14, 18030, 18950
1401/01/10, 18030, 18950
1401/01/09, 18520, 19240
1401/01/08, 17910, 18370
1401/01/07, 17000, 17900
1401/01/06, 16740, 17760
1400/12/28, 17250, 17460
1400/12/25, 16400, 16910
1400/12/24, 15730, 16500
1400/12/23, 15990, 16830
1400/12/22, 16270, 17120
1400/12/21, 16260, 17120
1400/12/18, 16730, 17140
1400/12/17, 16020, 16750
1400/12/16, 15610, 16680
1400/12/15, 15700, 16400
1400/12/14, 15280, 16010
1400/12/11, 15050, 15660
1400/12/09, 14410, 15200
1400/12/08, 14100, 14630
1400/12/07, 13830, 14380
1400/12/04, 14350, 14770
1400/12/03, 14450, 14820
1400/12/02, 14350, 14830
1400/12/01, 14390, 14890
1400/11/30, 14700, 15490
1400/11/27, 14200, 14920
1400/11/25, 14010, 14410
1400/11/24, 13890, 14370
1400/11/23, 14250, 14950
1400/11/20, 14220, 15100
1400/11/19, 14200, 15150
1400/11/18, 14590, 15330
1400/11/17, 15250, 15940
1400/11/16, 15660, 16260
1400/11/13, 15030, 15900
1400/11/12, 15380, 16500
1400/11/11, 15490, 16300
1400/11/10, 15500, 15890
1400/11/09, 14860, 15180
1400/11/06, 14150, 14800
1400/11/05, 13550, 14590
1400/11/04, 14210, 14770
1400/11/03, 14880, 15470
1400/11/02, 15150, 16030
1400/10/29, 15010, 15680
1400/10/28, 15480, 16130
1400/10/27, 15750, 16700
1400/10/26, 15500, 16400
1400/10/25, 15460, 16270
1400/10/22, 15720, 16340
1400/10/21, 16060, 16750
1400/10/20, 15420, 16600
1400/10/19, 16100, 16880
1400/10/18, 16700, 17620
1400/10/15, 17480, 18400
1400/10/14, 17700, 18950
1400/10/13, 17700, 18530
1400/10/12, 17300, 18050
1400/10/11, 16710, 17900
1400/10/08, 16850, 17790
1400/10/07, 16800, 17330
1400/10/06, 15890, 16870
1400/10/05, 15970, 16300
1400/10/04, 16310, 17500
1400/10/01, 16300, 17100
1400/09/30, 16000, 16550
1400/09/29, 16140, 16790
1400/09/28, 16840, 17550
1400/09/27, 17500, 18150
1400/09/24, 16860, 17850
1400/09/23, 16980, 18200
1400/09/22, 17310, 18060
1400/09/21, 16910, 18290
1400/09/20, 17660, 18650
1400/09/17, 17800, 18990
1400/09/16, 17950, 18880
1400/09/15, 18590, 19800
1400/09/14, 19000, 20100
1400/09/13, 19540, 20360
1400/09/10, 20450, 21200
1400/09/09, 20930, 22250
1400/09/08, 21520, 22300
1400/09/07, 20640, 21690
1400/09/06, 20950, 21950
1400/09/03, 21940, 23030
1400/09/02, 23030, 23980
1400/09/01, 23490, 24950
1400/08/30, 24310, 25300
1400/08/29, 25100, 26140
1400/08/26, 24230, 25560
1400/08/25, 23800, 25230
1400/08/24, 23750, 24340
1400/08/23, 22300, 24000
1400/08/22, 22820, 24150
1400/08/19, 23000, 24510
1400/08/18, 22900, 24020
1400/08/17, 21370, 23020
1400/08/16, 21110, 22800
1400/08/15, 22220, 22220
1400/08/12, 20670, 21210
1400/08/11, 19820, 20850
1400/08/10, 20440, 22130
1400/08/09, 21480, 21480
1400/08/08, 22510, 23690
1400/08/05, 23160, 24490
1400/07/21, 28870, 30860
1400/07/20, 30260, 32170
1400/07/19, 30420, 31940
1400/07/18, 30240, 31290
1400/07/17, 31720, 32700
1400/07/14, 32820, 35300
1400/07/12, 33670, 34590
1400/07/11, 31320, 33490
1400/07/10, 30500, 32150
1400/07/07, 30280, 31700
1400/07/06, 31580, 33240
1400/07/04, 32700, 35000
1400/07/03, 33100, 35190
1400/06/31, 33410, 35160
1400/06/30, 35050, 36760
1400/06/29, 36010, 38300
1400/06/28, 37790, 38800
1400/06/27, 39660, 40900
1400/06/24, 40800, 43050
1400/06/23, 41300, 42300
1400/06/22, 38950, 42200
1400/06/21, 40540, 43250
1400/06/20, 42210, 44600
1400/06/17, 44080, 46790
1400/06/16, 44510, 47970
1400/06/15, 44840, 46100
1400/06/14, 42360, 44480
