date, min_price, max_price
1402/02/24, 8200, 8390
1402/02/23, 8350, 8350
1402/02/19, 8590, 8800
1402/02/18, 7830, 8560
1402/02/17, 8100, 8510
1402/02/16, 8300, 8780
1402/02/13, 8380, 8820
1402/02/12, 8600, 9200
1402/02/11, 8520, 8920
1402/02/10, 8010, 8580
1402/02/09, 7960, 8500
1402/02/04, 8240, 8380
1402/01/30, 7690, 8060
1402/01/29, 7480, 7850
1402/01/28, 7350, 7800
1402/01/27, 7510, 8050
1402/01/26, 7750, 8040
1402/01/22, 7240, 7720
1402/01/21, 7140, 7770
1402/01/20, 7200, 7420
1402/01/19, 6690, 7150
1402/01/16, 6640, 6980
1402/01/15, 6420, 7080
1402/01/14, 6510, 6760
1402/01/09, 6250, 6470
1402/01/08, 6110, 6170
1402/01/07, 5760, 5890
1402/01/06, 5430, 5750
1402/01/05, 5400, 5640
1401/12/28, 5420, 5620
1401/12/27, 5120, 5530
1401/12/24, 5430, 5600
1401/12/21, 5150, 5550
1401/12/20, 5360, 5800
1401/12/16, 5530, 5820
1401/12/15, 5500, 5890
1401/12/14, 5450, 5800
1401/12/13, 5290, 5830
1401/12/10, 5350, 5592
1401/12/09, 5001, 5456
1401/12/08, 4755, 5232
1401/12/07, 4911, 4987
1401/12/06, 4611, 4822
1401/12/03, 4453, 4830
1401/12/02, 4451, 4673
1401/12/01, 4210, 4549
1401/11/30, 4310, 4469
1401/11/26, 4220, 4365
1401/11/25, 4250, 4455
1401/11/24, 4281, 4427
1401/11/23, 4313, 4527
1401/11/19, 4158, 4444
1401/11/18, 4154, 4370
1401/11/17, 4114, 4329
1401/11/16, 4200, 4380
1401/11/12, 4241, 4475
1401/11/11, 4300, 4495
1401/11/10, 4220, 4546
1401/11/09, 4327, 4418
1401/11/08, 4419, 4685
1401/11/05, 4520, 4830
1401/11/04, 4600, 4740
1401/11/03, 4450, 4770
1401/11/02, 4650, 4800
1401/11/01, 4890, 5130
1401/10/28, 4995, 5340
1401/10/27, 4867, 5101
1401/10/26, 4647, 4867
1401/10/24, 4565, 4744
1401/10/21, 4462, 4646
1401/10/20, 4550, 4720
1401/10/19, 4600, 4739
1401/10/18, 4650, 4810
1401/10/17, 4401, 4683
1401/10/14, 4400, 4690
1401/10/13, 4350, 4522
1401/10/12, 4223, 4440
1401/10/11, 4180, 4458
1401/10/10, 4327, 4460
1401/10/07, 4380, 4700
1401/10/05, 4380, 4611
1401/10/04, 4463, 4463
1401/10/03, 4380, 4380
1401/09/30, 4218, 4218
1401/09/29, 4135, 4135
1401/09/28, 4065, 4065
1401/09/27, 4024, 4024
1401/09/26, 3970, 3970
1401/09/23, 3840, 3914
1401/09/22, 3714, 3840
1401/09/21, 3652, 3722
1401/09/20, 3470, 3649
1401/09/19, 3520, 3627
1401/09/16, 3349, 3600
1401/09/15, 3352, 3508
1401/09/14, 3444, 3568
1401/09/13, 3436, 3600
1401/09/12, 3430, 3520
1401/09/09, 3440, 3551
1401/09/08, 3414, 3509
1401/09/07, 3321, 3409
1401/09/06, 3274, 3387
1401/09/05, 3272, 3417
1401/09/02, 3265, 3363
1401/09/01, 3339, 3440
1401/08/30, 3329, 3429
1401/08/29, 3250, 3413
1401/08/28, 3215, 3360
1401/08/25, 3346, 3439
1401/08/24, 3276, 3424
1401/08/23, 3332, 3445
1401/08/22, 3315, 3466
1401/08/21, 3280, 3477
1401/08/18, 3254, 3558
1401/08/17, 3380, 3454
1401/08/16, 3210, 3342
1401/08/15, 3180, 3284
1401/08/14, 3180, 3298
1401/08/11, 3062, 3222
1401/08/10, 3150, 3243
1401/08/09, 3050, 3197
1401/08/08, 3112, 3130
1401/08/07, 3142, 3268
1401/08/04, 3162, 3273
1401/08/03, 3232, 3445
1401/08/02, 3401, 3482
1401/08/01, 3481, 3728
1401/07/30, 3605, 3665
1401/07/27, 3430, 3666
1401/07/26, 3510, 3699
1401/07/25, 3571, 3571
1401/07/24, 3627, 3684
1401/07/23, 3713, 3850
1401/07/20, 3800, 3989
1401/07/19, 3759, 4079
1401/07/18, 3941, 4101
1401/07/17, 4120, 4148
1401/07/16, 3900, 4095
1401/06/14, 15420, 16300
