date, min_price, max_price
1402/03/03, 4271, 4395
1402/03/02, 4300, 4385
1402/03/01, 4295, 4440
1402/02/31, 4300, 4457
1402/02/30, 4277, 4540
1402/02/27, 4302, 4544
1402/02/25, 4140, 4540
1402/02/24, 4100, 4280
1402/02/23, 3701, 4219
1402/02/20, 3846, 4355
1402/02/19, 3987, 4361
1402/02/18, 4278, 4578
1402/02/17, 4585, 4950
1402/02/16, 4873, 5050
1402/02/13, 4750, 4983
1402/02/12, 4720, 4937
1402/02/11, 4625, 4982
1402/02/10, 4853, 5044
1402/02/09, 4435, 4890
1402/02/06, 4484, 4705
1402/02/05, 4500, 4836
1402/02/04, 4521, 4880
1402/01/30, 4721, 4949
1402/01/29, 4510, 4658
1402/01/28, 4120, 4542
1402/01/27, 4302, 4540
1402/01/26, 4301, 4600
1402/01/22, 4300, 4580
1402/01/20, 4350, 4580
1402/01/19, 4150, 4309
1402/01/16, 3810, 4138
1402/01/15, 3775, 3930
1402/01/14, 3600, 3882
1402/01/09, 3521, 3769
1402/01/08, 3437, 3620
1402/01/07, 3400, 3550
1402/01/06, 3419, 3646
1402/01/05, 3585, 3760
1401/12/28, 3286, 3590
1401/12/27, 3350, 3356
1401/12/24, 2976, 3151
1401/12/23, 2905, 2996
1401/12/22, 2900, 3000
1401/12/21, 2913, 3025
1401/12/20, 3000, 3155
1401/12/16, 3029, 3156
1401/12/15, 3045, 3153
1401/12/14, 3070, 3195
1401/12/13, 2840, 3160
1401/12/10, 2853, 3050
1401/12/02, 2690, 2820
1401/12/01, 2693, 2789
1401/11/30, 2600, 2697
1401/11/26, 2600, 2720
1401/11/25, 2650, 2710
1401/11/24, 2663, 2710
1401/11/23, 2643, 2708
1401/11/19, 2656, 2730
1401/11/18, 2606, 2730
1401/11/17, 2580, 2711
1401/11/16, 2604, 2700
1401/11/12, 2609, 2690
1401/11/11, 2590, 2699
1401/11/10, 2558, 2823
1401/11/09, 2743, 2916
1401/11/08, 2811, 3050
1401/11/05, 2900, 3088
1401/11/04, 2840, 3080
1401/11/03, 2850, 2999
1401/11/02, 2890, 2999
1401/11/01, 2880, 3155
1401/10/28, 3006, 3150
1401/10/27, 2980, 3132
1401/10/26, 2960, 3139
1401/10/24, 2901, 3025
1401/10/21, 2945, 3107
1401/10/20, 2915, 3104
1401/10/19, 2850, 2955
1401/10/18, 2890, 3000
1401/10/17, 2833, 2949
1401/10/14, 2727, 2876
1401/10/13, 2730, 2879
1401/10/12, 2749, 2838
1401/10/11, 2667, 2827
1401/10/10, 2666, 2970
1401/10/07, 2769, 2925
1401/10/05, 2680, 2778
1401/10/04, 2751, 2834
1401/09/29, 2650, 2750
1401/09/28, 2632, 2748
1401/09/27, 2599, 2685
1401/09/26, 2580, 2623
1401/09/23, 2530, 2660
1401/09/22, 2508, 2628
1401/09/21, 2450, 2505
1401/09/15, 2590, 2684
1401/09/14, 2600, 2678
1401/09/13, 2582, 2665
1401/09/12, 2585, 2694
1401/09/09, 2586, 2700
1401/09/08, 2591, 2700
1401/09/07, 2630, 2725
1401/09/06, 2610, 2723
1401/09/05, 2600, 2818
1401/09/02, 2740, 2850
1401/09/01, 2697, 2840
1401/08/30, 2888, 2949
1401/08/29, 2890, 2980
1401/08/28, 2812, 2904
1401/08/25, 2844, 2980
1401/08/24, 2800, 2999
1401/08/23, 2820, 2867
1401/08/22, 2820, 2913
1401/08/21, 2861, 2950
1401/08/18, 2816, 2960
1401/08/17, 2856, 3029
1401/08/16, 2710, 2909
1401/08/15, 2660, 2780
1401/08/14, 2527, 2682
1401/08/11, 2483, 2597
1401/08/10, 2487, 2585
1401/08/09, 2397, 2530
1401/08/08, 2314, 2475
1401/08/07, 2309, 2550
1401/08/04, 2401, 2566
1401/08/03, 2442, 2595
1401/08/02, 2541, 2652
1401/08/01, 2582, 2696
1401/07/30, 2600, 2707
1401/07/27, 2624, 2765
1401/07/26, 2611, 2777
1401/07/25, 2601, 2706
1401/07/24, 2609, 2723
1401/07/23, 2668, 2778
1401/07/20, 2520, 2720
1401/07/19, 2621, 2720
