date, min_price, max_price
1402/03/03, 6580, 7000
1402/03/02, 6680, 7040
1402/03/01, 6720, 7010
1402/02/31, 6400, 6820
1402/02/30, 6300, 6700
1402/02/27, 6050, 6650
1402/02/25, 6220, 6620
1402/02/24, 6200, 6510
1402/02/23, 6190, 6380
1402/02/20, 6410, 6990
1402/02/19, 6720, 7040
1402/02/18, 7070, 7210
1402/02/17, 7360, 7990
1402/02/16, 7630, 8100
1402/02/13, 7750, 8460
1402/02/12, 7900, 8190
1402/02/11, 7650, 8080
1402/02/10, 7740, 8170
1402/02/09, 7710, 7950
1402/02/06, 7010, 7650
1402/02/05, 7100, 7480
1402/02/04, 7300, 7300
1402/01/30, 7340, 7800
1402/01/29, 7170, 7450
1402/01/28, 6750, 7400
1402/01/27, 6800, 7290
1402/01/26, 6900, 7190
1402/01/22, 6680, 6890
1402/01/16, 6520, 7000
1402/01/15, 6530, 6990
1402/01/14, 6570, 6750
1402/01/09, 6240, 6450
1402/01/08, 6020, 6160
1402/01/07, 5650, 6010
1402/01/06, 5630, 5940
1402/01/05, 5750, 6100
1401/12/28, 5720, 5920
1401/12/27, 5500, 5640
1401/12/24, 5300, 5510
1401/12/23, 5210, 5480
1401/12/22, 5260, 5670
1401/12/21, 5480, 5800
1401/12/16, 5660, 5910
1401/12/15, 5680, 5980
1401/12/14, 5840, 6110
1401/12/13, 5760, 6100
1401/12/10, 5760, 6130
1401/12/09, 5690, 6060
1401/12/08, 5580, 5910
1401/12/07, 5530, 6020
1401/12/06, 5510, 5750
1401/12/03, 5200, 5640
1401/12/02, 5180, 5490
1401/12/01, 5010, 5320
1401/11/30, 4930, 5320
1401/11/26, 5090, 5320
1401/11/25, 5320, 5600
1401/11/24, 5440, 5710
1401/11/23, 5480, 5810
1401/11/19, 5680, 5760
1401/11/09, 7250, 7560
1401/11/08, 7340, 7890
1401/11/05, 7420, 7630
1401/11/04, 6840, 7350
1401/11/03, 6890, 7200
1401/11/02, 6810, 7120
1401/11/01, 6840, 7290
1401/10/28, 6990, 7250
1401/10/27, 7070, 7350
1401/10/26, 7110, 7380
1401/10/24, 6880, 7220
1401/10/21, 6970, 7290
1401/10/20, 7080, 7330
1401/10/19, 6850, 7200
1401/10/18, 6880, 7120
1401/10/17, 6620, 6820
1401/10/14, 6400, 6610
1401/10/13, 6290, 6550
1401/10/12, 6420, 6650
1401/10/11, 6270, 6840
1401/10/10, 6500, 6890
1401/10/07, 6620, 6970
1401/10/05, 6530, 6770
1401/10/04, 6560, 6910
1401/10/03, 6490, 6770
1401/09/30, 6410, 6550
1401/09/29, 6400, 6700
1401/09/28, 6380, 6570
1401/09/27, 6460, 6730
1401/09/26, 6300, 6500
1401/09/23, 6360, 6650
1401/09/22, 6340, 6590
1401/09/21, 6080, 6320
1401/09/20, 5980, 6220
1401/09/19, 6000, 6300
1401/09/16, 6110, 6320
1401/09/15, 6150, 6300
1401/09/14, 6150, 6370
1401/09/13, 6130, 6410
1401/09/12, 6230, 6580
1401/09/09, 6290, 6530
1401/09/08, 6010, 6300
1401/09/07, 5920, 6120
1401/09/06, 5900, 6150
1401/09/05, 5990, 6180
1401/09/02, 6010, 6170
1401/09/01, 5840, 6170
1401/08/30, 5890, 6050
1401/08/29, 5660, 6030
1401/08/28, 5740, 5930
1401/08/25, 5920, 6050
1401/08/24, 5910, 6110
1401/08/23, 5880, 6230
1401/08/22, 5960, 6240
1401/08/21, 5850, 6120
1401/08/18, 5470, 5980
1401/08/17, 5510, 5990
1401/08/16, 5450, 5720
1401/08/15, 5340, 5580
1401/08/14, 5100, 5390
1401/08/11, 5000, 5250
1401/08/10, 5130, 5260
1401/08/09, 5050, 5270
1401/08/08, 4920, 5150
1401/08/07, 4920, 5100
1401/08/04, 5120, 5320
1401/08/03, 5220, 5550
1401/08/02, 5480, 5670
1401/08/01, 5730, 6030
1401/07/30, 5950, 6190
1401/07/27, 5880, 6080
1401/07/26, 5910, 6150
1401/07/25, 5930, 6150
1401/07/24, 5960, 6130
1401/07/23, 6030, 6190
1401/07/20, 6010, 6250
1401/07/19, 5930, 6290
1401/07/18, 5930, 6190
1401/07/17, 5960, 6280
1401/07/16, 6030, 6350
1401/07/12, 6000, 6460
1401/07/11, 6000, 6250
1401/07/10, 5790, 5960
1401/07/09, 5660, 6000
1401/07/06, 5830, 6180
1401/07/04, 5660, 6060
1401/07/02, 5870, 6180
1401/06/30, 6020, 6200
1401/06/29, 6020, 6230
1401/06/28, 6150, 6520
1401/06/27, 6170, 6460
1401/06/23, 6350, 6620
1401/06/22, 6400, 6650
1401/06/21, 6370, 6690
1401/06/20, 6330, 6550
1401/06/19, 6450, 6620
1401/06/16, 6550, 6860
1401/06/15, 6650, 6800
1401/06/14, 6700, 6850
1401/06/13, 6540, 6740
1401/06/12, 6560, 6960
1401/06/09, 6730, 6970
1401/06/08, 6650, 6700
1401/06/07, 6100, 6560
1401/06/06, 6060, 6340
1401/06/02, 6170, 6450
1401/06/01, 6150, 6540
1401/05/31, 6140, 6230
1401/05/30, 6150, 6550
1401/05/29, 6120, 6460
1401/05/26, 6210, 6530
1401/05/25, 6310, 6750
1401/05/24, 6140, 6520
1401/05/23, 6180, 6320
1401/05/22, 6100, 6350
1401/05/19, 6000, 6160
1401/05/18, 6080, 6400
1401/05/15, 6180, 6470
1401/05/12, 6020, 6290
1401/05/11, 5980, 6270
1401/05/10, 5800, 6140
1401/05/09, 5710, 6120
1401/05/08, 5710, 6310
1401/05/05, 5900, 6170
1401/05/04, 5720, 6220
1401/05/03, 6010, 6240
1401/05/02, 6330, 6810
1401/05/01, 6600, 6890
1401/04/29, 6060, 6660
1401/04/28, 6080, 6490
1401/04/26, 6160, 6700
1401/04/25, 6290, 6500
1401/04/22, 6280, 6680
1401/04/21, 6310, 6690
1401/04/20, 6350, 6880
1401/04/18, 6600, 6850
1401/04/15, 6460, 6720
1401/04/14, 6400, 6850
1401/04/13, 6700, 6950
1401/04/12, 6710, 7040
1401/04/11, 6770, 7080
1401/04/08, 6890, 7080
1401/04/07, 6820, 7150
1401/04/06, 6710, 7170
1401/04/05, 6700, 7000
1401/04/04, 6910, 7290
1401/04/01, 6820, 7190
1401/03/31, 6900, 7260
1401/03/30, 7080, 7430
1401/03/29, 7270, 7500
1401/03/28, 7400, 7840
1401/03/25, 7590, 7920
1401/03/24, 7650, 7950
1401/03/23, 7700, 8100
1401/03/22, 7580, 7930
1401/03/21, 7700, 7970
1401/03/18, 7700, 8180
1401/03/17, 7500, 7800
1401/03/16, 7500, 7880
1401/03/11, 7680, 8070
1401/03/10, 7640, 7750
1401/03/09, 7410, 7800
1401/03/08, 7350, 7850
1401/03/07, 7600, 8050
1401/03/04, 7610, 8190
1401/03/03, 7600, 7930
1401/03/02, 7540, 7970
1401/03/01, 7560, 8000
1401/02/31, 7560, 8100
1401/02/28, 7520, 8020
1401/02/27, 7660, 8050
1401/02/24, 8570, 8570
1401/02/21, 7830, 8090
1401/02/20, 7230, 7680
1401/02/19, 7170, 7670
1401/02/18, 7450, 7850
1401/02/17, 7300, 7660
1401/02/12, 7100, 7460
1401/02/11, 7230, 7700
1401/02/10, 7390, 7730
1401/02/07, 7320, 7690
1401/02/06, 7540, 7870
1401/02/05, 7020, 7520
1401/02/04, 6950, 7340
1401/01/31, 7110, 7470
1401/01/30, 6650, 7340
1401/01/29, 6420, 6960
1401/01/28, 6370, 6670
1401/01/27, 6360, 6590
1401/01/24, 6010, 6460
1401/01/23, 6190, 6450
1401/01/22, 6430, 6670
1401/01/21, 6510, 6920
1401/01/20, 6520, 7000
1401/01/17, 6420, 6950
1401/01/16, 6500, 6840
1401/01/15, 6320, 6720
1401/01/14, 6270, 6600
1401/01/10, 6000, 6390
1401/01/09, 6070, 6410
1401/01/07, 6050, 6130
1400/12/24, 5730, 6180
1400/12/23, 5760, 6190
1400/12/22, 5710, 6190
1400/12/21, 5920, 6200
1400/12/18, 6100, 6560
1400/12/17, 6270, 6370
1400/12/16, 6070, 6070
1400/12/15, 5650, 5820
1400/12/14, 5450, 5610
1400/12/11, 5300, 5670
1400/12/09, 5470, 5800
1400/12/08, 5430, 5700
1400/12/07, 5300, 5610
1400/12/04, 5260, 5500
1400/12/03, 5300, 5480
1400/12/02, 5140, 5300
1400/12/01, 4890, 5140
1400/11/30, 4960, 5200
1400/11/27, 5140, 5300
1400/11/25, 5160, 5480
1400/11/24, 5360, 5500
1400/11/23, 5500, 5870
1400/11/20, 5580, 5880
1400/11/19, 5660, 6050
1400/11/18, 5580, 5840
1400/11/17, 5550, 5830
1400/11/16, 5740, 6120
