date, min_price, max_price
1402/03/03, 29900, 31300
1402/03/02, 29900, 31450
1402/03/01, 29600, 30450
1402/02/31, 28650, 29950
1402/02/30, 29050, 30750
1402/02/27, 28600, 30500
1402/02/25, 28550, 30050
1402/02/24, 27650, 29450
1402/02/23, 27500, 29400
1402/02/19, 28900, 30000
1402/02/18, 30400, 30400
1402/02/17, 31800, 34300
1402/02/16, 32500, 34900
1402/02/13, 33100, 36250
1402/02/12, 33950, 34850
1402/02/11, 32500, 33950
1402/02/10, 32350, 33800
1402/02/09, 32300, 34150
1402/02/06, 32800, 34450
1402/02/05, 32550, 35950
1402/02/04, 33200, 34350
1402/01/30, 32250, 33400
1402/01/29, 31500, 33850
1402/01/28, 32000, 33300
1402/01/27, 31750, 31750
1402/01/26, 30250, 30250
1402/01/22, 28000, 28850
1402/01/21, 27450, 27500
1402/01/20, 25100, 26250
1402/01/19, 24200, 25000
1402/01/16, 23300, 24200
1402/01/15, 23450, 24500
1402/01/14, 23900, 24750
1402/01/09, 24200, 25200
1402/01/08, 23800, 25500
1402/01/07, 23100, 25200
1402/01/06, 21850, 24050
1402/01/05, 22950, 22950
1401/12/28, 21890, 21890
1401/12/27, 20850, 20850
1401/12/24, 19910, 19910
1401/12/23, 17230, 27100
