date, min_price, max_price
1402/03/01, 1722, 1798
1402/02/31, 1720, 1810
1402/02/25, 1673, 1818
1402/02/24, 1657, 1789
1402/02/23, 1706, 1768
1402/02/20, 1753, 1905
1402/02/19, 1844, 1890
1402/02/18, 1941, 1941
1402/02/17, 1991, 2145
1402/02/16, 2050, 2140
1402/02/13, 2004, 2169
1402/02/12, 2008, 2105
1402/02/11, 1940, 2035
1402/02/10, 1933, 2020
1402/02/09, 1939, 2029
1402/02/06, 1981, 2050
1402/02/05, 1988, 2112
1402/02/04, 1940, 2028
1402/01/30, 1871, 1949
1402/01/29, 1850, 1857
1402/01/28, 1729, 1800
1402/01/27, 1769, 1801
1402/01/26, 1740, 1809
1402/01/22, 1700, 1784
1402/01/21, 1701, 1818
1402/01/20, 1758, 1848
1402/01/19, 1741, 1846
1402/01/16, 1725, 1805
1402/01/15, 1680, 1794
1402/01/14, 1600, 1754
1402/01/09, 1637, 1690
1402/01/08, 1636, 1710
1402/01/07, 1623, 1688
1402/01/06, 1567, 1686
1402/01/05, 1550, 1693
1401/12/28, 1550, 1633
1401/12/27, 1579, 1629
1401/12/24, 1531, 1567
1401/12/23, 1477, 1550
1401/12/22, 1476, 1507
1401/12/21, 1475, 1500
1401/12/20, 1463, 1514
1401/12/16, 1441, 1499
1401/12/15, 1450, 1499
1401/12/14, 1407, 1489
1401/12/13, 1412, 1477
1401/12/10, 1402, 1489
1401/12/09, 1404, 1450
1401/12/08, 1360, 1449
1401/12/07, 1389, 1450
1401/12/06, 1355, 1393
1401/12/03, 1312, 1350
1401/12/02, 1320, 1390
1401/12/01, 1290, 1361
1401/11/30, 1286, 1320
1401/11/26, 1258, 1340
1401/11/25, 1310, 1352
1401/11/24, 1325, 1384
1401/11/23, 1317, 1359
1401/11/19, 1324, 1368
1401/11/18, 1313, 1369
1401/11/17, 1310, 1344
1401/11/16, 1338, 1379
1401/11/12, 1335, 1375
1401/11/11, 1310, 1399
1401/11/10, 1330, 1398
1401/11/09, 1346, 1449
1401/11/08, 1385, 1440
