date, min_price, max_price
1402/03/03, 15570, 16500
1402/03/02, 15600, 17370
1402/03/01, 15510, 17450
1402/02/31, 15520, 16540
1402/02/30, 14850, 16150
1402/02/27, 15000, 15140
1402/02/25, 13600, 15000
1402/02/24, 13930, 15490
1402/02/23, 14960, 15100
1402/02/20, 15360, 17260
1402/02/19, 16470, 17000
1402/02/18, 17700, 17700
1402/02/17, 18360, 20000
1402/02/16, 19130, 21380
1402/02/11, 17870, 19190
1402/02/10, 18200, 19900
1402/02/09, 18200, 19170
1402/02/06, 16880, 18650
1402/02/05, 16820, 17800
1402/02/04, 15980, 17580
1402/01/30, 16510, 17970
1402/01/29, 17060, 18230
1402/01/26, 16500, 17390
1402/01/22, 16410, 16970
1402/01/21, 15500, 16580
1402/01/20, 15280, 15950
1402/01/19, 14830, 15800
1402/01/16, 14750, 15770
1402/01/15, 14610, 15900
1402/01/14, 14310, 15450
1402/01/09, 14590, 15820
1402/01/08, 14420, 15040
1402/01/07, 12960, 14570
1402/01/06, 12600, 14350
1402/01/05, 12900, 13540
1401/12/28, 12290, 12690
1401/12/27, 10820, 12330
1401/12/24, 11210, 12050
1401/12/15, 11210, 11700
1401/12/14, 12050, 12050
1401/12/09, 12660, 13040
1401/12/08, 11110, 12450
1401/12/07, 10950, 11690
1401/12/06, 10930, 10930
1401/12/03, 9710, 10300
1401/12/02, 9500, 9630
1401/12/01, 8680, 9020
1401/11/30, 8180, 8900
1401/11/26, 8280, 8980
1401/11/25, 8670, 9360
1401/11/24, 9100, 9650
1401/11/23, 8870, 9430
1401/11/19, 8650, 9380
1401/11/18, 8600, 8920
1401/11/17, 7810, 8700
1401/11/16, 8050, 8690
1401/11/12, 8300, 8770
1401/11/11, 8200, 8680
1401/11/10, 8090, 8810
1401/11/09, 8660, 9470
1401/11/08, 8830, 9690
1401/11/05, 8700, 9690
1401/11/04, 9080, 9650
1401/11/03, 9520, 10430
1401/11/02, 9990, 10600
1401/11/01, 9180, 10030
1401/10/28, 9070, 9720
1401/10/27, 8820, 9730
1401/10/17, 11330, 11750
1401/10/14, 11010, 11630
1401/10/13, 10990, 11990
1401/10/12, 11350, 11800
1401/10/11, 10900, 11570
1401/10/10, 10980, 11750
1401/10/07, 11570, 12150
1401/10/05, 11200, 11790
1401/10/04, 11500, 11830
1401/10/03, 11470, 12090
1401/09/30, 11460, 11900
1401/09/29, 10930, 11410
1401/09/28, 11250, 11800
1401/09/27, 11250, 11900
1401/09/26, 11270, 11780
1401/09/23, 11400, 11990
1401/09/22, 11490, 12140
1401/09/21, 11340, 12170
1401/09/20, 11630, 12460
1401/09/19, 10930, 12030
1401/09/16, 10980, 11600
1401/09/15, 10820, 11600
1401/09/14, 10620, 11320
1401/09/13, 10120, 11000
1401/09/12, 10400, 10630
1401/09/09, 9610, 10410
1401/09/08, 9630, 10320
1401/09/07, 9460, 9960
1401/09/06, 9100, 9670
1401/09/05, 8870, 9120
1401/09/02, 8890, 9250
1401/09/01, 8820, 9280
1401/08/30, 9010, 9390
1401/08/29, 8960, 9470
1401/08/28, 8800, 9330
1401/08/25, 9050, 9470
1401/08/24, 9140, 9680
1401/08/23, 8920, 9580
1401/08/22, 9340, 9760
1401/08/21, 9300, 9770
1401/08/18, 9030, 9950
1401/08/17, 9300, 9880
1401/08/16, 8870, 9350
1401/08/15, 8630, 8990
1401/08/14, 8410, 8850
1401/08/11, 8250, 8800
1401/08/10, 8600, 9080
1401/08/09, 8250, 8820
1401/08/08, 8640, 8800
1401/08/07, 9060, 9980
1401/08/04, 9540, 10640
1401/08/03, 10000, 10880
1401/08/02, 10050, 10970
1401/08/01, 10530, 11120
1401/07/30, 10710, 11290
1401/07/27, 10350, 11250
1401/07/26, 10860, 11440
1401/07/25, 10780, 11700
1401/07/24, 10770, 11350
1401/07/23, 10820, 11500
1401/07/20, 11420, 11900
1401/07/19, 11500, 11900
1401/07/18, 11560, 11950
1401/07/17, 11620, 12330
1401/07/16, 12010, 12850
