date, min_price, max_price
1402/03/03, 19440, 20200
1402/03/02, 18960, 19750
1402/03/01, 19180, 19890
1402/02/31, 19820, 20390
1402/02/30, 19810, 20500
1402/02/27, 20040, 20780
1402/02/25, 20340, 20800
1402/02/24, 19990, 20900
1402/02/23, 19620, 20500
1402/02/20, 19980, 20950
1402/02/19, 19550, 21000
1402/02/18, 20330, 20960
1402/02/17, 20980, 22850
1402/02/16, 21480, 22710
1402/02/13, 21670, 22410
1402/02/12, 21700, 22600
1402/02/11, 21600, 22500
1402/02/10, 21010, 22170
1402/02/09, 20510, 21340
1402/02/06, 20080, 20760
1402/02/05, 20320, 21000
1402/02/04, 19260, 20670
1402/01/30, 19450, 20100
1402/01/29, 19440, 20160
1402/01/28, 19300, 19740
1402/01/27, 19460, 20200
1402/01/26, 19100, 20050
1402/01/22, 18920, 19870
1402/01/21, 19650, 20720
1402/01/20, 20230, 21500
1402/01/19, 19710, 21260
1402/01/16, 19650, 20490
1402/01/15, 19730, 20530
1402/01/14, 18770, 19990
1402/01/09, 18880, 19680
1402/01/08, 18230, 18960
1402/01/07, 17130, 18220
1402/01/06, 17000, 17810
1402/01/05, 16810, 17940
1401/12/28, 17240, 17290
1401/12/27, 16470, 16470
1401/12/24, 15310, 15940
1401/12/23, 15130, 15380
1401/12/22, 15010, 15500
1401/12/21, 14890, 15610
1401/12/20, 15380, 16000
1401/12/16, 15440, 16150
1401/12/15, 15250, 15690
1401/12/14, 15570, 16180
1401/12/13, 15500, 16220
1401/12/10, 15780, 16820
1401/12/09, 15640, 16330
1401/12/08, 15210, 15560
1401/12/07, 14820, 14820
1401/12/06, 14120, 14120
1401/12/03, 13450, 13450
1401/12/02, 12810, 12810
1401/12/01, 12640, 12640
1401/11/30, 11920, 12250
1401/11/26, 11880, 12120
1401/11/25, 12020, 12250
1401/11/24, 12010, 12320
1401/11/23, 11970, 12290
1401/11/19, 12100, 12300
1401/11/18, 12070, 12420
1401/11/17, 11950, 12410
1401/11/16, 11960, 12280
1401/11/12, 11930, 12300
1401/11/11, 12010, 12310
1401/11/10, 11960, 12330
1401/11/09, 12000, 12500
1401/11/08, 12400, 12850
1401/11/05, 12480, 12900
1401/11/04, 12740, 13110
1401/11/03, 12830, 13240
1401/11/02, 12870, 13430
1401/11/01, 13050, 13500
1401/10/28, 13400, 13800
1401/10/27, 13330, 13980
1401/10/26, 13590, 14090
1401/10/24, 13270, 13860
1401/10/21, 13700, 14190
1401/10/20, 13850, 14680
1401/10/19, 13650, 14160
1401/10/18, 13260, 13700
1401/10/17, 13050, 13260
1401/10/14, 12910, 13290
1401/10/13, 12900, 13320
1401/10/12, 12750, 13240
1401/10/11, 12420, 12980
1401/10/10, 12860, 13100
1401/10/07, 13100, 13530
1401/10/05, 12770, 13100
1401/10/04, 12650, 12770
1401/09/29, 12100, 12420
1401/09/28, 12020, 12500
1401/09/27, 11970, 12370
1401/09/26, 11930, 12100
1401/09/23, 12000, 12220
1401/09/22, 11370, 11860
1401/09/21, 11200, 11400
1401/09/20, 11000, 11290
1401/09/19, 10990, 11350
1401/09/16, 11260, 11550
1401/09/15, 11240, 11500
1401/09/14, 11250, 11400
1401/09/13, 11270, 11430
1401/09/12, 11300, 11440
1401/09/09, 11330, 11420
1401/09/08, 11370, 11540
1401/09/07, 11310, 11500
1401/09/06, 11310, 11500
1401/09/05, 11330, 11500
1401/09/02, 11320, 11490
1401/09/01, 11360, 11500
1401/08/30, 11400, 11500
1401/08/29, 11340, 11670
1401/08/28, 11280, 11650
1401/08/25, 11230, 11660
1401/08/24, 11480, 11770
1401/08/23, 11230, 11670
1401/08/22, 11410, 11760
1401/08/21, 11500, 11800
1401/08/18, 10980, 11670
1401/08/17, 11000, 11160
1401/08/16, 10310, 10810
1401/08/15, 10180, 10550
1401/08/14, 9700, 10180
1401/08/11, 9580, 9830
1401/08/10, 9510, 9800
1401/08/09, 9500, 9920
1401/08/08, 9420, 9750
1401/08/07, 9400, 9490
1401/08/04, 9060, 9500
1401/08/03, 9280, 9800
1401/08/02, 9360, 9740
1401/08/01, 9600, 9850
1401/07/30, 9680, 9840
1401/07/27, 9660, 9770
1401/07/26, 9620, 9760
1401/07/25, 9600, 9770
1401/07/24, 9600, 9770
1401/07/23, 9650, 9930
1401/07/20, 9730, 9850
1401/07/19, 9630, 9880
1401/07/18, 9600, 9710
1401/07/17, 9380, 9690
1401/07/16, 9430, 9920
1401/07/12, 9590, 9750
1401/07/11, 9640, 9800
1401/07/10, 9600, 9760
1401/07/09, 9500, 10100
1401/07/06, 9800, 10110
1401/07/04, 9680, 9870
1401/07/02, 9590, 10090
1401/06/30, 9970, 10180
1401/06/29, 10260, 10450
1401/06/28, 10350, 10500
1401/06/27, 10300, 10550
1401/06/23, 10520, 10640
1401/06/22, 10440, 10650
1401/06/21, 10550, 10700
1401/06/20, 10550, 10720
1401/06/19, 10400, 10790
1401/06/16, 10520, 10780
1401/06/15, 10610, 10900
1401/06/14, 10810, 10910
1401/06/13, 10700, 10950
1401/06/12, 10570, 10920
1401/06/09, 10750, 10930
1401/06/08, 10700, 11190
1401/06/07, 10990, 11320
1401/06/06, 11010, 11290
1401/06/05, 11130, 11610
1401/05/26, 15600, 15940
1401/05/25, 15650, 16030
1401/05/24, 15970, 16120
1401/05/23, 15870, 16210
1401/05/22, 16000, 16300
1401/05/19, 15910, 16340
1401/05/18, 16070, 16700
1401/05/15, 16490, 16750
1401/05/12, 16520, 16770
1401/05/11, 16420, 16840
1401/05/10, 16320, 16600
1401/05/09, 15910, 16590
1401/05/08, 16190, 16850
1401/05/05, 16250, 16450
1401/05/04, 16110, 16390
1401/05/03, 15900, 16420
1401/05/02, 16040, 16550
1401/05/01, 15980, 16490
1401/04/29, 15610, 16080
1401/04/28, 15060, 15890
1401/04/26, 14960, 15600
1401/04/25, 15270, 16060
1401/04/22, 15930, 16140
1401/04/21, 15780, 16000
1401/04/20, 15850, 16090
1401/04/18, 15960, 16190
1401/04/15, 15830, 16040
1401/04/14, 15990, 16240
1401/04/13, 15950, 16160
1401/04/12, 15800, 16030
1401/04/11, 15800, 16180
1401/04/08, 15750, 16140
1401/04/07, 15900, 16100
1401/04/06, 15680, 16090
1401/04/05, 15640, 16090
1401/04/04, 15990, 16670
1401/04/01, 16240, 16700
1401/03/31, 16560, 16950
1401/03/30, 16810, 17100
1401/03/29, 16830, 17050
1401/03/28, 16780, 17060
1401/03/25, 16800, 17350
1401/03/24, 17270, 17570
1401/03/23, 16680, 17280
1401/03/22, 15940, 16700
1401/03/21, 15910, 16180
1401/03/18, 16010, 16390
1401/03/17, 15560, 16180
1401/03/16, 15850, 16370
1401/03/11, 16240, 16530
1401/03/10, 16380, 16650
1401/03/09, 16320, 16650
1401/03/08, 16090, 16520
1401/03/07, 16120, 17000
1401/03/04, 16350, 17020
1401/03/03, 16450, 16550
1401/03/02, 16290, 17000
1401/03/01, 16600, 17060
1401/02/31, 16440, 17100
1401/02/28, 17030, 17550
1401/02/27, 17200, 18000
1401/02/26, 17410, 17860
1401/02/25, 17210, 18080
1401/02/24, 17260, 17920
1401/02/21, 16700, 17450
1401/02/20, 16380, 17090
1401/02/19, 16740, 17380
1401/02/18, 17180, 17530
1401/02/17, 17000, 17370
1401/02/12, 16280, 16980
1401/02/11, 16290, 16750
1401/02/10, 16370, 16800
1401/02/07, 16610, 17080
1401/02/06, 16240, 16980
1401/02/05, 15450, 16310
1401/02/04, 15240, 15690
1401/01/31, 15260, 15680
1401/01/30, 15010, 15650
1401/01/29, 15020, 15570
1401/01/28, 14370, 15140
1401/01/27, 14260, 14580
1401/01/24, 14130, 14430
1401/01/23, 14020, 14520
1401/01/22, 14350, 14780
1401/01/21, 14160, 14650
1401/01/20, 13730, 14500
1401/01/17, 14120, 14580
1401/01/16, 14050, 14600
1401/01/15, 14040, 14810
1401/01/14, 13960, 14500
1401/01/10, 13430, 14050
1401/01/09, 13400, 13870
1401/01/08, 13550, 14050
1401/01/07, 13660, 13980
1401/01/06, 13300, 13750
1400/12/28, 12770, 13450
1400/12/25, 12700, 12920
1400/12/24, 12620, 12900
1400/12/23, 12650, 12940
1400/12/22, 12400, 12920
1400/12/21, 12620, 12970
1400/12/18, 12730, 13200
1400/12/17, 12440, 12900
1400/12/16, 12460, 12870
1400/12/15, 11900, 12490
1400/12/14, 11850, 12030
1400/12/11, 11720, 12050
1400/12/09, 11630, 11750
1400/12/08, 11670, 11900
1400/12/07, 11700, 12120
1400/12/04, 11720, 11980
1400/12/03, 11700, 12000
1400/12/02, 11700, 12190
1400/12/01, 11870, 12300
1400/11/30, 12020, 12500
1400/11/27, 12170, 12690
1400/11/25, 12060, 12500
1400/11/24, 12110, 12500
1400/11/23, 12260, 12730
1400/11/20, 12460, 12760
1400/11/19, 12510, 12800
1400/11/18, 12140, 12750
1400/11/17, 12320, 12900
1400/11/16, 12650, 13100
1400/11/13, 12640, 12940
1400/11/12, 12610, 13090
1400/11/11, 12930, 13060
1400/11/10, 12620, 13070
1400/11/09, 12220, 12540
1400/11/06, 11400, 12100
1400/11/05, 11370, 12000
1400/11/04, 11900, 12280
1400/11/03, 12440, 13000
1400/11/02, 12980, 13550
1400/10/29, 12810, 13300
1400/10/28, 12650, 13100
1400/10/27, 13100, 13490
1400/10/26, 13070, 13410
1400/10/25, 13290, 13750
1400/10/22, 13520, 13830
1400/10/21, 13560, 14270
1400/10/20, 13930, 14270
1400/10/19, 13990, 14590
1400/10/18, 14260, 14690
1400/10/15, 14300, 14790
1400/10/14, 14150, 14580
1400/10/13, 14370, 14750
1400/10/12, 14640, 14940
1400/10/11, 14410, 14990
1400/10/08, 14830, 15150
1400/10/07, 14790, 15100
1400/10/06, 14640, 15150
1400/10/05, 14700, 15020
1400/10/04, 14840, 15340
1400/10/01, 14500, 15040
1400/09/30, 13970, 14490
1400/09/29, 13700, 14340
1400/09/28, 13540, 14090
1400/09/27, 13760, 14040
1400/09/24, 13680, 13980
1400/09/23, 13210, 13900
1400/09/22, 13400, 13930
1400/09/21, 13600, 13970
1400/09/20, 13820, 14400
1400/09/17, 13840, 14340
1400/09/16, 13640, 13950
1400/09/15, 13600, 14000
1400/09/14, 13710, 13980
1400/09/13, 13250, 13730
1400/09/10, 13190, 13630
1400/09/09, 13710, 13990
1400/09/08, 13720, 14180
1400/09/07, 13580, 14280
1400/09/06, 13740, 14470
1400/09/03, 14210, 14640
1400/09/02, 14250, 14890
1400/09/01, 14560, 15060
1400/08/30, 13780, 14460
1400/08/29, 13680, 14400
1400/08/26, 13980, 14540
1400/08/25, 14030, 14590
1400/08/24, 14100, 14760
1400/08/23, 14600, 14920
1400/08/22, 14070, 14820
1400/08/19, 14600, 14980
1400/08/18, 14240, 14870
1400/08/17, 13890, 14550
1400/08/16, 13960, 14600
1400/08/15, 13830, 14180
1400/08/12, 13080, 13940
1400/08/11, 13240, 13500
1400/08/10, 12990, 13400
1400/08/09, 12790, 13400
1400/08/08, 13260, 13810
1400/08/05, 13510, 13940
1400/08/04, 13260, 13860
1400/08/03, 13500, 13870
1400/08/01, 13820, 14740
1400/07/28, 14310, 14660
1400/07/27, 14480, 14950
1400/07/26, 14090, 14850
1400/07/25, 14300, 14870
1400/07/24, 14150, 14660
1400/07/21, 13800, 14390
1400/07/20, 14000, 14480
1400/07/19, 14460, 14840
1400/07/18, 14120, 14980
1400/07/17, 14520, 15190
1400/07/14, 15100, 15500
1400/07/12, 14840, 15530
1400/07/11, 15020, 15330
1400/07/10, 14190, 14610
1400/07/07, 13230, 14080
1400/07/06, 13220, 13790
1400/07/04, 13130, 13870
1400/07/03, 13320, 13710
1400/06/31, 12870, 13330
1400/06/30, 12770, 13550
1400/06/29, 13300, 13750
1400/06/28, 12930, 13800
1400/06/27, 13300, 14000
1400/06/24, 13570, 13930
1400/06/23, 13700, 14060
1400/06/22, 13230, 13970
1400/06/21, 13490, 14230
1400/06/20, 14050, 14400
1400/06/17, 13630, 14380
1400/06/16, 13600, 14080
1400/06/15, 13550, 14400
1400/06/14, 13820, 14430
1400/06/13, 14010, 14750
1400/06/10, 13770, 14550
1400/06/09, 13670, 14500
1400/06/08, 14340, 14760
1400/06/07, 14630, 15450
1400/06/06, 15200, 15710
1400/06/03, 14870, 15630
1400/05/23, 16150, 17240
1400/05/20, 16500, 16890
1400/05/19, 15520, 16260
1400/05/18, 14990, 15800
1400/05/17, 14830, 15530
1400/05/16, 15010, 15690
1400/05/13, 14570, 15200
1400/05/12, 14300, 14610
1400/05/11, 14100, 14500
1400/05/10, 14090, 14530
1400/05/09, 13710, 14330
1400/05/06, 13380, 13900
1400/05/05, 13510, 14190
1400/05/04, 14050, 14570
1400/04/28, 14060, 14630
1400/04/27, 13150, 14080
1400/04/26, 13210, 13730
1400/04/23, 12880, 13260
1400/04/22, 13080, 13540
1400/04/21, 13090, 13680
1400/04/20, 12760, 13310
1400/04/19, 12760, 13270
1400/04/16, 13050, 13770
1400/04/15, 13390, 13820
1400/04/14, 12650, 13390
1400/04/13, 12400, 13210
1400/04/12, 12250, 12980
1400/04/09, 12250, 12830
1400/04/08, 12150, 12740
1400/04/07, 12250, 12790
1400/04/06, 12050, 12540
1400/04/05, 11950, 11950
1400/04/02, 11000, 11470
1400/04/01, 10630, 11160
1400/03/31, 10450, 10810
1400/03/30, 10500, 11050
1400/03/29, 10100, 10770
