date, min_price, max_price
1402/02/31, 2103, 2185
1402/02/30, 2055, 2201
1402/02/27, 2132, 2188
1402/02/25, 2116, 2200
1402/02/24, 2101, 2147
1402/02/23, 2065, 2126
1402/02/20, 2000, 2150
1402/02/19, 2021, 2122
1402/02/18, 2021, 2030
1402/02/17, 2120, 2250
1402/02/16, 2191, 2273
1402/02/13, 2201, 2269
1402/02/12, 2213, 2284
1402/02/11, 2179, 2285
1402/02/10, 2213, 2300
1402/02/09, 2214, 2271
1402/02/06, 2121, 2210
1402/02/05, 2165, 2300
1402/02/04, 2210, 2360
1402/01/30, 2260, 2322
1402/01/29, 2161, 2212
1402/01/28, 2021, 2114
1402/01/27, 2014, 2014
1402/01/26, 1918, 1919
1402/01/22, 1780, 1890
1402/01/21, 1745, 1848
1402/01/20, 1789, 1888
1402/01/19, 1774, 1839
1402/01/16, 1710, 1791
1402/01/15, 1716, 1776
1402/01/14, 1711, 1750
1402/01/09, 1712, 1765
1402/01/08, 1710, 1767
1402/01/07, 1661, 1740
1402/01/06, 1616, 1748
1402/01/05, 1650, 1730
1401/12/28, 1630, 1715
1401/12/27, 1565, 1651
1401/12/24, 1560, 1588
1401/12/23, 1516, 1565
1401/12/22, 1502, 1568
1401/12/21, 1520, 1571
1401/12/20, 1550, 1610
1401/12/16, 1575, 1635
1401/12/15, 1535, 1610
1401/12/14, 1500, 1568
1401/12/13, 1511, 1560
1401/12/10, 1515, 1570
1401/12/09, 1490, 1591
1401/12/08, 1462, 1550
1401/12/07, 1441, 1563
1401/12/06, 1485, 1489
1401/12/03, 1391, 1450
1401/12/02, 1394, 1441
1401/12/01, 1320, 1379
1401/11/30, 1299, 1338
1401/11/26, 1299, 1355
1401/11/25, 1320, 1340
1401/11/24, 1321, 1349
1401/11/23, 1319, 1396
1401/11/19, 1350, 1396
1401/11/18, 1344, 1380
1401/11/17, 1315, 1359
1401/11/16, 1323, 1383
1401/11/12, 1351, 1398
1401/11/11, 1363, 1403
1401/11/10, 1308, 1391
1401/11/09, 1332, 1402
1401/11/08, 1390, 1459
1401/11/05, 1426, 1520
1401/11/04, 1451, 1520
1401/11/03, 1420, 1517
1401/11/02, 1444, 1535
1401/11/01, 1489, 1555
1401/10/28, 1534, 1599
1401/10/27, 1534, 1647
1401/10/26, 1581, 1668
1401/10/24, 1554, 1650
1401/10/21, 1580, 1699
1401/10/20, 1610, 1669
1401/10/19, 1561, 1620
1401/10/18, 1526, 1590
1401/10/17, 1500, 1559
1401/10/14, 1460, 1515
1401/10/13, 1473, 1558
1401/10/12, 1513, 1570
1401/10/11, 1497, 1540
1401/10/10, 1574, 1600
1401/10/07, 1592, 1665
1401/10/05, 1571, 1618
1401/10/04, 1507, 1600
1401/10/03, 1493, 1593
1401/09/30, 1492, 1568
1401/09/29, 1500, 1576
1401/09/28, 1470, 1527
1401/09/27, 1393, 1480
1401/09/26, 1376, 1414
1401/09/23, 1320, 1349
1401/09/22, 1237, 1305
1401/09/21, 1226, 1250
1401/09/20, 1216, 1249
1401/09/19, 1220, 1247
1401/09/16, 1223, 1249
1401/09/15, 1223, 1250
1401/09/14, 1228, 1253
1401/09/13, 1228, 1270
1401/09/12, 1236, 1293
1401/09/09, 1234, 1258
1401/09/08, 1226, 1253
1401/09/07, 1229, 1252
1401/09/06, 1220, 1257
1401/09/05, 1231, 1267
1401/09/02, 1248, 1277
1401/09/01, 1247, 1273
1401/08/30, 1227, 1270
1401/08/29, 1220, 1245
1401/08/28, 1229, 1242
1401/08/25, 1218, 1243
1401/08/24, 1222, 1246
1401/08/23, 1223, 1239
1401/08/22, 1228, 1264
1401/08/21, 1250, 1308
1401/08/18, 1230, 1289
1401/08/17, 1250, 1350
1401/08/16, 1266, 1335
1401/08/15, 1251, 1298
1401/08/14, 1218, 1278
1401/08/11, 1204, 1241
1401/08/10, 1216, 1249
1401/08/09, 1206, 1246
1401/08/08, 1210, 1218
1401/08/07, 1211, 1222
1401/08/04, 1192, 1215
1401/08/03, 1211, 1215
1401/08/02, 1202, 1220
1401/08/01, 1207, 1223
1401/07/30, 1210, 1226
1401/07/27, 1210, 1223
1401/07/26, 1200, 1211
1401/07/25, 1174, 1210
1401/07/24, 1200, 1215
1401/07/23, 1204, 1225
1401/07/20, 1203, 1229
1401/07/19, 1202, 1240
1401/07/18, 1164, 1220
1401/07/17, 1165, 1203
1401/07/16, 1194, 1238
1401/07/12, 1197, 1215
1401/07/11, 1196, 1217
1401/07/10, 1191, 1220
1401/07/09, 1200, 1257
1401/07/06, 1238, 1273
1401/07/04, 1200, 1230
1401/07/02, 1165, 1231
1401/06/30, 1206, 1240
1401/06/29, 1215, 1249
1401/06/28, 1225, 1260
1401/06/27, 1241, 1274
1401/06/23, 1265, 1286
1401/06/22, 1253, 1295
1401/06/21, 1241, 1286
1401/06/20, 1218, 1285
1401/06/19, 1240, 1300
1401/06/16, 1283, 1300
1401/06/15, 1279, 1303
1401/06/14, 1278, 1304
1401/06/13, 1281, 1300
1401/06/12, 1285, 1313
1401/06/07, 1310, 1345
1401/06/06, 1320, 1353
1401/06/05, 1330, 1368
1401/06/02, 1334, 1390
1401/06/01, 1300, 1366
1401/05/31, 1275, 1315
1401/05/30, 1280, 1305
1401/05/29, 1298, 1306
1401/05/26, 1280, 1310
1401/05/25, 1290, 1314
1401/05/24, 1293, 1318
1401/05/23, 1295, 1350
1401/05/22, 1300, 1360
1401/05/19, 1295, 1319
1401/05/18, 1287, 1315
1401/05/15, 1297, 1324
1401/05/12, 1301, 1320
1401/05/11, 1300, 1314
1401/05/10, 1300, 1329
1401/05/09, 1261, 1310
1401/05/08, 1291, 1357
1401/05/05, 1329, 1381
1401/05/04, 1286, 1380
1401/05/03, 1318, 1380
1401/05/02, 1357, 1450
1401/05/01, 1410, 1460
1401/04/28, 1427, 1480
1401/04/26, 1467, 1509
1401/04/25, 1480, 1521
1401/04/22, 1500, 1525
1401/04/21, 1419, 1488
1401/04/20, 1340, 1470
1401/04/18, 1400, 1422
1401/04/15, 1399, 1444
1401/04/14, 1415, 1450
1401/04/13, 1420, 1456
1401/04/12, 1400, 1453
1401/04/11, 1425, 1490
1401/04/08, 1446, 1499
1401/04/07, 1470, 1510
1401/04/06, 1441, 1488
1401/04/05, 1461, 1503
1401/04/04, 1478, 1510
1401/04/01, 1491, 1517
1401/03/31, 1496, 1530
1401/03/30, 1506, 1544
1401/03/29, 1516, 1550
1401/03/28, 1518, 1575
1401/03/25, 1516, 1569
1401/03/24, 1554, 1611
1401/03/23, 1602, 1675
1401/03/17, 1540, 1634
1401/03/16, 1521, 1590
1401/03/11, 1560, 1585
1401/03/10, 1510, 1558
1401/03/09, 1491, 1540
1401/03/08, 1491, 1518
1401/03/07, 1497, 1571
1401/03/04, 1511, 1569
