date, min_price, max_price
1402/03/03, 14670, 15090
1402/03/02, 14520, 15080
1402/03/01, 14410, 14980
1402/02/31, 14220, 14800
1402/02/30, 14300, 15000
1402/02/27, 14150, 14790
1402/02/25, 14320, 15000
1402/02/24, 14010, 15000
1402/02/23, 13510, 14450
1402/02/20, 14100, 15700
1402/02/19, 14890, 15370
1402/02/18, 14700, 15990
1402/02/17, 15710, 16600
1402/02/16, 16410, 17100
1402/02/13, 16520, 17100
1402/02/12, 16490, 16840
1402/02/11, 16230, 16680
1402/02/10, 16010, 16490
1402/02/09, 15560, 16400
1402/02/06, 15440, 16200
1402/02/05, 15620, 15900
1402/02/04, 15330, 15800
1402/01/30, 15330, 15640
1402/01/29, 15200, 15700
1402/01/28, 15020, 15410
1402/01/27, 15040, 15600
1402/01/26, 14790, 15370
1402/01/22, 14450, 14890
1402/01/21, 14400, 15170
1402/01/20, 14850, 15180
1402/01/19, 14430, 15170
1402/01/16, 13900, 14700
1402/01/15, 14150, 14800
1402/01/14, 13630, 14170
1402/01/09, 13880, 14070
1402/01/08, 13700, 13970
1402/01/07, 13220, 13900
1402/01/06, 13250, 13650
1402/01/05, 12910, 13680
1401/12/28, 12520, 13120
1401/12/27, 11900, 12400
1401/12/24, 11750, 11820
1401/12/23, 11450, 11800
1401/12/22, 11480, 11850
1401/12/21, 11500, 11700
1401/12/20, 11690, 12130
1401/12/16, 11470, 11940
1401/12/15, 11400, 11820
1401/12/14, 11350, 11790
1401/12/13, 11250, 11700
1401/12/10, 11700, 12070
1401/12/09, 11600, 12140
1401/12/08, 11410, 12060
1401/12/07, 11500, 12200
1401/12/06, 11000, 11700
1401/12/03, 10600, 10840
1401/12/02, 10550, 10880
1401/12/01, 10090, 11000
1401/11/30, 10040, 10240
1401/11/26, 10040, 10240
1401/11/25, 10090, 10130
1401/11/24, 10130, 10130
1401/11/23, 10110, 10300
1401/11/19, 10210, 10300
1401/11/18, 10200, 10380
1401/11/17, 10020, 10250
1401/11/16, 10100, 10140
1401/11/12, 10180, 10470
1401/11/11, 10210, 10500
1401/11/10, 10080, 10360
1401/11/09, 10060, 10400
1401/11/08, 10380, 10570
1401/11/05, 10550, 10710
1401/11/04, 10710, 10800
1401/11/03, 10640, 10990
1401/11/02, 10620, 10990
1401/11/01, 10600, 11050
1401/10/28, 10610, 11060
1401/10/27, 10920, 11280
1401/10/26, 10700, 11100
1401/10/24, 10500, 10980
1401/08/25, 10000, 10000
1401/08/24, 10000, 10000
1401/08/23, 10000, 10000
1401/08/22, 10000, 10000
1401/08/21, 10000, 10000
