date, min_price, max_price
1402/03/03, 24810, 24812
1402/03/02, 24790, 24793
1402/03/01, 24775, 24777
1402/02/31, 24758, 24760
1402/02/30, 24741, 24744
1402/02/27, 24693, 24696
1402/02/25, 24636, 24639
1402/02/24, 24597, 24600
1402/02/23, 24581, 24584
1402/02/20, 24532, 24535
1402/02/19, 24506, 24509
1402/02/18, 24482, 24485
1402/02/17, 24458, 24460
1402/02/16, 24433, 24437
1402/02/13, 24382, 24385
1402/02/12, 24349, 24354
1402/02/11, 24334, 24336
1402/02/10, 24315, 24317
1402/02/09, 24295, 24490
1402/02/06, 24249, 24254
1402/02/05, 24222, 24224
1402/02/04, 24202, 24206
1402/01/30, 24150, 24153
1402/01/29, 24107, 24112
1402/01/28, 24090, 24092
1402/01/27, 24065, 24077
1402/01/26, 24055, 24061
1402/01/22, 24011, 24013
1402/01/21, 23952, 23974
1402/01/20, 23952, 23955
1402/01/19, 23935, 23938
1402/01/16, 23890, 23891
1402/01/15, 23866, 23867
1402/01/14, 23847, 23848
1402/01/09, 23798, 23802
1402/01/08, 23778, 23781
1402/01/07, 23764, 23772
1402/01/06, 23752, 23756
1402/01/05, 23741, 23742
1401/12/28, 23683, 23900
1401/12/27, 23645, 23646
1401/12/24, 23602, 23605
1401/12/23, 23584, 23586
1401/12/22, 23569, 23570
1401/12/21, 23555, 23556
1401/12/20, 23540, 23544
1401/12/16, 23497, 23500
1401/12/15, 23464, 23465
1401/12/14, 23450, 23451
1401/12/13, 23435, 23436
1401/12/10, 23392, 23393
1401/12/09, 23373, 23375
1401/12/08, 23359, 23360
1401/12/07, 23345, 23346
1401/12/06, 23332, 23333
1401/12/03, 23290, 23291
1401/12/02, 23271, 23272
1401/12/01, 23258, 23259
1401/11/30, 23245, 23246
1401/11/26, 23191, 23193
1401/11/25, 23174, 23175
1401/11/24, 23159, 23160
1401/11/23, 23145, 23146
1401/11/19, 23099, 23100
1401/11/18, 23070, 23073
1401/11/17, 23057, 23058
1401/11/16, 23044, 23045
1401/11/12, 23001, 23002
1401/11/11, 22973, 22974
1401/11/10, 22959, 22963
1401/11/09, 22945, 22947
1401/11/08, 22932, 22934
1401/11/05, 22890, 22892
1401/11/04, 22870, 23400
1401/11/03, 22858, 22859
1401/11/02, 22844, 22846
1401/11/01, 22831, 22832
1401/10/28, 22789, 22790
1401/10/27, 22776, 22777
1401/10/26, 22762, 22763
1401/10/24, 22735, 22736
1401/10/21, 22706, 22708
1401/10/20, 22677, 22682
1401/10/19, 22667, 22668
1401/10/18, 22653, 22655
1401/10/17, 22639, 22641
1401/10/14, 22612, 22615
1401/10/13, 22576, 22590
1401/10/12, 22547, 22573
1401/10/11, 22558, 22560
1401/10/10, 22545, 22546
1401/10/07, 22514, 22519
1401/10/05, 22492, 22493
1401/10/04, 22465, 22466
1401/10/03, 22452, 22453
1401/09/30, 22426, 22427
1401/09/29, 22399, 22400
1401/09/28, 22386, 22387
1401/09/27, 22372, 22373
1401/09/26, 22358, 22359
1401/09/23, 22332, 22333
1401/09/22, 22305, 22306
1401/09/21, 22291, 22293
1401/09/20, 22279, 22280
1401/09/19, 22266, 22267
1401/09/16, 22239, 22241
1401/09/15, 22213, 22214
1401/09/14, 22199, 22200
1401/09/13, 22186, 22187
1401/09/12, 22172, 22173
1401/09/09, 22146, 22147
1401/09/08, 22119, 22120
1401/09/07, 22105, 22106
1401/09/06, 22094, 22095
1401/09/05, 22079, 22082
1401/09/02, 22053, 22054
1401/09/01, 22026, 22027
1401/08/30, 22012, 22013
1401/08/29, 21999, 22000
1401/08/28, 21985, 21988
1401/08/25, 21958, 21960
1401/08/24, 21932, 21934
1401/08/23, 21919, 21921
1401/08/22, 21905, 21906
1401/08/21, 21892, 21893
1401/08/18, 21865, 21867
1401/08/17, 21839, 21840
1401/08/16, 21825, 21827
1401/08/15, 21811, 21816
1401/08/14, 21798, 21801
1401/08/11, 21773, 21775
1401/08/10, 21761, 21762
1401/08/09, 21747, 21749
1401/08/08, 21734, 21735
1401/08/07, 21720, 21722
1401/08/04, 21706, 21711
1401/08/03, 21684, 21686
1401/08/02, 21670, 21671
