date, min_price, max_price
1402/02/31, 5000, 5130
1402/02/30, 4850, 5310
1402/02/27, 5000, 5150
1402/02/25, 4900, 5119
1402/02/24, 4652, 4923
1402/02/23, 4684, 4801
1402/02/20, 4900, 5280
1402/02/19, 5150, 5280
1402/02/18, 5220, 5220
1402/02/17, 5460, 5790
1402/02/16, 5680, 5820
1402/02/13, 5530, 5820
1402/02/12, 5500, 5720
1402/02/11, 5280, 5570
1402/02/10, 5330, 5630
1402/02/09, 5370, 5630
1402/02/06, 5050, 5420
1402/02/05, 5090, 5250
1402/02/04, 4970, 5190
1402/01/30, 4923, 5178
1402/01/29, 5028, 5335
1402/01/28, 4911, 5189
1402/01/27, 4846, 5085
1402/01/26, 4900, 5073
1402/01/22, 4682, 4846
1402/01/21, 4460, 4751
1402/01/20, 4459, 4575
1402/01/19, 4413, 4630
1402/01/16, 4334, 4475
1402/01/15, 4363, 4539
1402/01/14, 4100, 4435
1402/01/09, 4150, 4257
1402/01/08, 4017, 4154
1402/01/07, 4005, 4106
1402/01/06, 4017, 4270
1402/01/05, 4082, 4310
1401/12/28, 4113, 4297
1401/12/27, 4080, 4284
1401/12/24, 4080, 4080
1401/12/23, 3886, 3886
1401/12/22, 3701, 3701
1401/12/21, 3592, 3592
1401/12/20, 3533, 3533
1401/09/13, 3283, 3440
1401/09/12, 3380, 3474
1401/09/09, 3350, 3461
1401/09/08, 3379, 3461
1401/09/07, 3370, 3526
1401/09/06, 3389, 3500
1401/09/05, 3450, 3550
1401/09/02, 3471, 3587
1401/09/01, 3469, 3690
1401/08/30, 3558, 3780
1401/08/29, 3663, 3816
1401/08/28, 3602, 3760
1401/08/25, 3677, 3949
1401/08/16, 4500, 4669
1401/08/15, 4565, 4701
1401/08/14, 4573, 4720
1401/08/11, 4561, 4759
1401/08/10, 4628, 4870
1401/08/09, 4725, 4776
1401/08/08, 4600, 4752
1401/08/07, 4600, 4789
1401/08/04, 4664, 4910
1401/08/03, 4750, 4961
1401/08/02, 4758, 4980
1401/08/01, 4850, 4999
1401/07/30, 4861, 5000
1401/07/27, 4952, 4999
1401/07/26, 4962, 4999
1401/07/25, 4979, 5000
1401/07/24, 4900, 5010
1401/07/23, 4860, 5010
1401/07/20, 4978, 5010
1401/07/19, 4979, 5000
1401/07/18, 4890, 5000
1401/07/17, 4852, 5000
1401/07/16, 4921, 5010
1401/07/12, 4820, 5010
1401/07/11, 4830, 5020
1401/07/10, 4930, 5010
1401/07/09, 4900, 5020
1401/07/06, 4990, 5020
1401/07/04, 4970, 5020
1401/07/02, 4980, 5015
1401/06/30, 4970, 5010
1401/06/29, 4940, 5020
1401/06/28, 4920, 5040
1401/06/27, 4880, 5020
1401/06/23, 4986, 5020
1401/06/22, 4936, 5040
1401/06/21, 4980, 5000
1401/06/20, 4957, 5000
1401/06/19, 4947, 5001
1401/06/16, 4970, 5010
1401/06/15, 4970, 5030
1401/06/14, 4952, 4997
1401/06/13, 4951, 5010
1401/06/12, 4930, 5000
1401/06/09, 4957, 4968
1401/06/08, 4930, 4969
1401/06/07, 4922, 4960
1401/06/06, 4916, 4959
1401/06/05, 4860, 4962
1401/06/02, 4929, 4965
1401/06/01, 4950, 4960
1401/05/31, 4908, 4961
1401/05/30, 4876, 4950
1401/05/29, 4801, 4962
1401/05/26, 4700, 4980
1401/05/25, 4958, 4980
1401/05/24, 4944, 4970
1401/05/23, 4921, 4996
1401/05/22, 4899, 4955
1401/05/19, 4900, 4947
1401/05/18, 4759, 4948
1401/05/15, 4850, 4949
1401/05/12, 4852, 4900
1401/05/11, 4822, 4874
1401/05/10, 4750, 4881
1401/05/09, 4714, 4875
1401/05/08, 4751, 4893
1401/05/05, 4758, 4850
1401/05/04, 4755, 4867
1401/05/03, 4741, 4880
1401/05/02, 4701, 4880
1401/05/01, 4831, 4848
1401/04/29, 4620, 4860
1401/04/28, 4625, 4888
1401/04/26, 4700, 4866
1401/04/25, 4830, 4880
1401/04/22, 4790, 4863
1401/04/21, 4701, 4830
1401/04/20, 4690, 4832
1401/04/18, 4555, 4830
1401/04/15, 4795, 4850
1401/04/14, 4770, 4820
1401/04/13, 4650, 4810
1401/04/12, 4691, 4775
1401/04/11, 4680, 4777
1401/04/08, 4682, 4750
1401/04/07, 4600, 4750
1401/04/06, 4522, 4738
1401/04/05, 4540, 4700
1401/04/04, 4510, 4700
1401/04/01, 4551, 4688
1401/03/31, 4600, 4700
1401/03/30, 4552, 4748
1401/03/29, 4551, 4700
1401/03/28, 4610, 4750
1401/03/25, 4577, 4738
1401/03/24, 4510, 4690
1401/03/23, 4450, 4650
1401/03/22, 4242, 4550
1401/03/21, 4375, 4599
1401/03/18, 4410, 4505
1401/03/17, 4346, 4499
1401/03/16, 4314, 4470
1401/03/11, 4417, 4498
1401/03/10, 4385, 4469
1401/03/09, 4301, 4472
1401/03/08, 4272, 4509
1401/03/07, 4380, 4546
1401/03/04, 4365, 4570
1401/03/03, 4356, 4510
1401/03/02, 4331, 4600
1401/03/01, 4490, 4600
1401/02/31, 4410, 4605
1401/02/28, 4371, 4604
1401/02/27, 4400, 4678
1401/02/26, 4520, 4617
1401/02/25, 4470, 4619
1401/02/24, 4418, 4549
1401/02/21, 4395, 4450
1401/02/20, 4235, 4479
1401/02/19, 4300, 4470
1401/02/18, 4360, 4620
1401/02/06, 4980, 5100
1401/02/05, 4880, 5050
1401/02/04, 4860, 5130
1401/01/31, 4921, 5269
1401/01/30, 4824, 5199
1401/01/29, 4762, 4993
1401/01/28, 4621, 4830
1401/01/27, 4660, 4794
1401/01/24, 4480, 4770
1401/01/23, 4566, 4800
1401/01/22, 4710, 4886
1401/01/21, 4760, 4926
1401/01/20, 4642, 4970
1401/01/17, 4700, 4924
1401/01/16, 4693, 4693
1401/01/15, 4473, 4473
1401/01/14, 4075, 4274
1401/01/10, 3994, 4150
1401/01/09, 3983, 4100
1401/01/08, 3990, 4116
1401/01/07, 3940, 4053
1401/01/06, 3854, 4082
1400/12/28, 3981, 4085
