date, min_price, max_price
1402/03/03, 21120, 21900
1402/03/02, 20800, 21430
1402/03/01, 20815, 21598
1402/02/31, 20201, 21239
1402/02/30, 20266, 21590
1402/02/27, 20380, 21570
1402/02/25, 20030, 21400
1402/02/24, 20243, 21313
1402/02/23, 18705, 20499
1402/02/20, 19900, 22590
1402/02/19, 20438, 22600
1402/02/18, 21086, 22800
1402/02/17, 22939, 25583
1402/02/16, 25160, 25760
1402/02/13, 25000, 26110
1402/02/12, 25116, 26600
1402/02/11, 24627, 26500
1402/02/10, 24100, 25940
1402/02/09, 22750, 24007
1402/02/06, 21223, 22110
1402/02/05, 21285, 22330
1402/02/04, 20733, 21380
1402/01/30, 20900, 21265
1402/01/29, 20600, 21420
1402/01/28, 20200, 20750
1402/01/27, 20650, 21450
1402/01/26, 20400, 21242
1402/01/22, 19475, 20290
1402/01/21, 19478, 20770
1402/01/20, 20487, 21099
1402/01/19, 20020, 21592
1402/01/16, 20100, 20722
1402/01/15, 20020, 21370
1402/01/14, 19565, 21100
1402/01/09, 20030, 21300
1402/01/08, 19240, 20990
1402/01/07, 18617, 19990
1402/01/06, 19740, 19740
1402/01/05, 18606, 20590
1401/12/28, 18620, 20200
1401/12/27, 18030, 18734
1401/12/24, 16330, 17452
1401/12/23, 15300, 16309
1401/12/22, 15385, 15799
1401/12/21, 14711, 15580
1401/12/20, 15235, 16485
1401/12/16, 14700, 16030
1401/12/15, 14252, 14844
1401/12/14, 14680, 15490
1401/12/13, 14571, 15247
1401/12/10, 14734, 16089
1401/12/09, 15700, 16770
1401/12/08, 15398, 17550
1401/12/07, 15500, 16751
1401/12/06, 15045, 15233
1401/12/03, 13020, 14300
1401/12/02, 13001, 13756
1401/12/01, 11995, 12632
1401/11/30, 11121, 11935
1401/11/26, 10981, 11160
1401/11/25, 11082, 11220
1401/11/24, 11156, 11320
1401/11/23, 11142, 11399
1401/11/19, 11343, 11580
1401/11/18, 11290, 11588
1401/11/17, 10955, 11315
1401/11/16, 11033, 11419
1401/11/12, 11343, 11795
1401/11/11, 11351, 11735
1401/11/10, 10945, 11540
1401/11/09, 10997, 11700
1401/11/08, 11671, 11950
1401/11/05, 11636, 12200
1401/11/04, 12100, 12327
1401/11/03, 12130, 12650
1401/11/02, 12081, 12527
1401/11/01, 12075, 12489
1401/10/28, 12290, 12540
1401/10/27, 12300, 12730
1401/10/26, 12384, 12700
1401/10/24, 11753, 12395
1401/10/21, 12005, 12710
1401/10/20, 12584, 13150
1401/10/19, 12351, 12800
1401/10/18, 12500, 12990
1401/10/17, 12104, 12419
1401/10/14, 11852, 12169
1401/10/13, 11985, 12650
1401/10/12, 12370, 12700
1401/10/11, 11597, 12550
1401/10/10, 11644, 12740
1401/10/07, 12500, 13288
1401/10/05, 11912, 12190
1401/10/04, 11780, 12190
1401/10/03, 11090, 12023
1401/09/30, 10892, 10998
1401/09/29, 10841, 11150
1401/09/28, 10800, 11300
1401/09/27, 11050, 11400
1401/09/26, 10800, 11106
1401/09/23, 10950, 11275
1401/09/22, 10559, 11137
1401/09/21, 10092, 10540
1401/09/20, 10038, 10255
1401/09/19, 10059, 10303
1401/09/16, 10316, 10494
1401/09/15, 10371, 10540
1401/09/14, 10470, 10600
1401/09/13, 10558, 10688
1401/09/12, 10424, 10614
1401/09/09, 10420, 10530
1401/09/08, 10367, 10500
1401/09/07, 10310, 10448
1401/09/06, 10240, 10440
1401/09/05, 10211, 10598
1401/09/02, 10481, 10579
1401/09/01, 10309, 10550
1401/08/30, 10260, 10560
1401/08/29, 10310, 10580
1401/08/14, 10000, 10000
