date, min_price, max_price
1402/03/03, 6980, 7210
1402/03/02, 6980, 7280
1402/03/01, 7050, 7470
1402/02/31, 7270, 7590
1402/02/30, 7420, 7800
1402/02/27, 7300, 7430
1402/02/20, 7100, 7790
1402/02/19, 7430, 7810
1402/02/18, 7820, 7820
1402/02/17, 8210, 8750
1402/02/16, 8210, 9040
1402/02/13, 8330, 8740
1402/02/12, 8060, 8350
1402/02/11, 7710, 8160
1402/02/10, 7670, 8190
1402/02/09, 7850, 8460
1402/02/06, 8010, 8590
1402/02/05, 8110, 8670
1402/02/04, 7690, 8490
1402/01/30, 7850, 8600
1402/01/29, 8260, 8260
1402/01/28, 7780, 7910
1402/01/27, 7540, 7540
1402/01/26, 7190, 7190
1402/01/22, 6550, 6950
1402/01/21, 6330, 6670
1402/01/20, 6270, 6370
1402/01/19, 6070, 6070
1402/01/16, 5470, 5830
1402/01/15, 5470, 5740
1402/01/14, 5380, 5650
1402/01/09, 5400, 5580
1402/01/08, 5280, 5520
1402/01/07, 5240, 5520
1402/01/06, 5250, 5410
1402/01/05, 5400, 5730
1401/12/28, 5440, 5740
1401/12/27, 5280, 5660
1401/12/24, 5310, 5590
1401/12/23, 5310, 5460
1401/12/22, 5540, 5940
1401/12/21, 5670, 5880
1401/12/20, 5600, 5600
1401/12/16, 5340, 5340
1401/12/15, 5090, 5090
1401/12/06, 10240, 11040
1401/12/03, 10250, 10990
1401/12/02, 10400, 10600
1401/12/01, 9510, 10130
1401/11/30, 9340, 9700
1401/11/26, 9190, 9470
1401/11/25, 9640, 10360
1401/11/24, 10110, 10850
1401/11/23, 10270, 10950
1401/11/19, 10390, 10750
1401/11/18, 9780, 10250
1401/11/17, 9500, 9920
1401/11/16, 9510, 10090
1401/11/12, 9550, 9950
1401/11/11, 9760, 10300
1401/11/10, 10060, 10420
1401/11/09, 10580, 10850
1401/11/08, 10850, 11870
1401/11/05, 10700, 11510
1401/11/04, 10200, 11260
1401/11/03, 10330, 10760
1401/11/02, 10150, 10890
1401/11/01, 9900, 10760
1401/10/28, 9930, 10260
1401/10/27, 9500, 9790
1401/10/26, 9330, 9330
1401/10/24, 8530, 8930
1401/10/18, 8290, 8670
1401/10/17, 8420, 8790
1401/10/14, 8300, 8740
1401/10/13, 8100, 8610
1401/10/12, 8000, 8400
1401/10/11, 7930, 8450
1401/10/10, 8340, 8740
1401/10/07, 8600, 9060
1401/10/05, 8500, 8800
1401/10/04, 8340, 8770
1401/10/03, 8000, 8570
1401/09/30, 8000, 8290
1401/09/29, 8150, 8570
1401/09/28, 7630, 8310
1401/09/27, 7710, 7980
1401/09/26, 7660, 8100
1401/09/23, 7600, 7840
1401/09/22, 7100, 7490
1401/09/21, 6960, 7240
1401/09/20, 6980, 7080
1401/09/19, 6900, 7140
1401/09/16, 6750, 6970
1401/09/15, 6690, 6940
1401/09/14, 6760, 7000
1401/09/13, 6820, 7100
1401/09/12, 6720, 6970
1401/09/09, 6700, 6950
1401/09/08, 6750, 6920
1401/09/07, 6760, 6990
1401/09/06, 6730, 6920
1401/09/05, 6670, 6840
1401/09/02, 6600, 6800
1401/09/01, 6520, 6830
1401/08/30, 6550, 6800
1401/08/29, 6510, 6840
1401/08/28, 6480, 6930
1401/08/25, 6700, 6960
1401/08/24, 6540, 6880
1401/08/23, 6400, 6680
1401/08/22, 6500, 6690
1401/08/21, 6390, 6750
1401/08/18, 6310, 6590
1401/08/17, 6250, 6680
1401/08/16, 6170, 6410
1401/08/15, 6080, 6290
1401/08/14, 5830, 6070
1401/08/11, 5600, 5900
1401/08/10, 5850, 6000
1401/08/09, 5730, 5950
1401/08/08, 5600, 5820
1401/08/07, 5610, 5950
1401/08/04, 5900, 6030
1401/08/03, 6010, 6350
1401/08/02, 6080, 6480
1401/08/01, 5970, 6380
1401/07/30, 5900, 6200
1401/07/27, 5910, 6110
1401/07/26, 5600, 5860
1401/07/25, 5500, 5780
1401/07/24, 5660, 5850
1401/07/23, 5800, 6000
1401/07/20, 5910, 6070
1401/07/19, 5910, 6090
1401/07/18, 5850, 6120
1401/07/17, 5930, 6250
1401/07/16, 6150, 6370
1401/07/12, 6160, 6330
1401/07/11, 6100, 6500
1401/07/10, 6030, 6300
1401/07/09, 6170, 6640
1401/07/06, 6440, 6690
1401/07/04, 6200, 6580
1401/07/02, 6380, 6700
1401/06/30, 6620, 6850
1401/06/29, 6600, 6960
1401/06/28, 6510, 6740
1401/06/27, 6530, 6840
1401/06/23, 6650, 6950
1401/06/22, 6750, 7080
1401/06/21, 6700, 7000
1401/06/20, 6850, 7120
1401/06/19, 7010, 7200
1401/06/16, 7200, 7550
1401/06/15, 7100, 7340
1401/06/14, 7110, 7520
1401/06/13, 7120, 7550
1401/06/12, 7130, 7480
1401/06/09, 7300, 7500
1401/06/08, 7210, 7480
1401/06/07, 7250, 7710
1401/06/06, 7250, 7540
1401/06/05, 7350, 7870
1401/06/02, 7630, 7900
1401/06/01, 7470, 7790
1401/05/31, 7200, 7850
1401/05/30, 7330, 7630
1401/05/29, 6880, 7350
1401/05/26, 6770, 7110
1401/05/25, 6820, 7170
1401/05/24, 6600, 7150
1401/05/23, 6700, 6870
1401/05/18, 6760, 7100
1401/05/15, 6660, 6910
1401/05/12, 6350, 6680
1401/05/11, 6510, 6740
1401/05/10, 6460, 6770
1401/05/09, 6150, 6680
1401/05/08, 6210, 6600
1401/05/05, 6370, 6740
1401/05/04, 6240, 6650
1401/05/03, 6460, 6890
1401/05/02, 6670, 7080
1401/05/01, 6810, 7170
1401/04/29, 6950, 7110
1401/04/28, 6820, 7050
1401/04/26, 6790, 7020
1401/04/25, 6870, 7330
1401/04/22, 6980, 7240
1401/04/21, 6950, 7330
1401/04/20, 7230, 7520
1401/04/18, 7460, 7970
1401/04/15, 7610, 7920
1401/04/14, 7580, 7870
1401/04/13, 7570, 7860
1401/04/12, 7540, 7980
1401/04/11, 7570, 7900
1401/04/08, 7610, 7990
1401/04/07, 7680, 7950
1401/04/06, 7540, 7800
1401/04/05, 7520, 8080
1401/04/04, 7710, 8110
1401/04/01, 7610, 7940
1401/03/31, 7740, 7970
1401/03/30, 7440, 8000
1401/03/29, 7410, 7890
1401/03/28, 7440, 7800
1401/03/25, 7560, 7800
1401/03/24, 7700, 8070
1401/03/23, 7870, 8080
1401/03/22, 7500, 7940
1401/03/21, 7600, 8000
1401/03/18, 7540, 8040
1401/03/17, 7560, 8000
1401/03/16, 7890, 8590
1401/03/11, 8180, 8580
1401/03/10, 7930, 8610
1401/03/09, 8020, 8580
1401/03/08, 8350, 8740
1401/03/07, 8630, 9170
1401/03/04, 8880, 9360
1401/03/03, 8620, 9370
1401/03/02, 8970, 9440
1401/03/01, 8800, 9480
1401/02/31, 8820, 9290
1401/02/28, 9090, 9570
1401/02/27, 9270, 9620
1401/02/26, 8320, 9170
1401/02/20, 8780, 9300
1401/02/19, 9000, 9700
1401/02/18, 9250, 9680
1401/02/17, 9240, 9890
1401/02/12, 9330, 9970
1401/02/11, 9500, 9500
1401/02/10, 8690, 9100
1401/02/07, 8500, 8860
1401/02/06, 8500, 8870
1401/02/05, 8300, 8780
1401/02/04, 8330, 8840
1401/01/31, 8430, 9050
1401/01/30, 8350, 9030
1401/01/29, 8350, 8950
1401/01/28, 8500, 8810
1401/01/27, 8150, 8450
1401/01/24, 7650, 8380
1401/01/23, 7980, 8370
1401/01/22, 8250, 8600
1401/01/21, 8110, 8540
1401/01/20, 7750, 8380
1401/01/17, 7730, 8150
1401/01/16, 7500, 8000
1401/01/15, 7510, 8180
1401/01/14, 7470, 7980
1401/01/10, 7400, 7750
1401/01/09, 7100, 7800
1401/01/08, 0, 0
1401/01/07, 7080, 7470
1401/01/06, 7010, 7250
1400/12/28, 6830, 7200
1400/12/25, 6700, 7160
1400/12/24, 6850, 7100
1400/12/23, 6650, 6950
1400/12/22, 6590, 6870
1400/12/21, 6820, 7090
1400/12/18, 7050, 7300
1400/12/17, 7140, 7370
1400/12/16, 7230, 7450
1400/12/15, 7110, 7580
1400/12/14, 7200, 7510
1400/12/11, 7020, 7400
1400/12/09, 6880, 7300
1400/12/08, 6980, 7380
1400/12/07, 7070, 7430
1400/12/04, 7070, 7550
1400/12/03, 7300, 7560
1400/12/02, 7160, 7400
1400/12/01, 6920, 7300
1400/11/30, 7250, 7630
1400/11/27, 7500, 8190
1400/11/23, 7640, 8250
1400/11/20, 7810, 8200
1400/11/19, 7600, 8240
1400/11/18, 7550, 8100
1400/11/17, 7550, 8140
1400/11/16, 7500, 7870
1400/11/13, 7200, 7790
1400/11/12, 7350, 7980
1400/11/11, 7240, 7660
1400/11/10, 7020, 7430
1400/11/09, 6940, 7190
1400/11/06, 6650, 7160
1400/11/05, 6570, 6970
1400/11/04, 6380, 7000
1400/11/03, 6690, 7020
1400/11/02, 6960, 7530
1400/10/29, 6970, 7460
1400/10/28, 6880, 7200
1400/10/27, 7140, 7500
1400/10/26, 7200, 7450
1400/10/25, 7410, 7800
1400/10/22, 7610, 7840
1400/10/21, 7350, 7610
1400/10/20, 7210, 7520
1400/10/19, 7390, 7840
1400/10/18, 7590, 8140
1400/10/15, 7825, 8153
1400/10/14, 8153, 8498
1400/10/13, 8310, 8770
1400/10/12, 7949, 8439
1400/10/11, 7844, 8350
1400/10/08, 8011, 8550
1400/10/07, 7841, 8172
1400/10/06, 7670, 7846
1400/10/05, 7102, 7690
1400/10/04, 7150, 7419
1400/10/01, 7010, 7179
1400/09/30, 6591, 7230
1400/09/29, 6878, 7350
1400/09/28, 7161, 7699
1400/09/27, 7350, 7770
1400/09/24, 7452, 8100
1400/09/23, 7822, 8170
1400/09/22, 8208, 8630
1400/09/21, 8375, 8490
1400/09/20, 8784, 9089
1400/09/17, 8840, 9439
1400/09/16, 8690, 9054
1400/09/15, 8185, 8710
1400/09/14, 8094, 8700
1400/09/13, 8475, 8899
1400/09/10, 8917, 9300
1400/09/09, 9346, 9781
1400/09/08, 9500, 10234
1400/09/07, 9655, 10232
1400/09/06, 10134, 10810
1400/09/03, 10645, 11073
1400/09/02, 10941, 11799
1400/09/01, 11200, 11822
1400/08/30, 10990, 11740
1400/08/29, 11511, 12170
1400/08/26, 11791, 12310
1400/08/25, 11273, 11752
1400/08/24, 10530, 11269
1400/08/23, 10248, 11280
1400/08/22, 10761, 11110
1400/08/19, 10807, 11499
1400/08/18, 10862, 11889
1400/08/17, 11000, 11792
1400/08/16, 11073, 12160
1400/08/15, 11500, 11732
1400/08/12, 10758, 11239
1400/08/11, 10166, 10902
1400/08/10, 10165, 10990
1400/08/09, 10283, 10283
1400/08/08, 10754, 11350
1400/08/05, 11157, 11690
1400/08/04, 11637, 12368
1400/08/03, 12039, 12980
1400/08/01, 12422, 13140
1400/07/28, 12900, 13350
1400/07/27, 13019, 13599
1400/07/26, 12882, 13550
1400/07/25, 13471, 14066
1400/07/24, 13300, 14244
1400/07/21, 13482, 14191
1400/07/20, 13610, 14870
1400/07/19, 13360, 14517
1400/07/18, 13812, 14530
1400/07/17, 14388, 15145
1400/07/14, 14710, 15600
1400/07/12, 14155, 15304
1400/07/11, 14482, 14970
1400/07/10, 14950, 16190
1400/07/07, 15669, 16185
1400/07/06, 16195, 17256
1400/07/04, 16750, 17350
1400/07/03, 16128, 17568
1400/06/31, 16968, 17478
1400/06/30, 17717, 18790
1400/06/29, 18256, 19850
1400/06/28, 18221, 19701
1400/06/27, 17930, 19646
1400/06/24, 17776, 19320
1400/06/23, 18570, 18574
1400/06/20, 17690, 17690
1400/06/17, 16400, 16977
1400/06/16, 15808, 16600
1400/06/15, 15280, 16643
1400/06/14, 15630, 16200
1400/06/13, 14901, 15620
1400/06/10, 14150, 15350
1400/06/09, 14683, 15290
1400/06/08, 15450, 15460
1400/06/07, 15937, 16862
1400/06/06, 16500, 17115
1400/06/03, 16300, 16300
1400/06/02, 15112, 15565
1400/06/01, 14380, 14979
1400/05/31, 13810, 14417
1400/05/24, 13230, 14070
1400/05/23, 13230, 13955
1400/05/20, 13800, 14290
1400/05/19, 13661, 14200
1400/05/18, 13330, 14150
1400/05/17, 13002, 13740
1400/05/16, 13010, 13565
1400/05/13, 12450, 13340
1400/05/12, 12610, 13320
1400/05/11, 13124, 13880
1400/05/10, 13606, 14235
1400/05/09, 13310, 14256
1400/05/06, 13402, 14000
1400/05/05, 13823, 14608
1400/05/04, 14303, 14990
1400/04/28, 14370, 14944
1400/04/27, 13983, 14638
1400/04/26, 14119, 14950
1400/04/23, 14050, 14982
1400/04/22, 14358, 15073
1400/04/21, 14401, 15296
1400/04/20, 14290, 15000
1400/04/19, 14358, 15000
1400/04/16, 14670, 15449
1400/04/15, 14790, 15450
1400/04/14, 14500, 15180
1400/04/13, 14700, 15255
1400/04/12, 14170, 14604
1400/04/09, 13110, 14082
1400/04/08, 13111, 13799
1400/04/07, 13420, 14199
1400/04/06, 13474, 14390
1400/04/05, 14018, 14400
1400/04/02, 13671, 14275
1400/04/01, 13610, 14028
1400/03/31, 12890, 13890
1400/03/30, 13555, 13985
1400/03/29, 13511, 14757
1400/03/26, 14055, 14055
1400/03/25, 12800, 13491
1400/03/24, 12564, 13440
1400/03/23, 12878, 13150
1400/03/22, 13321, 14110
1400/03/19, 13990, 14340
1400/03/18, 14067, 15390
1400/03/17, 14650, 14817
1400/03/12, 13929, 14665
1400/03/11, 13965, 13965
1400/03/10, 14321, 14537
1400/03/09, 14537, 15698
1400/03/08, 15263, 15740
1400/03/05, 15319, 15319
1400/03/04, 15352, 15352
1400/03/03, 15354, 15354
1400/03/02, 15364, 15364
1400/03/01, 15369, 15369
1400/02/29, 15395, 15395
1400/02/28, 15409, 15409
1400/02/27, 15501, 15501
1400/02/26, 16061, 16980
1400/02/25, 16625, 17500
1400/02/18, 24262, 24262
1400/02/15, 24262, 24262
1400/02/13, 24262, 24262
1400/02/11, 24262, 24262
1400/02/08, 24265, 24265
1400/02/07, 24413, 24413
1400/02/06, 24414, 24414
1400/02/05, 24414, 24414
1400/02/04, 24414, 24414
1400/02/01, 24417, 24417
1400/01/31, 24670, 24670
1400/01/30, 24670, 24670
1400/01/29, 24670, 24670
1400/01/28, 24670, 24670
1400/01/25, 24677, 24677
1400/01/24, 24681, 24681
1400/01/23, 24682, 24682
1400/01/22, 24685, 24685
1400/01/21, 24688, 24688
1400/01/18, 24691, 24691
1400/01/17, 24693, 24693
1400/01/16, 24694, 24694
1400/01/15, 24696, 24696
1400/01/14, 24696, 24696
1400/01/11, 24703, 24703
1400/01/10, 24713, 24713
1400/01/08, 24752, 24752
1400/01/07, 24819, 24819
1399/12/27, 25321, 25379
1399/12/26, 25345, 25345
1399/12/25, 25351, 25351
1399/12/24, 25363, 25363
1399/12/23, 25380, 25380
1399/12/20, 25382, 25382
1399/12/19, 25410, 25410
1399/12/18, 25422, 25422
1399/12/17, 25429, 25429
1399/12/16, 25436, 25436
1399/12/13, 25443, 25443
1399/12/12, 25469, 25469
1399/12/11, 25504, 25504
1399/12/06, 25578, 25578
1399/12/05, 25662, 25662
1399/12/04, 25666, 25666
1399/12/03, 25670, 25670
1399/12/02, 25732, 25732
1399/11/29, 25764, 25764
1399/11/28, 25823, 25823
1399/11/27, 26011, 26011
1399/11/26, 26414, 27650
1399/11/25, 25972, 26972
1399/11/21, 24440, 25609
1399/11/20, 23400, 24512
1399/11/19, 22681, 24990
1399/11/18, 23328, 23328
1399/11/15, 24244, 25647
1399/11/14, 25489, 26830
1399/11/13, 26617, 27890
1399/11/12, 26990, 29750
1399/11/11, 27710, 28424
1399/11/08, 25816, 28200
1399/11/07, 26597, 29000
1399/11/06, 27721, 29300
1399/11/05, 28841, 30900
1399/11/04, 29782, 31900
1399/11/01, 30267, 32500
1399/10/30, 31808, 32477
1399/10/29, 33253, 35003
1399/10/27, 32638, 36072
1399/10/24, 33799, 36970
1399/10/23, 34210, 37810
1399/10/22, 36010, 36010
1399/10/21, 34296, 34296
1399/10/20, 32000, 32687
1399/10/17, 29583, 32600
1399/10/16, 29500, 31332
1399/10/15, 29111, 29843
1399/10/14, 26201, 28558
1399/10/13, 27020, 28400
1399/10/10, 28328, 29500
1399/10/09, 29526, 31723
1399/10/08, 29900, 31140
1399/10/07, 29010, 31230
1399/10/06, 28301, 30843
1399/10/03, 29375, 29375
1399/10/02, 28298, 28298
1399/10/01, 26951, 26951
1399/09/30, 25010, 25686
1399/09/29, 23600, 24473
1399/09/26, 23054, 24190
1399/09/25, 24150, 25430
1399/09/24, 24303, 25515
1399/09/23, 23367, 25199
1399/09/22, 23521, 24461
1399/09/19, 22500, 23416
1399/09/18, 22013, 23170
1399/09/17, 23092, 24190
1399/09/16, 23350, 24747
1399/09/15, 23010, 23672
1399/09/12, 21404, 23090
1399/09/11, 21449, 21993
1399/09/10, 21404, 21404
1399/09/09, 19690, 20669
1399/09/08, 19241, 20580
1399/09/05, 19407, 21120
1399/09/04, 19303, 20721
1399/09/03, 18200, 19925
1399/09/02, 18911, 19906
1399/09/01, 19218, 21200
1399/08/28, 19200, 20592
