date, min_price, max_price
1402/03/03, 18470, 19770
1402/03/02, 18380, 19100
1402/03/01, 18570, 19320
1402/02/31, 18630, 19550
1402/02/30, 19060, 19690
1402/02/27, 18510, 19480
1402/02/25, 18300, 19190
1402/02/24, 18350, 19160
1402/02/23, 18230, 19000
1402/02/20, 18100, 19120
1402/02/19, 18250, 19690
1402/02/18, 17130, 19470
1402/02/17, 18100, 19400
1402/02/16, 19100, 19780
1402/02/13, 19200, 19980
1402/02/12, 19000, 20000
1402/02/11, 18600, 19250
1402/02/10, 18560, 19280
1402/02/09, 18750, 19260
1402/02/06, 18500, 19250
1402/02/05, 18440, 19220
1402/02/04, 18390, 19500
1402/01/30, 18390, 19110
1402/01/29, 18110, 18970
1402/01/28, 17660, 18390
1402/01/27, 17620, 18940
1402/01/26, 16920, 18320
1402/01/22, 16700, 17430
1402/01/21, 16450, 17650
1402/01/20, 16370, 16830
1402/01/19, 16360, 16980
1402/01/16, 16330, 16660
1402/01/15, 16280, 16690
1402/01/14, 16000, 16800
1402/01/09, 16200, 16750
1402/01/08, 16400, 17420
1402/01/07, 16230, 16720
1402/01/06, 15500, 16470
1402/01/05, 16220, 16700
1401/12/28, 15560, 16500
1401/12/27, 16180, 16680
1401/12/24, 16020, 16880
1401/12/23, 15890, 16250
1401/12/22, 15900, 16150
1401/12/21, 15910, 16200
1401/12/20, 15610, 16070
1401/12/16, 15620, 16130
1401/12/15, 15740, 16020
1401/12/14, 15730, 16010
1401/12/13, 15400, 16100
1401/12/10, 15500, 15980
1401/12/09, 15560, 16000
1401/12/08, 15550, 15860
1401/12/07, 15560, 16300
1401/12/06, 15110, 16100
1401/12/03, 15030, 15500
1401/12/02, 13830, 15800
1401/11/24, 15150, 15420
1401/11/23, 15220, 15450
1401/11/19, 15120, 15300
1401/11/18, 15110, 15400
1401/11/17, 14690, 15210
1401/11/16, 14870, 15210
1401/11/12, 14900, 15480
1401/11/11, 14500, 15110
1401/11/10, 13540, 15140
1401/11/09, 14200, 15070
1401/11/08, 14930, 15380
1401/11/05, 15170, 16080
1401/11/04, 15120, 15940
1401/11/03, 15110, 15780
1401/11/02, 14900, 16110
1401/11/01, 15480, 17070
1401/10/28, 15800, 17100
1401/10/27, 15940, 16850
1401/10/26, 14850, 15980
1401/10/24, 14690, 15130
1401/10/21, 14740, 15090
1401/10/20, 14660, 14850
1401/10/19, 14730, 14950
1401/10/18, 14600, 15100
1401/10/17, 14530, 15080
1401/10/14, 14520, 14700
1401/10/13, 14450, 14730
1401/10/12, 14500, 14650
1401/10/11, 14400, 14700
1401/10/10, 14280, 14700
1401/10/07, 14350, 14630
1401/10/05, 14200, 14470
1401/10/04, 14060, 14670
1401/10/03, 14050, 14470
1401/09/30, 13940, 14380
1401/09/29, 14120, 14300
1401/09/28, 14160, 14430
1401/09/27, 14140, 14890
1401/09/26, 13900, 14150
1401/09/23, 13900, 14100
1401/09/22, 13810, 14100
1401/09/21, 13800, 14050
1401/09/20, 13800, 14040
1401/09/19, 13720, 14230
1401/09/16, 13650, 14090
1401/09/15, 13950, 14280
1401/09/14, 13880, 14220
1401/09/13, 13800, 14180
1401/09/12, 13570, 14150
1401/09/09, 13920, 14150
1401/09/08, 13700, 14090
1401/09/07, 13610, 14000
1401/09/06, 13750, 14200
1401/09/05, 13500, 14530
1401/09/02, 13690, 14100
1401/09/01, 13570, 14250
1401/08/30, 13350, 13670
1401/08/29, 13300, 13750
1401/08/28, 13320, 13600
1401/08/25, 13060, 13560
