date, min_price, max_price
1402/02/23, 8070, 8280
1402/02/20, 8230, 9090
1402/02/19, 8020, 8730
1402/02/18, 7970, 8790
1402/02/17, 8060, 8430
1402/02/16, 7770, 8190
1402/02/13, 7620, 8070
1402/02/12, 7710, 8260
1402/02/11, 7720, 8100
1402/02/10, 7880, 8350
1402/02/09, 7600, 8370
1402/02/06, 7610, 8190
1402/02/05, 7800, 7800
1402/02/04, 7430, 7430
1402/01/30, 6670, 7180
1402/01/29, 6680, 6980
1402/01/28, 6500, 6950
1402/01/27, 6700, 7110
1402/01/26, 6870, 7170
1402/01/22, 6640, 7050
1402/01/21, 6660, 7200
1402/01/20, 6970, 7480
1402/01/19, 7170, 7350
1402/01/16, 6870, 7020
1402/01/15, 6880, 6880
1402/01/14, 6730, 6730
1402/01/09, 6640, 6640
1402/01/08, 6300, 6330
1402/01/07, 5700, 6050
1402/01/06, 5600, 5790
1402/01/05, 5340, 5540
1401/12/28, 5200, 5286
1401/12/27, 5037, 5037
1401/12/24, 5034, 5034
1401/12/23, 5021, 5021
1401/12/22, 5004, 5004
1401/12/21, 4992, 4992
1401/12/20, 4834, 4834
1401/12/16, 4827, 4827
1401/12/15, 4777, 4777
1401/12/03, 12010, 13240
1401/12/02, 12460, 13440
1401/12/01, 12470, 13440
1401/11/30, 12620, 13690
1401/11/26, 12700, 13210
1401/11/25, 11790, 12810
1401/11/24, 12040, 12990
1401/11/23, 12640, 13000
1401/11/18, 12810, 13750
1401/11/17, 12420, 13190
1401/11/16, 11770, 12630
1401/11/12, 11570, 12420
1401/11/11, 11380, 12490
1401/11/10, 11380, 12560
1401/11/09, 11070, 12040
1401/11/08, 11890, 11890
1401/11/05, 11640, 11640
1401/11/04, 11460, 11460
1401/11/03, 11280, 11280
1401/11/02, 10970, 10970
1401/11/01, 10530, 10530
1401/10/28, 10440, 10440
1401/10/27, 10400, 10400
1401/10/26, 10330, 10330
1401/10/24, 10270, 10270
1401/10/21, 10050, 10050
1401/10/20, 9950, 9950
