date, min_price, max_price
1402/02/16, 35000, 37960
1402/02/13, 35210, 36730
1402/02/12, 34270, 35220
1402/02/11, 32110, 33620
1402/02/10, 31120, 32740
1402/02/09, 31650, 34970
1402/02/06, 31890, 33390
1402/02/05, 31000, 32800
1402/02/04, 30350, 33130
1402/01/30, 29430, 32510
1402/01/29, 29460, 32560
1402/01/28, 28800, 31660
1402/01/27, 30150, 30160
1402/01/26, 28730, 28730
1402/01/22, 26230, 27410
1402/01/21, 25010, 26120
1402/01/20, 24000, 24990
1402/01/19, 23010, 23840
1402/01/16, 22300, 22780
1402/01/15, 20580, 22360
1402/01/14, 21250, 22830
1402/01/09, 22060, 23090
1402/01/08, 22500, 23630
1402/01/07, 22300, 23190
1402/01/06, 22900, 24710
1402/01/05, 23630, 25410
1401/12/28, 24870, 25000
1401/12/27, 24370, 26930
1401/12/22, 25170, 25750
1401/12/21, 24010, 24590
1401/12/20, 23040, 23430
1401/12/16, 22320, 22320
1401/12/15, 20530, 21280
1401/12/14, 19700, 20320
1401/12/13, 18710, 19440
1401/12/10, 18300, 18520
1401/12/09, 16380, 17800
1401/12/08, 16500, 17220
1401/12/01, 16340, 17450
1401/11/30, 16240, 17780
1401/11/26, 16980, 17920
1401/11/25, 17290, 18290
1401/11/24, 16910, 18000
1401/11/23, 17560, 18470
1401/11/19, 17900, 19070
1401/11/18, 17640, 18240
1401/11/17, 16290, 17950
1401/11/16, 16500, 17360
1401/11/11, 15880, 16640
1401/11/10, 15820, 15850
1401/11/09, 14390, 15890
1401/11/08, 14880, 15960
1401/11/05, 15350, 16730
1401/11/04, 15500, 16670
1401/11/03, 15950, 16640
1401/11/02, 15760, 16660
1401/11/01, 16130, 16610
1401/10/28, 15700, 16060
1401/10/24, 14000, 15460
1401/10/21, 13820, 14860
1401/10/20, 13700, 14170
1401/10/19, 12910, 13690
1401/10/18, 12880, 13260
1401/10/17, 12560, 12970
1401/10/14, 12350, 12850
1401/10/13, 12510, 13370
1401/10/12, 12830, 13140
1401/10/11, 12740, 13330
1401/10/10, 12490, 13230
