date, min_price, max_price
1402/03/03, 14450, 14454
1402/03/02, 14440, 14441
1402/03/01, 14431, 14432
1402/02/31, 14421, 14422
1402/02/30, 14412, 14413
1402/02/27, 14383, 14387
1402/02/25, 14364, 14365
1402/02/24, 14355, 14356
1402/02/23, 14345, 14346
1402/02/20, 14317, 14321
1402/02/19, 14308, 14309
1402/02/18, 14298, 14299
1402/02/17, 14289, 14290
1402/02/16, 14279, 14280
1402/02/13, 14251, 14255
1402/02/12, 14242, 14243
1402/02/11, 14232, 14233
1402/02/10, 14223, 14224
1402/02/09, 14214, 14215
1402/02/06, 14185, 14189
1402/02/05, 14176, 14177
1402/02/04, 14167, 14169
1402/01/30, 14140, 14144
1402/01/29, 14113, 14114
1402/01/28, 14104, 14105
1402/01/27, 14095, 14096
1402/01/26, 14086, 14087
1402/01/22, 14059, 14065
1402/01/21, 14041, 14042
1402/01/20, 14032, 14033
1402/01/19, 14023, 14024
1402/01/16, 13996, 14000
1402/01/15, 13987, 13988
1402/01/14, 13979, 13980
1402/01/09, 13952, 13957
1402/01/08, 13925, 13926
1402/01/07, 13916, 13917
1402/01/06, 13908, 13908
1402/01/05, 13899, 13900
1401/12/28, 13864, 13876
1401/12/27, 13837, 13838
1401/12/24, 13810, 13814
1401/12/23, 13801, 13802
1401/12/22, 13793, 13794
1401/12/21, 13784, 13785
1401/12/20, 13775, 13776
1401/12/16, 13748, 13752
1401/12/15, 13731, 13732
1401/12/14, 13723, 13724
1401/12/13, 13714, 13715
1401/12/10, 13688, 13694
1401/12/09, 13679, 13680
1401/12/08, 13670, 13671
1401/12/07, 13662, 13663
1401/12/06, 13653, 13654
1401/12/03, 13629, 13631
1401/12/02, 13619, 13620
1401/12/01, 13611, 13612
1401/11/30, 13602, 13603
1401/11/26, 13574, 13577
1401/11/25, 13560, 13561
1401/11/24, 13551, 13552
1401/11/23, 13543, 13544
1401/11/19, 13517, 13520
1401/11/18, 13501, 13502
1401/11/17, 13492, 13493
1401/11/16, 13484, 13485
1401/11/12, 13458, 13461
1401/11/11, 13442, 13443
1401/11/10, 13433, 13434
1401/11/09, 13425, 13426
1401/11/08, 13416, 13417
1401/11/05, 13394, 13397
1401/11/04, 13385, 13386
1401/11/03, 13375, 13377
1401/11/02, 13367, 13368
1401/11/01, 13359, 13360
1401/10/28, 13335, 13338
1401/10/27, 13326, 13327
1401/10/26, 13318, 13319
1401/10/24, 13302, 13303
1401/10/21, 13279, 13282
1401/10/20, 13271, 13272
1401/10/19, 13263, 13264
1401/10/18, 13255, 13256
1401/10/17, 13247, 13248
1401/10/14, 13224, 13228
1401/10/13, 13216, 13217
1401/10/12, 13208, 13209
1401/10/11, 13200, 13201
1401/10/10, 13192, 13193
1401/10/07, 13169, 13173
1401/10/05, 13153, 13154
1401/10/04, 13145, 13146
1401/10/03, 13137, 13138
1401/09/30, 13116, 13119
1401/09/29, 13108, 13109
1401/09/28, 13100, 13101
1401/09/27, 13092, 13093
1401/09/26, 13083, 13084
1401/09/23, 13061, 13068
1401/09/22, 13053, 13054
1401/09/21, 13045, 13046
1401/09/20, 13037, 13038
1401/09/19, 13029, 13030
1401/09/16, 13007, 13012
1401/09/15, 12997, 12999
1401/09/14, 12990, 12991
1401/09/13, 12982, 12983
1401/09/12, 12974, 12975
1401/09/09, 12951, 12957
1401/09/08, 12943, 12945
1401/09/07, 12936, 12937
1401/09/06, 12928, 12929
1401/09/05, 12920, 12921
1401/09/02, 12897, 12902
1401/09/01, 12890, 12891
1401/08/30, 12882, 12883
1401/08/29, 12874, 12875
1401/08/28, 12866, 12867
1401/08/25, 12844, 12848
1401/08/24, 12837, 12838
1401/08/23, 12829, 12830
1401/08/22, 12822, 12823
1401/08/21, 12814, 12815
1401/08/18, 12792, 12798
1401/08/17, 12785, 12786
1401/08/16, 12777, 12778
1401/08/15, 12770, 12771
1401/08/14, 12761, 12762
1401/08/11, 12739, 12749
1401/08/10, 12732, 12733
1401/08/09, 12724, 12725
1401/08/08, 12717, 12719
1401/08/07, 12710, 12711
1401/08/04, 12688, 12697
1401/08/03, 12679, 12680
1401/08/02, 12670, 12671
1401/08/01, 12662, 12663
1401/07/30, 12653, 12654
1401/07/27, 12636, 12647
1401/07/26, 12629, 12630
1401/07/25, 12622, 12623
1401/07/24, 12614, 12615
1401/07/23, 12607, 12608
1401/07/20, 12585, 12589
1401/07/19, 12578, 12579
1401/07/18, 12571, 12572
1401/07/17, 12563, 12564
1401/07/16, 12556, 12557
1401/07/12, 12534, 12535
1401/07/11, 12519, 12520
1401/07/10, 12512, 12513
1401/07/09, 12504, 12506
1401/07/06, 12483, 12484
1401/07/04, 12469, 12470
1401/07/02, 12454, 12456
1401/06/30, 12433, 12435
1401/06/29, 12426, 12427
1401/06/28, 12419, 12420
1401/06/27, 12412, 12413
1401/06/23, 12383, 12398
1401/06/22, 12376, 12378
1401/06/21, 12369, 12370
1401/06/20, 12361, 12362
1401/06/19, 12354, 12355
1401/06/16, 12333, 12334
1401/06/15, 12326, 12327
1401/06/14, 12319, 12320
1401/06/13, 12312, 12313
1401/06/12, 12304, 12305
1401/06/09, 12283, 12285
1401/06/08, 12276, 12277
1401/06/07, 12269, 12272
1401/06/06, 12262, 12263
1401/06/05, 12255, 12256
1401/06/02, 12234, 12235
1401/06/01, 12227, 12228
1401/05/31, 12220, 12221
1401/05/30, 12213, 12214
1401/05/29, 12205, 12206
1401/05/26, 12184, 12186
1401/05/25, 12177, 12178
1401/05/24, 12170, 12172
1401/05/23, 12163, 12164
1401/05/22, 12156, 12157
1401/05/19, 12135, 12136
1401/05/18, 12128, 12129
1401/05/15, 12107, 12108
1401/05/12, 12086, 12088
1401/05/11, 12079, 12080
1401/05/10, 12072, 12073
1401/05/09, 12065, 12066
1401/05/08, 12058, 12059
1401/05/05, 12037, 12038
1401/05/04, 12030, 12031
1401/05/03, 12023, 12024
1401/05/02, 12016, 12018
1401/05/01, 12009, 12010
1401/04/29, 11989, 11990
1401/04/28, 11982, 11983
1401/04/26, 11967, 11968
1401/04/25, 11960, 11961
1401/04/22, 11940, 11942
1401/04/21, 11933, 11934
1401/04/20, 11925, 11926
1401/04/18, 11912, 11913
1401/04/15, 11891, 11893
1401/04/14, 11884, 11885
1401/04/13, 11877, 11878
1401/04/12, 11870, 11872
1401/04/11, 11863, 11864
1401/04/08, 11843, 11844
1401/04/07, 11836, 11837
1401/04/06, 11829, 11830
1401/04/05, 11823, 11824
1401/04/04, 11816, 11817
1401/04/01, 11796, 11797
1401/03/31, 11789, 11791
1401/03/30, 11782, 11783
1401/03/29, 11775, 11776
1401/03/28, 11769, 11770
1401/03/25, 11749, 11750
1401/03/24, 11742, 11743
1401/03/23, 11736, 11737
1401/03/22, 11728, 11729
1401/03/21, 11722, 11723
1401/03/18, 11701, 11702
1401/03/17, 11694, 11695
1401/03/16, 11688, 11691
1401/03/11, 11667, 11668
1401/03/10, 11646, 11647
1401/03/09, 11639, 11640
1401/03/08, 11633, 11634
1401/03/07, 11626, 11627
1401/03/04, 11606, 11613
1401/03/03, 11599, 11601
1401/03/02, 11592, 11593
1401/03/01, 11586, 11587
1401/02/31, 11579, 11581
1401/02/28, 11560, 11562
1401/02/27, 11552, 11553
1401/02/26, 11545, 11546
1401/02/25, 11538, 11541
1401/02/24, 11531, 11533
1401/02/21, 11512, 11514
1401/02/20, 11503, 11506
1401/02/19, 11498, 11499
1401/02/18, 11492, 11493
1401/02/17, 11485, 11486
1401/02/12, 11465, 11466
1401/02/11, 11444, 11445
1401/02/10, 11437, 11438
1401/02/07, 11419, 11420
1401/02/06, 11411, 11412
1401/02/05, 11405, 11406
1401/02/04, 11395, 11397
1401/01/31, 11368, 11371
1401/01/30, 11362, 11364
1401/01/29, 11356, 11358
1401/01/28, 11347, 11348
1401/01/27, 11341, 11342
1401/01/24, 11321, 11322
1401/01/23, 11315, 11316
1401/01/22, 11309, 11310
1401/01/21, 11302, 11303
1401/01/20, 11296, 11299
1401/01/17, 11277, 11279
1401/01/16, 11270, 11272
1401/01/15, 11263, 11267
1401/01/14, 11252, 11254
1401/01/10, 11228, 11231
1401/01/09, 11221, 11222
1401/01/07, 11208, 11212
1401/01/06, 11202, 11204
1400/12/28, 11159, 11180
1400/12/25, 11140, 11142
1400/12/24, 11133, 11134
1400/12/23, 11127, 11128
1400/12/22, 11121, 11123
1400/12/21, 11114, 11122
1400/12/18, 11095, 11100
1400/12/17, 11088, 11089
1400/12/16, 11082, 11083
1400/12/15, 11076, 11900
