date, min_price, max_price
1402/02/25, 4060, 4460
1402/02/24, 4169, 4169
1402/02/23, 3600, 4090
1402/02/20, 3530, 3979
1402/02/19, 3660, 3960
1402/02/18, 3935, 3935
1402/02/17, 4153, 4470
1402/02/16, 4370, 4469
1402/02/12, 4177, 4177
1402/02/11, 3731, 3918
1402/02/10, 3497, 3684
1402/02/09, 3239, 3498
1402/02/06, 3190, 3399
1402/01/28, 2905, 3155
1402/01/27, 2830, 3002
1402/01/26, 2751, 2817
1402/01/22, 2481, 2698
1402/01/21, 2488, 2738
1402/01/20, 2606, 2743
1402/01/19, 2570, 2686
1402/01/16, 2381, 2572
1402/01/15, 2390, 2525
1402/01/14, 2352, 2550
1402/01/09, 2457, 2561
1402/01/08, 2330, 2456
1402/01/07, 2150, 2349
1402/01/06, 2126, 2293
1402/01/05, 2121, 2219
1401/12/28, 2126, 2228
1401/12/27, 2060, 2187
1401/12/24, 2026, 2080
1401/12/23, 1986, 2069
1401/12/22, 1978, 2079
1401/12/21, 1971, 2079
1401/12/20, 2015, 2133
1401/12/16, 2061, 2177
1401/12/15, 2052, 2053
1401/12/14, 1884, 1989
1401/12/13, 1896, 1979
1401/12/10, 1930, 2010
1401/12/09, 1960, 2049
1401/12/08, 1907, 2080
1401/12/07, 1910, 1991
1401/12/03, 1794, 1900
1401/12/02, 1850, 1922
1401/12/01, 1694, 1820
1401/11/30, 1684, 1729
1401/11/26, 1640, 1720
1401/11/25, 1707, 1755
1401/11/24, 1716, 1800
1401/11/23, 1710, 1794
1401/11/19, 1703, 1790
1401/11/18, 1662, 1770
1401/11/17, 1656, 1731
1401/11/16, 1666, 1770
1401/11/12, 1718, 1804
1401/11/11, 1725, 1790
1401/11/10, 1619, 1761
1401/11/09, 1726, 1853
1401/11/08, 1771, 1900
1401/11/05, 1845, 2040
1401/11/04, 1927, 2030
1401/11/03, 1910, 2045
1401/11/02, 1907, 2072
1401/11/01, 1996, 2159
1401/10/28, 2040, 2161
1401/10/27, 2041, 2260
1401/10/26, 2050, 2136
1401/10/24, 1840, 2043
1401/10/21, 1861, 1960
1401/10/20, 1855, 1940
1401/10/19, 1851, 1925
1401/10/18, 1876, 1933
1401/10/17, 1800, 1864
1401/10/14, 1756, 1819
1401/10/13, 1765, 1870
1401/10/12, 1720, 1820
1401/10/11, 1740, 1860
1401/10/10, 1780, 1890
1401/10/07, 1779, 1891
1401/10/05, 1790, 1824
1401/10/04, 1722, 1823
1401/10/03, 1706, 1762
1401/09/30, 1714, 1740
1401/09/28, 1613, 1688
1401/09/27, 1575, 1620
1401/09/26, 1575, 1630
1401/09/23, 1500, 1594
1401/09/22, 1480, 1553
1401/09/21, 1480, 1515
1401/09/20, 1450, 1502
1401/09/19, 1476, 1515
1401/09/16, 1501, 1528
1401/09/15, 1505, 1530
1401/09/14, 1512, 1562
1401/09/13, 1502, 1568
1401/09/12, 1503, 1542
1401/09/09, 1521, 1571
1401/09/08, 1501, 1570
1401/09/07, 1457, 1547
1401/09/06, 1471, 1496
1401/09/05, 1490, 1532
1401/09/02, 1495, 1548
1401/09/01, 1480, 1525
1401/08/30, 1518, 1560
1401/08/29, 1450, 1529
1401/08/28, 1443, 1500
1401/08/25, 1375, 1461
1401/08/24, 1369, 1408
1401/08/23, 1368, 1430
1401/08/22, 1397, 1441
1401/08/21, 1390, 1462
1401/08/18, 1344, 1420
1401/08/17, 1366, 1366
1401/08/15, 1290, 1310
1401/08/14, 1260, 1320
1401/08/11, 1263, 1309
1401/08/10, 1260, 1319
1401/08/09, 1258, 1279
1401/08/08, 1198, 1270
1401/08/07, 1199, 1251
1401/08/04, 1208, 1278
1401/08/03, 1246, 1295
1401/08/02, 1278, 1329
1401/08/01, 1290, 1338
1401/07/30, 1331, 1379
1401/07/27, 1275, 1332
1401/07/26, 1258, 1294
1401/07/25, 1242, 1292
1401/07/24, 1237, 1276
1401/07/23, 1264, 1301
1401/07/20, 1265, 1295
1401/07/19, 1275, 1300
1401/07/18, 1234, 1260
1401/07/17, 1235, 1279
1401/07/16, 1260, 1315
1401/07/12, 1235, 1298
1401/07/11, 1260, 1300
1401/07/10, 1260, 1299
1401/07/09, 1264, 1339
1401/07/06, 1300, 1350
1401/07/04, 1267, 1333
1401/07/02, 1276, 1351
1401/06/30, 1330, 1360
1401/06/29, 1340, 1365
1401/06/28, 1355, 1380
1401/06/27, 1364, 1390
1401/06/23, 1371, 1401
1401/06/22, 1375, 1407
1401/06/21, 1373, 1409
1401/06/20, 1372, 1400
1401/06/19, 1379, 1403
