date, min_price, max_price
1402/02/27, 6140, 6410
1402/02/25, 5930, 6380
1402/02/24, 5900, 6360
1402/02/23, 6090, 6210
1402/02/20, 6360, 6840
1402/02/19, 6690, 6690
1402/02/18, 7040, 7040
1402/02/17, 7390, 7700
1402/02/16, 7670, 8290
1402/02/13, 7920, 8100
1402/02/12, 7440, 7730
1402/02/11, 7200, 7530
1402/02/10, 7100, 7550
1402/02/09, 7140, 7610
1402/02/06, 7360, 7530
1402/02/05, 6920, 7210
1402/02/04, 6580, 6900
1402/01/30, 6550, 6810
1402/01/29, 6680, 7150
1402/01/28, 6780, 7020
1402/01/27, 6690, 6690
1402/01/21, 6310, 6390
1402/01/20, 5900, 6120
1402/01/19, 5630, 5830
1402/01/16, 5160, 5620
1402/01/15, 5110, 5610
1402/01/14, 5040, 5430
1402/01/09, 4880, 5243
1402/01/08, 4852, 5041
1402/01/07, 4510, 4843
1402/01/06, 4565, 4754
1402/01/05, 4754, 4910
1401/12/28, 4650, 4881
1401/12/27, 4590, 4780
1401/12/24, 4486, 4649
1401/12/23, 4180, 4454
1401/12/22, 4155, 4430
1401/12/21, 4291, 4500
1401/12/20, 4450, 4700
1401/12/16, 4510, 4670
1401/12/15, 4512, 4733
1401/12/14, 4624, 4880
1401/12/13, 4550, 4782
1401/12/10, 4569, 4860
1401/12/09, 4540, 4734
1401/12/08, 4316, 4640
1401/12/07, 4354, 4725
1401/12/06, 4450, 4524
1401/12/03, 4287, 4489
1401/12/02, 4380, 4700
1401/12/01, 4410, 4572
1401/11/30, 4211, 4460
1401/11/26, 4221, 4390
1401/11/25, 4365, 4610
1401/11/24, 4340, 4636
1401/11/23, 4351, 4640
1401/11/19, 4570, 4740
1401/11/18, 4670, 4920
1401/11/17, 4660, 4820
1401/11/16, 4880, 5120
1401/11/12, 4760, 5180
1401/11/11, 4890, 5170
1401/11/10, 5110, 5440
1401/11/09, 5100, 5620
1401/11/08, 5290, 5680
1401/11/05, 5559, 5559
1401/11/04, 5295, 5295
1401/11/03, 5043, 5043
1401/11/02, 4803, 4803
1401/11/01, 4260, 4578
1401/10/26, 4360, 4360
1401/10/24, 4056, 4325
1401/10/21, 4180, 4379
1401/10/20, 4150, 4540
1401/10/19, 4161, 4570
1401/10/18, 4379, 4379
1401/10/17, 4171, 4171
1401/10/14, 3840, 4013
1401/10/13, 3822, 3822
1401/10/12, 3474, 3644
1401/10/11, 3400, 3640
1401/10/10, 3515, 3679
1401/10/07, 3602, 3740
1401/10/05, 3505, 3612
1401/10/04, 3520, 3650
1401/10/03, 3406, 3580
1401/09/30, 3352, 3478
1401/09/29, 3361, 3470
1401/09/28, 3410, 3600
1401/09/27, 3520, 3680
1401/09/26, 3415, 3632
1401/09/23, 3395, 3603
1401/09/22, 3270, 3449
1401/09/21, 3245, 3360
1401/09/20, 3150, 3350
1401/09/19, 3217, 3387
1401/09/16, 3370, 3560
1401/09/15, 3430, 3633
1401/09/14, 3450, 3589
1401/09/13, 3363, 3599
1401/09/12, 3391, 3529
1401/09/09, 3388, 3547
1401/09/08, 3186, 3403
1401/09/07, 3150, 3350
1401/09/06, 3163, 3349
1401/09/05, 3182, 3336
1401/09/02, 3070, 3181
1401/09/01, 2903, 3097
1401/08/30, 2853, 2996
1401/08/29, 2853, 2962
1401/08/28, 2780, 2951
1401/08/25, 2888, 3000
1401/08/24, 2793, 2982
1401/08/23, 2905, 3058
1401/08/22, 3009, 3119
1401/08/21, 2953, 3120
1401/08/18, 2781, 3000
1401/08/17, 2771, 2861
1401/08/16, 2711, 2790
1401/08/15, 2591, 2727
1401/08/14, 2533, 2643
1401/08/11, 2500, 2566
1401/08/10, 2510, 2600
1401/08/09, 2490, 2570
1401/08/08, 2370, 2520
1401/08/07, 2394, 2550
1401/08/04, 2438, 2540
1401/08/03, 2489, 2601
1401/08/02, 2565, 2690
1401/08/01, 2631, 2700
1401/07/30, 2663, 2743
1401/07/27, 2650, 2790
1401/07/26, 2640, 2747
1401/07/25, 2550, 2687
1401/07/24, 2560, 2695
1401/07/23, 2607, 2720
1401/07/20, 2643, 2736
1401/07/19, 2601, 2733
1401/07/18, 2547, 2650
1401/07/17, 2552, 2709
1401/07/16, 2575, 2725
1401/07/12, 2601, 2700
1401/07/11, 2611, 2800
1401/07/10, 2617, 2749
1401/07/09, 2725, 2987
1401/07/06, 2751, 2970
1401/07/04, 2723, 2927
1401/07/02, 2790, 2960
1401/06/30, 2837, 2979
1401/06/29, 2907, 3050
1401/06/28, 3035, 3200
1401/06/27, 3099, 3287
1401/06/23, 3119, 3206
1401/06/22, 3116, 3116
1401/06/21, 2918, 3040
1401/06/20, 2956, 3110
1401/06/19, 3030, 3249
1401/06/16, 3149, 3331
1401/06/15, 3200, 3370
1401/06/14, 3201, 3369
1401/06/13, 3230, 3395
1401/06/12, 3210, 3339
1401/06/09, 3101, 3201
1401/06/08, 2940, 3079
1401/06/07, 2861, 2969
1401/06/06, 2823, 2915
1401/06/05, 2884, 2968
1401/06/02, 2850, 2945
1401/06/01, 2764, 2879
1401/05/31, 2681, 2823
1401/05/30, 2700, 2879
1401/05/29, 2735, 2899
1401/05/26, 2775, 2899
1401/05/25, 2752, 2900
1401/05/24, 2612, 2833
1401/05/23, 2640, 2730
1401/05/22, 2680, 2789
1401/05/19, 2625, 2735
1401/05/18, 2589, 2800
1401/05/15, 2633, 2751
1401/05/12, 2613, 2714
1401/05/11, 2543, 2643
1401/05/10, 2460, 2596
1401/05/09, 2452, 2565
1401/05/08, 2505, 2673
1401/05/05, 2536, 2650
1401/05/04, 2568, 2725
1401/05/03, 2636, 2835
1401/05/02, 2740, 2917
1401/05/01, 2800, 2924
1401/04/29, 2700, 2838
1401/04/28, 2651, 2787
1401/04/26, 2682, 2850
1401/04/25, 2740, 2900
1401/04/22, 2800, 2905
1401/04/21, 2720, 2810
1401/04/20, 2837, 2958
1401/04/18, 2958, 3137
1401/04/15, 3041, 3189
1401/04/14, 3017, 3154
1401/04/13, 3030, 3229
1401/04/12, 3031, 3160
1401/04/11, 3024, 3199
1401/04/08, 2962, 3093
1401/04/07, 2812, 2967
1401/04/06, 2782, 2888
1401/04/05, 2813, 2950
1401/04/04, 2907, 3020
1401/04/01, 2800, 2977
1401/03/31, 2902, 3040
1401/03/30, 2936, 3191
1401/03/29, 3020, 3160
1401/03/28, 3075, 3280
1401/03/25, 3024, 3174
1401/03/24, 2961, 3157
1401/03/23, 3004, 3177
1401/03/22, 2984, 3149
1401/03/21, 3111, 3239
1401/03/10, 3180, 3400
1401/03/09, 3203, 3419
1401/03/08, 3339, 3440
1401/03/07, 3400, 3670
1401/03/04, 3448, 3610
1401/03/03, 3193, 3475
1401/03/02, 3287, 3499
1401/03/01, 3400, 3518
1401/02/31, 3316, 3540
1401/02/28, 3410, 3570
1401/02/27, 3480, 3706
1401/02/26, 3391, 3568
1401/02/25, 3305, 3490
1401/02/24, 3376, 3580
1401/02/21, 3360, 3517
1401/02/20, 3207, 3493
1401/02/19, 3323, 3557
1401/02/18, 3462, 3560
1401/02/17, 3552, 3689
1401/02/12, 3391, 3606
1401/02/11, 3391, 3520
1401/02/10, 3351, 3534
1401/02/07, 3363, 3475
1401/02/06, 3355, 3548
1401/02/05, 3414, 3629
1401/02/04, 3529, 3730
1401/01/31, 3393, 3739
1401/01/30, 3509, 3780
1401/01/29, 3558, 3727
1401/01/28, 3456, 3558
1401/01/27, 3190, 3456
1401/01/24, 3070, 3306
1401/01/23, 3064, 3161
1401/01/22, 3011, 3011
1401/01/21, 2701, 2870
1401/01/20, 2580, 2790
1401/01/17, 2600, 2730
1401/01/16, 2540, 2698
1401/01/15, 2600, 2778
1401/01/14, 2700, 2780
1401/01/10, 2572, 2755
1401/01/09, 2503, 2647
1401/01/07, 2427, 2570
1401/01/06, 2485, 2609
1400/12/28, 2540, 2651
1400/12/25, 2402, 2567
1400/12/24, 2343, 2490
1400/12/23, 2314, 2398
1400/12/22, 2270, 2471
1400/12/21, 2355, 2460
1400/12/18, 2401, 2535
1400/12/17, 2440, 2568
1400/12/16, 2451, 2551
1400/12/15, 2400, 2517
1400/12/14, 2407, 2536
1400/12/11, 2408, 2602
1400/12/09, 2440, 2537
1400/12/08, 2322, 2498
1400/12/07, 2360, 2500
1400/12/04, 2374, 2492
1400/12/03, 2320, 2440
1400/12/02, 2340, 2387
1400/12/01, 2222, 2355
1400/11/30, 2309, 2425
1400/11/27, 2396, 2514
1400/11/25, 2383, 2509
1400/11/24, 2469, 2550
1400/11/23, 2548, 2699
1400/11/20, 2601, 2738
1400/11/19, 2562, 2671
1400/11/18, 2489, 2600
1400/11/17, 2574, 2655
1400/11/16, 2563, 2782
1400/11/13, 2648, 2781
1400/11/12, 2710, 2868
1400/11/11, 2620, 2749
1400/11/10, 2587, 2840
1400/11/09, 2602, 2736
1400/11/06, 2470, 2650
1400/11/05, 2535, 2671
1400/11/04, 2620, 2788
1400/11/03, 2674, 2688
1400/11/02, 2783, 2910
1400/10/29, 2926, 3063
1400/10/28, 2961, 2961
1400/10/22, 3022, 3168
1400/10/21, 2960, 3045
1400/10/20, 2728, 2933
1400/10/19, 2730, 2920
1400/10/18, 2820, 2980
1400/10/15, 2863, 3049
1400/10/14, 2953, 3070
1400/10/13, 3021, 3193
1400/10/12, 2992, 3168
1400/10/11, 3076, 3240
1400/10/08, 3178, 3319
1400/10/07, 3060, 3280
1400/10/06, 3002, 3230
1400/10/05, 3125, 3200
1400/10/04, 3170, 3499
1400/10/01, 3220, 3373
1400/09/30, 3080, 3224
1400/09/29, 2936, 3082
1400/09/28, 2831, 3092
1400/09/27, 2856, 2993
1400/09/24, 2790, 2919
1400/09/23, 2774, 2891
1400/09/22, 2897, 3092
1400/09/21, 3032, 3241
1400/09/20, 3141, 3279
1400/09/17, 3071, 3299
1400/09/16, 3142, 3274
1400/09/15, 3224, 3450
1400/09/14, 3304, 3529
1400/09/13, 3370, 3538
1400/09/10, 3538, 3696
1400/09/09, 3702, 3920
1400/09/08, 3800, 4003
1400/09/07, 3711, 4040
1400/09/06, 3838, 4119
1400/09/03, 3830, 4097
1400/09/02, 3925, 4100
1400/09/01, 4080, 4250
1400/08/30, 4100, 4398
1400/08/29, 4100, 4398
1400/08/26, 4187, 4268
1400/08/25, 3800, 4171
1400/08/24, 3939, 4180
1400/08/23, 4048, 4300
1400/08/22, 4200, 4295
1400/08/19, 4340, 4530
1400/08/18, 4282, 4591
1400/08/17, 4458, 4683
1400/08/16, 4603, 4909
1400/08/15, 4700, 4865
1400/08/12, 4397, 4780
1400/08/11, 4391, 4767
1400/08/10, 4270, 4599
1400/08/09, 4314, 4623
1400/08/08, 4446, 4606
1400/08/05, 4132, 4566
1400/08/04, 4305, 4590
1400/08/03, 4494, 4699
1400/08/01, 4709, 4709
1400/07/28, 4800, 5002
1400/07/27, 4600, 4794
1400/07/26, 4411, 4630
1400/07/25, 4257, 4456
1400/07/24, 4075, 4440
1400/07/21, 4244, 4542
1400/07/20, 4401, 4600
1400/07/19, 4470, 4663
1400/07/18, 4397, 4628
1400/07/17, 4420, 4796
1400/07/14, 4494, 4623
1400/07/12, 4262, 4406
1400/07/11, 3843, 4247
1400/07/10, 3800, 4087
1400/07/07, 3800, 3894
1400/07/06, 3416, 3761
1400/07/04, 3515, 3830
1400/07/03, 3532, 3706
1400/06/31, 3507, 3739
1400/06/30, 3657, 3930
1400/06/29, 3751, 3969
1400/06/28, 3781, 4099
1400/06/27, 3957, 4219
1400/06/24, 4118, 4360
1400/06/23, 4071, 4352
1400/06/22, 3945, 4250
1400/06/21, 4006, 4250
1400/06/20, 4136, 4490
1400/06/17, 4261, 4530
1400/06/16, 4446, 4597
1400/06/15, 4619, 4830
1400/06/14, 4470, 4896
1400/06/13, 4439, 4723
1400/06/10, 4542, 4542
1400/06/09, 4000, 4404
1400/06/08, 3920, 4332
1400/06/07, 3800, 4165
1400/06/06, 4102, 4102
1400/06/03, 3994, 3994
1400/06/02, 3870, 3870
1400/06/01, 3693, 3693
1400/05/31, 3562, 3562
1400/05/24, 3112, 3410
1400/05/23, 3175, 3332
1400/05/20, 3185, 3401
1400/05/19, 3265, 3470
1400/05/18, 3300, 3448
1400/05/17, 3109, 3353
1400/05/16, 3051, 3250
1400/05/13, 3061, 3215
1400/05/12, 3100, 3269
1400/05/11, 3220, 3300
1400/05/10, 3252, 3389
1400/05/09, 3220, 3380
1400/05/06, 3200, 3376
1400/05/05, 3230, 3420
1400/05/04, 3220, 3389
1400/04/28, 3171, 3390
1400/04/27, 3323, 3450
1400/04/26, 3390, 3596
1400/04/23, 3315, 3470
1400/04/22, 3250, 3399
1400/04/21, 3260, 3490
1400/04/20, 3212, 3469
1400/04/19, 3210, 3498
1400/04/16, 3210, 3340
1400/04/15, 3058, 3185
1400/04/14, 2934, 3099
1400/04/13, 2901, 3050
1400/04/12, 2928, 3129
1400/04/09, 2900, 3145
1400/04/08, 2960, 3105
1400/04/07, 2850, 3019
1400/04/06, 2850, 3030
1400/04/05, 2920, 3052
1400/04/02, 2920, 3095
1400/04/01, 2920, 3013
1400/03/31, 2770, 2938
1400/03/30, 2719, 2930
1400/03/29, 2701, 2870
1400/03/26, 2691, 2820
1400/03/25, 2730, 2910
1400/03/24, 2671, 2847
1400/03/23, 2650, 2836
1400/03/22, 2744, 2915
1400/03/19, 2878, 2990
1400/03/18, 2972, 3200
1400/03/17, 3050, 3187
1400/03/12, 2902, 3170
1400/03/11, 2945, 3229
1400/03/10, 3100, 3100
1399/10/30, 4827, 4827
1399/10/29, 4828, 4828
1399/10/27, 4837, 4837
1399/10/14, 4932, 4932
1399/10/13, 5009, 5009
1399/10/10, 5153, 5680
1399/10/09, 5348, 5780
1399/10/08, 5371, 5794
1399/10/07, 5304, 5800
1399/10/06, 5300, 5682
1399/10/03, 5256, 5451
1399/10/02, 4841, 5255
1399/10/01, 4861, 5163
1399/09/30, 4910, 5285
1399/09/29, 4750, 5199
1399/09/26, 4988, 5149
1399/09/25, 5060, 5170
1399/09/24, 5170, 5700
1399/09/23, 5404, 5630
1399/09/22, 5491, 5986
1399/09/19, 5401, 5946
1399/09/18, 5494, 5850
1399/09/17, 5558, 6139
1399/09/16, 5850, 5850
1399/09/15, 4810, 5224
1399/09/12, 4894, 5407
1399/09/11, 4930, 5251
1399/09/10, 5092, 5092
1399/09/09, 4999, 4999
1399/09/08, 4909, 4909
1399/09/05, 4844, 4844
1399/09/04, 4440, 4617
1399/09/03, 4358, 4559
1399/09/02, 4522, 4700
1399/09/01, 4607, 4980
1399/08/28, 4670, 4987
1399/08/27, 4733, 5099
1399/08/26, 4749, 4749
1399/08/25, 4949, 5200
1399/08/24, 5162, 5370
1399/08/21, 5174, 5174
1399/08/20, 5176, 5176
1399/08/19, 5177, 5177
1399/08/18, 5177, 5177
1399/08/17, 5179, 5179
1399/08/14, 5315, 5457
1399/08/12, 5318, 5318
1399/08/11, 5323, 5323
1399/08/10, 5570, 5750
1399/08/07, 5584, 5584
1399/08/06, 5585, 5585
1399/08/05, 5586, 5586
1399/08/03, 5590, 5590
1399/07/30, 5810, 6200
1399/07/29, 6005, 6169
1399/07/28, 6038, 6038
1399/07/27, 6021, 6583
1399/07/23, 5863, 6479
1399/07/22, 6070, 6360
1399/07/21, 6283, 6580
1399/07/20, 6403, 6990
1399/07/19, 6477, 6477
1399/07/16, 6680, 7250
1399/07/15, 6528, 7214
1399/07/14, 6528, 6528
1399/07/13, 6532, 6532
1399/07/12, 6552, 6552
1399/07/09, 6558, 6558
1399/07/08, 6560, 6560
1399/07/07, 6562, 6562
1399/07/06, 6564, 6564
1399/07/05, 6574, 6574
1399/06/24, 9648, 9648
1399/06/23, 9657, 9657
1399/06/22, 9706, 9706
1399/06/19, 9722, 9722
1399/06/18, 9726, 9726
1399/06/17, 9728, 9728
1399/06/16, 9781, 9781
1399/06/15, 9865, 9865
1399/06/12, 9930, 9930
1399/06/11, 9952, 9952
1399/06/10, 10347, 11100
1399/06/05, 10337, 11279
1399/06/04, 10545, 10545
1399/06/03, 10563, 10563
1399/06/02, 10616, 10616
1399/06/01, 10775, 11599
1399/05/29, 10946, 10946
1399/05/28, 10710, 11671
1399/05/27, 11063, 11600
1399/05/26, 11298, 11298
1399/05/25, 11723, 12600
1399/05/22, 12090, 13250
1399/05/21, 12564, 12564
1399/05/20, 13103, 13500
1399/05/19, 13717, 15000
1399/05/15, 14250, 15750
1399/05/14, 13900, 15362
1399/05/13, 14030, 14931
1399/05/12, 14026, 15190
1399/05/11, 14596, 15364
1399/05/08, 15341, 15900
1399/05/07, 15130, 16722
1399/05/06, 14600, 16066
1399/05/05, 15239, 16000
1399/05/04, 15100, 16569
1399/05/01, 15693, 16600
1399/04/31, 15222, 16824
1399/04/30, 14900, 16279
1399/04/29, 14870, 16434
1399/04/24, 15652, 15652
1399/04/23, 14907, 14907
1399/04/22, 14524, 14524
1399/04/21, 13833, 13833
1399/04/18, 13175, 13175
1399/04/17, 12792, 12792
1399/04/16, 12456, 12456
1399/04/15, 12226, 12226
1399/04/14, 11300, 11646
1399/04/11, 11260, 11260
1399/04/10, 10724, 10724
