date, min_price, max_price
1401/05/08, 290000, 290000
1401/05/04, 280000, 290000
1401/05/03, 290000, 290000
1401/05/02, 260000, 280000
1401/04/25, 265000, 265000
1401/04/22, 270000, 270000
1401/04/21, 269000, 269000
1401/04/18, 265000, 265000
1401/04/14, 265010, 275000
1401/04/13, 280000, 280000
1401/04/12, 272500, 272500
1401/04/08, 282500, 290000
1401/04/07, 309900, 309900
1401/04/05, 283000, 300000
1401/04/01, 255200, 290274
1401/03/31, 260000, 267990
1401/03/29, 269500, 269500
1401/03/28, 240000, 260000
1401/03/25, 245000, 245000
1401/03/23, 240000, 245000
1401/03/22, 250000, 250011
1401/03/17, 255000, 255000
1401/03/16, 254899, 254899
1401/03/02, 250000, 250000
1401/02/31, 250000, 260000
1401/02/28, 250000, 250000
1401/02/27, 255000, 255000
1401/02/25, 247500, 247500
1401/02/24, 250000, 250000
1401/02/21, 250000, 250000
1401/02/19, 250000, 250000
1401/02/18, 250000, 261000
1401/02/12, 245000, 245000
1401/02/11, 245000, 245000
1401/02/10, 245000, 245000
1401/02/07, 245000, 245000
1401/02/06, 245000, 245000
1401/02/05, 245000, 245000
1401/01/29, 250000, 250000
1401/01/28, 250000, 250000
1401/01/27, 252000, 260000
1401/01/24, 275000, 275000
1401/01/23, 280000, 280000
1401/01/22, 275000, 275000
1401/01/21, 260000, 280000
1401/01/16, 255000, 269500
1401/01/15, 245000, 245000
1401/01/14, 245000, 245000
1401/01/10, 245000, 245000
1401/01/09, 245000, 245000
1400/12/28, 245000, 245000
1400/12/17, 245000, 245000
1400/12/16, 245000, 245000
1400/12/15, 240000, 245000
1400/12/14, 247500, 247500
1400/12/09, 250000, 250000
1400/12/08, 245001, 257501
1400/12/07, 245000, 269500
1400/12/04, 245000, 245000
1400/12/03, 245000, 245000
1400/12/02, 240000, 240010
1400/12/01, 230000, 230000
1400/11/30, 220000, 229020
1400/11/27, 203000, 213400
1400/11/25, 194000, 194000
1400/11/06, 185000, 185000
1400/10/08, 187700, 187700
1400/09/28, 197503, 219000
1400/09/02, 219000, 219897
1400/08/18, 219897, 219897
1400/07/24, 244330, 244330
1400/06/14, 260010, 305790
1400/06/08, 284295, 284295
1400/05/24, 258400, 258500
1400/05/19, 235000, 235000
1400/05/13, 232200, 232200
1400/05/12, 232000, 232000
1400/04/27, 231134, 231134
1400/04/20, 210101, 210200
1400/04/15, 205912, 225883
1400/04/14, 225875, 226100
1400/03/30, 250900, 251001
1400/03/24, 278693, 278693
1400/01/08, 309658, 309658
1399/12/26, 322560, 322560
1399/12/20, 336000, 336000
1399/09/30, 350000, 350000
1399/09/29, 350000, 350000
1399/09/26, 350000, 350000
1399/09/25, 350000, 350000
1399/09/24, 350000, 350000
1399/09/23, 350000, 350000
1399/09/22, 350000, 350000
1399/09/19, 350000, 350000
1399/09/18, 350000, 350000
