date, min_price, max_price
1402/03/03, 156006, 157600
1402/03/02, 154584, 156411
1402/03/01, 153985, 155000
1402/02/31, 151797, 154832
1402/02/30, 151582, 155830
1402/02/27, 152860, 155948
1402/02/25, 150234, 155019
1402/02/24, 148763, 154069
1402/02/23, 143000, 150468
1402/02/20, 148550, 158526
1402/02/19, 143669, 156712
1402/02/18, 146914, 157757
1402/02/17, 157900, 168775
1402/02/16, 161600, 167693
1402/02/13, 164021, 168797
1402/02/12, 163119, 167300
1402/02/11, 160500, 165761
1402/02/10, 160270, 165029
1402/02/09, 157271, 161508
1402/02/06, 154300, 157500
1402/02/05, 154495, 157990
1402/02/04, 152304, 157001
1402/01/30, 154038, 156626
1402/01/29, 151064, 156759
1402/01/28, 148235, 152526
1402/01/27, 148500, 151663
1402/01/26, 142937, 149133
1402/01/22, 141009, 144164
1402/01/21, 139335, 158820
1402/01/20, 144307, 146307
1402/01/19, 140056, 145424
1402/01/16, 137020, 139892
1402/01/15, 137250, 140136
1402/01/14, 135852, 138360
1402/01/09, 133699, 137550
1402/01/08, 132420, 134560
1402/01/07, 129000, 132500
1402/01/06, 132151, 132151
1402/01/05, 130321, 132550
1401/12/28, 127002, 130000
1401/12/27, 122260, 127740
1401/12/24, 119265, 121790
1401/12/23, 118038, 119218
1401/12/22, 118131, 120129
1401/12/21, 118126, 118988
1401/12/20, 119256, 122604
1401/12/16, 119362, 122000
1401/12/15, 117967, 119000
1401/12/14, 118338, 121747
1401/12/13, 116684, 118528
1401/12/10, 118530, 121144
1401/12/09, 120728, 123561
1401/12/08, 117583, 121800
1401/12/07, 118100, 127990
1401/12/06, 113465, 118596
1401/12/03, 109690, 111571
1401/12/02, 108641, 110900
1401/12/01, 103255, 106886
1401/11/30, 101794, 102630
1401/11/26, 101444, 102479
1401/11/25, 102070, 102070
1401/11/24, 102937, 103456
1401/11/23, 102940, 104030
1401/11/19, 103558, 104499
1401/11/18, 103052, 104444
1401/11/17, 101422, 102786
1401/11/16, 101619, 103509
1401/11/12, 102492, 103693
1401/11/11, 103265, 104300
1401/11/10, 100592, 102973
1401/11/09, 101741, 105354
1401/11/08, 105314, 106417
1401/11/05, 105662, 108834
1401/11/04, 108280, 109371
1401/11/03, 109197, 111114
1401/11/02, 108916, 110306
1401/11/01, 107865, 111106
1401/10/28, 110368, 111471
1401/10/27, 109624, 111300
1401/10/26, 108527, 110005
1401/10/24, 106258, 109100
1401/10/21, 108001, 109273
1401/10/20, 108549, 110173
1401/10/19, 106663, 108550
1401/10/18, 105371, 107560
1401/10/17, 103238, 105170
1401/10/14, 100000, 103169
1401/10/13, 103185, 104510
1401/10/12, 103070, 104600
1401/10/11, 101431, 104121
1401/10/10, 103593, 110000
1401/10/07, 103337, 108161
1401/10/05, 102472, 103536
1401/10/04, 102084, 102942
1401/10/03, 98514, 101819
1401/09/30, 97922, 98000
1401/09/29, 97550, 98000
1401/09/28, 98281, 98529
1401/09/27, 98226, 98718
1401/09/26, 96414, 96650
1401/09/23, 96200, 97510
1401/09/22, 93800, 96244
1401/09/21, 91563, 93540
1401/09/20, 91080, 91527
1401/09/19, 90520, 92690
1401/09/16, 92444, 92910
1401/09/15, 93338, 93465
1401/09/14, 93364, 93607
1401/09/13, 93756, 93841
1401/09/12, 93568, 93754
1401/09/09, 93821, 93879
1401/09/08, 93150, 93557
1401/09/07, 92796, 93028
1401/09/06, 92491, 93259
1401/09/05, 92780, 93250
1401/09/02, 93175, 93175
1401/09/01, 92852, 93038
1401/08/30, 92819, 93355
1401/08/29, 92246, 92992
1401/08/28, 91591, 92217
1401/08/25, 93051, 93441
1401/08/24, 92688, 93090
1401/08/23, 91770, 92644
1401/08/22, 93152, 93154
1401/08/21, 93468, 94068
1401/08/18, 91893, 93533
1401/08/17, 92340, 94900
1401/08/16, 89000, 93000
1401/08/15, 87500, 89721
1401/08/14, 85802, 88876
1401/08/11, 84900, 85558
1401/08/10, 85094, 85231
1401/08/09, 84150, 84500
1401/08/08, 83188, 83841
1401/08/07, 82581, 83576
1401/08/03, 84613, 84825
1401/08/01, 86578, 86595
1401/07/30, 86389, 86756
1401/07/27, 86610, 86858
1401/07/26, 86858, 86875
1401/07/25, 86356, 86740
1401/07/24, 86301, 86302
1401/07/23, 87257, 87257
1401/07/20, 87154, 87572
1401/07/19, 86558, 87174
1401/07/18, 85610, 86093
1401/07/17, 85620, 85620
1401/07/16, 86361, 87008
1401/07/12, 86100, 86100
1401/07/11, 85803, 86403
1401/07/10, 86083, 86199
1401/07/09, 86261, 88290
1401/07/06, 87699, 88667
1401/07/04, 90297, 91043
1401/07/02, 94013, 95558
1401/06/30, 94400, 101412
1401/06/29, 92252, 96542
1401/06/28, 89267, 93111
1401/06/23, 90350, 90725
1401/06/22, 90508, 90956
1401/06/21, 89866, 90600
1401/06/20, 89796, 90146
1401/06/19, 90273, 90273
1401/06/16, 90961, 91361
1401/06/15, 91543, 92043
1401/06/14, 92061, 92296
1401/06/13, 91920, 92154
1401/06/12, 91800, 91892
1401/06/09, 93118, 93219
1401/06/08, 92915, 93420
1401/06/07, 92946, 93301
1401/06/06, 92820, 93485
1401/06/05, 93146, 94032
1401/06/02, 92966, 93666
1401/06/01, 91800, 92300
1401/05/31, 91650, 92000
1401/05/30, 91261, 91545
1401/05/29, 91641, 91641
1401/05/26, 92622, 92758
1401/05/25, 92636, 93286
1401/05/24, 92630, 93400
1401/05/23, 92802, 93414
1401/05/22, 92044, 93860
1401/05/19, 91523, 92104
1401/05/18, 92101, 93000
1401/05/15, 91869, 92530
1401/05/12, 90601, 91510
1401/05/11, 90518, 90699
1401/05/10, 90277, 90803
1401/05/09, 89242, 90450
1401/05/08, 90388, 91320
1401/05/05, 90769, 90880
1401/05/04, 90151, 90931
1401/05/03, 89513, 90042
1401/05/02, 91540, 91997
1401/05/01, 92049, 92300
1401/04/29, 91558, 91891
1401/04/28, 90973, 91355
1401/04/26, 90584, 90584
1401/04/25, 91300, 92179
1401/04/22, 91812, 92299
1401/04/21, 90410, 91570
1401/04/20, 91057, 92507
1401/04/18, 92350, 92960
1401/04/15, 92775, 93241
1401/04/14, 93037, 93500
1401/04/13, 93131, 93990
1401/04/12, 92800, 93600
1401/04/11, 92980, 94250
1401/04/08, 94120, 94400
1401/04/07, 93814, 94700
1401/04/06, 92705, 93700
1401/04/05, 92442, 94112
1401/04/04, 93900, 95700
1401/04/01, 95000, 95614
1401/03/31, 95300, 96327
1401/03/30, 96270, 100000
