date, min_price, max_price
1402/03/03, 11200, 11980
1402/03/02, 11670, 12590
1402/03/01, 11540, 12440
1402/02/31, 11150, 11880
1402/02/30, 11060, 11540
1402/02/27, 10000, 11160
1402/02/25, 10330, 11170
1402/02/24, 9900, 10960
1402/02/23, 10230, 10900
1402/02/20, 10660, 12230
1402/02/19, 11250, 12090
1402/02/18, 12090, 12090
1402/02/17, 12920, 13850
1402/02/16, 13560, 14870
1402/02/13, 14100, 14950
1402/02/12, 13200, 14150
1402/02/11, 12850, 13850
1402/02/10, 13400, 15050
1402/02/05, 12650, 12850
1402/02/04, 11630, 12090
1402/01/30, 10800, 11880
1402/01/29, 10660, 11650
1402/01/28, 10480, 10960
1402/01/27, 9960, 10300
1402/01/26, 9300, 9710
1402/01/22, 8890, 9300
1402/01/21, 8870, 9890
1402/01/20, 9150, 9680
1402/01/19, 9300, 10150
1402/01/16, 9040, 9870
1402/01/15, 9000, 9580
1402/01/14, 8380, 9180
1402/01/09, 8380, 8840
1402/01/08, 8350, 8950
1402/01/07, 8670, 8950
1402/01/05, 8210, 8600
1401/12/28, 7860, 8290
1401/12/27, 7530, 7950
1401/12/24, 7420, 7670
1401/12/23, 7330, 7620
1401/12/22, 7350, 7780
1401/12/21, 7300, 7840
1401/12/20, 7400, 7880
1401/12/16, 7350, 7540
1401/12/15, 7320, 7580
1401/12/14, 7350, 7640
1401/12/13, 7290, 7650
1401/12/10, 7210, 7850
1401/12/09, 7210, 7900
1401/12/08, 7290, 7600
1401/12/07, 7500, 8130
1401/12/06, 7570, 7790
1401/12/03, 7180, 7450
1401/12/02, 7370, 7920
1401/12/01, 7310, 7900
1401/11/30, 7200, 7650
1401/11/26, 6950, 7400
1401/11/25, 6830, 7390
1401/11/24, 6820, 7340
1401/11/23, 6970, 7470
1401/11/19, 7270, 7580
1401/11/18, 7090, 7090
1401/11/17, 5980, 6760
1401/11/16, 6160, 6780
1401/11/12, 6490, 6840
1401/11/11, 6680, 7140
1401/11/10, 6670, 7160
1401/11/09, 7150, 7450
1401/11/08, 7550, 8170
1401/11/05, 7800, 8380
1401/11/04, 7850, 8190
1401/11/03, 7630, 8150
1401/11/02, 7520, 8040
1401/11/01, 7740, 8190
1401/10/28, 7600, 8210
1401/10/27, 7650, 8000
1401/10/26, 7600, 8020
1401/10/24, 7220, 7770
1401/10/21, 7320, 7840
1401/10/20, 7500, 8000
1401/10/19, 7700, 8050
1401/10/18, 7700, 8100
1401/10/17, 7930, 8350
1401/10/14, 7520, 8130
1401/10/13, 7500, 8150
1401/10/12, 7870, 8270
1401/10/11, 7870, 8590
1401/10/10, 8350, 9000
1401/10/07, 8500, 9050
1401/09/30, 8300, 8910
1401/09/29, 8520, 8980
1401/09/28, 8620, 9840
1401/09/27, 8910, 9770
1401/09/26, 8990, 9390
1401/09/23, 8430, 9130
1401/09/22, 8170, 8730
1401/09/21, 7760, 8280
1401/09/20, 7000, 7810
1401/09/19, 7220, 7700
1401/09/16, 7500, 8170
1401/09/15, 7870, 8190
1401/09/14, 7840, 8500
1401/09/13, 8000, 8400
1401/09/12, 7710, 8360
1401/09/09, 8060, 8650
1401/09/08, 8130, 8990
1401/09/07, 8220, 8570
1401/09/06, 7440, 8380
1401/09/05, 7650, 8450
1401/09/02, 7700, 8120
1401/09/01, 6890, 7650
1401/08/30, 7050, 7450
1401/08/29, 7310, 8100
1401/08/25, 7390, 7640
1401/08/24, 6930, 7390
1401/08/23, 6500, 7320
1401/08/22, 6570, 6930
1401/08/21, 6200, 6550
