date, min_price, max_price
1402/03/03, 30910, 33200
1402/03/02, 31500, 33430
1402/03/01, 31110, 32710
1402/02/31, 28970, 31500
1402/02/30, 29710, 31850
1402/02/27, 29900, 32650
1402/02/25, 30010, 32350
1402/02/24, 29400, 31500
1402/02/23, 29900, 31100
1402/02/20, 31470, 31470
1402/02/19, 33120, 33120
1402/02/18, 34860, 34860
1402/02/17, 36420, 38000
1402/02/16, 36660, 40250
1402/02/12, 36650, 38780
1402/02/11, 36940, 36940
1402/02/10, 35190, 35190
1402/02/09, 33520, 33520
1402/02/06, 31710, 32010
1402/02/05, 30300, 30490
1402/02/04, 28440, 29120
1402/01/30, 27060, 27840
1402/01/29, 26520, 26520
1402/01/27, 25260, 25260
1402/01/22, 23260, 24180
1402/01/21, 22000, 23080
1402/01/20, 21990, 21990
1402/01/19, 20950, 20950
1402/01/16, 19800, 20020
1402/01/14, 18760, 19110
1402/01/09, 17870, 18310
1402/01/08, 16860, 17750
1402/01/07, 17110, 17940
1402/01/06, 17350, 18700
1402/01/05, 17770, 17880
1401/12/28, 16420, 17180
1401/12/27, 15790, 16430
1401/12/24, 15060, 16320
1401/12/23, 15030, 15560
1401/12/22, 14500, 14880
1401/12/21, 13650, 14580
1401/12/20, 13720, 14180
1401/12/16, 13150, 13540
1401/12/15, 12430, 13040
1401/12/14, 11950, 12490
1401/12/13, 11400, 12190
1401/12/10, 11400, 11890
1401/12/09, 10850, 11710
1401/12/08, 11160, 11160
1401/12/07, 10630, 10630
1401/12/06, 9950, 10140
1401/12/03, 9250, 9740
1401/12/02, 9020, 9440
1401/12/01, 8800, 9010
1401/11/30, 8200, 8770
1401/11/26, 8160, 8590
1401/11/25, 8320, 8790
1401/11/24, 8280, 8920
1401/11/23, 8630, 8970
1401/11/19, 8700, 9500
1401/11/18, 8880, 9470
1401/11/17, 9110, 9340
1401/11/08, 8860, 9300
1401/11/05, 9060, 9450
1401/11/04, 8800, 9170
1401/11/03, 8530, 9300
1401/11/02, 8400, 8900
1401/11/01, 8280, 8550
1401/10/26, 8480, 8750
1401/10/24, 8210, 8360
1401/10/21, 7660, 8140
1401/10/20, 7690, 8050
1401/10/19, 7740, 8090
1401/10/18, 7750, 8190
1401/10/17, 7720, 7980
1401/10/14, 7440, 7890
1401/10/13, 7400, 7870
1401/10/12, 7410, 7670
1401/10/11, 7250, 7850
1401/10/10, 7560, 7960
1401/10/07, 7830, 8080
1401/10/05, 7800, 8140
1401/10/04, 8000, 8320
1401/10/03, 8020, 8300
1401/09/30, 7980, 8380
1401/09/29, 7970, 8430
1401/09/28, 8080, 8580
1401/09/27, 8500, 8500
1401/09/26, 8100, 8100
1401/09/21, 7540, 7860
1401/09/20, 7560, 7980
1401/09/19, 7620, 8080
1401/09/16, 7820, 8330
1401/09/15, 7730, 8110
1401/09/14, 7720, 8010
1401/09/13, 7860, 8440
1401/09/12, 8090, 8440
1401/09/09, 7890, 8110
1401/09/08, 7600, 7750
1401/09/07, 7090, 7480
1401/09/06, 7060, 7270
1401/09/05, 7000, 7280
1401/09/02, 7010, 7270
1401/09/01, 7110, 7310
1401/08/30, 7070, 7280
1401/08/29, 7100, 7400
1401/08/28, 6960, 7400
1401/08/25, 6990, 7350
1401/08/24, 6990, 7400
1401/08/23, 7120, 7570
1401/08/22, 7290, 7690
1401/08/21, 7260, 7840
1401/08/18, 7230, 7800
1401/08/17, 7260, 8020
1401/08/16, 7370, 7650
1401/08/15, 7010, 7330
1401/08/14, 6560, 7020
1401/08/11, 6350, 6810
1401/08/10, 6250, 6590
1401/08/09, 6150, 6410
1401/08/08, 6110, 6280
1401/08/07, 6420, 6610
1401/08/04, 6720, 6890
1401/08/03, 7030, 7500
1401/08/02, 7380, 7630
1401/07/27, 7440, 7980
1401/07/26, 7470, 8000
1401/07/25, 7600, 7940
1401/07/24, 7710, 7950
1401/07/23, 7520, 7950
1401/07/20, 7450, 7600
1401/07/16, 6860, 7320
1401/07/12, 7030, 7230
1401/07/11, 7130, 7790
1401/07/10, 7410, 7930
1401/07/09, 7630, 8080
1401/07/06, 7650, 7990
1401/07/04, 7270, 7870
1401/07/02, 7510, 8020
1401/06/30, 7690, 8300
1401/06/29, 7980, 8430
1401/06/28, 8370, 8850
1401/06/27, 8670, 9460
1401/06/23, 8850, 9560
1401/06/22, 8840, 9440
1401/06/21, 9080, 9500
1401/06/20, 9060, 9480
1401/06/19, 8960, 9240
1401/06/16, 9430, 9430
1401/06/15, 9680, 10650
1401/06/14, 9910, 10420
1401/06/13, 9930, 10530
1401/06/12, 9950, 10440
1401/06/09, 9710, 10150
1401/06/08, 9810, 10450
1401/06/07, 10060, 10440
