date, min_price, max_price
1402/02/27, 6810, 7420
1402/02/25, 6690, 7220
1402/02/24, 6590, 7340
1402/02/23, 6990, 7130
1402/02/20, 7130, 7960
1402/02/19, 7660, 7830
1402/02/18, 8010, 8010
1402/02/17, 8550, 8940
1402/02/16, 8670, 9670
1402/02/13, 9040, 9040
1402/02/12, 8110, 8570
1402/02/11, 7840, 8340
1402/02/10, 8130, 8540
1402/02/05, 7710, 8000
1402/02/04, 6960, 7560
1402/01/30, 6940, 7350
1402/01/29, 7160, 7550
1402/01/28, 6600, 7200
1402/01/27, 6530, 6980
1402/01/26, 6370, 6710
1402/01/22, 6000, 6530
1402/01/21, 6070, 6790
1402/01/20, 6080, 6580
1402/01/19, 5930, 6190
1402/01/16, 5350, 5840
1402/01/15, 5310, 5680
1402/01/14, 5180, 5560
1402/01/09, 5200, 5560
1402/01/08, 5240, 5450
1402/01/07, 5000, 5350
1402/01/06, 5070, 5280
1402/01/05, 5080, 5360
1401/12/28, 5130, 5500
1401/12/27, 5210, 5500
1401/12/24, 5078, 5241
1401/12/23, 4910, 5099
1401/12/22, 4850, 5173
1401/12/21, 4802, 5280
1401/12/20, 4890, 5114
1401/12/16, 4591, 4848
1401/12/15, 4490, 4726
1401/12/14, 4452, 4849
1401/12/13, 4460, 4630
1401/12/10, 4505, 4846
1401/12/09, 4444, 4790
1401/12/08, 4393, 4740
1401/12/07, 4400, 4868
1401/12/06, 4400, 4564
1401/12/03, 4100, 4369
1401/12/02, 4133, 4536
1401/12/01, 4170, 4384
1401/11/30, 4025, 4160
1401/11/26, 3830, 4135
1401/11/25, 3898, 4179
1401/11/24, 4011, 4400
1401/11/16, 4204, 4530
1401/11/12, 4520, 4577
1401/11/11, 4330, 4600
1401/11/10, 4117, 4468
1401/11/09, 4160, 4640
1401/11/08, 4350, 4789
1401/11/05, 4586, 5025
1401/11/04, 4800, 5029
1401/11/03, 4453, 4798
1401/11/02, 4350, 4680
1401/11/01, 4509, 4825
1401/10/28, 4650, 4977
1401/10/27, 4702, 4950
1401/10/26, 4627, 4627
1401/10/24, 4001, 4410
1401/10/21, 4030, 4222
1401/10/20, 4073, 4250
1401/10/19, 4092, 4382
1401/10/18, 4090, 4385
1401/10/17, 4050, 4240
1401/10/14, 4000, 4169
1401/10/13, 4111, 4320
1401/10/12, 4000, 4163
1401/10/11, 3843, 4236
1401/10/10, 4021, 4330
1401/10/07, 4195, 4416
1401/10/05, 4165, 4370
1401/10/04, 4239, 4590
1401/10/03, 4410, 4700
1401/09/30, 4406, 4600
1401/09/29, 4488, 4820
1401/09/28, 4514, 4886
1401/09/27, 4718, 4940
1401/09/26, 4354, 4772
1401/09/23, 4349, 4570
1401/09/22, 4220, 4528
1401/09/21, 4143, 4349
1401/09/20, 3981, 4280
1401/09/19, 4039, 4330
1401/09/16, 4180, 4500
1401/09/15, 4205, 4598
1401/09/14, 4051, 4438
1401/09/13, 4052, 4257
1401/09/12, 4144, 4449
1401/09/09, 4201, 4579
1401/09/08, 4330, 4488
1401/09/07, 3900, 4352
1401/09/06, 3910, 4237
1401/09/05, 3760, 4014
1401/09/02, 3700, 3752
1401/09/01, 3341, 3568
1401/08/30, 3120, 3344
1401/08/29, 3092, 3210
1401/08/28, 2965, 3168
1401/08/25, 3085, 3190
1401/08/24, 3051, 3220
1401/08/23, 3032, 3175
1401/08/22, 3101, 3310
1401/08/21, 3180, 3359
1401/08/18, 3111, 3384
1401/08/17, 3148, 3419
1401/08/16, 3035, 3242
1401/08/15, 2961, 3087
1401/08/14, 2810, 2943
1401/08/11, 2601, 2848
1401/08/10, 2570, 2718
1401/08/09, 2521, 2639
1401/08/08, 2418, 2530
1401/08/07, 2433, 2574
1401/08/04, 2452, 2600
1401/08/03, 2530, 2619
1401/08/02, 2468, 2617
1401/08/01, 2511, 2647
1401/07/30, 2535, 2640
1401/07/27, 2501, 2648
1401/07/26, 2500, 2618
1401/07/25, 2452, 2540
1401/07/24, 2475, 2588
1401/07/23, 2530, 2649
1401/07/20, 2590, 2698
1401/07/19, 2560, 2640
1401/07/18, 2510, 2638
1401/07/17, 2507, 2660
1401/07/16, 2511, 2678
1401/07/12, 2563, 2650
1401/07/11, 2520, 2688
1401/07/10, 2505, 2640
1401/07/09, 2536, 2770
1401/07/06, 2654, 2765
1401/07/04, 2556, 2711
1401/07/02, 2555, 2750
1401/06/30, 2704, 2900
1401/06/29, 2762, 2850
1401/06/28, 2766, 2934
1401/06/27, 2831, 2920
1401/06/23, 2860, 2988
1401/06/22, 2840, 2971
1401/06/21, 2800, 2895
1401/06/20, 2800, 2928
1401/06/19, 2880, 3000
1401/06/16, 2906, 3054
1401/06/15, 2921, 3077
1401/06/14, 2956, 3144
1401/06/13, 3020, 3165
1401/06/12, 2902, 3098
1401/06/09, 2920, 3010
1401/06/08, 2881, 2996
1401/06/07, 2740, 2895
1401/06/06, 2750, 2868
1401/06/05, 2752, 2950
1401/06/02, 2770, 2917
1401/06/01, 2622, 2800
1401/05/31, 2614, 2728
1401/05/30, 2640, 2753
1401/05/29, 2642, 2780
1401/05/26, 2744, 2824
1401/05/25, 2770, 2923
1401/05/24, 2800, 2900
1401/05/23, 2822, 2930
1401/05/22, 2750, 2950
1401/05/19, 2761, 2840
1401/05/18, 2816, 2939
1401/05/15, 2799, 2873
1401/05/12, 2580, 2731
1401/05/11, 2540, 2628
1401/05/10, 2485, 2620
1401/05/09, 2452, 2620
1401/05/08, 2510, 2640
1401/05/05, 2514, 2629
1401/05/04, 2500, 2630
1401/05/03, 2610, 2755
1401/05/02, 2686, 2866
1401/05/01, 2775, 2928
1401/04/29, 2731, 2859
1401/04/28, 2702, 2830
1401/04/26, 2732, 2891
1401/04/25, 2824, 3019
1401/04/22, 2900, 3050
1401/04/21, 2851, 2950
1401/04/20, 2845, 3053
1401/04/18, 2973, 3117
1401/04/15, 3000, 3150
1401/04/14, 3051, 3197
1401/04/13, 3061, 3240
1401/04/12, 3050, 3239
1401/04/11, 3131, 3289
1401/04/08, 3201, 3356
1401/04/07, 3216, 3347
1401/04/06, 3160, 3320
1401/04/05, 3157, 3415
1401/04/04, 3271, 3480
1401/04/01, 3172, 3418
1401/03/31, 3181, 3340
1401/03/30, 3287, 3480
1401/03/29, 3362, 3492
1401/03/28, 3417, 3636
1401/03/25, 3421, 3650
1401/03/24, 3450, 3610
1401/03/23, 3400, 3658
1401/03/22, 3325, 3530
1401/03/21, 3360, 3585
1401/03/18, 3350, 3529
1401/03/17, 3309, 3500
1401/03/16, 3507, 3679
1401/03/11, 3536, 3760
1401/03/04, 4100, 4350
1401/03/03, 3943, 4278
1401/03/02, 3921, 4350
1401/03/01, 4042, 4207
1401/02/31, 3830, 4100
1401/02/28, 3812, 4019
1401/02/27, 3916, 4149
1401/02/26, 3800, 4017
1401/02/25, 3719, 3911
1401/02/24, 3812, 4090
1401/02/21, 3822, 4000
1401/02/20, 3802, 3990
1401/02/19, 3911, 4166
1401/02/18, 3680, 3954
1401/02/17, 3615, 3810
1401/02/12, 3610, 3822
1401/02/11, 3650, 3799
1401/02/10, 3707, 3810
1401/02/07, 3554, 3800
1401/02/06, 3550, 3700
1401/02/05, 3613, 3746
1401/02/04, 3540, 3740
1401/01/31, 3500, 3789
1401/01/30, 3621, 3785
1401/01/29, 3660, 3843
1401/01/28, 3420, 3681
1401/01/27, 3372, 3540
1401/01/24, 3141, 3425
1401/01/23, 3271, 3489
1401/01/22, 3374, 3480
1401/01/21, 3220, 3371
1401/01/20, 3127, 3268
1401/01/17, 3150, 3306
1401/01/16, 3170, 3330
1401/01/15, 3200, 3384
1401/01/14, 3164, 3228
1401/01/10, 2960, 3094
1401/01/09, 2947, 2947
1400/12/21, 2743, 2900
1400/12/18, 2785, 2877
1400/12/17, 2767, 2940
1400/12/16, 2830, 3050
1400/12/15, 2870, 3060
1400/12/14, 2940, 3040
1400/12/11, 2950, 3100
1400/12/09, 3010, 3130
1400/12/08, 2831, 3063
1400/12/07, 2850, 2955
1400/12/04, 2733, 2897
1400/12/03, 2720, 2839
1400/12/02, 2759, 2842
1400/12/01, 2681, 2749
1400/11/30, 2730, 2816
1400/11/27, 2760, 2841
1400/11/25, 2755, 2900
1400/11/24, 2752, 2876
1400/11/23, 2770, 2920
1400/11/20, 2814, 2939
1400/11/19, 2850, 2980
1400/11/18, 2861, 2977
1400/11/17, 2910, 3099
1400/11/16, 3023, 3155
1400/11/13, 2965, 3095
1400/11/12, 2965, 3095
1400/11/11, 2830, 3056
1400/11/10, 2845, 3039
1400/11/09, 2805, 2940
1400/11/06, 2700, 2889
1400/11/05, 2786, 2927
1400/11/04, 2831, 2920
1400/11/03, 2913, 3087
1400/11/02, 2882, 3091
1400/10/29, 2881, 3040
1400/10/28, 3031, 3150
1400/10/27, 3093, 3280
1400/10/26, 3172, 3382
1400/10/25, 3265, 3480
1400/10/22, 3334, 3440
1400/10/21, 3256, 3440
1400/10/20, 3228, 3400
1400/10/19, 3267, 3450
1400/10/18, 3370, 3551
1400/10/15, 3481, 3580
1400/10/14, 3477, 3670
1400/10/13, 3550, 3730
1400/10/12, 3530, 3758
1400/10/11, 3499, 3680
1400/10/08, 3611, 3744
1400/10/07, 3625, 3749
1400/10/06, 3670, 3794
1400/10/05, 3669, 3876
1400/10/04, 3753, 4040
1400/10/01, 3780, 4000
1400/09/30, 3702, 3870
1400/09/29, 3722, 3850
1400/09/28, 3656, 3899
1400/09/27, 3700, 3887
1400/09/24, 3590, 3840
1400/09/23, 3688, 3880
1400/09/22, 3689, 3940
1400/09/21, 3665, 3989
1400/09/20, 3735, 3883
1400/09/17, 3510, 3766
1400/09/16, 3485, 3716
1400/09/15, 3540, 3643
1400/09/14, 3360, 3496
1400/09/13, 3214, 3460
1400/09/10, 3374, 3505
1400/09/09, 3515, 3750
1400/09/08, 3605, 3780
1400/09/07, 3640, 3785
1400/09/06, 3707, 3890
1400/09/03, 3800, 4000
1400/09/02, 3870, 4060
1400/09/01, 3990, 4096
1400/08/30, 3920, 4070
1400/08/29, 3915, 4128
1400/08/26, 3901, 4122
1400/08/25, 3891, 4085
1400/08/24, 3976, 4260
1400/08/23, 4060, 4288
1400/08/22, 4055, 4395
1400/08/19, 4025, 4279
1400/08/18, 4055, 4300
1400/08/17, 4126, 4388
1400/08/16, 4216, 4550
1400/08/15, 4319, 4471
1400/08/12, 4120, 4266
1400/08/11, 3887, 4081
1400/08/10, 3750, 3981
1400/08/09, 3776, 4000
1400/08/08, 3850, 4090
1400/08/05, 3731, 4048
1400/08/04, 3765, 3990
1400/08/03, 3900, 4189
1400/08/01, 4081, 4310
1400/07/28, 4200, 4419
1400/07/27, 4100, 4291
1400/07/26, 4000, 4162
1400/07/25, 4137, 4410
1400/07/24, 4200, 4470
1400/07/21, 4250, 4540
1400/07/20, 4468, 4621
1400/07/19, 4620, 4800
1400/07/18, 4650, 4882
1400/07/17, 4757, 5030
1400/07/14, 4750, 4980
1400/07/12, 4634, 4841
1400/07/11, 4451, 4770
1400/07/10, 4588, 4742
1400/07/07, 4406, 4645
1400/07/06, 4400, 4630
1400/07/04, 4518, 4800
1400/07/03, 4560, 4880
1400/06/31, 4590, 5000
1400/06/30, 4800, 5090
1400/06/29, 4970, 5120
1400/06/28, 4940, 5280
1400/06/27, 5160, 5490
1400/06/24, 5330, 5540
1400/06/23, 5410, 5560
1400/06/22, 5050, 5500
1400/06/21, 5280, 5450
1400/06/20, 5470, 5850
1400/06/17, 5630, 5930
1400/06/16, 5820, 6070
1400/06/15, 5900, 6300
1400/06/14, 6030, 6290
1400/06/13, 5850, 6120
1400/06/10, 5540, 5850
1400/06/09, 5500, 5930
1400/06/08, 5740, 6000
1400/06/07, 5730, 6220
1400/06/06, 5800, 5950
1400/06/03, 5380, 5859
1400/06/02, 5410, 5664
1400/06/01, 5232, 5425
1400/05/31, 4950, 5173
1400/05/24, 4791, 5000
1400/05/23, 4790, 4980
1400/05/20, 4760, 5100
1400/05/19, 4840, 5000
1400/05/18, 4796, 5030
1400/05/17, 4705, 4893
1400/05/16, 4360, 4673
1400/05/13, 4360, 4563
1400/05/12, 4313, 4635
1400/05/11, 4430, 4669
1400/05/10, 4475, 4715
1400/05/09, 4401, 4680
1400/05/06, 4404, 4743
1400/05/05, 4525, 4830
1400/05/04, 4666, 4830
1400/04/28, 4550, 4799
1400/04/27, 4610, 4798
1400/04/26, 4701, 4890
1400/04/23, 4700, 4900
1400/04/22, 4700, 4980
1400/04/21, 4701, 4989
1400/04/20, 4477, 4806
1400/04/19, 4477, 4670
1400/04/16, 4456, 4672
1400/04/15, 4301, 4508
1400/04/14, 4135, 4341
1400/04/13, 4050, 4200
1400/04/12, 4040, 4278
1400/04/09, 4131, 4289
1400/04/08, 4170, 4384
1400/04/07, 4230, 4380
1400/04/06, 4204, 4439
1400/04/05, 4250, 4480
1400/04/02, 4225, 4400
1400/04/01, 4220, 4499
1400/03/31, 4111, 4334
1400/03/30, 3957, 4227
1400/03/29, 3920, 4140
1400/03/26, 3891, 4098
1400/03/25, 3900, 4100
1400/03/24, 3990, 4098
1400/03/23, 3884, 4002
1400/03/22, 3890, 4110
1400/03/19, 4011, 4137
1400/03/18, 4061, 4368
1400/03/17, 4031, 4266
1400/03/12, 4000, 4200
1400/03/11, 4029, 4230
1400/03/10, 4127, 4404
1400/03/09, 3988, 4280
1400/03/08, 3810, 4090
1400/03/05, 3800, 3998
1400/03/04, 3753, 3920
1400/03/03, 3700, 3940
1400/03/02, 3575, 3949
1400/03/01, 3753, 3825
1400/02/29, 3934, 4136
1400/02/28, 4092, 4310
1400/02/27, 4275, 4500
1400/02/26, 4360, 4589
1400/02/25, 4430, 4774
1400/02/22, 4656, 4783
1400/02/21, 4783, 4929
1400/02/20, 4788, 4788
1400/02/19, 4789, 4789
1400/02/18, 4821, 4996
1400/02/15, 4905, 5089
1400/02/13, 4976, 5220
1400/02/12, 4790, 5220
1400/02/11, 4810, 4900
1400/02/08, 4910, 5070
1400/02/07, 4920, 4920
1400/02/06, 4920, 4920
1400/02/05, 4920, 4920
1400/02/04, 4930, 4930
1400/02/01, 5070, 5100
1400/01/31, 5120, 5120
1400/01/30, 5120, 5120
1400/01/29, 5120, 5120
