date, min_price, max_price
1402/03/03, 21051, 21650
1402/03/02, 21100, 21799
1402/03/01, 20753, 21400
1402/02/31, 20700, 21000
1402/02/30, 20550, 21150
1402/02/27, 20422, 21200
1402/02/25, 20550, 20790
1402/02/24, 19600, 20750
1402/02/23, 19200, 19901
1402/02/20, 19810, 21410
1402/02/19, 20210, 21400
1402/02/18, 19700, 21200
1402/02/17, 21000, 22900
1402/02/16, 22610, 23000
1402/02/13, 22450, 22950
1402/02/12, 22200, 23395
1402/02/11, 22000, 23600
1402/02/10, 21622, 22990
1402/02/09, 20888, 21850
1402/02/06, 20500, 21250
1402/02/05, 20805, 21200
1402/02/04, 20300, 20800
1402/01/30, 20502, 21000
1402/01/29, 20400, 21500
1402/01/28, 19550, 21200
1402/01/27, 19210, 19800
1402/01/26, 19300, 20149
1402/01/22, 18800, 19150
1402/01/21, 18610, 19700
1402/01/20, 18800, 19900
1402/01/19, 18501, 19200
1402/01/16, 18050, 18600
1402/01/15, 18050, 19980
1402/01/14, 17900, 18500
1402/01/09, 17450, 18480
1402/01/08, 17160, 17700
1402/01/07, 17000, 17550
1402/01/05, 17030, 17600
1401/12/28, 16705, 18500
1401/12/27, 16730, 17450
1401/12/24, 15479, 16900
1401/12/23, 15102, 15400
1401/12/22, 15090, 15390
1401/12/21, 14900, 15200
1401/12/20, 15200, 15660
1401/12/16, 15050, 15550
1401/12/15, 14900, 15200
1401/12/14, 14930, 15300
1401/12/13, 14900, 15200
1401/12/10, 14960, 16200
1401/12/09, 15100, 15540
1401/12/08, 14800, 15930
1401/12/07, 15300, 16438
1401/12/06, 13950, 15304
1401/12/03, 13550, 13950
1401/12/02, 13550, 13800
1401/12/01, 12900, 13500
1401/11/30, 12660, 12900
1401/11/26, 12900, 12900
1401/11/25, 12700, 12750
1401/11/24, 12850, 12850
1401/11/23, 12870, 12870
1401/11/19, 12850, 13100
1401/11/18, 12900, 13000
1401/11/17, 12400, 13100
1401/11/16, 12550, 12850
1401/11/12, 12950, 12950
1401/11/11, 12950, 13100
1401/11/10, 12900, 12900
1401/11/09, 12660, 13050
