date, min_price, max_price
1402/03/03, 177090, 186730
1402/03/02, 180210, 184000
1402/03/01, 180560, 187400
1402/02/31, 180680, 189950
1402/02/24, 205460, 211900
1402/02/23, 199000, 203930
1402/02/20, 199800, 210070
1402/02/19, 186500, 203000
1402/02/18, 191000, 201960
1402/02/17, 197120, 204800
1402/02/16, 196940, 204770
1402/02/13, 198100, 202000
1402/02/12, 199900, 204000
1402/02/11, 199670, 211000
1402/02/10, 202790, 208330
1402/02/09, 194000, 202500
1402/02/06, 192460, 200000
1402/02/05, 192500, 197900
1402/02/04, 190500, 199000
1402/01/30, 193050, 199890
1402/01/29, 194730, 201990
1402/01/28, 199000, 205600
1402/01/27, 203140, 212000
1402/01/26, 205120, 213060
1402/01/22, 199010, 204510
1402/01/21, 199700, 210500
1402/01/20, 197100, 206240
1402/01/19, 191000, 196440
1402/01/16, 177300, 188840
1402/01/15, 178720, 183550
1402/01/14, 178000, 182300
1402/01/09, 177500, 183000
1402/01/08, 179260, 181650
1402/01/07, 171840, 179250
1402/01/06, 171500, 179000
1402/01/05, 174000, 179500
1401/12/28, 170010, 181310
1401/12/27, 174000, 179270
1401/12/24, 166090, 172990
1401/12/23, 165850, 168800
1401/12/22, 162360, 168000
1401/12/21, 162500, 168800
1401/12/20, 168050, 171000
1401/12/16, 169410, 171500
1401/12/15, 165130, 171020
1401/12/14, 168640, 172140
1401/12/13, 169400, 172200
1401/12/10, 169700, 174500
1401/12/09, 167220, 177910
1401/12/08, 167210, 178800
1401/12/07, 171360, 171360
1401/12/06, 165350, 167900
1401/12/03, 157000, 163900
1401/12/02, 157000, 157420
1401/12/01, 145420, 150490
1401/11/30, 142700, 145520
1401/11/26, 142300, 144000
1401/11/25, 142300, 144080
1401/11/24, 141100, 144140
1401/11/23, 140910, 144000
1401/11/19, 141820, 144000
1401/11/18, 142130, 144000
1401/11/17, 137820, 144000
1401/11/16, 141130, 144890
1401/11/12, 141020, 144000
1401/11/11, 139100, 144400
1401/11/10, 139010, 143000
1401/11/09, 138250, 140560
1401/11/08, 140800, 141690
1401/11/05, 139080, 145000
1401/11/04, 141950, 145360
1401/11/03, 140610, 144960
1401/11/02, 138500, 143200
1401/11/01, 139740, 145090
1401/10/28, 141500, 144000
1401/10/27, 142600, 145880
1401/10/26, 142000, 145000
1401/10/24, 137100, 144950
1401/10/21, 139510, 143070
1401/10/20, 140920, 145500
1401/10/19, 141850, 145830
1401/10/18, 136540, 145530
1401/10/17, 135010, 139190
1401/10/14, 134900, 139220
1401/10/13, 135000, 142000
1401/10/12, 139300, 143680
1401/10/11, 134590, 141000
1401/10/10, 140490, 143820
1401/10/07, 145000, 151960
1401/10/05, 144700, 148000
1401/10/04, 140020, 148680
1401/10/03, 136000, 143540
1401/09/30, 133510, 137000
1401/09/29, 135510, 137700
1401/09/28, 133500, 137620
1401/09/27, 126510, 132600
1401/09/26, 125150, 128100
1401/09/23, 125600, 130000
1401/09/22, 119890, 125870
1401/09/21, 117310, 120870
1401/09/20, 117010, 119340
1401/09/19, 116730, 119800
1401/09/16, 118650, 121860
1401/09/15, 118510, 120600
1401/09/14, 117890, 119890
1401/09/13, 117860, 119790
1401/09/12, 117880, 120000
1401/09/09, 118430, 119120
1401/09/08, 118380, 120880
1401/09/07, 119120, 120950
1401/09/06, 119000, 120850
1401/09/05, 119100, 121900
1401/09/02, 120260, 122990
1401/09/01, 120100, 123000
1401/08/30, 120060, 123000
1401/08/29, 120050, 123600
1401/08/28, 117220, 123350
1401/08/25, 122550, 125100
1401/08/24, 122250, 125800
1401/08/23, 121520, 126000
1401/08/22, 121100, 123970
1401/08/21, 122000, 128870
1401/08/18, 115320, 124770
1401/08/17, 115730, 118950
1401/08/16, 108700, 113500
1401/08/15, 107520, 109980
1401/08/14, 102340, 107490
1401/08/11, 102230, 103730
1401/08/10, 102270, 103900
1401/08/09, 102230, 103500
1401/08/08, 102030, 104980
1401/08/07, 100000, 104000
1401/08/04, 98770, 102750
1401/08/03, 100100, 103080
1401/08/02, 100000, 104300
1401/08/01, 101800, 104890
1401/07/30, 102850, 105000
1401/07/27, 104050, 106220
1401/07/26, 104500, 106660
1401/07/25, 104500, 106100
1401/07/24, 105030, 106900
1401/07/23, 105600, 107330
1401/07/20, 105880, 106980
1401/07/19, 106000, 107700
1401/07/18, 105000, 108000
1401/07/17, 105000, 108500
1401/07/16, 105920, 109000
1401/07/12, 105500, 107870
1401/07/11, 105830, 110160
1401/07/10, 106700, 110990
1401/07/09, 107750, 111000
1401/07/06, 110600, 112180
1401/07/04, 106600, 112300
1401/07/02, 109500, 114500
1401/06/30, 112110, 113600
1401/06/29, 113610, 117220
1401/06/28, 114000, 118490
1401/06/27, 114000, 116400
1401/06/23, 112900, 117100
1401/06/13, 115600, 118800
1401/06/12, 115160, 118000
1401/06/09, 116650, 120480
1401/06/08, 117300, 118960
1401/06/07, 116380, 118350
1401/06/06, 117810, 120000
1401/06/05, 116640, 118470
1401/06/02, 115770, 118390
1401/06/01, 115100, 118500
1401/05/31, 113030, 115350
1401/05/30, 111680, 115500
1401/05/29, 114120, 119990
1401/05/26, 118430, 123250
1401/05/25, 120500, 123830
1401/05/24, 123900, 125890
1401/05/23, 124500, 128050
1401/05/22, 127960, 129960
1401/05/19, 125510, 130000
1401/05/18, 126710, 129990
1401/05/15, 128040, 129230
1401/05/12, 127900, 129800
1401/05/11, 127550, 131000
1401/05/10, 123710, 129870
1401/05/09, 123500, 127960
1401/05/08, 126000, 128600
1401/05/05, 127700, 130000
1401/05/04, 121550, 128990
1401/05/03, 126620, 130610
1401/05/02, 129700, 135000
1401/05/01, 133710, 137570
1401/04/29, 133340, 137990
1401/04/28, 133000, 138990
1401/04/26, 133100, 136000
1401/04/25, 134700, 139400
1401/04/22, 137740, 141460
1401/04/21, 137730, 140300
1401/04/20, 138300, 140990
1401/04/18, 138090, 141500
1401/04/15, 139000, 141500
1401/04/14, 139960, 141280
1401/04/13, 140500, 141500
1401/04/12, 140400, 142670
1401/04/11, 140500, 142800
1401/04/08, 140050, 143650
1401/04/07, 140870, 142990
1401/04/06, 140350, 144200
1401/04/05, 139030, 144990
1401/04/04, 142000, 145800
1401/04/01, 141630, 146000
1401/03/31, 141400, 149480
1401/03/30, 145370, 149700
1401/03/29, 145270, 148200
1401/03/28, 145270, 151000
1401/03/25, 150020, 157500
1401/03/24, 146400, 154010
1401/03/23, 145800, 149780
1401/03/22, 141800, 145000
1401/03/21, 141100, 144300
1401/03/18, 134800, 141150
1401/03/17, 133500, 135880
1401/03/16, 131000, 135200
1401/03/11, 133610, 136990
1401/03/10, 135990, 137200
1401/03/04, 134400, 136990
1401/03/03, 129520, 135400
1401/03/02, 132500, 139500
1401/03/01, 135000, 140860
1401/02/21, 164500, 170500
1401/02/20, 163250, 170200
1401/02/19, 163620, 169990
1401/02/18, 168200, 171000
1401/02/17, 160800, 170800
1401/02/12, 160800, 165000
1401/02/11, 160000, 167990
1401/02/10, 164560, 169980
1401/02/07, 169000, 173500
1401/02/06, 162700, 170370
1401/02/05, 160000, 164300
1401/02/04, 159270, 166890
1401/01/31, 161000, 165900
1401/01/30, 160000, 165600
1401/01/29, 156050, 162150
1401/01/28, 149800, 155500
1401/01/27, 143500, 149760
1401/01/24, 139300, 145350
1401/01/23, 135800, 141900
1401/01/22, 137200, 141660
1401/01/21, 135020, 139280
1401/01/20, 133150, 136500
1401/01/17, 134900, 139980
1401/01/16, 135140, 138420
1401/01/15, 136710, 142340
1401/01/14, 138300, 142360
1401/01/10, 134010, 138220
1401/01/09, 133710, 136530
1401/01/08, 133150, 136530
1401/01/07, 131010, 135220
1401/01/06, 130000, 135200
1400/12/28, 126650, 131940
1400/12/25, 125250, 127760
1400/12/24, 123620, 127000
1400/12/23, 122920, 127000
1400/12/22, 120260, 124390
1400/12/21, 122340, 124800
1400/12/18, 122660, 124700
1400/12/17, 122260, 124800
1400/12/16, 118970, 122360
1400/12/15, 116010, 119600
1400/12/14, 115300, 117790
1400/12/11, 115500, 118000
1400/12/09, 114820, 118950
1400/12/08, 116070, 118900
1400/12/07, 116000, 120200
1400/12/04, 117500, 120000
1400/12/03, 116800, 119720
1400/12/02, 116600, 120300
1400/12/01, 117510, 120980
1400/11/30, 117210, 122290
1400/11/27, 119900, 123350
1400/11/25, 117320, 121890
1400/11/24, 117000, 119900
1400/11/23, 120000, 122000
1400/11/20, 120610, 124690
1400/11/19, 120330, 124490
1400/11/18, 118010, 123120
1400/11/17, 118750, 122500
1400/11/16, 121900, 123890
1400/11/13, 121660, 123100
1400/11/12, 123120, 124840
1400/11/11, 122000, 124840
1400/11/10, 120750, 124540
1400/11/09, 117000, 121980
1400/11/06, 114000, 118240
1400/11/05, 112210, 115420
1400/11/04, 114500, 119990
1400/11/03, 117050, 122970
1400/11/02, 119510, 121200
1400/10/29, 112710, 117000
1400/10/28, 111900, 115810
1400/10/27, 116000, 118910
1400/10/26, 115620, 119150
1400/10/25, 116050, 118130
1400/10/22, 115530, 119960
1400/10/21, 116800, 121470
1400/10/20, 113020, 123800
1400/10/19, 116540, 121000
1400/10/18, 120050, 123600
1400/10/15, 120700, 124700
1400/10/14, 121350, 122750
1400/10/13, 122110, 124870
1400/10/12, 121820, 124990
1400/10/11, 121000, 125700
1400/10/08, 123050, 126980
1400/10/07, 120000, 124500
1400/10/06, 121110, 124390
1400/10/05, 119790, 122200
1400/10/04, 119990, 126900
1400/10/01, 121930, 125590
1400/09/30, 121370, 124500
1400/09/29, 118000, 123000
1400/09/28, 119130, 123800
1400/09/27, 117980, 121910
1400/09/24, 115780, 118900
1400/09/23, 111400, 118890
1400/09/22, 114290, 121450
1400/09/21, 120090, 125000
1400/09/20, 123620, 127000
1400/09/17, 124500, 127830
1400/09/16, 125240, 128860
1400/09/13, 126200, 131600
1400/09/10, 124010, 132000
1400/09/09, 127500, 133080
1400/09/08, 125200, 129620
1400/09/07, 124300, 128290
1400/09/06, 124000, 128900
1400/09/03, 124800, 127860
1400/09/02, 123110, 123110
1400/09/01, 120480, 120480
1400/08/30, 113500, 116800
1400/08/29, 113510, 116880
1400/08/26, 112610, 115800
1400/08/25, 111400, 115000
1400/08/24, 112010, 116350
1400/08/23, 114490, 117000
1400/08/22, 112210, 118250
1400/08/19, 115010, 117480
1400/08/18, 114210, 116500
1400/08/17, 110090, 116910
1400/08/16, 108500, 114900
1400/08/15, 110510, 116740
1400/08/12, 109310, 114000
1400/08/11, 109210, 116950
1400/08/10, 110070, 115850
1400/08/09, 108510, 113000
1400/08/08, 112160, 117000
1400/08/05, 112000, 116730
1400/08/04, 109310, 115870
1400/08/03, 109350, 114950
1400/08/01, 112310, 116420
1400/07/28, 117000, 119700
1400/07/27, 116500, 119110
1400/07/26, 115000, 119500
1400/07/25, 115220, 120750
1400/07/24, 112000, 116440
1400/07/21, 110310, 115550
1400/07/20, 112650, 119350
1400/07/19, 116450, 119400
1400/07/18, 116000, 119500
1400/07/17, 116100, 121990
1400/07/14, 118000, 121340
1400/07/12, 118000, 122000
1400/07/11, 118000, 124390
1400/07/10, 117980, 122220
1400/07/07, 112820, 116940
1400/07/06, 110820, 112900
1400/07/04, 109000, 113490
1400/07/03, 108860, 111990
1400/06/31, 103680, 111300
1400/06/30, 105500, 111700
1400/06/29, 107960, 111000
1400/06/28, 105570, 110930
1400/06/27, 108500, 111980
1400/06/24, 109500, 113000
1400/06/23, 109800, 116000
1400/06/22, 108270, 116000
1400/06/21, 108000, 116000
1400/06/20, 112010, 117000
1400/06/17, 108200, 114800
1400/06/16, 107750, 110520
1400/06/15, 109780, 112900
1400/06/14, 110000, 113000
1400/06/13, 109230, 112900
1400/06/10, 103070, 110450
1400/06/09, 103060, 111380
1400/06/08, 108160, 113830
1400/06/07, 112070, 116000
1400/06/06, 114300, 116100
1400/06/03, 114510, 119780
1400/06/02, 114330, 118240
1400/06/01, 113880, 124500
1400/05/31, 117360, 121650
1400/05/24, 114100, 117980
1400/05/23, 108750, 119050
1400/05/20, 112310, 115940
1400/05/19, 105730, 110980
1400/05/18, 102200, 108190
1400/05/17, 100010, 105690
1400/05/16, 99100, 105860
1400/05/13, 101420, 104900
1400/05/12, 96000, 101120
1400/05/11, 93870, 99980
1400/05/10, 96790, 99990
1400/05/09, 93520, 95590
1400/05/06, 85010, 92990
1400/05/05, 86610, 89060
1400/05/04, 84820, 84820
1400/04/28, 79510, 81790
1400/04/27, 79380, 82140
1400/04/26, 80110, 82500
1400/04/23, 79300, 82500
1400/04/22, 79270, 81500
1400/04/21, 80110, 82490
1400/04/20, 77670, 80890
1400/04/19, 77670, 79480
1400/04/16, 77550, 79500
1400/04/15, 78590, 80490
1400/04/14, 77020, 79880
1400/04/13, 75580, 78600
1400/04/12, 76000, 79370
1400/04/09, 77150, 79500
1400/04/08, 73500, 77310
1400/04/07, 72800, 74570
1400/04/06, 72000, 74600
1400/04/05, 71220, 75020
1400/04/02, 70000, 72500
1400/04/01, 71170, 72420
1400/03/31, 70520, 71820
1400/03/30, 70120, 72400
1400/03/29, 69390, 72390
1400/03/26, 68600, 70280
1400/03/25, 67010, 70140
1400/03/24, 67650, 69840
1400/03/23, 67020, 69940
1400/03/22, 67830, 70000
1400/03/19, 68180, 70120
1400/03/18, 68050, 70500
1400/03/17, 69010, 71000
1400/03/12, 67500, 70930
1400/03/11, 67550, 69950
1400/03/10, 66500, 69160
1400/03/09, 68110, 71100
1400/03/08, 66700, 68340
1400/03/05, 63510, 66590
1400/03/04, 62810, 65630
1400/03/03, 62710, 66000
1400/03/02, 62650, 67740
1400/03/01, 64860, 67000
1400/02/29, 67000, 69700
1400/02/28, 68310, 71000
1400/02/27, 68260, 71910
1400/02/26, 70490, 75710
1400/02/25, 70600, 76000
1400/02/22, 72400, 78000
1400/02/18, 84720, 87800
1400/02/15, 79100, 85030
1400/02/13, 78120, 80910
1400/02/12, 78710, 83000
1400/02/11, 80000, 82290
1400/02/08, 77500, 81300
1400/02/07, 76700, 80200
1400/02/06, 76010, 79450
1400/02/05, 76140, 78490
1400/02/04, 76510, 79620
1400/02/01, 77350, 79900
1400/01/31, 77800, 80000
1400/01/30, 77880, 80900
1400/01/29, 78460, 80040
1400/01/28, 79060, 79980
1400/01/25, 79550, 83000
1400/01/24, 79000, 81540
1400/01/23, 76990, 78790
1400/01/22, 77290, 78660
1400/01/21, 78030, 79800
1400/01/18, 78360, 80510
1400/01/17, 79010, 81800
1400/01/16, 78200, 80300
1400/01/15, 78760, 78760
1400/01/14, 79750, 82000
1400/01/11, 81010, 81980
1400/01/10, 79310, 83000
1400/01/08, 80780, 82500
1400/01/07, 81160, 82960
1399/12/27, 81910, 84210
1399/12/26, 81220, 86100
1399/12/25, 77510, 83220
1399/12/24, 77850, 79900
1399/12/23, 73120, 77430
1399/12/20, 71110, 73980
1399/12/19, 70500, 73090
1399/12/18, 65830, 69750
1399/12/17, 64550, 67000
1399/12/16, 64270, 65900
1399/12/13, 64310, 67690
1399/12/12, 64450, 67960
1399/12/11, 63110, 67990
1399/12/10, 63310, 63980
1399/12/09, 63880, 64600
1399/12/06, 64410, 68200
1399/12/05, 63510, 66690
1399/12/04, 64300, 65190
1399/12/03, 65350, 66660
1399/12/02, 66660, 68550
1399/11/29, 67270, 68860
1399/11/28, 68450, 70750
1399/11/27, 69400, 71350
1399/11/26, 70310, 72230
1399/11/25, 70630, 73940
1399/11/21, 68400, 71660
1399/11/20, 66900, 70080
1399/11/19, 65390, 68790
1399/11/18, 65460, 72300
1399/11/15, 67020, 71450
1399/11/14, 68850, 71990
1399/11/13, 68900, 71990
1399/11/12, 70340, 74250
1399/11/11, 69800, 73000
1399/11/08, 68360, 72400
1399/11/07, 69890, 74900
1399/11/06, 69980, 75000
1399/11/05, 70050, 75490
1399/11/04, 71520, 74420
1399/11/01, 68760, 72900
1399/10/30, 68160, 72890
1399/10/29, 71690, 72020
1399/10/27, 75430, 79370
1399/10/24, 77500, 81450
1399/10/23, 78820, 82060
1399/10/22, 80340, 83800
1399/10/21, 80110, 83370
1399/10/20, 79000, 84480
1399/10/17, 80210, 85700
1399/10/16, 82600, 86890
1399/10/15, 82210, 86480
1399/10/14, 80710, 84000
1399/10/13, 80570, 83650
1399/10/10, 81930, 86300
1399/10/09, 82100, 85940
1399/10/08, 84000, 88500
1399/10/07, 86130, 89500
1399/10/06, 88000, 92000
1399/10/03, 87430, 90000
1399/10/02, 86100, 88910
1399/10/01, 85400, 89300
1399/09/30, 83550, 87670
1399/09/29, 81220, 83660
1399/09/26, 75260, 81890
1399/09/25, 78130, 80500
1399/09/24, 81630, 86450
1399/09/23, 84370, 88900
1399/09/22, 81150, 89690
1399/09/19, 84900, 88300
1399/09/18, 86750, 90390
1399/09/17, 89000, 95250
1399/09/16, 91740, 95480
1399/09/15, 87370, 91730
1399/09/12, 85000, 89000
1399/09/11, 84000, 89000
1399/09/10, 84010, 88100
1399/09/09, 81500, 86000
1399/09/08, 80400, 83900
1399/09/05, 80600, 84970
1399/09/04, 81620, 85000
1399/09/03, 80260, 84900
1399/09/02, 78780, 83200
1399/09/01, 80010, 85390
1399/08/28, 82000, 84580
1399/08/27, 80030, 82360
1399/08/26, 76640, 81990
1399/08/25, 79000, 83370
1399/08/24, 76980, 79850
1399/08/21, 73200, 77620
1399/08/20, 73740, 77800
1399/08/19, 70620, 75500
1399/08/18, 73080, 75500
1399/08/17, 76920, 76920
1399/08/14, 74520, 81150
1399/08/12, 72130, 77400
1399/08/11, 72650, 78990
1399/08/10, 73780, 77460
1399/08/07, 70400, 75660
1399/08/06, 70400, 76990
1399/08/05, 73990, 76000
1399/08/03, 76670, 78490
1399/07/30, 77590, 81020
1399/07/29, 76940, 80980
1399/07/28, 79760, 83000
1399/07/27, 83420, 89900
1399/07/23, 85450, 92000
1399/07/22, 88000, 92000
1399/07/21, 89450, 93980
1399/07/20, 91000, 97820
1399/07/19, 92460, 96400
1399/07/16, 95000, 100440
1399/07/15, 93070, 100460
1399/07/14, 95640, 98950
1399/07/13, 100010, 106380
1399/07/12, 101000, 105530
1399/07/09, 98280, 101320
1399/07/08, 92440, 97060
1399/07/07, 92070, 97500
1399/07/06, 96060, 101310
1399/07/05, 98270, 101310
1399/07/02, 93030, 96560
1399/07/01, 88070, 92470
1399/06/31, 84110, 91000
1399/06/30, 87430, 91590
1399/06/29, 89350, 95100
1399/06/26, 90800, 95340
1399/06/25, 88120, 90830
1399/06/24, 82300, 86650
1399/06/23, 79870, 86000
1399/06/22, 81000, 82070
1399/06/19, 71610, 78690
1399/06/18, 74490, 81310
1399/06/17, 77710, 82500
1399/06/16, 78030, 83000
1399/06/15, 77640, 80050
1399/06/12, 73950, 78790
1399/06/11, 77640, 79960
1399/06/10, 79780, 88140
1399/06/05, 84150, 84150
1399/06/04, 81000, 81690
1399/06/03, 76710, 84000
1399/06/02, 79230, 81600
1399/06/01, 82840, 90000
1399/05/29, 85880, 92150
1399/05/28, 86000, 92150
1399/05/27, 83990, 90000
1399/05/26, 88380, 90000
1399/05/25, 92330, 97180
1399/05/22, 93420, 103200
1399/05/21, 98310, 100000
1399/05/20, 96360, 106490
1399/05/19, 93010, 102460
1399/05/15, 96510, 99910
1399/05/14, 95030, 102850
1399/05/13, 97960, 97960
