date, min_price, max_price
1402/03/03, 4200, 4430
1402/03/02, 4150, 4308
1402/03/01, 4070, 4182
1402/02/31, 4054, 4185
1402/02/30, 4033, 4306
1402/02/27, 4034, 4179
1402/02/25, 3928, 4250
1402/02/24, 4053, 4302
1402/02/23, 4266, 4266
1402/02/20, 4380, 4740
1402/02/19, 4610, 4700
1402/02/18, 4850, 4850
1402/02/17, 5020, 5390
1402/02/16, 5080, 5330
1402/02/13, 4990, 5240
1402/02/12, 4950, 5170
1402/02/11, 4980, 5230
1402/02/10, 4990, 5250
1402/02/09, 5060, 5320
1402/02/06, 4801, 5175
1402/02/05, 4806, 5058
1402/02/04, 4851, 5072
1402/01/30, 4670, 4865
1402/01/29, 4479, 4670
1402/01/28, 4326, 4568
1402/01/27, 4356, 4567
1402/01/26, 4322, 4459
1402/01/22, 4160, 4390
1402/01/21, 4247, 4654
1402/01/20, 4240, 4650
1402/01/19, 4323, 4508
1402/01/16, 4043, 4330
1402/01/15, 4006, 4185
1402/01/14, 3810, 4079
1402/01/09, 3850, 4032
1402/01/08, 3776, 3917
1402/01/07, 3580, 3802
1402/01/06, 3555, 3720
1402/01/05, 3650, 3795
1401/12/28, 3630, 3795
1401/12/27, 3725, 3857
1401/12/24, 3616, 3760
1401/12/23, 3530, 3725
1401/12/22, 3622, 3810
1401/12/21, 3681, 3790
1401/12/20, 3838, 4050
1401/12/16, 4010, 4160
1401/12/15, 4090, 4332
1401/12/14, 4020, 4260
1401/12/13, 3853, 4141
1401/12/10, 3800, 3959
1401/12/09, 3630, 3809
1401/12/08, 3589, 3708
1401/12/07, 3664, 3950
1401/12/06, 3770, 3902
1401/12/03, 3496, 3733
1401/12/02, 3471, 3628
1401/12/01, 3470, 3597
1401/11/30, 3351, 3565
1401/11/26, 3390, 3551
1401/11/25, 3477, 3748
1401/11/24, 3598, 3830
1401/11/23, 3705, 3899
1401/11/19, 3850, 3996
1401/11/18, 3832, 4079
1401/11/17, 3923, 3960
1401/11/16, 3930, 4224
1401/11/12, 3950, 4113
1401/11/11, 3804, 4055
1401/11/10, 3890, 4190
1401/11/09, 4063, 4330
1401/11/08, 4228, 4450
1401/11/05, 4218, 4590
1401/11/04, 4270, 4444
1401/11/03, 4094, 4381
1401/11/02, 4138, 4399
1401/11/01, 4294, 4619
1401/10/28, 4460, 4646
1401/10/27, 4522, 4830
1401/10/26, 4500, 4719
1401/10/24, 4355, 4600
1401/10/21, 4320, 4528
1401/10/20, 4445, 4700
1401/10/19, 4530, 4745
1401/10/18, 4331, 4542
1401/10/17, 4188, 4400
1401/10/14, 4139, 4292
1401/10/13, 4046, 4250
1401/10/12, 4180, 4370
1401/10/11, 4164, 4380
1401/10/10, 4070, 4330
1401/10/07, 4030, 4234
1401/10/05, 3807, 4066
1401/10/04, 3803, 3924
1401/10/03, 3770, 3899
1401/09/30, 3767, 3919
1401/09/29, 3754, 3900
