date, min_price, max_price
1402/03/03, 6720, 6880
1402/03/02, 6770, 6930
1402/03/01, 6700, 6990
1402/02/31, 6600, 6970
1402/02/30, 6670, 7190
1402/02/27, 6910, 7170
1402/02/25, 6600, 7150
1402/02/24, 6450, 6820
1402/02/23, 6310, 7180
1402/02/20, 6670, 7590
1402/02/19, 6880, 7580
1402/02/18, 7390, 7630
1402/02/17, 7830, 8530
1402/02/16, 8290, 8580
1402/02/13, 8240, 8480
1402/02/12, 8300, 8630
1402/02/11, 8080, 8540
1402/02/10, 8230, 8700
1402/02/09, 8180, 8740
1402/02/06, 8130, 8820
1402/02/05, 8100, 8380
1402/02/04, 7700, 8170
1402/01/30, 7800, 8330
1402/01/29, 7950, 8670
1402/01/28, 8010, 8220
1402/01/27, 7380, 7860
1402/01/26, 7090, 7380
1402/01/22, 6450, 7220
1402/01/21, 6650, 7280
1402/01/20, 6900, 7220
1402/01/19, 6550, 7130
1402/01/16, 6390, 6820
1402/01/15, 6450, 6930
1402/01/14, 6370, 6890
1402/01/09, 6330, 6700
1402/01/08, 6300, 6550
1402/01/07, 6080, 6440
1402/01/06, 6070, 6390
1402/01/05, 6160, 6680
1401/12/28, 6210, 6570
1401/12/27, 6000, 6400
1401/12/24, 5700, 6130
1401/12/23, 5670, 5840
1401/12/22, 5610, 5920
1401/12/21, 5700, 5940
1401/12/20, 5800, 6120
1401/12/16, 5600, 5780
1401/12/15, 5550, 5750
1401/12/14, 5500, 5750
1401/12/13, 5300, 5660
1401/12/10, 5430, 5690
1401/12/09, 5450, 5670
1401/12/08, 5410, 5790
1401/12/07, 5400, 5990
1401/12/06, 5500, 5680
1401/12/03, 5150, 5429
1401/12/02, 5290, 5550
1401/12/01, 4959, 5267
1401/11/30, 4773, 4975
1401/11/26, 4750, 4896
1401/11/25, 4780, 4930
1401/11/24, 4820, 4987
1401/11/23, 4850, 5035
1401/11/19, 4911, 5050
1401/11/18, 4841, 4960
1401/11/17, 4720, 4931
1401/11/16, 4756, 4940
1401/11/12, 4860, 5100
