date, min_price, max_price
1402/03/03, 3379, 3500
1402/03/02, 3312, 3550
1402/03/01, 3288, 3448
1402/02/31, 3151, 3299
1402/02/30, 3150, 3377
1402/02/27, 3201, 3349
1402/02/25, 3064, 3290
1402/02/24, 3040, 3201
1402/02/23, 2976, 3189
1402/02/20, 3138, 3569
1402/02/19, 3335, 3499
1402/02/18, 3585, 3679
1402/02/17, 3824, 4070
1402/02/16, 4050, 4198
1402/02/13, 4018, 4253
1402/02/12, 4030, 4253
1402/02/11, 3912, 4130
1402/02/10, 3981, 4150
1402/02/09, 3888, 4090
1402/02/06, 3750, 3999
1402/02/05, 3658, 3966
1402/02/04, 3601, 3850
1402/01/30, 3730, 3940
1402/01/29, 3731, 3944
1402/01/28, 3591, 3777
1402/01/27, 3626, 3870
1402/01/26, 3620, 3724
1402/01/22, 3330, 3555
1402/01/21, 3270, 3600
1402/01/20, 3400, 3596
1402/01/19, 3461, 3650
1402/01/16, 3269, 3570
1402/01/15, 3206, 3401
1402/01/14, 2998, 3236
1402/01/09, 3006, 3220
1402/01/08, 2994, 3140
1402/01/07, 2813, 3060
1402/01/06, 2724, 3122
1402/01/05, 2853, 2983
1401/12/28, 2852, 2960
1401/12/27, 2820, 2960
1401/12/24, 2758, 2849
1401/12/23, 2501, 2732
1401/12/22, 2505, 2649
1401/12/21, 2571, 2701
1401/12/20, 2720, 2839
1401/12/16, 2704, 2803
1401/12/15, 2659, 2769
1401/12/14, 2760, 2885
1401/12/13, 2710, 2909
1401/12/10, 2749, 2884
1401/12/09, 2676, 2830
1401/12/08, 2680, 2882
1401/12/07, 2650, 2838
1401/12/06, 2500, 2673
1401/12/03, 2498, 2499
1401/11/19, 2927, 3069
1401/11/18, 2940, 3096
1401/11/17, 2900, 3036
1401/11/16, 2890, 3163
1401/11/12, 2892, 3090
1401/11/11, 2981, 3130
1401/11/10, 2937, 3170
1401/11/09, 3145, 3327
1401/11/08, 3303, 3577
1401/11/05, 3370, 3789
1401/11/04, 3410, 3800
1401/11/03, 3471, 3848
1401/11/02, 3510, 3860
1401/11/01, 3712, 4070
1401/10/28, 3910, 4128
1401/10/27, 3800, 4150
1401/10/26, 3852, 4013
1401/10/24, 3561, 3807
1401/10/21, 3267, 3645
1401/10/20, 3350, 3500
1401/10/19, 3209, 3381
1401/10/18, 3242, 3408
1401/10/17, 3161, 3333
1401/10/14, 3108, 3293
1401/10/13, 3200, 3420
1401/10/12, 3240, 3443
1401/10/11, 3168, 3354
1401/10/10, 2954, 3274
1401/10/07, 3083, 3284
1401/10/05, 2968, 3173
1401/10/04, 2855, 2970
1401/10/03, 2681, 2839
1401/09/30, 2630, 2720
1401/09/29, 2587, 2690
1401/09/28, 2650, 2740
1401/09/27, 2675, 2797
1401/09/26, 2621, 2760
1401/09/23, 2630, 2768
1401/09/22, 2691, 2768
1401/09/21, 2600, 2740
1401/09/20, 2444, 2640
1401/09/19, 2414, 2565
1401/09/16, 2400, 2564
1401/09/15, 2448, 2515
1401/09/14, 2430, 2568
1401/09/13, 2435, 2563
1401/09/12, 2450, 2516
1401/09/09, 2497, 2579
1401/09/08, 2420, 2576
1401/09/07, 2504, 2624
1401/09/06, 2501, 2642
1401/09/05, 2440, 2598
1401/09/02, 2436, 2539
1401/09/01, 2400, 2508
1401/08/30, 2418, 2496
1401/08/29, 2373, 2490
1401/08/28, 2327, 2440
1401/08/25, 2273, 2431
1401/08/24, 2246, 2366
1401/08/23, 2255, 2466
1401/08/22, 2388, 2527
1401/08/21, 2427, 2520
1401/08/18, 2322, 2479
1401/08/17, 2350, 2618
1401/08/16, 2340, 2513
1401/08/15, 2310, 2410
