date, min_price, max_price
1402/03/03, 16650, 17320
1402/03/02, 16650, 17500
1402/03/01, 17010, 17670
1402/02/31, 15720, 17000
1402/02/30, 16300, 17750
1402/02/27, 16500, 17500
1402/02/25, 16010, 17140
1402/02/24, 15890, 16670
1402/02/23, 15220, 16740
1402/02/20, 15680, 17630
1402/02/19, 16530, 17770
1402/02/18, 17770, 17770
1402/02/17, 18850, 20850
1402/02/16, 18840, 20390
1402/02/13, 18600, 19640
1402/02/12, 17790, 19130
1402/02/11, 17650, 18650
1402/02/10, 17960, 18420
1402/02/09, 17600, 18350
1402/02/06, 17500, 18240
1402/02/05, 17730, 18840
1402/02/04, 17670, 18840
1402/01/30, 18240, 19800
1402/01/29, 17660, 18870
1402/01/28, 16910, 18140
1402/01/27, 16580, 17900
1402/01/26, 16400, 16830
1402/01/22, 14760, 16190
1402/01/21, 14760, 15990
1402/01/20, 15600, 16350
1402/01/19, 15710, 16590
1402/01/16, 15050, 15960
1402/01/15, 15550, 16590
1402/01/14, 14710, 16330
1402/01/09, 14630, 15350
1402/01/08, 13970, 14600
1402/01/07, 13000, 14270
1402/01/06, 13460, 14900
1402/01/05, 13860, 14790
1401/12/28, 13410, 14190
1401/12/27, 13260, 13900
1401/12/24, 13000, 13440
1401/12/23, 12850, 13290
1401/12/22, 12900, 13720
1401/12/21, 13200, 13210
1401/12/20, 12350, 12350
1401/12/02, 22450, 23800
1401/12/01, 22250, 23700
1401/11/30, 21800, 22550
1401/11/26, 21800, 22700
1401/11/25, 22250, 23800
1401/11/24, 22950, 24200
1401/11/23, 22550, 23850
1401/11/19, 21850, 22950
1401/11/18, 21500, 23000
1401/11/17, 20850, 22250
1401/11/16, 21750, 23350
1401/11/12, 22600, 23800
1401/11/11, 23050, 24300
1401/11/10, 22550, 25000
1401/11/09, 24100, 25650
1401/11/08, 25650, 27050
1401/11/05, 26100, 28400
1401/11/04, 25800, 27550
1401/11/03, 24700, 26700
1401/11/02, 24450, 26850
1401/11/01, 25850, 27300
1401/10/28, 27050, 28400
1401/10/27, 26950, 28600
1401/10/26, 26400, 27550
1401/10/24, 25150, 27500
1401/10/21, 25000, 26850
1401/10/20, 24350, 26400
1401/10/19, 25000, 26150
1401/10/18, 25150, 26650
1401/10/17, 24400, 27000
1401/10/14, 26100, 27650
1401/10/13, 27050, 28650
1401/10/12, 25650, 26900
1401/10/11, 24200, 25450
1401/10/10, 23000, 23800
1401/10/07, 21100, 22700
1401/10/05, 20700, 21850
1401/10/04, 20650, 22500
1401/10/03, 19950, 22000
1401/09/30, 20210, 21200
1401/09/29, 18900, 20520
1401/09/28, 18920, 19890
1401/09/27, 19190, 20080
1401/09/26, 19030, 19700
1401/09/23, 19050, 19880
1401/09/16, 18250, 18690
1401/09/15, 17850, 18720
1401/09/14, 18230, 19240
1401/09/13, 18900, 19390
1401/09/12, 19030, 19950
1401/09/09, 19110, 19690
1401/09/08, 18820, 19670
1401/09/07, 18920, 20400
1401/09/06, 19060, 20500
1401/09/05, 18670, 19370
1401/09/02, 17600, 18700
1401/09/01, 17160, 17800
1401/08/30, 17360, 17790
1401/08/29, 17300, 18080
1401/08/28, 16800, 17840
1401/08/25, 17300, 17980
1401/08/24, 17530, 18000
1401/08/23, 17010, 18200
1401/08/22, 17410, 18200
1401/08/21, 17780, 18600
1401/08/18, 17370, 18300
1401/08/17, 17830, 18820
1401/08/16, 17440, 18240
1401/08/15, 17250, 17740
1401/08/14, 17010, 17790
1401/08/11, 16500, 17740
1401/08/10, 17010, 17580
1401/08/09, 17240, 17980
1401/08/08, 16480, 17920
1401/08/07, 16660, 18300
1401/08/04, 16890, 18150
1401/08/03, 17240, 18580
1401/08/02, 17950, 19180
1401/08/01, 17570, 19000
1401/07/30, 17300, 18450
1401/07/27, 17920, 18450
1401/07/26, 17400, 18160
1401/07/25, 16630, 17680
1401/07/24, 16240, 17010
1401/07/23, 16060, 16900
1401/07/20, 15900, 16780
1401/07/19, 15410, 16190
1401/07/18, 15280, 15920
1401/07/17, 15480, 16780
1401/07/16, 16060, 17270
1401/07/12, 16400, 17190
1401/07/11, 16010, 17200
1401/07/10, 15870, 16600
1401/07/09, 16070, 17370
1401/07/06, 16700, 17770
1401/07/04, 16110, 17950
1401/07/02, 16840, 17950
1401/06/22, 17900, 18490
1401/06/21, 17910, 18600
1401/06/20, 17860, 18790
1401/06/19, 17700, 19200
1401/06/16, 18400, 19290
1401/06/15, 18970, 19390
1401/06/14, 17750, 19170
1401/06/13, 18300, 19030
1401/06/12, 18230, 18900
1401/06/09, 17780, 18450
1401/06/08, 17770, 19390
1401/06/07, 18920, 19480
1401/06/06, 18610, 19290
1401/06/05, 18820, 19920
1401/06/02, 18000, 19350
1401/06/01, 18150, 18480
1401/05/31, 17970, 18400
1401/05/30, 18000, 18700
1401/05/29, 17560, 19000
1401/05/26, 18000, 18500
1401/05/25, 17400, 18300
1401/05/24, 17140, 18500
1401/05/23, 17100, 18170
1401/05/22, 17300, 18280
1401/05/19, 17170, 18150
1401/05/18, 17500, 18490
1401/05/15, 17810, 19000
1401/05/12, 17960, 19250
1401/05/11, 17800, 18690
1401/05/10, 17500, 18260
1401/05/09, 16830, 17700
1401/05/08, 16640, 17800
1401/05/05, 17220, 18360
1401/05/04, 18060, 19190
1401/05/03, 18180, 19690
1401/05/02, 18860, 19840
1401/05/01, 17900, 18800
1401/04/25, 17000, 18630
1401/04/22, 17210, 18400
1401/04/21, 17800, 19290
1401/04/20, 18800, 21200
1401/04/13, 19800, 20600
1401/04/12, 19450, 20900
1401/04/11, 19850, 21000
1401/04/08, 20400, 21700
1401/04/07, 20650, 21750
1401/04/06, 19550, 20950
1401/04/05, 19400, 20600
1401/04/04, 19700, 21000
1401/04/01, 19800, 21050
1401/03/31, 20800, 21900
1401/03/30, 21400, 22900
1401/03/29, 21450, 22500
1401/03/28, 21200, 22600
1401/03/25, 21400, 22800
1401/03/24, 20250, 22250
1401/03/23, 20450, 21500
1401/03/22, 19100, 20400
1401/03/21, 19150, 20200
1401/03/18, 19900, 21350
1401/03/17, 19900, 21800
1401/03/16, 20300, 21400
1401/03/11, 18550, 20380
1401/03/10, 18800, 19640
1401/03/09, 19120, 20550
1401/03/08, 19670, 20760
1401/03/07, 18550, 19920
1401/03/04, 18350, 19300
1401/03/03, 18450, 19700
1401/03/02, 19250, 20650
1401/03/01, 20050, 21150
1401/02/31, 20550, 21500
1401/02/28, 20350, 21250
1401/02/27, 20700, 21950
1401/02/26, 20800, 21800
1401/02/25, 20850, 22300
1401/02/24, 21000, 22650
1401/02/21, 21900, 23050
1401/02/20, 22000, 23000
1401/02/19, 22500, 23550
1401/02/18, 20750, 22800
1401/02/17, 21200, 22150
1401/02/12, 21200, 22250
1401/02/11, 21400, 23000
1401/02/10, 21800, 22950
1401/02/07, 21600, 23000
1401/02/06, 22200, 23850
1401/02/05, 21900, 23100
1401/02/04, 21100, 23100
1401/01/31, 21200, 22980
1401/01/30, 20500, 22030
1401/01/29, 20050, 20860
1401/01/28, 18540, 20200
1401/01/27, 19200, 19530
1401/01/24, 17500, 18780
1401/01/23, 17670, 18680
1401/01/22, 18200, 18900
1401/01/21, 17810, 18500
1401/01/20, 17630, 18490
1401/01/17, 17200, 18550
1401/01/16, 17020, 18300
1401/01/15, 17630, 18850
1401/01/14, 18170, 19090
1401/01/10, 18060, 19460
1401/01/09, 18790, 20180
1401/01/07, 19200, 20350
1401/01/06, 19010, 19930
1400/12/28, 18900, 20100
1400/12/25, 18700, 20370
1400/12/24, 18710, 19540
1400/12/23, 17500, 19150
1400/12/22, 17800, 18250
1400/12/21, 16510, 18230
1400/12/18, 17100, 18400
1400/12/17, 17880, 19040
1400/12/16, 18450, 20200
1400/12/15, 18020, 19900
1400/12/14, 18510, 18970
1400/12/11, 16560, 18300
1400/12/09, 16730, 17910
1400/12/08, 16420, 17120
1400/12/07, 15450, 16380
1400/12/04, 14970, 15870
1400/12/03, 14460, 15710
1400/12/02, 14690, 15800
1400/12/01, 14760, 15160
1400/11/30, 13870, 15320
1400/11/27, 14100, 14740
1400/11/25, 14210, 14210
1400/11/24, 12800, 14140
1400/11/23, 12680, 13660
1400/11/20, 12870, 13500
1400/11/19, 13380, 14190
1400/11/18, 13700, 13700
1400/11/17, 14420, 14680
1400/11/16, 14650, 15350
1400/11/13, 14740, 14740
1400/11/12, 13950, 14040
1400/11/11, 12890, 13900
1400/11/10, 13450, 14140
1400/11/09, 13650, 14740
1400/11/06, 14120, 14800
1400/11/05, 14230, 14230
1400/11/04, 14640, 15380
1400/11/03, 15080, 16050
1400/11/02, 15300, 16200
1400/10/29, 15640, 16060
1400/10/28, 15010, 16200
1400/10/27, 15000, 16120
1400/10/26, 15050, 16200
1400/10/25, 15670, 16800
1400/10/22, 16020, 16540
1400/10/21, 15620, 15770
1400/10/20, 14730, 15870
1400/10/19, 15430, 15980
1400/10/18, 15830, 17090
1400/10/15, 15637, 17273
1400/10/14, 16407, 17201
1400/10/13, 16712, 17800
1400/10/12, 17072, 17970
1400/10/06, 17695, 18940
1400/10/05, 18200, 19998
1400/10/04, 18700, 19229
1400/10/01, 17720, 18880
1400/09/30, 17901, 19505
