date, min_price, max_price
1402/02/27, 18350, 19490
1402/02/25, 17440, 18850
1402/02/24, 17100, 17980
1402/02/23, 17350, 18650
1402/02/20, 17750, 19600
1402/02/19, 17000, 19150
1402/02/18, 17750, 18200
1402/02/17, 18850, 20100
1402/02/16, 19900, 20900
1402/02/13, 20350, 21200
1402/02/12, 20200, 21500
1402/02/11, 20550, 22100
1402/02/10, 21100, 22350
1402/02/05, 19540, 21100
1402/02/04, 19240, 20500
1402/01/30, 19480, 21350
1402/01/29, 18500, 20210
1402/01/28, 18210, 19300
1402/01/27, 18500, 19500
1402/01/26, 18000, 18570
1402/01/22, 16210, 18000
1402/01/21, 16100, 17500
1402/01/20, 16000, 16970
1402/01/19, 15280, 15880
1402/01/16, 14050, 15220
1402/01/15, 14000, 14580
1402/01/14, 13700, 14320
1402/01/09, 13850, 14300
1402/01/08, 13750, 14110
1402/01/07, 13460, 14500
1402/01/06, 13690, 14200
1402/01/05, 13880, 14480
1401/12/28, 14190, 14940
1401/12/27, 13960, 14340
1401/12/24, 12860, 13490
1401/12/23, 12000, 12800
1401/12/22, 12000, 12880
1401/12/21, 12130, 12790
1401/12/20, 12260, 13240
1401/12/16, 12450, 13000
1401/12/15, 12250, 12590
1401/12/14, 12220, 12610
1401/12/13, 12180, 12520
1401/12/10, 12260, 12990
1401/12/09, 12350, 13040
1401/12/08, 12100, 13060
1401/12/07, 12180, 13130
1401/12/06, 11550, 12290
1401/12/03, 11010, 11570
1401/12/02, 11050, 11560
1401/12/01, 10290, 10840
1401/11/30, 9800, 10200
1401/11/26, 9750, 10210
1401/11/25, 9970, 10800
1401/11/24, 10470, 10820
1401/11/23, 9740, 10470
1401/11/19, 9890, 10190
1401/11/18, 9970, 10280
1401/11/17, 9870, 10480
1401/11/16, 9810, 10500
1401/11/12, 10230, 10560
1401/11/11, 10210, 10790
1401/11/10, 9600, 10300
1401/11/09, 9910, 10400
1401/11/08, 10210, 10590
1401/11/05, 10250, 10860
1401/11/04, 10740, 11030
1401/11/03, 10760, 11390
1401/11/02, 10710, 11050
1401/11/01, 10700, 11300
1401/10/28, 11000, 11500
1401/10/27, 11110, 11670
1401/10/26, 11370, 11660
1401/10/24, 11210, 11780
1401/10/21, 11400, 12140
1401/10/20, 11350, 12140
1401/10/19, 11050, 11590
1401/10/18, 10850, 11570
1401/10/17, 10630, 11150
1401/10/14, 10500, 11020
1401/10/13, 10450, 11240
1401/10/12, 10250, 10980
1401/10/11, 10210, 10800
1401/10/10, 10370, 11100
1401/10/07, 10500, 11280
1401/10/05, 10030, 10920
1401/10/04, 10400, 11180
1401/10/03, 10510, 11240
1401/08/16, 43400, 45300
1401/08/15, 42200, 44650
1401/08/14, 43000, 44400
1401/08/11, 41550, 43300
1401/08/10, 41250, 43200
1401/08/09, 39400, 42150
1401/08/08, 39550, 41000
1401/08/07, 40000, 41200
1401/08/04, 39800, 41700
1401/08/03, 40500, 42350
1401/08/02, 40850, 43150
1401/08/01, 41400, 42300
1401/07/30, 40300, 42300
1401/07/27, 40950, 41550
1401/07/26, 41200, 42000
1401/07/25, 41250, 42350
1401/07/24, 40850, 42000
1401/07/23, 41200, 42600
1401/07/20, 41000, 42300
1401/07/19, 41050, 43400
1401/07/18, 40400, 42000
1401/07/17, 40200, 43450
1401/07/16, 40850, 44000
1401/07/12, 41400, 42950
1401/07/11, 41400, 44100
1401/07/10, 42100, 43350
1401/07/09, 42000, 43800
1401/07/06, 42000, 43950
1401/07/04, 40350, 43600
1401/07/02, 41800, 43800
1401/06/30, 42650, 43750
1401/06/29, 43500, 44950
1401/06/28, 42000, 45150
1401/06/27, 43150, 44250
1401/06/23, 42050, 43950
1401/06/22, 42000, 43200
1401/06/21, 42000, 43300
1401/06/20, 40400, 44000
1401/06/19, 42950, 44000
1401/06/16, 44450, 45950
1401/06/15, 44800, 46000
1401/06/14, 44000, 46000
1401/06/13, 44500, 46150
1401/06/12, 44350, 45650
1401/06/09, 46000, 47400
1401/06/08, 46000, 47050
1401/06/07, 45350, 47000
1401/06/06, 44500, 46500
1401/06/05, 46200, 48700
1401/06/02, 45700, 48750
1401/06/01, 44550, 46450
1401/05/31, 42600, 46200
1401/05/30, 44250, 44950
1401/05/29, 44100, 46000
1401/05/26, 44100, 46100
1401/05/25, 42850, 45900
1401/05/24, 41200, 44650
1401/05/23, 40900, 43650
1401/05/22, 40800, 42400
1401/05/19, 39400, 41600
1401/05/18, 39100, 41600
1401/05/15, 37700, 39400
1401/05/12, 37050, 38550
1401/05/11, 36600, 37700
1401/05/10, 36500, 37900
1401/05/09, 36000, 37050
1401/05/08, 36700, 38500
1401/05/05, 36550, 38700
1401/05/04, 36150, 37500
1401/05/03, 35100, 36750
1401/05/02, 35850, 38250
1401/04/25, 41050, 43450
1401/04/22, 41550, 42900
1401/04/21, 41400, 42200
1401/04/20, 42350, 44900
1401/04/18, 44650, 45800
1401/04/15, 44550, 46050
1401/04/14, 45700, 47350
1401/04/13, 46400, 48000
1401/04/12, 46250, 50850
1401/04/11, 49100, 51850
1401/04/08, 51050, 54000
1401/04/07, 50000, 52600
1401/04/06, 48150, 50750
1401/04/05, 48600, 51600
1401/04/04, 46700, 49400
1401/04/01, 46100, 47550
1401/03/31, 46150, 47950
1401/03/30, 46500, 48800
1401/03/29, 47350, 49500
1401/03/28, 47900, 50500
1401/03/25, 49500, 51100
1401/03/24, 48850, 51550
1401/03/23, 48650, 50800
1401/03/22, 48150, 49450
1401/03/21, 48250, 50750
1401/03/18, 48600, 51050
1401/03/17, 47750, 51300
1401/03/16, 48450, 51900
1401/03/11, 50650, 51900
1401/03/10, 50000, 51950
1401/03/09, 51050, 54800
1401/03/08, 52500, 54800
1401/03/07, 51000, 54900
1401/03/04, 52800, 54400
1401/03/03, 53400, 57500
1401/03/02, 53350, 57550
1401/03/01, 55450, 56950
1401/02/31, 56350, 58400
1401/02/28, 55950, 57600
1401/02/27, 57150, 58300
1401/02/26, 57150, 58700
1401/02/25, 56800, 59900
1401/02/24, 56800, 59800
1401/02/21, 57000, 59800
1401/02/20, 56500, 58900
1401/02/19, 55000, 58150
1401/02/18, 54000, 55300
1401/02/17, 52400, 55400
1401/02/12, 53200, 55500
1401/02/11, 53550, 56500
1401/02/10, 52600, 55750
1401/02/07, 54650, 55600
1401/02/06, 53000, 55550
1401/02/05, 53800, 56550
1401/02/04, 50900, 54250
1401/01/31, 50000, 51900
1401/01/30, 49650, 52000
1401/01/29, 49200, 52250
1401/01/28, 48600, 50500
1401/01/27, 47650, 50100
1401/01/24, 47600, 49000
1401/01/23, 47450, 51450
1401/01/22, 49000, 50700
1401/01/21, 49300, 50600
1401/01/20, 47550, 49850
1401/01/17, 48500, 51650
1401/01/16, 48300, 51650
1401/01/15, 49450, 52550
1401/01/14, 51200, 53050
1401/01/10, 52350, 54050
1401/01/09, 50350, 54750
1401/01/07, 49850, 53450
1401/01/06, 49300, 53200
1400/12/28, 48750, 50700
1400/12/25, 47200, 48300
1400/12/24, 45900, 47200
1400/12/23, 43800, 47000
1400/12/22, 44800, 47100
1400/12/21, 47150, 48000
1400/12/18, 47400, 50950
1400/12/17, 48650, 49800
1400/12/16, 49050, 51850
1400/12/15, 48000, 49450
1400/12/14, 45000, 47150
1400/12/11, 44500, 47300
1400/12/09, 45650, 47900
1400/12/08, 45600, 46450
1400/12/07, 44050, 47150
1400/12/04, 45150, 48000
1400/12/03, 45900, 47150
1400/12/02, 44900, 44950
1400/12/01, 43050, 43050
1400/11/30, 38900, 41250
1400/11/27, 38200, 39550
1400/11/25, 38800, 40200
1400/11/24, 38700, 39950
1400/11/23, 39000, 40550
1400/11/20, 38700, 40050
1400/11/19, 38900, 40850
1400/11/18, 37550, 39400
1400/11/17, 38550, 40400
1400/11/16, 39350, 40750
1400/11/13, 39000, 40050
1400/11/12, 39300, 41500
1400/11/11, 38350, 41000
1400/11/10, 39600, 41800
1400/11/09, 38450, 41150
1400/11/06, 38000, 40950
1400/11/05, 38800, 42000
1400/11/04, 39900, 42950
1400/11/03, 40700, 44150
1400/11/02, 42150, 43900
1400/10/27, 42200, 44800
1400/10/26, 41700, 45000
1400/10/25, 43150, 46050
1400/10/22, 43400, 46100
1400/10/21, 42300, 45400
1400/10/20, 42150, 43650
1400/10/19, 42900, 46000
1400/10/18, 44200, 45950
1400/10/15, 43120, 45300
1400/10/14, 43130, 45558
1400/10/13, 43730, 46000
1400/10/12, 45000, 46700
1400/10/11, 43500, 45550
1400/10/08, 42722, 44857
1400/10/07, 41521, 43700
1400/10/06, 40900, 43799
1400/10/05, 40750, 43295
1400/10/04, 39828, 44020
1400/10/01, 40364, 42078
1400/09/30, 38900, 40117
1400/09/29, 36606, 39111
1400/09/28, 36510, 37769
1400/09/27, 36505, 38980
1400/09/24, 36521, 38657
1400/09/23, 36984, 38920
1400/09/22, 37336, 40000
1400/09/21, 38833, 40876
1400/09/20, 40210, 41979
1400/09/17, 40150, 42000
1400/09/16, 40120, 41500
1400/09/15, 40610, 42930
1400/09/14, 40301, 41500
1400/09/13, 40101, 41682
1400/09/10, 40610, 42920
1400/09/09, 40500, 43300
1400/09/08, 41500, 42998
1400/09/07, 41460, 43950
1400/09/06, 42221, 44000
1400/09/03, 42811, 44500
1400/09/02, 43550, 45598
1400/09/01, 43334, 45710
1400/08/30, 43102, 45960
1400/08/29, 43100, 45346
1400/08/26, 43300, 45117
1400/08/25, 43150, 45416
1400/08/24, 44310, 46648
1400/08/23, 43650, 46800
1400/08/22, 43700, 46200
1400/08/19, 45200, 47087
1400/08/18, 44000, 46830
1400/08/17, 44000, 47000
1400/08/16, 44440, 46870
1400/08/15, 45000, 45850
1400/08/12, 43400, 45600
1400/08/11, 42020, 44999
1400/08/10, 40750, 44800
1400/08/09, 42774, 44490
1400/08/08, 44830, 46990
1400/08/05, 45920, 48100
1400/08/04, 47560, 50398
1400/08/03, 48000, 49237
1400/08/01, 49250, 52298
1400/07/28, 50220, 52100
1400/07/27, 50480, 51800
1400/07/26, 49260, 50949
1400/07/25, 48911, 51230
1400/07/24, 49600, 51380
1400/07/21, 47780, 50550
1400/07/20, 48513, 52170
1400/07/19, 50150, 52100
1400/07/18, 50000, 51830
1400/07/17, 50650, 55000
1400/07/14, 52710, 54287
1400/07/12, 50390, 52848
1400/07/11, 49420, 52790
1400/07/10, 50870, 51819
1400/07/07, 48423, 52000
1400/07/06, 49610, 53000
1400/07/04, 50440, 53000
1400/07/03, 51310, 53160
1400/06/31, 49500, 53390
1400/06/30, 51377, 54000
1400/06/29, 52000, 55370
1400/06/28, 51400, 54080
1400/06/27, 53409, 55141
1400/06/24, 55550, 57420
1400/06/23, 56590, 57999
1400/06/22, 56085, 59360
1400/06/21, 57815, 60590
1400/06/20, 59171, 62530
1400/06/17, 60510, 62470
1400/06/16, 59010, 62380
1400/06/15, 60800, 63030
1400/06/14, 59000, 62902
1400/06/13, 59100, 62137
1400/06/10, 57843, 60270
1400/06/09, 57843, 60400
1400/06/08, 60418, 62980
1400/06/07, 61756, 67400
1400/06/06, 64020, 66370
1400/06/03, 64000, 68000
1400/06/02, 64880, 65868
1400/06/01, 61500, 62977
1400/05/31, 57900, 60790
1400/05/24, 57150, 59400
1400/05/23, 57080, 60741
1400/05/20, 55560, 58342
1400/05/19, 55090, 56200
1400/05/18, 53200, 55300
1400/05/17, 54100, 56000
1400/05/16, 54500, 55694
1400/05/13, 53240, 55150
1400/05/12, 54000, 56500
1400/05/11, 54970, 57740
1400/05/10, 55611, 58000
1400/05/09, 55250, 58680
1400/05/06, 56142, 59096
1400/05/05, 56560, 59160
1400/04/28, 64000, 67899
1400/04/26, 63600, 66341
1400/04/23, 62810, 66200
1400/04/22, 61510, 64000
1400/04/21, 62009, 64000
1400/04/20, 62596, 64960
1400/04/19, 63510, 66190
1400/04/16, 64420, 67410
1400/04/15, 61650, 64485
1400/04/14, 60600, 62500
1400/04/13, 60800, 61910
1400/04/12, 60230, 62690
1400/04/09, 61000, 63670
1400/04/08, 60050, 63300
1400/04/07, 61060, 63260
1400/04/06, 62731, 66270
1400/04/05, 63401, 66450
1400/04/02, 62010, 64590
1400/04/01, 60200, 61879
1400/03/31, 55606, 60188
1400/03/30, 57000, 58400
1400/03/29, 55760, 59552
1400/03/26, 56025, 57279
1400/03/25, 56480, 57380
1400/03/24, 57000, 58400
1400/03/23, 56510, 58000
1400/03/22, 56526, 58759
1400/03/19, 57612, 60750
1400/03/18, 57999, 60831
1400/03/17, 56110, 58361
1400/03/12, 54000, 56500
1400/03/11, 52510, 55960
1400/03/10, 53500, 56310
1400/03/09, 54560, 59999
1400/03/08, 55250, 57694
1400/03/05, 52411, 55022
1400/03/04, 52140, 53750
1400/03/03, 48844, 53041
1400/03/02, 50003, 52000
1400/03/01, 52412, 53859
1400/02/29, 53746, 55980
1400/02/28, 54912, 56000
1400/02/27, 54988, 57501
1400/02/26, 57010, 58599
1400/02/25, 56840, 58550
1400/02/22, 56522, 59400
1400/02/21, 56720, 58800
1400/02/20, 55300, 58700
1400/02/19, 55001, 56310
1400/02/18, 56328, 56980
1400/02/15, 56811, 59480
1400/02/13, 57448, 59850
1400/02/12, 59059, 61780
1400/02/11, 60365, 62880
1400/02/08, 61051, 64840
1400/02/07, 60000, 64980
1400/02/06, 61464, 62893
1400/02/05, 62893, 63000
1400/02/04, 63547, 63615
1400/02/01, 63948, 66200
1400/01/31, 64917, 66860
1400/01/30, 65616, 66990
1400/01/29, 66651, 67855
1400/01/28, 67884, 69800
1400/01/25, 68578, 71500
1400/01/24, 69890, 71000
1400/01/23, 68631, 70150
1400/01/22, 69283, 70440
1400/01/21, 70648, 72100
1400/01/18, 71863, 72900
1400/01/17, 72343, 74920
1400/01/16, 73098, 74500
1400/01/15, 74317, 75749
1400/01/14, 75379, 78020
1400/01/11, 72003, 77107
1400/01/10, 72000, 73998
1400/01/08, 72501, 74499
1400/01/07, 71070, 74550
1399/12/27, 71001, 72511
1399/12/26, 69270, 72500
1399/12/25, 70000, 72250
1399/12/24, 69500, 72500
1399/12/23, 69200, 70300
1399/12/20, 69104, 71878
1399/12/19, 70356, 72510
1399/12/18, 71212, 72500
1399/12/17, 70200, 72400
1399/12/16, 70000, 72089
1399/12/13, 69693, 71700
1399/12/12, 69553, 72560
1399/12/11, 69450, 71549
1399/12/10, 68300, 71200
1399/12/09, 67990, 71412
1399/12/06, 68010, 71250
1399/12/05, 67432, 70111
1399/12/04, 68786, 69800
1399/12/03, 67910, 71390
1399/12/02, 67851, 69760
1399/11/29, 68930, 70650
1399/11/28, 69200, 71000
1399/11/27, 69580, 72000
1399/11/26, 70549, 73400
1399/11/25, 70810, 75200
1399/11/21, 70240, 73400
1399/11/20, 71003, 74421
1399/11/19, 66501, 72747
1399/11/18, 69241, 71000
1399/11/15, 70500, 75880
1399/11/14, 71100, 74440
1399/11/13, 72600, 76700
1399/11/12, 73851, 77537
1399/11/11, 71003, 74334
1399/11/08, 67600, 72680
1399/11/07, 68200, 73700
1399/11/06, 66810, 72585
1399/11/05, 67804, 72490
1399/11/04, 69500, 73300
1399/11/01, 69000, 73472
1399/10/30, 66526, 70797
1399/10/29, 67021, 69488
1399/10/27, 68932, 74530
1399/10/24, 70030, 74070
1399/10/23, 68500, 75215
1399/10/22, 70591, 74306
1399/10/21, 72900, 76090
1399/10/20, 68120, 74136
1399/10/17, 70128, 74300
1399/10/16, 72158, 75890
1399/10/15, 74510, 78600
1399/10/14, 72180, 78400
1399/10/13, 74460, 78900
1399/10/10, 73510, 82665
1399/10/09, 76622, 93648
1399/10/07, 83980, 87000
1399/10/06, 85500, 92200
1399/10/03, 90160, 98400
1399/10/02, 93001, 101000
1399/10/01, 93500, 104490
1399/09/30, 94580, 106900
1399/09/29, 95000, 101891
1399/09/26, 83510, 97000
1399/09/25, 88425, 96800
1399/09/24, 91160, 104000
1399/09/23, 85145, 98586
1399/09/22, 85156, 94500
1399/09/19, 91334, 99980
1399/09/18, 83940, 92493
1399/09/12, 78500, 95480
1399/09/09, 88434, 88434
1399/09/08, 76815, 80473
1399/09/05, 62100, 74104
1399/09/04, 65601, 70195
1399/09/03, 68970, 72101
1399/09/02, 65000, 72630
1399/09/01, 65414, 73389
1399/08/28, 65000, 69320
1399/08/27, 60150, 66500
1399/08/26, 58660, 63088
1399/08/25, 58700, 63750
1399/08/24, 60000, 62000
1399/08/21, 54000, 59800
1399/08/20, 53900, 60000
1399/08/19, 54020, 59999
1399/08/18, 54627, 58900
1399/08/17, 58172, 63800
1399/08/14, 60540, 62913
1399/08/12, 54961, 60690
1399/08/11, 56129, 57899
1399/08/10, 55181, 60244
1399/08/07, 55178, 57900
1399/08/06, 56381, 59348
1399/08/05, 59243, 63000
1399/08/03, 60979, 64188
1399/07/30, 61650, 64515
1399/07/29, 61007, 64000
1399/07/28, 61824, 63000
1399/07/27, 63105, 68850
1399/07/23, 61000, 66782
1399/07/22, 61182, 65400
1399/07/21, 61000, 64705
1399/07/20, 56184, 62098
1399/07/19, 55360, 60961
1399/07/16, 56500, 61000
1399/07/15, 56600, 60115
1399/07/14, 55320, 59950
1399/07/13, 55274, 60700
1399/07/12, 55306, 58029
1399/07/09, 52001, 56135
1399/07/08, 52948, 57940
1399/07/07, 53751, 56579
1399/07/06, 54572, 58000
1399/07/05, 55490, 60800
1399/07/02, 56441, 58000
1399/07/01, 51900, 57062
1399/06/31, 54161, 58500
1399/06/30, 55050, 58039
1399/06/29, 53539, 55324
1399/06/26, 52690, 52690
1399/06/17, 49869, 54900
1399/06/16, 52250, 55000
1399/06/10, 56177, 61889
1399/06/05, 59133, 59133
1399/06/04, 54500, 58555
1399/06/03, 55703, 59800
1399/06/02, 58553, 62000
1399/06/01, 61205, 66900
1399/05/29, 64261, 66845
1399/05/28, 65000, 68140
1399/05/27, 62670, 66000
1399/05/26, 62400, 67196
1399/05/25, 60749, 67143
1399/05/22, 62527, 66224
1399/05/21, 62526, 65900
1399/05/20, 65056, 68799
1399/05/19, 68000, 71450
1399/05/15, 71307, 72399
1399/05/14, 73150, 79500
1399/05/13, 74000, 80000
1399/05/12, 70440, 77854
1399/05/11, 73010, 74427
1399/05/08, 67047, 74000
1399/05/07, 67583, 70952
1399/05/06, 66263, 71800
1399/05/05, 67100, 73685
1399/05/04, 67200, 70299
1399/05/01, 65816, 70970
1399/04/31, 69237, 70356
1399/04/30, 70330, 77688
1399/04/29, 72001, 74177
1399/04/28, 67700, 70918
1399/04/25, 66200, 70999
1399/04/24, 68024, 74000
1399/04/23, 71564, 72770
1399/04/22, 71253, 78753
1399/04/21, 74542, 76990
1399/04/18, 78286, 81400
1399/04/17, 79000, 83679
1399/04/16, 79695, 79695
1399/04/15, 75206, 75907
1399/04/14, 69841, 73370
1399/04/11, 67960, 71508
1399/04/10, 64857, 68309
1399/04/09, 64857, 67999
1399/04/08, 68044, 71000
1399/04/07, 70000, 73090
1399/04/04, 65873, 72805
1399/04/03, 65587, 70091
1399/04/02, 62800, 68100
1399/04/01, 64267, 67649
1399/03/31, 64000, 67930
1399/03/27, 60255, 66227
1399/03/26, 57731, 63668
1399/03/20, 60637, 60637
1399/03/19, 57750, 57750
1399/03/18, 55000, 55000
1399/03/17, 52381, 52381
1399/03/13, 49908, 49908
1399/03/12, 47010, 47534
1399/03/11, 42606, 47090
1399/03/10, 43500, 46400
1399/03/07, 44217, 45991
1399/03/06, 45038, 46300
1399/03/03, 44516, 48014
1399/02/31, 45728, 45728
1399/02/30, 43501, 43980
1399/02/29, 41000, 41907
1399/02/28, 38410, 42000
1399/02/27, 39475, 42900
1399/02/24, 40812, 44150
1399/02/23, 41980, 42000
1399/02/22, 44107, 46400
1399/02/21, 44860, 48999
1399/02/20, 44005, 47632
1399/02/17, 45364, 45364
1399/02/16, 46349, 51000
1399/02/15, 48627, 50000
1399/02/14, 49760, 51462
1399/02/13, 48558, 49019
1399/02/10, 44555, 48008
1399/02/09, 44982, 48157
1399/02/08, 44010, 47722
1399/02/07, 42064, 46434
1399/02/06, 44223, 44223
1399/02/03, 38888, 42588
1399/02/02, 38700, 40725
1399/02/01, 36013, 39064
1399/01/31, 36865, 38900
1399/01/30, 38001, 39071
1399/01/27, 35500, 37414
1399/01/26, 35000, 36555
1399/01/25, 34570, 38208
1399/01/24, 35000, 36467
1399/01/23, 34496, 36500
1399/01/20, 35000, 36397
1399/01/19, 32300, 35604
1399/01/18, 32400, 35429
1399/01/16, 31501, 32176
1399/01/11, 29250, 31600
1399/01/10, 29200, 30625
1399/01/09, 29245, 29245
1399/01/06, 26900, 28161
1399/01/05, 25941, 27897
1398/12/28, 25500, 27514
1398/12/27, 25942, 27800
1398/12/26, 26913, 29000
1398/12/25, 27435, 27435
1398/12/24, 27961, 29190
1398/12/21, 29367, 30249
1398/12/20, 30254, 30254
1398/12/19, 30489, 30489
1398/12/17, 31713, 31731
1398/12/14, 32260, 34799
1398/12/13, 33249, 33252
1398/12/12, 31500, 31670
1398/12/11, 29430, 30612
1398/12/10, 28830, 30500
1398/12/07, 29062, 31997
1398/12/06, 29600, 30752
1398/12/05, 28499, 29920
1398/12/04, 28070, 28981
1398/12/03, 26958, 28000
1398/11/30, 27517, 29200
1398/11/29, 28014, 29250
1398/11/28, 29267, 31275
1398/11/27, 30026, 30830
1398/11/26, 27841, 29763
1398/11/23, 27270, 28508
1398/11/21, 26839, 28250
1398/11/20, 27000, 29000
1398/11/19, 27800, 28322
1398/11/16, 25507, 27238
1398/11/15, 25682, 26999
1398/11/14, 26000, 27206
1398/11/13, 25350, 26499
1398/11/12, 25570, 27370
1398/11/08, 25800, 27253
1398/11/07, 25510, 26600
1398/11/06, 25715, 27995
1398/11/05, 26500, 27138
1398/11/02, 24140, 25991
1398/11/01, 24400, 25165
1398/10/30, 23800, 24992
1398/10/29, 24500, 26300
1398/10/24, 23500, 24950
1398/10/23, 23741, 25020
1398/10/22, 23201, 24217
1398/10/21, 23064, 23064
1398/10/18, 22612, 22612
1398/10/17, 23032, 24000
1398/10/15, 24244, 24244
1398/10/14, 25519, 25519
1398/10/11, 26161, 27648
1398/10/10, 26904, 28000
1398/10/09, 27760, 28999
1398/10/08, 26200, 28903
1398/10/07, 26600, 27953
1398/10/04, 25500, 26964
1398/10/03, 25173, 26288
1398/10/02, 25915, 27596
1398/10/01, 26303, 27603
1398/09/30, 24852, 26362
1398/09/27, 24275, 25798
1398/09/26, 24602, 26400
1398/09/25, 24641, 25329
1398/09/24, 23451, 24637
1398/09/23, 23024, 23998
1398/09/20, 23205, 23897
1398/09/19, 22724, 24742
1398/09/18, 23500, 24400
1398/09/17, 23201, 24300
1398/09/16, 23172, 25100
1398/09/13, 23812, 24609
1398/09/12, 22550, 23530
1398/09/11, 21550, 22445
1398/09/10, 20900, 22220
1398/09/09, 20050, 21470
1398/09/06, 20010, 20850
1398/09/05, 20589, 21500
1398/09/04, 20880, 22300
1398/09/03, 20540, 21538
1398/09/02, 20001, 20520
1398/08/29, 19451, 19900
1398/08/28, 19073, 20099
1398/08/27, 19447, 20300
1398/08/26, 20470, 20470
1398/08/25, 21010, 22640
1398/08/22, 21547, 22498
1398/08/21, 21670, 23000
1398/08/20, 21510, 23400
