date, min_price, max_price
1402/03/03, 54320, 58800
1402/03/02, 56300, 57180
1402/03/01, 53430, 54560
1402/02/31, 51970, 51970
1402/02/30, 49500, 49500
1402/02/27, 45050, 47270
1402/02/25, 44020, 47580
1402/02/24, 44930, 48500
1402/02/23, 47290, 47290
1402/02/20, 49770, 49770
1402/02/19, 52370, 53370
1402/02/18, 54910, 54910
1402/02/13, 56200, 58810
1402/02/12, 54020, 56230
1402/02/11, 51560, 54140
1402/02/10, 49210, 51660
1402/02/09, 48210, 50990
1402/02/06, 48020, 50650
1402/02/05, 48690, 53750
1402/02/04, 49010, 51410
1402/01/30, 46050, 49680
1402/01/29, 45690, 49340
1402/01/28, 45620, 49000
1402/01/27, 45650, 47520
1402/01/26, 44270, 45640
1402/01/22, 40850, 44200
1402/01/21, 40730, 42710
1402/01/20, 39500, 41980
1402/01/19, 39000, 41280
1402/01/16, 38380, 39440
1402/01/15, 36560, 38290
1402/01/14, 35750, 37380
1402/01/09, 36140, 37400
1402/01/08, 35740, 37570
1402/01/07, 34440, 36470
1402/01/06, 34510, 36350
1402/01/05, 33280, 35140
1401/12/28, 33200, 34400
1401/12/27, 32030, 33370
1401/12/24, 31500, 32600
1401/12/23, 31140, 31930
1401/12/22, 31560, 32920
1401/12/21, 32000, 32800
1401/12/20, 32300, 34190
1401/12/16, 32910, 33680
1401/12/15, 32100, 33410
1401/12/14, 32280, 34200
1401/12/10, 31500, 33550
1401/12/09, 31860, 33270
1401/12/08, 32010, 33700
1401/12/07, 32210, 34690
1401/12/06, 32330, 33620
1401/12/03, 31010, 32780
1401/12/02, 30900, 32960
1401/12/01, 30150, 32200
1401/11/30, 30000, 31710
1401/11/26, 31390, 33440
1401/11/25, 31300, 33780
1401/11/24, 31840, 33430
1401/11/23, 30620, 32060
1401/11/19, 30000, 31480
1401/11/18, 29070, 31500
1401/11/17, 29760, 30880
1401/11/16, 30730, 33360
1401/11/12, 31200, 33100
1401/11/11, 32000, 32770
1401/11/10, 30880, 32290
1401/11/09, 32430, 33570
1401/11/08, 33910, 35660
1401/11/05, 35530, 37290
1401/11/04, 36000, 39300
1401/11/03, 37220, 38930
1401/11/02, 39120, 40160
1401/11/01, 39530, 42140
1401/10/28, 38660, 40210
1401/10/27, 36160, 38660
1401/10/26, 34540, 37200
1401/10/24, 33030, 35910
1401/10/21, 33930, 35900
1401/10/20, 35000, 37600
1401/10/19, 35530, 37780
1401/10/18, 35100, 36010
1401/10/17, 33390, 34970
1401/10/14, 31780, 33940
1401/10/13, 31900, 33510
1401/10/12, 32820, 34160
1401/10/11, 32980, 34200
1401/10/10, 33090, 34500
1401/10/07, 33210, 34000
1401/10/05, 32500, 33680
1401/10/04, 32600, 34850
1401/10/03, 33850, 35860
1401/09/30, 33230, 34780
1401/09/29, 33580, 34970
1401/09/28, 34000, 36380
1401/09/27, 34490, 35630
1401/09/26, 34570, 36880
1401/09/23, 35670, 38700
1401/09/22, 36530, 39030
1401/09/21, 36350, 39000
1401/09/20, 35510, 37780
1401/09/19, 34570, 36050
1401/09/16, 32500, 34560
1401/09/15, 31570, 33890
1401/09/14, 31840, 33700
1401/09/13, 32510, 33890
1401/09/12, 32880, 33990
1401/09/09, 33000, 34500
1401/09/08, 32960, 34670
1401/09/07, 32060, 34150
1401/09/06, 31510, 33500
1401/09/05, 30510, 33500
1401/09/02, 30890, 33300
1401/09/01, 31500, 32210
1401/08/29, 30400, 30710
1401/08/28, 27900, 30050
1401/08/25, 28830, 29900
1401/08/24, 29310, 30500
1401/08/23, 29010, 30200
1401/08/22, 29560, 30550
1401/08/21, 29850, 31500
1401/08/18, 29850, 31200
1401/08/17, 29840, 32370
1401/08/16, 29340, 31190
1401/08/15, 29020, 31290
1401/08/14, 28980, 30010
1401/08/11, 27210, 29580
1401/08/10, 28000, 29110
1401/08/09, 26520, 27840
1401/08/08, 26440, 27740
1401/08/07, 27760, 28800
1401/08/04, 28990, 30270
1401/08/03, 30000, 32400
1401/08/02, 31270, 33140
1401/08/01, 32740, 34350
1401/07/30, 33100, 35500
1401/07/27, 32680, 33860
1401/07/26, 31600, 33140
1401/07/25, 31100, 34300
1401/07/24, 32220, 33990
1401/07/23, 32500, 34900
1401/07/20, 32500, 35000
1401/07/19, 34150, 35010
1401/07/18, 34610, 34610
1401/07/17, 36100, 37000
1401/07/16, 37860, 38990
1401/07/12, 38250, 38250
1401/07/11, 38990, 38990
1401/07/10, 41040, 41040
1401/07/06, 43040, 44100
1401/07/04, 45290, 45550
1401/06/27, 47670, 47670
1401/06/23, 43330, 45430
1401/06/22, 43270, 43270
1401/06/21, 41320, 41320
1401/06/20, 39140, 39370
1401/06/19, 36200, 37560
1401/06/16, 35760, 35780
1401/06/15, 31520, 34820
1401/06/14, 33160, 34070
1401/06/13, 34720, 37500
1401/06/12, 34300, 37200
1401/06/09, 34500, 35490
1401/06/08, 32460, 34080
1401/06/02, 31430, 33680
1401/06/01, 32010, 35130
1401/05/31, 33270, 36280
1401/05/30, 34740, 35440
1401/05/29, 35850, 37930
1401/05/26, 37180, 40000
1401/05/25, 37600, 39840
1401/05/24, 34650, 38070
1401/05/23, 35550, 37780
1401/05/19, 34500, 37490
1401/05/18, 35230, 37420
1401/05/15, 36940, 38040
1401/05/12, 38640, 40980
1401/05/11, 39390, 42490
1401/05/10, 38810, 41940
1401/05/09, 39950, 39950
1401/05/08, 39960, 39960
1401/05/05, 40030, 40030
1401/05/04, 40060, 40060
1401/05/03, 40090, 40090
1401/05/02, 40190, 40190
1401/05/01, 40360, 41950
1401/04/25, 41380, 44980
1401/04/22, 41440, 45000
1401/04/21, 41300, 45200
1401/04/20, 43230, 44480
1401/04/18, 41750, 45620
1401/04/08, 42050, 43600
1401/04/07, 40010, 41550
1401/04/06, 38000, 39650
1401/04/05, 35920, 37890
1401/04/04, 33310, 36590
1401/04/01, 32510, 35110
1401/03/31, 32540, 35850
1401/03/30, 34050, 35500
1401/03/29, 34360, 37900
1401/03/28, 34010, 36460
1401/03/25, 32560, 35800
1401/03/24, 33000, 34470
1401/03/23, 32690, 34410
1401/03/22, 31870, 35210
1401/03/21, 33730, 33730
1401/03/18, 32130, 32130
1401/03/17, 28350, 31330
1401/03/16, 28450, 30700
1401/03/11, 28300, 29290
1401/03/10, 26740, 27940
1401/03/09, 25590, 26840
1401/03/08, 24810, 26500
1401/03/07, 24310, 26580
1401/03/04, 23570, 25710
1401/03/03, 24210, 25250
1401/03/02, 24600, 26970
1401/03/01, 24590, 26710
1401/02/31, 25040, 27630
1401/02/28, 25520, 26430
1401/02/27, 24280, 25210
1401/02/26, 22300, 24260
1401/02/25, 22860, 24270
1401/02/24, 23150, 24060
1401/02/21, 22300, 23250
1401/02/20, 22210, 23500
1401/02/19, 22780, 23930
1401/02/18, 23790, 24610
1401/02/17, 22550, 24020
1401/02/12, 22400, 23280
1401/02/11, 21800, 23250
1401/02/10, 22100, 23100
1401/02/07, 22110, 23380
1401/02/06, 22100, 22840
1401/02/05, 21010, 22380
1401/02/04, 21350, 21990
1401/01/31, 22070, 23110
1401/01/30, 21800, 23040
1401/01/29, 21070, 22530
1401/01/28, 20900, 21610
1401/01/27, 19820, 21020
1401/01/24, 19800, 20900
1401/01/23, 20110, 21190
1401/01/22, 20030, 20780
1401/01/21, 20290, 21310
1401/01/20, 20000, 20790
1401/01/17, 20410, 21500
1401/01/16, 20200, 21150
1401/01/15, 20330, 21580
1401/01/14, 20900, 23050
1401/01/10, 21100, 22010
1401/01/09, 20550, 21050
1401/01/08, 18820, 20790
1401/01/07, 19210, 20350
1401/01/06, 19460, 20320
1400/12/28, 19000, 20950
1400/12/25, 18990, 20130
1400/12/24, 19150, 19900
1400/12/23, 19630, 20790
1400/12/22, 20030, 21990
1400/12/21, 20110, 21110
1400/12/18, 20830, 20830
1400/12/17, 19340, 19870
1400/12/16, 19050, 19320
1400/12/15, 17790, 18410
1400/12/14, 16870, 17720
1400/12/11, 16150, 17370
1400/12/09, 16160, 17490
1400/12/08, 16210, 17250
1400/12/07, 17000, 17400
1400/12/04, 16350, 17000
1400/12/03, 16050, 16650
1400/12/02, 15560, 16700
1400/12/01, 15440, 16370
1400/11/30, 16030, 16680
1400/11/27, 15360, 16280
1400/11/25, 15470, 15890
1400/11/24, 15750, 16150
1400/11/23, 15980, 16490
1400/11/20, 16090, 16660
1400/11/19, 16140, 16900
1400/11/18, 16460, 17760
1400/11/17, 16700, 17700
1400/11/16, 16290, 17190
1400/11/13, 15900, 16960
1400/11/12, 15950, 16310
1400/11/11, 16000, 16510
1400/11/10, 16160, 17430
1400/11/09, 16170, 17480
1400/11/06, 16380, 17160
1400/11/05, 16390, 16390
1400/11/04, 16460, 16470
1400/11/03, 16690, 17180
1400/11/02, 16800, 17990
1400/10/29, 17660, 18680
1400/10/28, 18100, 19550
1400/10/27, 18740, 19590
1400/10/26, 19140, 19980
1400/10/25, 19450, 20110
1400/10/22, 20050, 20670
1400/10/21, 19900, 20940
1400/10/20, 20150, 20800
1400/10/19, 20550, 21870
1400/10/18, 21020, 21660
1400/10/15, 21590, 22930
1400/10/14, 22270, 22610
1400/10/13, 22530, 24790
1400/10/12, 22530, 23850
1400/10/11, 22210, 23130
1400/10/08, 20500, 22490
1400/10/07, 20990, 22170
1400/10/06, 21010, 22840
1400/10/05, 21550, 22490
1400/10/04, 20910, 22500
1400/10/01, 20680, 21980
1400/09/30, 20700, 21940
1400/09/29, 20940, 21090
1400/09/28, 21090, 21610
1400/09/27, 21610, 22900
1400/09/24, 21760, 22870
1400/09/23, 22120, 23310
1400/09/22, 22500, 24250
1400/09/21, 22340, 24390
1400/09/20, 22490, 24490
1400/09/17, 22460, 24690
1400/09/16, 22920, 23850
1400/09/15, 23150, 24880
1400/09/14, 22930, 24500
1400/09/13, 23120, 23500
1400/09/10, 23470, 25200
1400/09/09, 23070, 24160
1400/09/08, 21800, 23280
1400/09/07, 21470, 22430
1400/09/06, 22060, 22680
1400/09/03, 23040, 24950
1400/09/02, 22930, 25170
1400/09/01, 23350, 24400
1400/08/30, 22870, 24000
1400/08/29, 23720, 25200
1400/08/26, 24560, 26470
1400/08/25, 25840, 26750
1400/08/24, 26600, 27750
1400/08/23, 26800, 29480
1400/08/22, 26890, 28230
1400/08/19, 26500, 26990
1400/08/18, 24640, 25870
1400/08/17, 23900, 24680
1400/08/16, 22850, 23620
1400/08/15, 22700, 22780
1400/08/12, 21470, 22250
1400/08/11, 20180, 22000
1400/08/10, 20500, 22250
1400/08/09, 20800, 21770
1400/08/08, 21110, 23330
1400/08/05, 21160, 23040
1400/08/04, 21210, 23270
1400/08/03, 21780, 23120
1400/08/01, 22230, 23870
1400/07/28, 22080, 23870
1400/07/27, 22690, 23920
1400/07/26, 23730, 25300
1400/07/25, 24910, 26220
1400/07/24, 25630, 28200
1400/07/21, 26490, 29000
1400/07/20, 27180, 28000
1400/07/19, 25840, 28560
1400/07/18, 27180, 28590
1400/07/17, 28230, 30500
1400/07/14, 28820, 30400
1400/07/12, 29460, 30900
1400/07/11, 30970, 32590
1400/07/10, 31520, 32710
1400/07/07, 29900, 31200
1400/07/06, 27420, 29800
1400/07/04, 28310, 29670
1400/07/03, 29270, 31330
1400/06/31, 30610, 31750
1400/06/30, 30760, 30760
1400/06/29, 31460, 31460
1400/06/28, 32450, 33800
1400/06/27, 34020, 35890
1400/06/24, 35630, 36560
1400/06/23, 36150, 38310
1400/06/22, 35820, 38700
1400/06/21, 37000, 39480
1400/06/20, 37600, 39490
1400/06/17, 36250, 37930
1400/06/16, 35500, 37300
1400/06/15, 35510, 37690
1400/06/14, 35430, 37470
1400/06/13, 35500, 37700
1400/06/10, 36120, 37440
1400/06/07, 36020, 38490
1400/06/06, 35540, 38500
1400/06/03, 36000, 37830
1400/06/02, 34200, 37500
1400/05/23, 50290, 50290
1400/05/20, 50390, 50390
1400/05/19, 50420, 50420
1400/05/18, 50440, 50440
1400/05/17, 50440, 50440
1400/05/16, 50500, 50500
1400/05/11, 50500, 50500
1400/05/09, 50500, 50500
1400/05/05, 50500, 50500
1400/05/04, 50510, 50510
1400/04/28, 50510, 50510
1400/04/26, 50510, 50510
1400/04/22, 50510, 50510
1400/04/21, 50510, 50510
1400/04/20, 50510, 50510
1400/04/16, 48380, 48380
1400/04/15, 51070, 51070
1400/04/14, 51110, 51110
1400/04/07, 51110, 51110
1400/04/06, 48520, 48520
1400/04/05, 51220, 51220
1400/04/02, 51220, 51220
1400/04/01, 51220, 51220
1400/03/30, 51220, 51220
1400/03/29, 51220, 51220
1400/03/23, 51220, 51220
1400/03/19, 51220, 51220
1400/03/17, 51220, 51220
1400/03/08, 51220, 51220
1400/03/01, 51220, 51220
1400/02/28, 51220, 51220
1400/02/18, 52300, 52300
1400/02/13, 52300, 52300
1400/02/12, 52300, 52300
1400/02/11, 52300, 52300
1400/02/08, 52300, 52300
1400/02/07, 52300, 52300
1400/01/31, 52840, 52840
1400/01/29, 53060, 53060
1400/01/28, 53070, 53070
1400/01/25, 53070, 53070
1400/01/24, 53070, 53070
1400/01/23, 53070, 53070
1400/01/17, 53070, 53070
1400/01/16, 53070, 53070
1400/01/15, 53080, 53080
1400/01/14, 53110, 53110
1400/01/11, 53110, 53110
1400/01/10, 53140, 53140
1400/01/08, 53170, 53170
1400/01/07, 53200, 53200
1399/12/27, 53230, 53230
1399/12/26, 52170, 52170
1399/12/25, 53260, 53260
1399/12/24, 53280, 53280
1399/12/23, 53280, 53280
1399/12/20, 53280, 53280
1399/12/19, 53280, 53280
1399/12/18, 53310, 53310
1399/12/17, 53340, 53340
1399/12/16, 53370, 53370
1399/12/13, 53400, 53400
1399/12/12, 53420, 53420
1399/12/11, 53470, 53470
1399/12/10, 53500, 53500
1399/12/09, 53500, 53500
1399/12/06, 53530, 53530
1399/12/05, 53530, 53530
1399/12/04, 53900, 53900
1399/12/03, 54420, 54420
1399/12/02, 55080, 57500
1399/11/27, 54300, 56270
1399/11/26, 51310, 53270
1399/11/25, 51950, 51950
1399/11/21, 50170, 50170
1399/11/20, 49090, 49090
1399/11/19, 48050, 48050
1399/11/18, 44880, 45790
1399/11/15, 43000, 44150
1399/11/14, 40400, 42370
1399/11/13, 38760, 40690
1399/11/12, 37210, 39030
1399/11/11, 35880, 37670
1399/11/08, 34010, 37420
1399/11/07, 34090, 34300
1399/11/06, 34630, 36000
1399/11/05, 35520, 38150
1399/11/04, 35820, 38200
1399/11/01, 36880, 39450
1399/10/30, 37480, 40210
1399/10/29, 38470, 38500
1399/10/27, 38030, 42030
1399/10/24, 40500, 40700
1399/10/23, 36000, 39420
1399/10/22, 37390, 39400
1399/10/21, 38530, 42000
1399/10/20, 38380, 42400
1399/10/17, 37820, 41680
1399/10/16, 38570, 42630
1399/10/15, 41330, 41330
1399/10/14, 38200, 39620
1399/10/13, 36590, 37780
1399/10/10, 34860, 36590
1399/10/09, 33010, 34960
1399/10/08, 32110, 33470
1399/10/07, 30410, 32910
1399/10/06, 30940, 32800
1399/10/03, 30500, 33000
1399/10/02, 30530, 33480
1399/10/01, 31360, 32500
1399/09/30, 29770, 32300
1399/09/29, 30090, 30990
1399/09/26, 28720, 31700
1399/09/25, 29310, 30700
1399/09/24, 29550, 31010
1399/09/23, 27830, 30740
1399/09/22, 28500, 31460
1399/09/19, 29680, 30060
1399/09/18, 29680, 29680
1399/09/17, 28210, 28850
1399/09/16, 27110, 28210
1399/09/15, 26320, 27630
1399/09/12, 25630, 26670
1399/09/11, 25280, 27000
1399/09/10, 26300, 27750
1399/09/09, 24970, 27590
1399/09/08, 26110, 27000
1399/09/05, 24230, 26770
1399/09/04, 25010, 25990
1399/09/03, 25000, 27300
1399/08/26, 29160, 29160
1399/08/25, 29160, 29160
1399/08/24, 29260, 29260
1399/08/21, 29310, 29310
1399/08/20, 29400, 29400
1399/08/19, 29430, 29430
1399/08/18, 29430, 29430
1399/08/17, 29430, 29430
1399/08/14, 29430, 29430
1399/08/12, 29430, 29430
1399/08/11, 29430, 29430
1399/08/10, 29450, 29450
1399/08/07, 29950, 29950
1399/08/06, 29950, 29950
1399/08/05, 29950, 29950
1399/08/03, 29950, 29950
1399/07/30, 29950, 29950
1399/07/29, 29960, 29960
1399/07/28, 29960, 29960
1399/07/27, 29970, 29970
1399/07/23, 29980, 29980
1399/07/22, 29990, 29990
1399/07/21, 30020, 30020
1399/07/20, 30250, 30250
1399/07/19, 30270, 30270
1399/07/16, 30310, 30310
1399/07/15, 30360, 30360
1399/07/14, 30360, 30360
1399/07/13, 30370, 30370
1399/07/12, 30420, 30420
1399/07/09, 30430, 30430
1399/07/08, 30430, 30430
1399/07/07, 30430, 30430
1399/07/06, 30430, 30430
1399/07/05, 30510, 30510
1399/07/02, 30530, 30530
1399/07/01, 30600, 30600
1399/06/31, 30780, 34000
1399/06/23, 30840, 30840
1399/06/22, 30900, 30900
1399/06/19, 30920, 30920
1399/06/18, 30940, 30940
1399/06/17, 30940, 30940
1399/06/16, 30970, 31160
1399/06/15, 31160, 31170
1399/06/12, 31170, 31170
