date, min_price, max_price
1402/02/30, 13950, 14750
1402/02/27, 13720, 14640
1402/02/25, 12710, 13970
1402/02/24, 13400, 14000
1402/02/23, 13250, 14530
1402/02/20, 13560, 15190
1402/02/19, 13350, 15200
1402/02/18, 14200, 15070
1402/02/17, 14970, 16750
1402/02/16, 16000, 16640
1402/02/13, 16510, 17090
1402/02/12, 16000, 16600
1402/02/11, 16300, 16900
1402/02/10, 16420, 17400
1402/02/09, 16800, 17100
1402/02/06, 16760, 17500
1402/02/05, 16600, 17870
1402/02/04, 15860, 17300
1402/01/30, 15500, 16500
1402/01/29, 15750, 16580
1402/01/28, 16140, 17000
1402/01/27, 15280, 16340
1402/01/26, 14820, 15750
1402/01/22, 14170, 15390
1402/01/21, 12870, 14740
1402/01/20, 13600, 14090
1402/01/19, 13100, 13700
1402/01/16, 12560, 13520
1402/01/15, 13200, 13520
1402/01/14, 12980, 13360
1402/01/09, 12600, 13190
1402/01/08, 12480, 12960
1402/01/07, 12100, 13000
1402/01/06, 12260, 13250
1402/01/05, 12600, 13180
1401/12/28, 12000, 12570
1401/12/27, 12350, 12670
1401/12/24, 11950, 12080
1401/12/23, 11830, 12390
1401/12/22, 11860, 12480
1401/12/21, 11540, 12150
1401/12/20, 11900, 12050
1401/12/16, 11610, 12050
1401/12/15, 11490, 12020
1401/12/14, 11860, 12140
1401/12/13, 11650, 12060
1401/12/10, 12130, 12500
1401/12/09, 12040, 12760
1401/12/08, 12000, 12600
1401/12/07, 12300, 12750
1401/12/06, 11750, 12750
1401/12/03, 11670, 12630
1401/12/02, 12370, 12700
1401/12/01, 12640, 13070
1401/11/30, 12420, 13270
1401/11/26, 12800, 13180
1401/11/25, 12550, 13320
1401/11/24, 12650, 12970
1401/11/23, 12560, 13070
1401/11/19, 12190, 12490
1401/11/18, 11600, 12300
1401/11/17, 11670, 12270
1401/11/16, 11400, 11980
1401/11/12, 11600, 11980
1401/11/11, 11520, 12160
1401/11/10, 11100, 12200
1401/11/09, 11500, 12230
1401/11/08, 11010, 11690
1401/11/05, 11300, 11900
1401/11/04, 11180, 12070
1401/11/03, 11220, 11700
1401/11/02, 10850, 11400
1401/11/01, 11050, 11560
1401/10/28, 10720, 11000
1401/10/27, 10600, 11020
1401/10/26, 10400, 10920
1401/10/24, 10750, 10920
1401/10/21, 10410, 10930
1401/10/20, 10400, 11300
1401/10/19, 10700, 11200
1401/10/18, 10700, 10840
1401/10/17, 10640, 10980
1401/10/14, 10610, 10660
1401/10/13, 10500, 10770
1401/10/12, 10360, 10690
1401/10/11, 10360, 10760
1401/10/10, 10400, 10800
1401/10/07, 10450, 10900
1401/10/05, 10400, 10750
1401/10/04, 10500, 10880
1401/10/03, 10450, 10980
1401/09/30, 10440, 10800
1401/09/29, 10370, 10740
1401/09/28, 10500, 10750
1401/09/27, 10480, 11100
1401/09/26, 10360, 10960
1401/09/23, 10700, 11000
1401/09/22, 10540, 11170
1401/09/21, 10520, 10610
1401/09/20, 10440, 10600
1401/09/19, 10170, 10540
1401/09/16, 10350, 10450
1401/09/15, 10330, 10440
1401/09/14, 10160, 10480
1401/09/13, 10120, 10540
1401/09/12, 10020, 10540
1401/09/09, 10030, 10500
1401/09/08, 10320, 10490
1401/09/07, 10300, 10500
1401/09/06, 10280, 10560
1401/09/05, 10300, 10490
1401/09/02, 10100, 10500
1401/09/01, 10290, 10480
1401/08/30, 10100, 10360
1401/08/29, 9900, 10190
1401/08/28, 10010, 10190
1401/08/25, 10000, 10180
1401/08/24, 9850, 10200
1401/08/23, 10000, 10250
1401/08/22, 9990, 10250
1401/08/21, 9990, 10240
1401/08/18, 9960, 10080
1401/08/17, 9910, 10120
1401/08/16, 9910, 10250
1401/08/15, 9530, 10390
1401/08/14, 9390, 9960
1401/08/11, 9130, 9370
1401/08/10, 9070, 9200
1401/08/09, 8830, 9100
1401/08/08, 8800, 9070
1401/08/07, 8780, 8950
1401/08/04, 8730, 8920
1401/08/03, 8720, 8820
1401/08/02, 8720, 8770
1401/08/01, 8720, 8890
1401/07/30, 8600, 8900
1401/07/27, 8620, 8800
1401/07/26, 8610, 8920
1401/07/25, 8660, 8820
1401/07/24, 8520, 8940
1401/07/23, 8500, 8590
1401/07/20, 8310, 8880
1401/07/19, 8360, 8480
1401/07/18, 8370, 8550
1401/07/17, 8360, 8450
1401/07/16, 8350, 8460
1401/07/12, 8350, 8420
