date, min_price, max_price
1402/03/03, 16492, 16494
1402/03/02, 16475, 16477
1402/03/01, 16465, 16467
1402/02/31, 16455, 16457
1402/02/30, 16444, 16446
1402/02/27, 16426, 16428
1402/02/25, 16406, 16408
1402/02/24, 16391, 16393
1402/02/23, 16380, 16382
1402/02/20, 16362, 16364
1402/02/19, 16345, 16347
1402/02/18, 16335, 16337
1402/02/17, 16325, 16327
1402/02/16, 16314, 16316
1402/02/13, 16296, 16298
1402/02/12, 16280, 16282
1402/02/11, 16270, 16272
1402/02/10, 16260, 16262
1402/02/09, 16251, 16253
1402/02/06, 16231, 16233
1402/02/05, 16212, 16214
1402/02/04, 16203, 16205
1402/01/30, 16177, 16179
1402/01/29, 16151, 16153
1402/01/28, 16141, 16143
1402/01/27, 16131, 16133
1402/01/26, 16121, 16123
1402/01/22, 16097, 16099
1402/01/21, 16075, 16077
1402/01/20, 16066, 16068
1402/01/19, 16056, 16058
1402/01/16, 16036, 16038
1402/01/15, 16021, 16023
1402/01/14, 16012, 16014
1402/01/09, 15983, 15985
1402/01/08, 15958, 15960
1402/01/07, 15948, 15950
1402/01/06, 15938, 15940
1402/01/05, 15928, 15930
1401/12/28, 15899, 15901
1401/12/27, 15868, 15870
1401/12/24, 15850, 15852
1401/12/23, 15835, 15837
1401/12/22, 15825, 15826
1401/12/21, 15816, 15817
1401/12/20, 15807, 15809
1401/12/16, 15786, 15788
1401/12/15, 15767, 15769
1401/12/14, 15757, 15759
1401/12/13, 15747, 15749
1401/12/10, 15729, 15731
1401/12/09, 15716, 15718
1401/12/08, 15706, 15708
1401/12/07, 15697, 15699
1401/12/06, 15688, 15690
1401/12/03, 15667, 15669
1401/12/02, 15654, 15656
1401/12/01, 15645, 15647
1401/11/30, 15636, 15638
1401/11/26, 15615, 15617
1401/11/25, 15599, 15601
1401/11/24, 15588, 15590
1401/11/23, 15577, 15579
1401/11/19, 15557, 15559
1401/11/18, 15541, 15543
1401/11/17, 15529, 15531
1401/11/16, 15517, 15519
1401/11/12, 15495, 15497
1401/11/11, 15480, 15482
1401/11/10, 15470, 15472
1401/11/09, 15460, 15462
1401/11/08, 15450, 15452
1401/11/05, 15432, 15434
1401/11/04, 15419, 15421
1401/11/03, 15409, 15411
1401/11/02, 15399, 15401
1401/11/01, 15390, 15391
1401/10/28, 15371, 15373
1401/10/27, 15358, 15360
1401/10/26, 15348, 15350
1401/10/24, 15332, 15334
1401/10/21, 15313, 15315
1401/10/20, 15300, 15302
1401/10/19, 15291, 15293
1401/10/18, 15282, 15284
1401/10/17, 15273, 15275
1401/10/14, 15255, 15257
1401/10/13, 15242, 15244
1401/10/12, 15233, 15235
1401/10/11, 15222, 15226
1401/10/10, 15215, 15217
1401/10/07, 15195, 15197
1401/10/05, 15180, 15182
1401/10/04, 15167, 15169
1401/10/03, 15157, 15159
1401/09/30, 15138, 15140
1401/09/29, 15125, 15127
1401/09/28, 15116, 15118
1401/09/27, 15107, 15109
1401/09/26, 15097, 15101
1401/09/23, 15081, 15083
1401/09/22, 15069, 15071
1401/09/21, 15060, 15062
1401/09/20, 15051, 15053
1401/09/19, 15043, 15045
1401/09/16, 15025, 15027
1401/09/15, 15011, 15013
1401/09/14, 15002, 15004
1401/09/13, 14992, 14994
1401/09/12, 14983, 14985
1401/09/09, 14965, 14967
1401/09/08, 14953, 14955
1401/09/07, 14944, 14946
1401/09/06, 14936, 14938
1401/09/05, 14928, 14930
1401/09/02, 14908, 14910
1401/09/01, 14896, 14898
1401/08/30, 14888, 14890
1401/08/29, 14879, 14881
1401/08/28, 14871, 14873
1401/08/25, 14854, 14856
1401/08/24, 14842, 14844
1401/08/23, 14834, 14836
1401/08/22, 14825, 14827
1401/08/21, 14815, 14817
1401/08/18, 14797, 14799
1401/08/17, 14784, 14786
1401/08/16, 14775, 14777
1401/08/15, 14765, 14767
1401/08/14, 14758, 14760
1401/08/11, 14740, 14742
1401/08/10, 14730, 14732
1401/08/09, 14722, 14724
1401/08/08, 14715, 14717
1401/08/07, 14708, 14710
1401/08/04, 14691, 14693
1401/08/03, 14680, 14682
1401/08/02, 14673, 14675
1401/08/01, 14665, 14667
1401/07/30, 14658, 14660
1401/07/27, 14641, 14643
1401/07/26, 14629, 14631
1401/07/25, 14621, 14623
1401/07/24, 14612, 14614
1401/07/23, 14603, 14604
1401/07/20, 14585, 14587
1401/07/19, 14573, 14574
1401/07/18, 14564, 14565
1401/07/17, 14556, 14558
1401/07/16, 14547, 14549
1401/07/12, 14525, 14527
1401/07/11, 14507, 14509
1401/07/10, 14499, 14501
1401/07/09, 14491, 14493
1401/07/06, 14471, 14473
1401/07/04, 14452, 14454
1401/07/02, 14435, 14437
1401/06/30, 14419, 14421
1401/06/29, 14403, 14405
1401/06/28, 14394, 14396
1401/06/27, 14386, 14387
1401/06/23, 14361, 14363
1401/06/22, 14351, 14352
1401/06/21, 14343, 14345
1401/06/20, 14335, 14337
1401/06/19, 14327, 14329
1401/06/16, 14308, 14310
1401/06/15, 14296, 14298
1401/06/14, 14288, 14290
1401/06/13, 14280, 14282
1401/06/12, 14272, 14274
1401/06/09, 14250, 14252
1401/06/08, 14239, 14241
1401/06/07, 14230, 14232
1401/06/06, 14221, 14223
1401/06/05, 14213, 14215
1401/06/02, 14190, 14192
1401/06/01, 14178, 14180
1401/05/31, 14170, 14172
1401/05/30, 14159, 14164
1401/05/29, 14153, 14155
1401/05/26, 14139, 14141
1401/05/25, 14129, 14131
1401/05/24, 14121, 14123
1401/05/23, 14112, 14114
1401/05/22, 14103, 14105
1401/05/19, 14083, 14085
1401/05/18, 14073, 14076
1401/05/15, 14054, 14056
1401/05/12, 14040, 14042
1401/05/11, 14030, 14032
1401/05/10, 14022, 14024
1401/05/09, 14013, 14015
1401/05/08, 14005, 14007
1401/05/05, 13988, 13990
1401/05/04, 13978, 13980
1401/05/03, 13971, 13973
1401/05/02, 13963, 13965
1401/05/01, 13956, 13958
1401/04/29, 13938, 13940
1401/04/28, 13928, 13930
1401/04/26, 13917, 13919
1401/04/25, 13907, 13909
1401/04/22, 13889, 13891
1401/04/21, 13879, 13881
1401/04/20, 13872, 13874
1401/04/18, 13861, 13863
