date, min_price, max_price
1402/03/01, 6250, 6600
1402/02/31, 6010, 6400
1402/02/30, 6010, 6350
1402/02/27, 5990, 6400
1402/02/25, 5810, 6440
1402/02/24, 5720, 6510
1402/02/23, 6150, 6150
1402/02/20, 6410, 7060
1402/02/19, 6860, 7090
1402/02/18, 7130, 7130
1402/02/17, 7370, 8370
1402/02/16, 7920, 7920
1402/02/13, 7260, 7420
1402/02/12, 6690, 7200
1402/02/11, 6610, 7170
1402/02/10, 6670, 7000
1402/02/09, 6500, 7150
1402/02/06, 6200, 6860
1402/02/05, 6260, 6430
1402/02/04, 5750, 6190
1402/01/30, 5720, 6100
1402/01/29, 5810, 6160
1402/01/28, 5620, 6030
1402/01/27, 5780, 6190
1402/01/26, 6080, 6330
1402/01/21, 5880, 6190
1402/01/20, 5510, 5990
1402/01/19, 5430, 5970
1402/01/16, 5431, 5788
1402/01/15, 5251, 5424
1402/01/14, 4860, 5091
1402/01/09, 4560, 4794
1402/01/08, 4342, 4610
1402/01/07, 4112, 4430
1402/01/06, 4200, 4439
1402/01/05, 4250, 4498
1401/12/28, 4270, 4500
1401/12/27, 4227, 4452
1401/12/24, 3990, 4226
1401/12/23, 3860, 4030
1401/12/22, 3901, 4059
1401/12/21, 3930, 4098
1401/12/20, 4030, 4199
1401/12/16, 3920, 4100
1401/12/15, 3850, 4000
1401/12/14, 3953, 4148
1401/12/13, 3820, 4029
1401/12/10, 3866, 4041
1401/12/09, 3920, 4069
1401/12/08, 3902, 4230
1401/12/07, 3930, 4310
1401/12/06, 3900, 4088
1401/12/03, 3780, 3900
1401/12/02, 3830, 4099
1401/12/01, 3677, 3930
1401/11/30, 3665, 3780
1401/11/26, 3662, 3739
1401/11/25, 3645, 3864
1401/11/24, 3700, 3870
1401/11/23, 3658, 3847
1401/11/19, 3744, 3900
1401/11/18, 3613, 3800
1401/11/17, 3520, 3649
1401/11/16, 3695, 4050
1401/11/12, 3963, 4085
1401/11/11, 3850, 4120
1401/11/10, 3783, 4184
1401/11/09, 4045, 4300
1401/11/08, 4278, 4626
1401/11/05, 4539, 5221
1401/10/27, 6440, 6990
1401/10/26, 6540, 6550
1401/10/24, 5810, 6440
1401/10/21, 6090, 6340
1401/10/20, 6150, 6480
1401/10/19, 6200, 6550
1401/10/18, 6320, 6800
1401/10/17, 6390, 6790
1401/10/14, 6250, 6490
1401/10/13, 6300, 6820
1401/10/12, 6190, 6520
1401/10/11, 5880, 6450
1401/10/10, 6060, 6500
1401/10/07, 6200, 6510
1401/10/05, 5700, 6150
1401/10/04, 5630, 5880
1401/10/03, 5270, 5630
1401/09/30, 5190, 5370
1401/09/29, 5200, 5320
1401/09/28, 5260, 5440
1401/09/27, 5370, 5500
1401/09/26, 5260, 5490
1401/09/23, 5280, 5550
1401/09/22, 5170, 5370
1401/09/21, 5160, 5280
1401/09/20, 5110, 5260
1401/09/19, 5060, 5300
1401/09/16, 5238, 5470
1401/09/15, 5155, 5359
1401/09/14, 5160, 5391
1401/09/13, 5221, 5425
1401/09/12, 4922, 5240
1401/09/09, 4890, 5070
1401/09/08, 4800, 5000
1401/09/07, 4760, 5030
1401/09/06, 4900, 5090
1401/09/05, 4930, 5180
1401/09/02, 4930, 5150
1401/09/01, 4860, 5120
1401/08/30, 4850, 5050
1401/08/29, 4820, 5100
1401/08/28, 4750, 5020
1401/08/25, 4920, 5100
1401/08/24, 4920, 5150
1401/08/23, 5020, 5140
1401/08/22, 5040, 5280
1401/08/21, 5060, 5240
1401/08/18, 4810, 5295
1401/08/17, 4974, 5328
1401/08/16, 4873, 5113
1401/08/15, 4670, 4970
1401/08/14, 4648, 4840
1401/08/11, 4550, 4789
1401/08/10, 4718, 4790
1401/08/09, 4600, 4850
1401/08/08, 4547, 4800
1401/08/07, 4570, 4858
1401/08/04, 4601, 4950
1401/08/03, 4761, 5029
1401/08/02, 4770, 4920
1401/08/01, 4827, 5130
1401/07/30, 4550, 4972
1401/07/27, 4550, 4810
1401/07/26, 4486, 4600
1401/07/25, 4359, 4669
1401/07/24, 4510, 4680
1401/07/23, 4620, 4750
1401/07/20, 4601, 4756
1401/07/19, 4604, 4809
1401/07/18, 4588, 4822
1401/07/17, 4625, 4854
1401/07/16, 4750, 4986
1401/07/12, 4750, 4990
1401/07/11, 4820, 5070
1401/07/10, 4880, 5110
1401/07/09, 4840, 5020
1401/07/06, 4950, 5290
1401/07/04, 4840, 5280
1401/07/02, 5010, 5270
1401/06/30, 5130, 5400
1401/06/23, 5250, 5540
1401/06/22, 5350, 5730
1401/06/21, 5350, 5660
1401/06/20, 5420, 5760
1401/06/19, 5450, 5980
1401/06/16, 5730, 5900
1401/06/15, 5790, 6000
1401/06/14, 5750, 6000
1401/06/13, 5750, 6000
1401/06/12, 5700, 6100
1401/06/09, 5570, 6150
1401/06/08, 5540, 5850
1401/06/07, 5650, 5900
1401/06/06, 5710, 5930
1401/06/05, 5430, 5730
1401/06/02, 5330, 5610
1401/06/01, 5260, 5430
1401/05/31, 5180, 5420
1401/05/30, 5180, 5430
1401/05/29, 5170, 5440
1401/05/26, 5200, 5480
1401/05/25, 5064, 5640
1401/05/24, 5010, 5557
1401/05/23, 5110, 5347
1401/05/22, 4770, 5101
1401/05/19, 4620, 4841
1401/05/18, 4741, 4950
1401/05/15, 4750, 4990
1401/05/12, 4750, 5000
1401/05/11, 4590, 5000
1401/05/10, 4660, 4920
1401/05/09, 4586, 4750
1401/05/08, 4641, 5000
1401/05/05, 4650, 5090
1401/05/04, 4780, 5070
1401/04/28, 4990, 5210
1401/04/26, 4770, 5230
1401/04/25, 4900, 5170
1401/04/22, 5100, 5520
1401/04/21, 5210, 5550
1401/04/20, 5460, 5750
1401/04/18, 5600, 5880
1401/04/15, 5720, 5900
1401/04/14, 5750, 6000
1401/04/13, 5800, 6070
1401/04/12, 5750, 6030
1401/04/11, 5720, 5930
1401/04/08, 5940, 6120
1401/04/07, 5890, 6180
1401/04/06, 5820, 6200
1401/04/05, 5880, 6200
1401/04/04, 6040, 6370
1401/04/01, 6010, 6290
1401/03/31, 6110, 6540
1401/03/30, 6100, 6680
1401/03/29, 6290, 6640
1401/03/28, 6410, 6900
1401/03/25, 6010, 6550
1401/03/24, 5970, 6280
1401/03/23, 6030, 6300
1401/03/22, 5920, 6170
1401/03/21, 5930, 6350
1401/03/18, 6090, 6530
1401/03/17, 6010, 6370
1401/03/16, 5800, 6250
1401/03/11, 5700, 6100
1401/03/10, 5660, 5890
1401/03/09, 5660, 6080
1401/03/08, 5590, 6040
1401/03/07, 5720, 6060
1401/03/04, 5630, 6070
1401/03/03, 5720, 6150
1401/03/02, 6040, 6500
1401/03/01, 6280, 6570
1401/02/31, 6230, 6680
1401/02/28, 6430, 6890
1401/02/27, 6610, 6910
1401/02/26, 6300, 6600
1401/02/25, 6040, 6350
1401/02/24, 6050, 6400
1401/02/21, 6200, 6400
1401/02/20, 6170, 6400
1401/02/19, 6050, 6360
1401/02/18, 6000, 6420
1401/02/17, 6200, 6600
1401/02/12, 6100, 6620
1401/02/11, 6080, 6500
1401/02/10, 6260, 6610
1401/02/07, 6100, 6560
1401/02/06, 6340, 6690
1401/02/05, 6480, 6820
1401/02/04, 6250, 6520
1401/01/31, 6392, 6392
1401/01/30, 6031, 6031
1401/01/29, 5531, 5691
1401/01/28, 5174, 5376
1401/01/27, 4810, 5163
1401/01/24, 4578, 5043
1401/01/23, 4713, 4940
1401/01/22, 4800, 5090
1401/01/21, 4812, 4950
1401/01/20, 4331, 4741
1401/01/17, 4380, 4620
1401/01/16, 4538, 4620
1401/01/15, 4650, 4869
1401/01/14, 4791, 4940
1401/01/10, 4650, 4830
1401/01/09, 4700, 4840
1401/01/08, 4660, 4870
1401/01/07, 4720, 4990
1401/01/06, 4800, 5180
1400/12/28, 4900, 5110
1400/12/25, 4910, 5120
1400/12/24, 4672, 5030
1400/12/23, 4745, 5080
1400/12/22, 4994, 4994
1400/12/21, 4757, 4757
1400/12/18, 4531, 4531
1400/12/17, 4316, 4316
1400/12/16, 4010, 4290
1400/12/15, 4050, 4300
1400/12/14, 4080, 4229
1400/12/11, 4030, 4246
1400/12/09, 4012, 4180
1400/12/08, 4106, 4340
1400/12/07, 4200, 4307
1400/12/04, 4226, 4226
1400/12/03, 3900, 4026
1400/12/02, 3585, 3877
1400/12/01, 3550, 3688
1400/11/30, 3547, 3819
1400/11/27, 3658, 3950
1400/11/25, 3850, 3850
1400/11/24, 3729, 3729
1400/11/23, 3284, 3627
1400/11/20, 3337, 3510
1400/11/19, 3360, 3570
1400/11/18, 3404, 3500
1400/11/17, 3453, 3513
1400/11/16, 3512, 3664
1400/11/13, 3510, 3698
1400/11/12, 3551, 3749
1400/11/11, 3480, 3770
1400/11/10, 3540, 3777
1400/11/09, 3477, 3770
1400/11/06, 3564, 3760
1400/11/05, 3587, 3600
1400/11/04, 3629, 3769
1400/11/03, 3675, 3750
1400/11/02, 3725, 3947
1400/10/29, 3768, 3922
1400/10/28, 3804, 3860
1400/10/27, 3867, 4050
1400/10/26, 3923, 4045
1400/10/25, 3953, 4240
1400/10/22, 4089, 4249
1400/10/21, 4048, 4280
1400/10/20, 4110, 4278
1400/10/19, 4158, 4300
1400/10/18, 4235, 4447
1400/10/15, 4250, 4400
1400/10/14, 4300, 4423
1400/10/13, 4250, 4525
1400/10/12, 4270, 4399
1400/10/11, 4272, 4401
1400/10/08, 4305, 4580
1400/10/07, 4370, 4554
1400/10/06, 4477, 4670
1400/10/05, 4372, 4531
1400/10/04, 4200, 4359
1400/10/01, 4030, 4250
1400/09/30, 4008, 4190
1400/09/29, 4098, 4274
1400/09/28, 4233, 4590
