date, min_price, max_price
1402/02/20, 17130, 18900
1402/02/19, 17480, 18910
1402/02/18, 18400, 18650
1402/02/17, 18500, 20440
1402/02/16, 19470, 19470
1402/02/13, 18550, 18550
1402/02/12, 17220, 18150
1402/02/11, 17100, 17760
1402/02/10, 16470, 17300
1402/02/09, 16310, 17290
1402/02/06, 16610, 17480
1402/02/05, 16900, 17440
1402/02/04, 16320, 17060
1402/01/30, 16150, 16990
1402/01/29, 16500, 17370
1402/01/28, 16750, 17320
1402/01/27, 17160, 18480
1402/01/26, 17260, 18100
1402/01/22, 16800, 17900
1402/01/21, 16540, 17320
1402/01/20, 16500, 16500
1402/01/19, 15500, 15720
1402/01/16, 14120, 15180
1402/01/15, 14010, 14820
1402/01/14, 13480, 14150
1402/01/09, 12900, 13700
1402/01/08, 12890, 13400
1402/01/07, 12880, 13450
1402/01/06, 12850, 13590
1402/01/05, 13170, 13830
1401/12/28, 13100, 14080
1401/12/27, 13120, 13530
1401/12/24, 12620, 12920
1401/12/23, 11450, 12430
1401/12/22, 11690, 12500
1401/12/21, 12230, 12790
1401/12/20, 12580, 13380
1401/12/16, 12650, 13730
1401/12/15, 12900, 13400
1401/12/14, 13050, 13900
1401/12/13, 12810, 13570
1401/12/10, 13000, 13790
1401/12/09, 13430, 14080
1401/12/08, 13750, 14680
1401/12/07, 13900, 15020
1401/12/06, 14130, 14470
1401/12/03, 13630, 14580
1401/12/02, 13650, 14490
1401/12/01, 13310, 13940
1401/11/30, 12720, 13280
1401/11/26, 12400, 13040
1401/11/25, 12800, 13770
1401/11/24, 13190, 13590
1401/11/23, 13000, 13600
1401/11/19, 13100, 13490
1401/11/18, 12170, 12880
1401/11/17, 11780, 12740
1401/11/16, 12180, 12740
1401/11/12, 12670, 13250
1401/11/11, 12500, 13180
1401/11/10, 12350, 13290
1401/11/09, 12900, 13400
1401/11/08, 13110, 14220
1401/11/05, 13400, 14200
1401/11/04, 13440, 14380
1401/11/03, 14010, 15020
1401/11/02, 14160, 14940
1401/11/01, 13720, 14470
1401/10/28, 13300, 14100
1401/10/27, 13670, 14600
1401/10/26, 13860, 15080
1401/10/24, 13500, 14600
1401/10/21, 13100, 13970
1401/10/20, 13000, 13330
1401/10/14, 12250, 13060
1401/10/13, 12090, 12450
1401/10/12, 11630, 12010
1401/10/11, 11290, 12350
1401/10/10, 11500, 11900
1401/10/07, 11340, 11340
1401/10/05, 10430, 10890
1401/10/04, 10120, 10390
1401/10/03, 9900, 9900
1401/09/30, 9120, 9470
1401/09/29, 8650, 9240
1401/09/28, 8580, 9070
1401/09/27, 8700, 8940
1401/09/26, 8480, 8690
1401/09/23, 8400, 8660
1401/09/22, 8340, 8610
1401/09/21, 8300, 8550
1401/09/20, 8180, 8550
1401/09/19, 8160, 8590
1401/09/16, 8350, 8780
1401/09/15, 8310, 8640
1401/09/14, 8390, 9000
1401/09/13, 8400, 8820
1401/09/12, 8110, 8520
1401/09/09, 7800, 8280
1401/09/08, 7800, 7960
1401/09/07, 7760, 8130
1401/09/06, 7880, 8110
1401/09/05, 7900, 8180
1401/09/02, 7830, 8150
1401/09/01, 7700, 7940
1401/08/30, 7670, 8170
1401/08/29, 7740, 8060
1401/08/28, 7520, 7820
1401/08/25, 7690, 7890
1401/08/24, 7700, 7980
1401/08/23, 7610, 7930
1401/08/22, 7740, 8140
1401/08/21, 7910, 8320
1401/08/18, 7900, 8240
1401/08/17, 7860, 8500
1401/08/16, 7990, 8220
1401/08/15, 7460, 8040
1401/08/14, 7540, 7820
1401/08/11, 7450, 7780
1401/08/10, 7540, 7790
1401/08/09, 7400, 7670
1401/08/08, 7240, 7600
1401/08/07, 7250, 7840
1401/08/04, 7410, 7890
1401/08/03, 7580, 7900
1401/08/02, 7510, 7840
1401/08/01, 7640, 7900
1401/07/30, 7580, 7580
1401/07/27, 7100, 7350
1401/07/26, 7100, 7280
1401/07/25, 6860, 7240
1401/07/24, 6880, 7110
1401/07/23, 7040, 7320
1401/07/20, 7060, 7280
1401/07/19, 7000, 7390
1401/07/18, 6970, 7140
1401/07/17, 6990, 7400
1401/07/16, 7050, 7490
1401/07/12, 7060, 7400
1401/07/11, 7110, 7430
1401/07/10, 6940, 7420
1401/07/09, 7240, 7530
