date, min_price, max_price
1402/02/31, 7710, 8270
1402/02/30, 7780, 8390
1402/02/27, 7420, 8140
1402/02/25, 7090, 7750
1402/02/24, 7020, 7320
1402/02/23, 6820, 7320
1402/02/20, 7140, 8000
1402/02/19, 7420, 8020
1402/02/18, 7910, 8190
1402/02/17, 8090, 9290
1402/02/16, 8680, 8690
1402/02/13, 7900, 8270
1402/02/12, 7390, 7880
1402/02/11, 7190, 7760
1402/02/10, 7420, 7800
1402/02/09, 7090, 7560
1402/02/06, 6760, 7300
1402/02/05, 6830, 7350
1402/02/04, 6770, 7190
1402/01/30, 6920, 7190
1402/01/29, 6920, 7350
1402/01/28, 6700, 7110
1402/01/27, 6870, 7380
1402/01/26, 7180, 7490
1402/01/22, 6730, 7270
1402/01/19, 6950, 7450
1402/01/16, 6400, 7070
1402/01/15, 6260, 6890
1402/01/14, 5950, 6560
1402/01/09, 6020, 6280
1402/01/08, 5880, 6170
1402/01/07, 5240, 5840
1402/01/06, 5300, 5730
1402/01/05, 5420, 5940
1401/12/28, 5480, 5780
1401/12/27, 5290, 5450
1401/12/24, 4900, 5132
1401/12/23, 4676, 4930
1401/12/22, 4637, 4858
1401/12/21, 4650, 4889
1401/12/20, 4880, 5189
1401/12/16, 4661, 4995
1401/12/15, 4650, 4951
1401/12/14, 4520, 4693
1401/12/13, 4189, 4548
1401/12/10, 4295, 4512
1401/12/09, 4496, 4760
1401/12/08, 4500, 4750
1401/12/07, 4275, 4747
1401/12/06, 4330, 4489
1401/12/03, 4115, 4330
1401/12/02, 4200, 4422
1401/12/01, 3852, 4158
1401/11/30, 3810, 4040
1401/11/26, 3750, 3985
1401/11/25, 3887, 4209
1401/11/24, 4112, 4250
1401/11/23, 4007, 4171
1401/11/19, 4080, 4260
1401/11/18, 3999, 4162
1401/11/17, 3760, 4044
1401/11/16, 3800, 4250
1401/11/12, 3900, 4150
1401/11/11, 3774, 4022
1401/11/10, 3704, 3970
1401/11/09, 3956, 4200
1401/11/08, 4160, 4480
1401/11/05, 4300, 4800
1401/11/04, 4490, 4750
1401/11/03, 4430, 5030
1401/11/02, 4580, 4960
1401/11/01, 4700, 5160
1401/10/28, 4980, 5188
1401/10/27, 5028, 5350
1401/10/26, 5101, 5353
1401/10/24, 4956, 5179
1401/10/19, 5020, 5400
1401/10/18, 4999, 5344
1401/10/17, 4686, 5007
1401/10/14, 4550, 4811
1401/10/13, 4600, 4849
1401/10/12, 4200, 4572
1401/10/11, 4120, 4490
1401/10/10, 4224, 4488
1401/10/05, 4125, 4340
1401/10/04, 4060, 4400
1401/10/03, 3920, 4195
1401/09/30, 3970, 4095
1401/09/29, 3824, 4060
1401/09/28, 3861, 4162
1401/09/27, 3781, 4097
1401/09/26, 3718, 3917
1401/09/23, 3765, 3920
1401/09/22, 3740, 3890
1401/09/21, 3613, 3835
1401/09/20, 3560, 3759
1401/09/19, 3637, 3897
1401/09/16, 3818, 4030
1401/09/15, 3661, 3848
1401/09/14, 3650, 3840
1401/09/13, 3667, 3850
1401/09/12, 3400, 3709
1401/09/09, 3410, 3504
1401/09/08, 3422, 3513
1401/09/07, 3435, 3550
1401/09/06, 3425, 3585
1401/09/05, 3478, 3650
1401/09/02, 3435, 3588
1401/09/01, 3403, 3620
1401/08/30, 3420, 3652
1401/08/29, 3450, 3571
1401/08/28, 3272, 3500
1401/08/25, 3420, 3598
1401/08/24, 3330, 3616
1401/08/23, 3295, 3555
1401/08/22, 3440, 3562
1401/08/21, 3220, 3330
1401/08/18, 2968, 3208
1401/08/17, 2971, 3277
1401/08/16, 3010, 3134
1401/08/15, 2754, 3006
1401/08/14, 2670, 2856
1401/08/11, 2625, 2738
1401/08/10, 2657, 2750
1401/08/09, 2552, 2700
1401/08/08, 2462, 2610
1401/08/07, 2490, 2715
1401/08/04, 2556, 2743
1401/08/03, 2703, 2870
1401/08/02, 2707, 2936
1401/08/01, 2848, 2980
1401/07/30, 2850, 2947
1401/07/27, 2860, 2958
1401/07/26, 2880, 3035
1401/07/25, 2849, 2965
1401/07/24, 2847, 2945
1401/07/23, 2937, 3060
1401/07/20, 3055, 3130
1401/07/19, 3039, 3187
1401/07/18, 2914, 3140
1401/07/17, 2891, 3051
1401/07/16, 3060, 3219
1401/07/12, 3091, 3190
1401/07/11, 3075, 3239
1401/07/10, 3070, 3240
1401/07/09, 3147, 3299
1401/07/06, 3293, 3479
1401/07/04, 3100, 3330
1401/07/02, 3096, 3250
1401/06/30, 3269, 3399
1401/06/29, 3290, 3449
1401/06/28, 3091, 3334
1401/06/27, 3050, 3194
1401/06/23, 3060, 3225
1401/06/22, 2910, 3060
1401/06/21, 2796, 2940
1401/06/20, 2719, 2818
1401/06/19, 2719, 2900
1401/06/16, 2855, 3000
1401/06/15, 2873, 2990
1401/06/14, 2816, 2980
1401/06/13, 2817, 2929
1401/06/12, 2805, 2940
1401/06/09, 2920, 3063
1401/06/08, 2960, 3100
1401/06/07, 3041, 3140
1401/06/06, 3030, 3185
1401/06/05, 3080, 3287
1401/06/02, 3075, 3280
1401/06/01, 3021, 3173
1401/05/31, 3010, 3195
1401/05/30, 3026, 3224
1401/05/29, 3040, 3212
1401/05/26, 3150, 3340
1401/05/25, 3050, 3240
1401/05/24, 2850, 3115
1401/05/23, 2851, 2997
1401/05/22, 2711, 2838
1401/05/19, 2630, 2776
1401/05/18, 2660, 2920
1401/05/15, 2675, 2794
1401/05/12, 2532, 2659
1401/05/11, 2420, 2610
1401/05/10, 2500, 2640
1401/05/09, 2550, 2735
1401/05/08, 2630, 2848
1401/05/05, 2701, 2860
1401/05/04, 2695, 2867
1401/05/03, 2861, 2990
1401/05/02, 2956, 3160
1401/05/01, 3102, 3200
1401/04/29, 3050, 3139
1401/04/28, 3050, 3159
1401/04/26, 3037, 3188
1401/04/25, 3098, 3182
1401/04/22, 3105, 3299
1401/04/21, 3037, 3270
1401/04/20, 3098, 3311
1401/04/18, 3236, 3385
1401/04/15, 3299, 3460
1401/04/14, 3178, 3331
1401/04/13, 3080, 3200
1401/04/12, 3009, 3140
1401/04/11, 3069, 3221
1401/04/08, 3220, 3340
1401/04/07, 3281, 3470
1401/04/06, 3249, 3433
1401/04/05, 3253, 3500
1401/04/04, 3280, 3469
1401/04/01, 3130, 3350
1401/03/31, 3116, 3288
1401/03/30, 3151, 3330
1401/03/29, 3092, 3259
1401/03/28, 3069, 3380
1401/03/25, 3160, 3350
1401/03/24, 3160, 3267
1401/03/17, 3010, 3230
1401/03/16, 3110, 3350
1401/03/11, 3230, 3420
1401/03/10, 3218, 3451
1401/03/09, 3200, 3417
1401/03/08, 3175, 3453
1401/03/07, 3228, 3589
1401/03/04, 3250, 3437
1401/03/03, 3130, 3329
1401/03/02, 3204, 3380
1401/03/01, 3330, 3500
1401/02/31, 3334, 3514
1401/02/28, 3455, 3722
1401/02/27, 3572, 3750
1401/02/26, 3650, 3986
1401/02/25, 3450, 3875
1401/02/24, 3499, 3700
1401/02/21, 3300, 3527
1401/02/20, 3200, 3398
1401/02/19, 3200, 3449
1401/02/18, 3335, 3549
1401/02/17, 3330, 3599
1401/02/12, 3201, 3455
1401/02/11, 3170, 3350
1401/02/10, 3090, 3279
1401/02/07, 3132, 3398
1401/02/06, 3210, 3464
1401/02/05, 3158, 3427
1401/02/04, 3140, 3294
1401/01/31, 2980, 3195
1401/01/30, 2800, 3028
1401/01/29, 2771, 2865
1401/01/28, 2577, 2759
1401/01/27, 2570, 2697
1401/01/24, 2550, 2700
1401/01/23, 2626, 2898
1401/01/22, 2673, 2818
1401/01/21, 2634, 2773
1401/01/20, 2603, 2695
1401/01/17, 2649, 2897
1401/01/16, 2653, 2870
1401/01/15, 2670, 2871
1401/01/14, 2666, 2740
1401/01/10, 2487, 2642
1401/01/09, 2415, 2610
1401/01/08, 2470, 2598
1401/01/07, 2421, 2580
1401/01/06, 2448, 2655
1400/12/28, 2518, 2549
1400/12/25, 2374, 2430
1400/12/24, 2230, 2349
1400/12/23, 2182, 2293
1400/12/22, 2135, 2233
1400/12/21, 2238, 2320
1400/12/18, 2290, 2418
1400/12/17, 2315, 2400
1400/12/16, 2366, 2531
1400/12/15, 2300, 2468
1400/12/14, 2260, 2353
1400/12/11, 2200, 2308
1400/12/09, 2241, 2340
1400/12/08, 2258, 2339
1400/12/07, 2262, 2366
1400/12/04, 2340, 2429
1400/12/03, 2330, 2449
1400/12/02, 2340, 2439
1400/12/01, 2280, 2380
1400/11/30, 2341, 2426
1400/11/27, 2305, 2410
1400/11/25, 2250, 2403
1400/11/24, 2276, 2400
1400/11/23, 2335, 2458
1400/11/20, 2292, 2465
1400/11/19, 2310, 2427
1400/11/18, 2332, 2380
